symbol,ts,open,high,low,close,volume
MAS,2018-05-01 13:00:00+00:00,37.77,37.81,37.57,37.72,51476.0
MAS,2018-05-01 14:00:00+00:00,37.72,37.72,37.21,37.25,122138.0
MAS,2018-05-01 15:00:00+00:00,37.23,37.68,37.19,37.5,73273.0
MAS,2018-05-01 16:00:00+00:00,37.51,37.72,37.5,37.65,84693.0
MAS,2018-05-01 17:00:00+00:00,37.62,37.96,37.55,37.96,84814.0
MAS,2018-05-01 18:00:00+00:00,37.965,38.525,37.955,38.525,151605.0
MAS,2018-05-01 19:00:00+00:00,38.53,38.615,38.455,38.51,218372.0
MAS,2018-05-01 20:00:00+00:00,38.55,38.55,38.55,38.55,30800.0
MAS,2018-05-02 13:00:00+00:00,38.31,38.41,38.15,38.24,43940.0
MAS,2018-05-02 14:00:00+00:00,38.22,38.3,38.04,38.195,66998.0
MAS,2018-05-02 15:00:00+00:00,38.195,38.22,38.1,38.19,68166.0
MAS,2018-05-02 16:00:00+00:00,38.19,38.21,38.05,38.09,75937.0
MAS,2018-05-02 17:00:00+00:00,38.09,38.105,37.995,37.995,61661.0
MAS,2018-05-02 18:00:00+00:00,37.995,38.1,37.67,37.67,106158.0
MAS,2018-05-02 19:00:00+00:00,37.67,37.82,37.62,37.72,212612.0
MAS,2018-05-03 13:00:00+00:00,37.63,37.84,37.58,37.74,26774.0
MAS,2018-05-03 14:00:00+00:00,37.73,37.82,37.34,37.42,107826.0
MAS,2018-05-03 15:00:00+00:00,37.44,37.79,37.39,37.74,66339.0
MAS,2018-05-03 16:00:00+00:00,37.74,38.08,37.68,38.05,49313.0
MAS,2018-05-03 17:00:00+00:00,38.06,38.08,37.85,37.93,34848.0
MAS,2018-05-03 18:00:00+00:00,37.93,38.13,37.88,38.0,51102.0
MAS,2018-05-03 19:00:00+00:00,38.01,38.1,37.94,38.01,110564.0
MAS,2018-05-04 13:00:00+00:00,37.84,38.08,37.83,38.03,26956.0
MAS,2018-05-04 14:00:00+00:00,38.02,38.16,37.96,38.09,73767.0
MAS,2018-05-04 15:00:00+00:00,38.08,38.26,38.02,38.18,50861.0
MAS,2018-05-04 16:00:00+00:00,38.18,38.24,38.16,38.22,42964.0
MAS,2018-05-04 17:00:00+00:00,38.22,38.37,38.19,38.3,34969.0
MAS,2018-05-04 18:00:00+00:00,38.3,38.495,38.3,38.43,34078.0
MAS,2018-05-04 19:00:00+00:00,38.44,38.49,38.3,38.33,122962.0
MAS,2018-05-07 13:00:00+00:00,38.37,38.52,38.27,38.43,15853.0
MAS,2018-05-07 14:00:00+00:00,38.455,38.52,38.14,38.22,51425.0
MAS,2018-05-07 15:00:00+00:00,38.21,38.32,38.12,38.21,47157.0
MAS,2018-05-07 16:00:00+00:00,38.2,38.23,38.14,38.2,45289.0
MAS,2018-05-07 17:00:00+00:00,38.22,38.23,38.09,38.22,42897.0
MAS,2018-05-07 18:00:00+00:00,38.21,38.345,38.2,38.27,59215.0
MAS,2018-05-07 19:00:00+00:00,38.28,38.315,38.17,38.3,126184.0
MAS,2018-05-08 13:00:00+00:00,38.38,38.48,38.295,38.33,20854.0
MAS,2018-05-08 14:00:00+00:00,38.32,38.43,38.25,38.25,51460.0
