symbol,ts,open,high,low,close,volume
MCD,2018-05-01 12:00:00+00:00,167.01,167.01,166.9,166.95,1194.0
MCD,2018-05-01 13:00:00+00:00,166.9,166.94,163.86,164.58,97253.0
MCD,2018-05-01 14:00:00+00:00,164.57,164.6,163.0,163.9,128107.0
MCD,2018-05-01 15:00:00+00:00,163.89,164.11,162.58,162.6,104051.0
MCD,2018-05-01 16:00:00+00:00,162.6,162.925,162.11,162.43,96956.0
MCD,2018-05-01 17:00:00+00:00,162.42,163.19,162.25,163.19,84304.0
MCD,2018-05-01 18:00:00+00:00,163.2,163.81,162.65,163.66,130335.0
MCD,2018-05-01 19:00:00+00:00,163.67,163.9,163.03,163.46,201872.0
MCD,2018-05-01 20:00:00+00:00,163.9,163.9,163.5,163.5,31.0
MCD,2018-05-01 21:00:00+00:00,163.59,163.9,163.59,163.9,21.0
MCD,2018-05-01 23:00:00+00:00,163.8,163.8,163.8,163.8,100.0
MCD,2018-05-02 11:00:00+00:00,163.5,163.5,163.5,163.5,5.0
MCD,2018-05-02 12:00:00+00:00,163.48,163.48,163.48,163.48,60.0
MCD,2018-05-02 13:00:00+00:00,163.0,163.035,162.1,162.56,66299.0
MCD,2018-05-02 14:00:00+00:00,162.56,162.71,161.8,162.29,79251.0
MCD,2018-05-02 15:00:00+00:00,162.27,162.62,162.01,162.24,73578.0
MCD,2018-05-02 16:00:00+00:00,162.26,162.26,161.87,161.87,35516.0
MCD,2018-05-02 17:00:00+00:00,161.86,162.36,161.64,162.13,39905.0
MCD,2018-05-02 18:00:00+00:00,162.2,162.84,161.14,161.27,64403.0
MCD,2018-05-02 19:00:00+00:00,161.31,161.32,160.45,160.67,158407.0
MCD,2018-05-02 20:00:00+00:00,160.67,160.67,160.67,160.67,2.0
MCD,2018-05-02 21:00:00+00:00,160.33,160.33,160.33,160.33,200.0
MCD,2018-05-03 12:00:00+00:00,160.05,160.05,160.05,160.05,40.0
MCD,2018-05-03 13:00:00+00:00,160.54,160.74,160.23,160.41,37002.0
MCD,2018-05-03 14:00:00+00:00,160.4,160.45,159.36,159.72,56069.0
MCD,2018-05-03 15:00:00+00:00,159.71,160.27,159.3,159.39,72097.0
MCD,2018-05-03 16:00:00+00:00,159.47,160.31,159.09,160.27,37306.0
MCD,2018-05-03 17:00:00+00:00,160.28,160.65,159.88,160.48,30182.0
MCD,2018-05-03 18:00:00+00:00,160.51,160.61,159.98,160.14,46030.0
MCD,2018-05-03 19:00:00+00:00,160.15,160.32,159.88,160.075,114471.0
