symbol,ts,open,high,low,close,volume
MCK,2018-05-01 13:00:00+00:00,155.94,156.85,155.79,155.79,13698.0
MCK,2018-05-01 14:00:00+00:00,155.63,156.0,154.23,154.34,28860.0
MCK,2018-05-01 15:00:00+00:00,154.31,155.43,154.02,154.73,23195.0
MCK,2018-05-01 16:00:00+00:00,154.685,154.69,154.16,154.34,28353.0
MCK,2018-05-01 17:00:00+00:00,154.28,154.39,152.96,154.11,46047.0
MCK,2018-05-01 18:00:00+00:00,154.18,154.69,153.83,154.48,26859.0
MCK,2018-05-01 19:00:00+00:00,154.48,154.5,153.8,154.22,86216.0
MCK,2018-05-02 13:00:00+00:00,154.2,158.19,153.82,157.85,32641.0
MCK,2018-05-02 14:00:00+00:00,157.8,158.12,155.97,156.24,42949.0
MCK,2018-05-02 15:00:00+00:00,156.24,157.05,155.62,155.75,28187.0
MCK,2018-05-02 16:00:00+00:00,155.68,155.99,154.83,155.19,20847.0
MCK,2018-05-02 17:00:00+00:00,155.17,155.94,154.95,155.92,22997.0
MCK,2018-05-02 18:00:00+00:00,155.9,156.39,155.65,155.83,29715.0
MCK,2018-05-02 19:00:00+00:00,155.83,155.83,154.275,154.64,65881.0
MCK,2018-05-03 13:00:00+00:00,150.52,151.0,146.9,147.86,69694.0
MCK,2018-05-03 14:00:00+00:00,147.73,148.54,145.7,147.0,65871.0
MCK,2018-05-03 15:00:00+00:00,146.87,148.12,146.63,147.795,49796.0
MCK,2018-05-03 16:00:00+00:00,147.84,148.37,147.24,148.37,52064.0
MCK,2018-05-03 17:00:00+00:00,148.31,148.4,147.19,147.31,47478.0
MCK,2018-05-03 18:00:00+00:00,147.33,147.64,145.93,146.35,49783.0
MCK,2018-05-03 19:00:00+00:00,146.355,146.68,145.98,146.57,117432.0
MCK,2018-05-03 21:00:00+00:00,146.98,146.98,146.98,146.98,15.0
MCK,2018-05-04 13:00:00+00:00,146.38,147.155,145.48,146.97,21021.0
MCK,2018-05-04 14:00:00+00:00,146.9,147.54,146.5,147.27,31366.0
MCK,2018-05-04 15:00:00+00:00,147.21,148.11,147.04,147.41,26515.0
MCK,2018-05-04 16:00:00+00:00,147.36,147.53,146.74,147.26,21524.0
MCK,2018-05-04 17:00:00+00:00,147.26,147.44,146.86,147.03,22328.0
MCK,2018-05-04 18:00:00+00:00,146.99,148.06,146.98,147.48,31361.0
MCK,2018-05-04 19:00:00+00:00,147.41,147.53,146.45,146.83,80432.0
MCK,2018-05-07 13:00:00+00:00,146.73,148.46,146.35,147.74,13242.0
MCK,2018-05-07 14:00:00+00:00,147.61,147.61,145.78,145.96,29162.0
