symbol,ts,open,high,low,close,volume
MCO,2018-05-01 13:00:00+00:00,161.17,161.91,160.78,161.84,5645.0
MCO,2018-05-01 14:00:00+00:00,161.89,162.75,161.62,162.39,14281.0
MCO,2018-05-01 15:00:00+00:00,162.36,162.95,162.16,162.55,13496.0
MCO,2018-05-01 16:00:00+00:00,162.58,162.71,162.39,162.465,9487.0
MCO,2018-05-01 17:00:00+00:00,162.41,163.55,162.11,163.22,15042.0
MCO,2018-05-01 18:00:00+00:00,163.17,164.16,163.05,164.0,14238.0
MCO,2018-05-01 19:00:00+00:00,164.18,164.39,163.56,164.14,28627.0
MCO,2018-05-02 13:00:00+00:00,163.71,163.9,162.98,163.24,15525.0
MCO,2018-05-02 14:00:00+00:00,163.26,163.71,162.82,163.19,25758.0
MCO,2018-05-02 15:00:00+00:00,163.21,163.43,162.49,162.8,15638.0
MCO,2018-05-02 16:00:00+00:00,162.8,163.65,162.62,163.65,13204.0
MCO,2018-05-02 17:00:00+00:00,163.67,164.0,163.61,163.7,16343.0
MCO,2018-05-02 18:00:00+00:00,163.69,164.37,163.69,163.9,28397.0
MCO,2018-05-02 19:00:00+00:00,163.97,164.16,162.46,162.68,60236.0
MCO,2018-05-03 13:00:00+00:00,162.65,162.65,161.25,162.42,11545.0
MCO,2018-05-03 14:00:00+00:00,162.44,162.57,160.81,161.27,24953.0
MCO,2018-05-03 15:00:00+00:00,161.27,161.95,160.48,161.79,19212.0
MCO,2018-05-03 16:00:00+00:00,161.85,163.14,161.45,163.14,10263.0
MCO,2018-05-03 17:00:00+00:00,162.85,163.26,162.16,162.97,13211.0
MCO,2018-05-03 18:00:00+00:00,162.91,163.4,162.63,163.13,21303.0
MCO,2018-05-03 19:00:00+00:00,163.17,163.6,162.85,163.12,46282.0
MCO,2018-05-04 13:00:00+00:00,161.82,162.8,161.53,162.78,6655.0
MCO,2018-05-04 14:00:00+00:00,162.8,164.65,162.39,164.39,10857.0
MCO,2018-05-04 15:00:00+00:00,164.36,165.4,164.33,165.28,16636.0
MCO,2018-05-04 16:00:00+00:00,165.31,166.14,165.31,166.14,17001.0
MCO,2018-05-04 17:00:00+00:00,166.12,166.75,166.08,166.75,12620.0
MCO,2018-05-04 18:00:00+00:00,166.71,167.41,166.58,166.58,17967.0
MCO,2018-05-04 19:00:00+00:00,166.57,166.88,166.17,166.28,40458.0
MCO,2018-05-07 13:00:00+00:00,166.5,167.06,166.17,166.98,7276.0
MCO,2018-05-07 14:00:00+00:00,167.055,167.73,166.39,167.64,15041.0
MCO,2018-05-07 15:00:00+00:00,167.62,167.62,166.85,167.32,14491.0
MCO,2018-05-07 16:00:00+00:00,167.48,168.05,167.48,167.68,8842.0
MCO,2018-05-07 17:00:00+00:00,167.73,168.14,167.54,167.72,8032.0
MCO,2018-05-07 18:00:00+00:00,167.71,168.1,167.38,167.56,13350.0
MCO,2018-05-07 19:00:00+00:00,167.56,167.83,167.01,167.4,24784.0
MCO,2018-05-08 13:00:00+00:00,166.99,167.92,166.34,167.5,5108.0
MCO,2018-05-08 14:00:00+00:00,167.41,167.41,166.42,167.15,15020.0
MCO,2018-05-08 15:00:00+00:00,167.09,168.13,167.08,167.66,11788.0
MCO,2018-05-08 16:00:00+00:00,167.73,167.98,167.27,167.62,7456.0
MCO,2018-05-08 17:00:00+00:00,167.52,167.89,167.41,167.41,7461.0
MCO,2018-05-08 18:00:00+00:00,167.41,167.9,166.87,167.13,11127.0
MCO,2018-05-08 19:00:00+00:00,167.11,168.04,166.995,167.88,19352.0
MCO,2018-05-09 13:00:00+00:00,168.34,168.41,167.22,167.74,4930.0
MCO,2018-05-09 14:00:00+00:00,167.78,168.19,167.42,167.49,8837.0
MCO,2018-05-09 15:00:00+00:00,167.45,168.48,167.23,168.48,8301.0
MCO,2018-05-09 16:00:00+00:00,168.51,169.81,168.51,169.42,10562.0
MCO,2018-05-09 17:00:00+00:00,169.49,170.79,169.49,170.71,16516.0
MCO,2018-05-09 18:00:00+00:00,170.75,171.03,170.42,170.49,18497.0
MCO,2018-05-09 19:00:00+00:00,170.46,170.545,169.82,170.52,29388.0
MCO,2018-05-10 13:00:00+00:00,171.08,171.48,170.35,171.11,4530.0
MCO,2018-05-10 14:00:00+00:00,171.16,172.41,171.16,172.14,14195.0
MCO,2018-05-10 15:00:00+00:00,172.25,173.52,172.25,173.35,18968.0
MCO,2018-05-10 16:00:00+00:00,173.39,174.08,173.39,173.77,13601.0
MCO,2018-05-10 17:00:00+00:00,173.78,173.99,173.25,173.45,12251.0
MCO,2018-05-10 18:00:00+00:00,173.42,173.81,173.02,173.54,16240.0
MCO,2018-05-10 19:00:00+00:00,173.56,173.83,173.1,173.81,47251.0
MCO,2018-05-11 13:00:00+00:00,173.18,173.64,172.89,173.64,4731.0
MCO,2018-05-11 14:00:00+00:00,173.87,174.69,173.46,173.95,12505.0
MCO,2018-05-11 15:00:00+00:00,173.86,173.9,173.39,173.55,14019.0
MCO,2018-05-11 16:00:00+00:00,173.59,173.71,173.18,173.33,10297.0
