symbol,ts,open,high,low,close,volume
MDLZ,2018-05-01 13:00:00+00:00,39.45,39.48,38.97,39.245,340916.0
MDLZ,2018-05-01 14:00:00+00:00,39.24,39.45,38.87,38.97,288860.0
MDLZ,2018-05-01 15:00:00+00:00,38.97,38.98,38.75,38.76,159542.0
MDLZ,2018-05-01 16:00:00+00:00,38.755,38.86,38.65,38.65,177438.0
MDLZ,2018-05-01 17:00:00+00:00,38.66,38.82,38.56,38.8,213651.0
MDLZ,2018-05-01 18:00:00+00:00,38.805,38.9,38.73,38.9,208962.0
MDLZ,2018-05-01 19:00:00+00:00,38.91,39.065,38.765,38.98,572106.0
MDLZ,2018-05-01 20:00:00+00:00,38.99,41.0,38.85,39.56,656256.0
MDLZ,2018-05-01 21:00:00+00:00,39.62,39.63,39.26,39.26,381.0
MDLZ,2018-05-01 22:00:00+00:00,39.5,39.5,39.5,39.5,100.0
MDLZ,2018-05-01 23:00:00+00:00,39.63,39.63,39.63,39.63,204.0
MDLZ,2018-05-02 11:00:00+00:00,39.36,39.36,39.21,39.21,175.0
MDLZ,2018-05-02 12:00:00+00:00,39.41,39.41,39.27,39.4,720.0
MDLZ,2018-05-02 13:00:00+00:00,39.26,39.49,38.58,38.75,467054.0
MDLZ,2018-05-02 14:00:00+00:00,38.75,38.88,38.31,38.375,383189.0
MDLZ,2018-05-02 15:00:00+00:00,38.375,38.43,38.07,38.23,437780.0
MDLZ,2018-05-02 16:00:00+00:00,38.24,38.485,38.1,38.11,234750.0
MDLZ,2018-05-02 17:00:00+00:00,38.1,38.1,37.72,37.87,304252.0
MDLZ,2018-05-02 18:00:00+00:00,37.87,37.95,37.43,37.465,378022.0
MDLZ,2018-05-02 19:00:00+00:00,37.465,37.93,37.435,37.89,1364197.0
MDLZ,2018-05-02 20:00:00+00:00,37.89,37.96,37.75,37.75,1053244.0
MDLZ,2018-05-02 21:00:00+00:00,37.65,37.8,37.65,37.8,148.0
MDLZ,2018-05-02 23:00:00+00:00,37.8,37.8,37.8,37.8,74.0
MDLZ,2018-05-03 13:00:00+00:00,37.87,38.12,37.66,37.97,371584.0
MDLZ,2018-05-03 14:00:00+00:00,37.97,38.0,37.53,37.59,423231.0
MDLZ,2018-05-03 15:00:00+00:00,37.59,37.7,37.51,37.64,255145.0
MDLZ,2018-05-03 16:00:00+00:00,37.65,37.77,37.51,37.77,184197.0
MDLZ,2018-05-03 17:00:00+00:00,37.76,37.81,37.67,37.71,200486.0
MDLZ,2018-05-03 18:00:00+00:00,37.71,37.76,37.62,37.71,218848.0
MDLZ,2018-05-03 19:00:00+00:00,37.72,37.74,37.52,37.57,518564.0
MDLZ,2018-05-03 20:00:00+00:00,37.57,37.58,37.57,37.58,660255.0
MDLZ,2018-05-03 21:00:00+00:00,37.7,37.7,37.7,37.7,928.0
MDLZ,2018-05-04 13:00:00+00:00,37.77,38.255,37.49,38.17,521030.0
MDLZ,2018-05-04 14:00:00+00:00,38.17,38.845,38.09,38.68,620187.0
MDLZ,2018-05-04 15:00:00+00:00,38.68,39.05,38.63,38.91,546480.0
MDLZ,2018-05-04 16:00:00+00:00,38.91,39.11,38.83,39.095,447656.0
MDLZ,2018-05-04 17:00:00+00:00,39.09,39.29,39.07,39.245,610771.0
MDLZ,2018-05-04 18:00:00+00:00,39.245,39.3,39.15,39.18,682729.0
MDLZ,2018-05-04 19:00:00+00:00,39.18,39.19,38.83,38.9,712498.0
MDLZ,2018-05-04 20:00:00+00:00,38.9,38.92,38.86,38.89,674770.0
MDLZ,2018-05-04 22:00:00+00:00,38.9,38.91,38.9,38.91,300.0
MDLZ,2018-05-07 13:00:00+00:00,39.03,39.16,38.94,39.07,314426.0
MDLZ,2018-05-07 14:00:00+00:00,39.07,39.07,38.78,38.855,385382.0
MDLZ,2018-05-07 15:00:00+00:00,38.85,38.97,38.82,38.85,233579.0
MDLZ,2018-05-07 16:00:00+00:00,38.85,38.88,38.71,38.785,208053.0
MDLZ,2018-05-07 17:00:00+00:00,38.78,38.8,38.685,38.72,178465.0
MDLZ,2018-05-07 18:00:00+00:00,38.72,38.81,38.67,38.71,186572.0
MDLZ,2018-05-07 19:00:00+00:00,38.71,38.725,38.62,38.68,363196.0
MDLZ,2018-05-07 20:00:00+00:00,38.69,38.69,38.69,38.69,334789.0
MDLZ,2018-05-07 21:00:00+00:00,38.7,38.7,38.7,38.7,1.0
MDLZ,2018-05-08 12:00:00+00:00,38.7,38.7,38.69,38.7,700.0
MDLZ,2018-05-08 13:00:00+00:00,38.7,38.7,38.32,38.34,264185.0
MDLZ,2018-05-08 14:00:00+00:00,38.33,38.56,38.33,38.49,262548.0
MDLZ,2018-05-08 15:00:00+00:00,38.48,38.56,38.37,38.37,170172.0
MDLZ,2018-05-08 16:00:00+00:00,38.365,38.45,38.325,38.36,158449.0
MDLZ,2018-05-08 17:00:00+00:00,38.36,38.565,38.35,38.54,152903.0
MDLZ,2018-05-08 18:00:00+00:00,38.54,38.57,38.42,38.54,195904.0
MDLZ,2018-05-08 19:00:00+00:00,38.54,38.605,38.5,38.58,527911.0
MDLZ,2018-05-08 20:00:00+00:00,38.58,38.59,38.55,38.55,833782.0
MDLZ,2018-05-09 13:00:00+00:00,38.68,38.95,38.63,38.8,219139.0
MDLZ,2018-05-09 14:00:00+00:00,38.81,38.82,38.52,38.62,219219.0
MDLZ,2018-05-09 15:00:00+00:00,38.62,38.855,38.6,38.75,218746.0
MDLZ,2018-05-09 16:00:00+00:00,38.74,38.88,38.69,38.88,180900.0
MDLZ,2018-05-09 17:00:00+00:00,38.89,38.91,38.785,38.87,164674.0
MDLZ,2018-05-09 18:00:00+00:00,38.87,38.89,38.79,38.83,168800.0
MDLZ,2018-05-09 19:00:00+00:00,38.82,38.85,38.725,38.76,404316.0
MDLZ,2018-05-09 20:00:00+00:00,38.77,38.8,38.77,38.8,483655.0
MDLZ,2018-05-09 23:00:00+00:00,38.92,38.92,38.92,38.92,5.0
MDLZ,2018-05-10 13:00:00+00:00,38.88,39.04,38.78,38.96,193354.0
MDLZ,2018-05-10 14:00:00+00:00,38.96,38.97,38.78,38.86,111090.0
MDLZ,2018-05-10 15:00:00+00:00,38.86,39.03,38.86,39.0,133793.0
MDLZ,2018-05-10 16:00:00+00:00,39.0,39.09,38.98,39.005,181318.0
MDLZ,2018-05-10 17:00:00+00:00,39.01,39.055,38.97,39.005,117147.0
MDLZ,2018-05-10 18:00:00+00:00,39.01,39.11,38.98,39.08,144843.0
MDLZ,2018-05-10 19:00:00+00:00,39.09,39.14,39.0,39.11,465105.0
MDLZ,2018-05-10 20:00:00+00:00,39.1,39.18,39.1,39.18,374243.0
MDLZ,2018-05-11 13:00:00+00:00,39.1,39.35,39.07,39.32,250414.0
MDLZ,2018-05-11 14:00:00+00:00,39.32,39.32,38.98,39.155,211661.0
MDLZ,2018-05-11 15:00:00+00:00,39.15,39.23,39.11,39.17,214463.0
MDLZ,2018-05-11 16:00:00+00:00,39.17,39.19,39.04,39.05,128518.0
MDLZ,2018-05-11 17:00:00+00:00,39.045,39.15,38.97,39.11,148336.0
MDLZ,2018-05-11 18:00:00+00:00,39.11,39.3,39.1,39.29,228873.0
MDLZ,2018-05-11 19:00:00+00:00,39.295,39.35,39.15,39.23,422673.0
