symbol,ts,open,high,low,close,volume
MET,2018-05-01 13:00:00+00:00,47.5,47.52,47.1,47.42,47964.0
MET,2018-05-01 14:00:00+00:00,47.36,47.715,47.35,47.5,103484.0
MET,2018-05-01 15:00:00+00:00,47.51,47.53,47.07,47.07,96576.0
MET,2018-05-01 16:00:00+00:00,47.06,47.12,46.96,47.06,98088.0
MET,2018-05-01 17:00:00+00:00,47.05,47.14,46.88,47.14,86794.0
MET,2018-05-01 18:00:00+00:00,47.13,47.27,47.03,47.19,117881.0
MET,2018-05-01 19:00:00+00:00,47.19,47.31,46.96,47.29,164780.0
MET,2018-05-01 20:00:00+00:00,47.27,47.27,47.27,47.27,100.0
MET,2018-05-02 13:00:00+00:00,47.03,47.03,45.84,45.9,79072.0
MET,2018-05-02 14:00:00+00:00,45.895,46.07,45.385,45.4,145813.0
MET,2018-05-02 15:00:00+00:00,45.405,45.71,45.375,45.4,105065.0
MET,2018-05-02 16:00:00+00:00,45.39,45.66,45.315,45.55,76905.0
MET,2018-05-02 17:00:00+00:00,45.555,45.785,45.51,45.51,62257.0
MET,2018-05-02 18:00:00+00:00,45.51,45.58,45.04,45.21,103130.0
MET,2018-05-02 19:00:00+00:00,45.21,45.28,44.955,44.99,260555.0
MET,2018-05-02 20:00:00+00:00,45.6,46.5,45.6,46.28,1844.0
MET,2018-05-02 21:00:00+00:00,46.2,46.22,46.12,46.2,877.0
MET,2018-05-02 22:00:00+00:00,46.2,46.2,46.2,46.2,198.0
MET,2018-05-03 11:00:00+00:00,46.25,46.26,46.25,46.25,1060.0
MET,2018-05-03 12:00:00+00:00,46.25,46.25,46.25,46.25,40.0
MET,2018-05-03 13:00:00+00:00,46.53,46.53,45.25,45.95,149188.0
MET,2018-05-03 14:00:00+00:00,45.95,45.99,44.48,44.57,204224.0
MET,2018-05-03 15:00:00+00:00,44.56,44.65,43.88,43.99,181501.0
MET,2018-05-03 16:00:00+00:00,43.985,44.85,43.98,44.81,139538.0
MET,2018-05-03 17:00:00+00:00,44.84,44.86,44.43,44.64,88483.0
MET,2018-05-03 18:00:00+00:00,44.63,45.15,44.37,45.02,149972.0
MET,2018-05-03 19:00:00+00:00,45.0,45.105,44.515,44.67,279010.0
MET,2018-05-03 20:00:00+00:00,44.74,44.74,44.74,44.74,200.0
MET,2018-05-04 13:00:00+00:00,44.08,44.63,43.93,44.59,56435.0
MET,2018-05-04 14:00:00+00:00,44.6,45.76,44.54,45.63,186206.0
MET,2018-05-04 15:00:00+00:00,45.63,45.9,45.55,45.77,116695.0
MET,2018-05-04 16:00:00+00:00,45.78,45.92,45.64,45.91,89585.0
MET,2018-05-04 17:00:00+00:00,45.92,46.19,45.92,46.19,75930.0
MET,2018-05-04 18:00:00+00:00,46.195,46.49,46.17,46.36,105614.0
MET,2018-05-04 19:00:00+00:00,46.355,46.49,46.185,46.23,226772.0
MET,2018-05-07 13:00:00+00:00,46.19,46.21,45.92,46.15,41836.0
MET,2018-05-07 14:00:00+00:00,46.18,46.29,46.03,46.27,69895.0
MET,2018-05-07 15:00:00+00:00,46.265,46.345,46.13,46.215,66392.0
MET,2018-05-07 16:00:00+00:00,46.22,46.56,46.22,46.555,54415.0
MET,2018-05-07 17:00:00+00:00,46.55,46.78,46.48,46.76,72141.0
MET,2018-05-07 18:00:00+00:00,46.76,47.025,46.745,46.88,89868.0
MET,2018-05-07 19:00:00+00:00,46.88,46.95,46.8,46.94,225885.0
MET,2018-05-08 13:00:00+00:00,46.92,46.96,46.68,46.74,35070.0
MET,2018-05-08 14:00:00+00:00,46.75,47.19,46.75,47.06,66089.0
MET,2018-05-08 15:00:00+00:00,47.055,47.27,46.8,46.85,87498.0
MET,2018-05-08 16:00:00+00:00,46.85,46.91,46.63,46.71,63822.0
MET,2018-05-08 17:00:00+00:00,46.7,46.77,46.58,46.6,49190.0
MET,2018-05-08 18:00:00+00:00,46.61,46.65,46.29,46.36,117831.0
MET,2018-05-08 19:00:00+00:00,46.37,46.56,46.3,46.55,165454.0
MET,2018-05-09 13:00:00+00:00,46.8,46.86,46.39,46.41,65636.0
MET,2018-05-09 14:00:00+00:00,46.41,46.475,46.08,46.12,114879.0
MET,2018-05-09 15:00:00+00:00,46.11,46.425,45.91,46.41,82733.0
MET,2018-05-09 16:00:00+00:00,46.41,46.71,46.39,46.68,75175.0
MET,2018-05-09 17:00:00+00:00,46.68,46.79,46.615,46.71,77737.0
MET,2018-05-09 18:00:00+00:00,46.705,47.005,46.675,46.85,79652.0
MET,2018-05-09 19:00:00+00:00,46.845,46.845,46.52,46.61,168309.0
MET,2018-05-10 13:00:00+00:00,46.6,46.7,46.36,46.4,28035.0
MET,2018-05-10 14:00:00+00:00,46.41,46.79,46.36,46.62,59738.0
MET,2018-05-10 15:00:00+00:00,46.62,46.98,46.62,46.81,48762.0
MET,2018-05-10 16:00:00+00:00,46.825,47.01,46.765,46.92,55066.0
MET,2018-05-10 17:00:00+00:00,46.915,46.955,46.74,46.78,53009.0
MET,2018-05-10 18:00:00+00:00,46.79,46.95,46.71,46.88,52256.0
MET,2018-05-10 19:00:00+00:00,46.88,46.91,46.82,46.89,110353.0
MET,2018-05-11 13:00:00+00:00,47.07,47.22,46.89,47.17,26505.0
MET,2018-05-11 14:00:00+00:00,47.16,47.22,46.99,47.02,60890.0
MET,2018-05-11 15:00:00+00:00,47.025,47.07,46.725,46.77,53502.0
MET,2018-05-11 16:00:00+00:00,46.76,46.84,46.695,46.82,56841.0
MET,2018-05-11 17:00:00+00:00,46.81,46.87,46.79,46.86,39199.0
MET,2018-05-11 18:00:00+00:00,46.87,46.87,46.645,46.8,46718.0
MET,2018-05-11 19:00:00+00:00,46.8,46.82,46.725,46.78,91375.0
MET,2018-05-14 13:00:00+00:00,46.9,47.08,46.77,47.01,33510.0
MET,2018-05-14 14:00:00+00:00,47.015,47.095,46.93,46.94,52797.0
MET,2018-05-14 15:00:00+00:00,46.93,46.98,46.855,46.915,49055.0
MET,2018-05-14 16:00:00+00:00,46.915,47.01,46.875,46.885,30529.0
MET,2018-05-14 17:00:00+00:00,46.87,47.07,46.84,47.04,35413.0
MET,2018-05-14 18:00:00+00:00,47.04,47.155,46.95,47.055,87985.0
MET,2018-05-14 19:00:00+00:00,47.05,47.05,46.9,46.98,185715.0
MET,2018-05-15 13:00:00+00:00,47.01,47.73,46.97,47.5,73549.0
MET,2018-05-15 14:00:00+00:00,47.49,47.985,47.49,47.74,135477.0
MET,2018-05-15 15:00:00+00:00,47.76,47.95,47.66,47.66,83516.0
MET,2018-05-15 16:00:00+00:00,47.665,47.78,47.55,47.71,73449.0
MET,2018-05-15 17:00:00+00:00,47.69,47.7,47.33,47.33,60078.0
MET,2018-05-15 18:00:00+00:00,47.33,47.49,47.29,47.34,91304.0
MET,2018-05-15 19:00:00+00:00,47.35,47.49,47.21,47.48,155333.0
MET,2018-05-16 13:00:00+00:00,47.41,47.56,47.28,47.48,20138.0
MET,2018-05-16 14:00:00+00:00,47.48,47.67,47.4,47.46,68845.0
MET,2018-05-16 15:00:00+00:00,47.44,47.56,47.275,47.56,69809.0
MET,2018-05-16 16:00:00+00:00,47.58,47.93,47.56,47.93,55154.0
MET,2018-05-16 17:00:00+00:00,47.94,48.09,47.92,48.09,70947.0
MET,2018-05-16 18:00:00+00:00,48.08,48.09,48.01,48.08,64404.0
MET,2018-05-16 19:00:00+00:00,48.07,48.07,47.845,47.89,194829.0
MET,2018-05-17 13:00:00+00:00,47.68,47.88,47.48,47.78,49725.0
MET,2018-05-17 14:00:00+00:00,47.81,48.17,47.81,48.16,61187.0
MET,2018-05-17 15:00:00+00:00,48.15,48.235,48.01,48.19,43321.0
MET,2018-05-17 16:00:00+00:00,48.195,48.21,48.04,48.1,51378.0
