symbol,ts,open,high,low,close,volume
MMM,2018-05-01 12:00:00+00:00,194.2,194.2,194.2,194.2,110.0
MMM,2018-05-01 13:00:00+00:00,194.0,194.3,192.65,193.17,71683.0
MMM,2018-05-01 14:00:00+00:00,193.15,193.15,191.44,192.01,123058.0
MMM,2018-05-01 15:00:00+00:00,191.96,193.12,191.75,192.39,113696.0
MMM,2018-05-01 16:00:00+00:00,192.44,192.88,192.06,192.34,76286.0
MMM,2018-05-01 17:00:00+00:00,192.31,194.02,191.92,194.02,113125.0
MMM,2018-05-01 18:00:00+00:00,194.01,195.5,193.97,194.97,116892.0
MMM,2018-05-01 19:00:00+00:00,194.94,195.15,193.78,195.03,171910.0
MMM,2018-05-01 23:00:00+00:00,195.0,195.0,195.0,195.0,2.0
MMM,2018-05-02 08:00:00+00:00,195.53,195.53,195.5,195.5,7.0
MMM,2018-05-02 13:00:00+00:00,195.14,195.8,194.6,194.86,46474.0
MMM,2018-05-02 14:00:00+00:00,194.9,195.42,194.57,195.0,80630.0
MMM,2018-05-02 15:00:00+00:00,195.01,196.09,194.95,195.78,79483.0
MMM,2018-05-02 16:00:00+00:00,195.74,195.93,195.34,195.64,56439.0
MMM,2018-05-02 17:00:00+00:00,195.6,195.84,195.25,195.34,41887.0
MMM,2018-05-02 18:00:00+00:00,195.3,196.4,195.27,195.35,88943.0
MMM,2018-05-02 19:00:00+00:00,195.38,195.57,194.04,194.5,159934.0
MMM,2018-05-03 10:00:00+00:00,197.4,197.4,197.4,197.4,2.0
MMM,2018-05-03 11:00:00+00:00,195.15,195.15,195.14,195.14,300.0
MMM,2018-05-03 12:00:00+00:00,195.14,195.44,195.03,195.23,165.0
MMM,2018-05-03 13:00:00+00:00,195.25,195.67,193.5,194.06,43076.0
MMM,2018-05-03 14:00:00+00:00,194.18,194.34,192.4,193.18,86974.0
MMM,2018-05-03 15:00:00+00:00,193.12,193.84,192.9,193.27,65075.0
MMM,2018-05-03 16:00:00+00:00,193.31,196.0,193.19,195.89,56004.0
MMM,2018-05-03 17:00:00+00:00,195.93,196.58,195.35,196.03,72722.0
MMM,2018-05-03 18:00:00+00:00,196.09,196.67,195.58,195.89,51226.0
MMM,2018-05-03 19:00:00+00:00,195.93,196.7,195.23,195.67,129054.0
MMM,2018-05-03 20:00:00+00:00,195.71,195.71,195.69,195.69,30.0
MMM,2018-05-04 13:00:00+00:00,195.2,196.2,194.26,196.1,26392.0
MMM,2018-05-04 14:00:00+00:00,196.15,197.85,195.45,197.59,88607.0
MMM,2018-05-04 15:00:00+00:00,197.64,198.39,197.57,198.06,42090.0
MMM,2018-05-04 16:00:00+00:00,198.07,198.77,197.98,198.4,47523.0
MMM,2018-05-04 17:00:00+00:00,198.42,199.05,198.4,198.82,37779.0
MMM,2018-05-04 18:00:00+00:00,198.85,199.88,198.77,199.48,54088.0
MMM,2018-05-04 19:00:00+00:00,199.47,199.9,198.98,199.32,125244.0
MMM,2018-05-04 20:00:00+00:00,199.33,199.76,199.33,199.76,104.0
MMM,2018-05-07 12:00:00+00:00,201.25,201.25,200.0,200.75,90.0
MMM,2018-05-07 13:00:00+00:00,200.06,200.98,199.77,200.92,52879.0
MMM,2018-05-07 14:00:00+00:00,200.97,200.99,200.28,200.72,76280.0
MMM,2018-05-07 15:00:00+00:00,200.65,200.67,199.93,200.41,46541.0
MMM,2018-05-07 16:00:00+00:00,200.5,200.85,200.11,200.36,41392.0
MMM,2018-05-07 17:00:00+00:00,200.34,200.5,200.15,200.32,37102.0
MMM,2018-05-07 18:00:00+00:00,200.31,200.66,199.9,200.0,57595.0
MMM,2018-05-07 19:00:00+00:00,200.0,200.35,199.59,200.23,98125.0
MMM,2018-05-07 21:00:00+00:00,199.99,199.99,199.99,199.99,25.0
MMM,2018-05-08 11:00:00+00:00,200.48,200.48,200.48,200.48,25.0
MMM,2018-05-08 13:00:00+00:00,200.0,200.52,199.56,200.39,30311.0
MMM,2018-05-08 14:00:00+00:00,200.45,201.77,200.41,201.6,67043.0
MMM,2018-05-08 15:00:00+00:00,201.54,202.11,200.92,201.42,70910.0
MMM,2018-05-08 16:00:00+00:00,201.4,201.46,200.95,201.12,26777.0
MMM,2018-05-08 17:00:00+00:00,201.03,201.65,201.0,201.21,23878.0
MMM,2018-05-08 18:00:00+00:00,201.19,202.1,200.63,200.9,48591.0
MMM,2018-05-08 19:00:00+00:00,200.86,201.72,200.74,201.63,113134.0
MMM,2018-05-09 13:00:00+00:00,201.8,202.94,201.8,202.5,53305.0
MMM,2018-05-09 14:00:00+00:00,202.43,202.92,201.39,202.08,68533.0
MMM,2018-05-09 15:00:00+00:00,202.11,202.69,201.59,202.52,40068.0
MMM,2018-05-09 16:00:00+00:00,202.55,204.12,202.5,203.89,34545.0
MMM,2018-05-09 17:00:00+00:00,203.9,204.58,203.66,204.3,39139.0
MMM,2018-05-09 18:00:00+00:00,204.3,204.68,203.82,204.48,58964.0
MMM,2018-05-09 19:00:00+00:00,204.44,204.44,203.21,203.42,115976.0
MMM,2018-05-09 23:00:00+00:00,203.25,203.25,203.25,203.25,3.0
MMM,2018-05-10 13:00:00+00:00,203.7,204.39,202.5,204.32,21372.0
MMM,2018-05-10 14:00:00+00:00,204.38,204.38,203.28,203.99,38217.0
MMM,2018-05-10 15:00:00+00:00,204.01,204.6,203.82,204.56,34180.0
MMM,2018-05-10 16:00:00+00:00,204.59,205.52,204.54,205.2,36763.0
MMM,2018-05-10 17:00:00+00:00,205.2,205.42,204.68,205.04,36300.0
MMM,2018-05-10 18:00:00+00:00,205.0,205.59,204.58,205.59,35020.0
MMM,2018-05-10 19:00:00+00:00,205.58,205.69,204.76,205.04,88518.0
MMM,2018-05-11 13:00:00+00:00,205.0,205.36,204.2,205.3,47735.0
MMM,2018-05-11 14:00:00+00:00,205.35,205.35,203.84,204.27,69650.0
MMM,2018-05-11 15:00:00+00:00,204.27,204.68,203.66,203.94,69044.0
MMM,2018-05-11 16:00:00+00:00,203.94,204.57,203.79,204.51,42838.0
MMM,2018-05-11 17:00:00+00:00,204.49,204.91,204.44,204.83,25455.0
MMM,2018-05-11 18:00:00+00:00,204.82,205.03,204.38,204.87,43092.0
MMM,2018-05-11 19:00:00+00:00,204.86,205.29,204.65,205.06,82183.0
MMM,2018-05-11 20:00:00+00:00,205.04,205.04,205.04,205.04,200.0
MMM,2018-05-11 22:00:00+00:00,205.16,205.16,205.16,205.16,5.0
MMM,2018-05-14 13:00:00+00:00,205.66,206.01,205.09,205.65,39413.0
MMM,2018-05-14 14:00:00+00:00,205.66,205.97,204.92,205.81,55252.0
MMM,2018-05-14 15:00:00+00:00,205.78,205.84,205.23,205.32,44768.0
MMM,2018-05-14 16:00:00+00:00,205.31,205.82,205.22,205.42,53136.0
MMM,2018-05-14 17:00:00+00:00,205.31,205.47,204.69,204.91,48416.0
MMM,2018-05-14 18:00:00+00:00,204.92,205.55,204.71,205.55,57480.0
MMM,2018-05-14 19:00:00+00:00,205.5,206.03,205.15,205.71,97762.0
MMM,2018-05-14 20:00:00+00:00,205.7,205.7,205.7,205.7,1.0
MMM,2018-05-15 13:00:00+00:00,205.12,205.57,202.62,202.69,34697.0
MMM,2018-05-15 14:00:00+00:00,202.72,203.07,201.81,202.03,63882.0
MMM,2018-05-15 15:00:00+00:00,202.06,202.43,201.77,201.925,29876.0
MMM,2018-05-15 16:00:00+00:00,201.93,202.71,201.64,202.47,30057.0
MMM,2018-05-15 17:00:00+00:00,202.47,202.55,201.7,201.78,33197.0
MMM,2018-05-15 18:00:00+00:00,201.77,202.59,201.66,201.88,44106.0
MMM,2018-05-15 19:00:00+00:00,201.93,202.57,201.79,202.43,73746.0
MMM,2018-05-16 12:00:00+00:00,200.5,200.6,200.26,200.26,132.0
MMM,2018-05-16 13:00:00+00:00,200.78,201.03,200.0,200.46,31930.0
MMM,2018-05-16 14:00:00+00:00,200.47,200.77,199.61,199.9,49030.0
MMM,2018-05-16 15:00:00+00:00,199.89,199.98,199.06,199.77,44595.0
MMM,2018-05-16 16:00:00+00:00,199.8,200.57,199.73,200.33,38634.0
MMM,2018-05-16 17:00:00+00:00,200.35,200.61,200.14,200.5,26145.0
MMM,2018-05-16 18:00:00+00:00,200.52,200.97,200.51,200.7,36253.0
MMM,2018-05-16 19:00:00+00:00,200.68,200.68,199.6,200.21,90718.0
MMM,2018-05-16 20:00:00+00:00,200.33,200.33,200.0,200.0,98.0
MMM,2018-05-17 11:00:00+00:00,199.25,199.25,199.25,199.25,10.0
MMM,2018-05-17 13:00:00+00:00,199.4,199.7,198.74,198.76,31807.0
MMM,2018-05-17 14:00:00+00:00,198.71,201.1,198.69,200.92,48666.0
MMM,2018-05-17 15:00:00+00:00,200.94,201.37,200.35,200.53,33920.0
MMM,2018-05-17 16:00:00+00:00,200.52,200.87,200.03,200.29,37792.0
MMM,2018-05-17 17:00:00+00:00,200.28,200.47,199.55,199.7,37716.0
MMM,2018-05-17 18:00:00+00:00,199.7,200.65,199.4,200.65,47889.0
MMM,2018-05-17 19:00:00+00:00,200.63,200.63,200.0,200.37,100587.0
MMM,2018-05-18 13:00:00+00:00,200.41,200.76,199.62,199.71,21605.0
MMM,2018-05-18 14:00:00+00:00,199.69,200.17,199.09,199.13,38345.0
MMM,2018-05-18 15:00:00+00:00,199.15,199.19,198.48,198.98,52170.0
MMM,2018-05-18 16:00:00+00:00,198.98,199.29,198.46,199.14,61624.0
MMM,2018-05-18 17:00:00+00:00,199.11,199.38,198.74,198.98,53934.0
MMM,2018-05-18 18:00:00+00:00,199.01,199.33,198.81,199.15,80021.0
MMM,2018-05-18 19:00:00+00:00,199.15,199.54,198.93,198.98,111497.0
MMM,2018-05-21 13:00:00+00:00,200.0,202.55,200.0,202.28,53064.0
MMM,2018-05-21 14:00:00+00:00,202.21,202.91,201.9,202.24,51029.0
MMM,2018-05-21 15:00:00+00:00,202.24,202.36,200.99,201.2,46812.0
MMM,2018-05-21 16:00:00+00:00,201.21,201.69,201.13,201.28,32539.0
MMM,2018-05-21 17:00:00+00:00,201.34,201.91,201.31,201.91,29065.0
MMM,2018-05-21 18:00:00+00:00,201.91,202.52,201.63,202.39,42756.0
MMM,2018-05-21 19:00:00+00:00,202.38,202.49,201.39,201.8,67355.0
MMM,2018-05-22 13:00:00+00:00,202.25,202.25,200.96,201.49,28803.0
MMM,2018-05-22 14:00:00+00:00,201.43,202.15,200.95,201.43,44760.0
MMM,2018-05-22 15:00:00+00:00,201.38,201.44,200.18,200.55,34820.0
MMM,2018-05-22 16:00:00+00:00,200.53,200.56,200.03,200.46,28525.0
MMM,2018-05-22 17:00:00+00:00,200.41,200.54,200.13,200.2,36837.0
MMM,2018-05-22 18:00:00+00:00,200.18,200.19,199.45,199.48,59862.0
MMM,2018-05-22 19:00:00+00:00,199.47,199.55,198.73,198.97,100049.0
MMM,2018-05-22 20:00:00+00:00,198.99,198.99,198.99,198.99,30.0
MMM,2018-05-23 13:00:00+00:00,197.82,198.18,196.69,197.18,65761.0
MMM,2018-05-23 14:00:00+00:00,197.19,198.33,196.9,198.17,71914.0
MMM,2018-05-23 15:00:00+00:00,198.14,198.41,197.5,197.52,50645.0
MMM,2018-05-23 16:00:00+00:00,197.48,197.48,196.56,197.32,43580.0
MMM,2018-05-23 17:00:00+00:00,197.28,197.34,196.79,197.29,29615.0
MMM,2018-05-23 18:00:00+00:00,197.31,198.3,197.3,198.18,46465.0
MMM,2018-05-23 19:00:00+00:00,198.23,198.79,198.15,198.68,97903.0
MMM,2018-05-23 20:00:00+00:00,198.75,198.75,198.75,198.75,32.0
MMM,2018-05-24 11:00:00+00:00,198.67,198.67,198.67,198.67,24.0
MMM,2018-05-24 12:00:00+00:00,198.5,198.5,198.5,198.5,100.0
MMM,2018-05-24 13:00:00+00:00,197.5,200.15,196.79,198.86,51026.0
MMM,2018-05-24 14:00:00+00:00,198.86,198.87,196.94,197.14,39690.0
MMM,2018-05-24 15:00:00+00:00,197.12,198.51,197.06,198.37,39161.0
MMM,2018-05-24 16:00:00+00:00,198.28,198.81,198.28,198.74,39078.0
MMM,2018-05-24 17:00:00+00:00,198.75,199.49,198.73,199.45,28863.0
MMM,2018-05-24 18:00:00+00:00,199.45,199.55,199.13,199.43,30879.0
MMM,2018-05-24 19:00:00+00:00,199.4,199.8,199.11,199.36,67113.0
MMM,2018-05-25 13:00:00+00:00,199.09,199.34,198.28,199.34,28622.0
MMM,2018-05-25 14:00:00+00:00,199.3,199.4,198.48,198.59,49221.0
MMM,2018-05-25 15:00:00+00:00,198.53,199.09,198.39,198.59,37496.0
MMM,2018-05-25 16:00:00+00:00,198.55,198.68,197.93,198.24,31072.0
MMM,2018-05-25 17:00:00+00:00,198.26,198.47,198.05,198.45,27324.0
MMM,2018-05-25 18:00:00+00:00,198.41,198.8,198.25,198.58,37755.0
MMM,2018-05-25 19:00:00+00:00,198.54,199.2,198.5,199.02,59153.0
MMM,2018-05-29 12:00:00+00:00,198.0,198.0,198.0,198.0,5.0
MMM,2018-05-29 13:00:00+00:00,198.0,198.3,197.24,198.11,30740.0
MMM,2018-05-29 14:00:00+00:00,198.09,198.51,197.16,197.22,36051.0
MMM,2018-05-29 15:00:00+00:00,197.24,197.26,195.79,195.94,40066.0
MMM,2018-05-29 16:00:00+00:00,195.85,196.21,195.09,196.16,40185.0
MMM,2018-05-29 17:00:00+00:00,196.13,196.13,195.27,195.74,40699.0
MMM,2018-05-29 18:00:00+00:00,195.68,196.11,195.26,195.34,55506.0
MMM,2018-05-29 19:00:00+00:00,195.33,196.07,195.28,195.76,101928.0
MMM,2018-05-30 11:00:00+00:00,198.56,198.56,198.56,198.56,1.0
MMM,2018-05-30 12:00:00+00:00,197.99,197.99,197.99,197.99,1.0
MMM,2018-05-30 13:00:00+00:00,196.62,197.45,196.36,196.86,65843.0
MMM,2018-05-30 14:00:00+00:00,196.89,198.46,196.89,198.45,73167.0
MMM,2018-05-30 15:00:00+00:00,198.44,199.06,198.1,198.89,49885.0
MMM,2018-05-30 16:00:00+00:00,198.92,199.1,198.49,198.6,23692.0
MMM,2018-05-30 17:00:00+00:00,198.63,199.38,198.46,198.79,29269.0
MMM,2018-05-30 18:00:00+00:00,198.81,199.25,198.78,198.85,31757.0
MMM,2018-05-30 19:00:00+00:00,198.88,199.04,198.48,198.7,71149.0
MMM,2018-05-31 08:00:00+00:00,199.0,199.0,199.0,199.0,100.0
MMM,2018-05-31 13:00:00+00:00,198.3,198.53,197.65,198.01,55117.0
MMM,2018-05-31 14:00:00+00:00,198.05,198.44,196.94,197.3,141043.0
MMM,2018-05-31 15:00:00+00:00,197.29,198.21,197.085,197.71,48124.0
MMM,2018-05-31 16:00:00+00:00,197.54,197.59,196.78,197.5,35800.0
MMM,2018-05-31 17:00:00+00:00,197.49,197.69,196.67,196.7,84778.0
MMM,2018-05-31 18:00:00+00:00,196.68,197.39,196.28,197.16,82537.0
MMM,2018-05-31 19:00:00+00:00,197.19,197.76,196.84,197.25,132561.0
MMM,2018-05-31 22:00:00+00:00,198.05,198.14,198.05,198.05,610.0
MMM,2018-06-01 11:00:00+00:00,198.54,198.54,198.54,198.54,25.0
MMM,2018-06-01 12:00:00+00:00,198.54,198.54,198.54,198.54,309.0
MMM,2018-06-01 13:00:00+00:00,198.75,199.85,198.42,199.57,26678.0
MMM,2018-06-01 14:00:00+00:00,199.68,199.86,198.8,199.23,43199.0
MMM,2018-06-01 15:00:00+00:00,199.26,199.59,199.05,199.4,28428.0
MMM,2018-06-01 16:00:00+00:00,199.42,200.28,199.33,200.28,22059.0
MMM,2018-06-01 17:00:00+00:00,200.3,200.42,199.68,199.9,18258.0
MMM,2018-06-01 18:00:00+00:00,199.9,199.91,199.2,199.45,30074.0
MMM,2018-06-01 19:00:00+00:00,199.43,199.63,199.19,199.59,70825.0
MMM,2018-06-04 12:00:00+00:00,200.99,200.99,200.99,200.99,50.0
MMM,2018-06-04 13:00:00+00:00,200.65,201.71,200.11,201.0,18482.0
