symbol,ts,open,high,low,close,volume
MNST,2018-05-01 13:00:00+00:00,54.88,54.91,54.13,54.44,80682.0
MNST,2018-05-01 14:00:00+00:00,54.43,54.7,54.32,54.49,75550.0
MNST,2018-05-01 15:00:00+00:00,54.48,54.74,54.37,54.5,97709.0
MNST,2018-05-01 16:00:00+00:00,54.5,54.7,54.5,54.62,46821.0
MNST,2018-05-01 17:00:00+00:00,54.6,54.87,54.39,54.86,42289.0
MNST,2018-05-01 18:00:00+00:00,54.86,54.98,54.76,54.92,47386.0
MNST,2018-05-01 19:00:00+00:00,54.93,55.26,54.83,55.19,146869.0
MNST,2018-05-01 20:00:00+00:00,55.19,55.2,55.19,55.2,114852.0
MNST,2018-05-02 13:00:00+00:00,55.05,55.08,54.41,54.5,120991.0
MNST,2018-05-02 14:00:00+00:00,54.48,54.66,54.03,54.13,171217.0
MNST,2018-05-02 15:00:00+00:00,54.13,54.14,53.13,53.46,200072.0
MNST,2018-05-02 16:00:00+00:00,53.44,53.59,53.36,53.43,75319.0
MNST,2018-05-02 17:00:00+00:00,53.45,53.56,53.27,53.33,75004.0
MNST,2018-05-02 18:00:00+00:00,53.37,53.66,53.12,53.16,116407.0
MNST,2018-05-02 19:00:00+00:00,53.16,53.19,52.65,52.72,388177.0
MNST,2018-05-02 20:00:00+00:00,52.72,52.8,52.7,52.72,261846.0
MNST,2018-05-03 13:00:00+00:00,52.58,53.13,52.34,52.86,148046.0
MNST,2018-05-03 14:00:00+00:00,52.88,52.98,51.97,52.11,208530.0
MNST,2018-05-03 15:00:00+00:00,52.12,52.22,51.75,52.07,192124.0
MNST,2018-05-03 16:00:00+00:00,52.08,52.33,51.88,52.28,165558.0
MNST,2018-05-03 17:00:00+00:00,52.27,52.57,52.2,52.51,148201.0
MNST,2018-05-03 18:00:00+00:00,52.51,52.52,52.12,52.19,142508.0
MNST,2018-05-03 19:00:00+00:00,52.2,52.34,52.17,52.31,318021.0
MNST,2018-05-03 20:00:00+00:00,52.31,52.32,52.31,52.31,182205.0
MNST,2018-05-04 13:00:00+00:00,52.08,52.63,52.01,52.385,116912.0
MNST,2018-05-04 14:00:00+00:00,52.38,52.74,52.31,52.65,145775.0
