symbol,ts,open,high,low,close,volume
MO,2018-05-01 12:00:00+00:00,56.07,56.07,56.01,56.01,99.0
MO,2018-05-01 13:00:00+00:00,56.0,56.0,55.56,55.91,91722.0
MO,2018-05-01 14:00:00+00:00,55.9,56.07,55.88,55.98,124263.0
MO,2018-05-01 15:00:00+00:00,55.98,56.11,55.89,56.0,63638.0
MO,2018-05-01 16:00:00+00:00,56.0,56.11,55.95,55.95,68339.0
MO,2018-05-01 17:00:00+00:00,55.94,56.0,55.73,55.99,55884.0
MO,2018-05-01 18:00:00+00:00,56.0,56.03,55.81,55.97,109801.0
MO,2018-05-01 19:00:00+00:00,55.97,56.1,55.85,56.04,209737.0
MO,2018-05-01 20:00:00+00:00,56.05,56.05,55.93,55.93,54.0
MO,2018-05-01 21:00:00+00:00,55.72,55.72,55.72,55.72,10.0
MO,2018-05-02 13:00:00+00:00,56.11,56.22,55.57,55.685,116746.0
MO,2018-05-02 14:00:00+00:00,55.69,56.29,55.58,56.27,211037.0
MO,2018-05-02 15:00:00+00:00,56.26,56.38,55.95,56.34,189413.0
MO,2018-05-02 16:00:00+00:00,56.34,56.43,56.26,56.34,75997.0
MO,2018-05-02 17:00:00+00:00,56.35,56.38,56.11,56.21,49638.0
MO,2018-05-02 18:00:00+00:00,56.2,56.33,55.74,55.76,113873.0
MO,2018-05-02 19:00:00+00:00,55.76,55.76,55.42,55.7,194244.0
MO,2018-05-02 21:00:00+00:00,55.57,55.57,55.57,55.57,700.0
MO,2018-05-03 11:00:00+00:00,55.7,55.7,55.7,55.7,134.0
MO,2018-05-03 12:00:00+00:00,55.65,55.65,55.65,55.65,286.0
MO,2018-05-03 13:00:00+00:00,55.69,55.99,55.63,55.82,48900.0
MO,2018-05-03 14:00:00+00:00,55.82,56.04,55.66,56.04,108082.0
MO,2018-05-03 15:00:00+00:00,56.05,56.375,55.99,56.285,92035.0
MO,2018-05-03 16:00:00+00:00,56.29,56.54,56.21,56.54,85718.0
MO,2018-05-03 17:00:00+00:00,56.53,56.79,56.37,56.54,103566.0
MO,2018-05-03 18:00:00+00:00,56.54,56.54,56.16,56.22,96370.0
MO,2018-05-03 19:00:00+00:00,56.24,56.36,56.155,56.36,158269.0
MO,2018-05-03 20:00:00+00:00,56.48,56.52,56.48,56.52,541.0
MO,2018-05-04 13:00:00+00:00,56.15,56.76,56.15,56.6,58342.0
MO,2018-05-04 14:00:00+00:00,56.59,56.62,56.21,56.43,119486.0
MO,2018-05-04 15:00:00+00:00,56.44,56.55,56.36,56.4,95029.0
MO,2018-05-04 16:00:00+00:00,56.405,56.5,56.31,56.445,82378.0
MO,2018-05-04 17:00:00+00:00,56.45,56.66,56.435,56.59,70540.0
MO,2018-05-04 18:00:00+00:00,56.595,56.735,56.535,56.64,89379.0
MO,2018-05-04 19:00:00+00:00,56.65,56.665,56.19,56.27,163562.0
MO,2018-05-07 10:00:00+00:00,56.6,56.6,56.6,56.6,1000.0
MO,2018-05-07 12:00:00+00:00,56.51,56.51,56.51,56.51,60.0
MO,2018-05-07 13:00:00+00:00,56.27,56.38,55.97,56.07,66725.0
MO,2018-05-07 14:00:00+00:00,56.07,56.07,55.77,55.8,107025.0
MO,2018-05-07 15:00:00+00:00,55.79,56.08,55.71,55.95,76246.0
MO,2018-05-07 16:00:00+00:00,55.94,55.96,55.83,55.845,37535.0
MO,2018-05-07 17:00:00+00:00,55.845,55.86,55.77,55.8,32075.0
MO,2018-05-07 18:00:00+00:00,55.8,55.94,55.76,55.77,53570.0
MO,2018-05-07 19:00:00+00:00,55.77,55.78,55.59,55.72,121725.0
MO,2018-05-08 12:00:00+00:00,55.7,55.7,55.55,55.55,83.0
MO,2018-05-08 13:00:00+00:00,55.5,55.5,54.87,55.05,117054.0
MO,2018-05-08 14:00:00+00:00,55.04,55.32,54.88,55.16,116859.0
MO,2018-05-08 15:00:00+00:00,55.15,55.39,54.96,54.98,134123.0
MO,2018-05-08 16:00:00+00:00,54.99,55.12,54.83,54.85,102608.0
MO,2018-05-08 17:00:00+00:00,54.84,54.99,54.73,54.89,69428.0
MO,2018-05-08 18:00:00+00:00,54.9,55.06,54.76,55.0,148999.0
MO,2018-05-08 19:00:00+00:00,55.0,55.31,54.99,55.29,198599.0
MO,2018-05-08 21:00:00+00:00,55.39,55.39,55.39,55.39,40.0
MO,2018-05-09 13:00:00+00:00,55.4,56.08,55.16,55.96,78754.0
MO,2018-05-09 14:00:00+00:00,55.96,56.1,55.56,55.94,121391.0
MO,2018-05-09 15:00:00+00:00,55.95,56.12,55.83,56.02,81327.0
MO,2018-05-09 16:00:00+00:00,56.03,56.42,55.94,56.415,79193.0
MO,2018-05-09 17:00:00+00:00,56.43,56.45,56.16,56.18,73211.0
MO,2018-05-09 18:00:00+00:00,56.17,56.185,55.97,56.05,58466.0
MO,2018-05-09 19:00:00+00:00,56.05,56.06,55.82,55.93,150725.0
MO,2018-05-09 20:00:00+00:00,56.26,56.26,56.26,56.26,35.0
MO,2018-05-10 08:00:00+00:00,55.33,55.33,55.33,55.33,30.0
MO,2018-05-10 13:00:00+00:00,56.09,56.52,56.09,56.49,24829.0
MO,2018-05-10 14:00:00+00:00,56.495,56.51,56.195,56.4,85950.0
MO,2018-05-10 15:00:00+00:00,56.395,56.51,56.32,56.35,64248.0
MO,2018-05-10 16:00:00+00:00,56.35,56.6,56.31,56.385,39765.0
MO,2018-05-10 17:00:00+00:00,56.38,56.4,56.175,56.2,45292.0
MO,2018-05-10 18:00:00+00:00,56.21,56.28,56.12,56.17,55261.0
MO,2018-05-10 19:00:00+00:00,56.19,56.22,55.99,56.04,148686.0
MO,2018-05-11 12:00:00+00:00,56.0,56.0,56.0,56.0,6.0
MO,2018-05-11 13:00:00+00:00,56.07,56.31,55.95,56.04,69284.0
MO,2018-05-11 14:00:00+00:00,56.06,56.13,55.68,55.99,87489.0
MO,2018-05-11 15:00:00+00:00,55.995,56.03,55.565,55.61,70570.0
MO,2018-05-11 16:00:00+00:00,55.62,55.66,55.32,55.32,122564.0
MO,2018-05-11 17:00:00+00:00,55.325,55.39,55.12,55.27,137533.0
MO,2018-05-11 18:00:00+00:00,55.27,55.335,55.07,55.32,136017.0
MO,2018-05-11 19:00:00+00:00,55.31,55.33,55.115,55.18,273800.0
MO,2018-05-11 20:00:00+00:00,55.19,55.19,55.19,55.19,100.0
MO,2018-05-14 13:00:00+00:00,55.25,55.52,54.97,55.47,82524.0
MO,2018-05-14 14:00:00+00:00,55.465,55.64,55.14,55.14,116178.0
MO,2018-05-14 15:00:00+00:00,55.14,55.26,55.12,55.23,101911.0
MO,2018-05-14 16:00:00+00:00,55.225,55.34,55.17,55.175,78169.0
MO,2018-05-14 17:00:00+00:00,55.17,55.27,55.13,55.175,110593.0
MO,2018-05-14 18:00:00+00:00,55.17,55.17,55.03,55.03,103921.0
MO,2018-05-14 19:00:00+00:00,55.035,55.15,54.975,55.02,280943.0
MO,2018-05-14 20:00:00+00:00,55.03,55.03,55.03,55.03,182.0
MO,2018-05-14 21:00:00+00:00,55.1,55.1,55.1,55.1,11.0
MO,2018-05-15 12:00:00+00:00,54.99,54.99,54.97,54.97,18.0
MO,2018-05-15 13:00:00+00:00,54.76,54.8,53.91,54.33,109129.0
MO,2018-05-15 14:00:00+00:00,54.37,54.66,54.33,54.57,108808.0
MO,2018-05-15 15:00:00+00:00,54.58,54.7,54.47,54.5,125800.0
MO,2018-05-15 16:00:00+00:00,54.52,54.67,54.41,54.65,78357.0
MO,2018-05-15 17:00:00+00:00,54.64,54.64,54.41,54.45,69208.0
MO,2018-05-15 18:00:00+00:00,54.45,54.78,54.41,54.72,108777.0
MO,2018-05-15 19:00:00+00:00,54.715,54.75,54.47,54.5,251714.0
MO,2018-05-15 20:00:00+00:00,54.5,54.5,54.5,54.5,30.0
MO,2018-05-16 13:00:00+00:00,54.65,55.28,54.58,55.06,59465.0
MO,2018-05-16 14:00:00+00:00,55.05,55.08,54.63,54.71,73273.0
MO,2018-05-16 15:00:00+00:00,54.7,54.79,54.53,54.56,80683.0
MO,2018-05-16 16:00:00+00:00,54.58,54.87,54.57,54.82,68580.0
MO,2018-05-16 17:00:00+00:00,54.825,54.92,54.78,54.9,56022.0
MO,2018-05-16 18:00:00+00:00,54.9,55.02,54.88,55.01,43108.0
MO,2018-05-16 19:00:00+00:00,55.0,55.0,54.79,54.85,142692.0
MO,2018-05-17 13:00:00+00:00,54.87,55.38,54.87,55.25,59201.0
MO,2018-05-17 14:00:00+00:00,55.26,55.6,55.15,55.53,135183.0
MO,2018-05-17 15:00:00+00:00,55.53,55.57,55.16,55.32,112441.0
MO,2018-05-17 16:00:00+00:00,55.32,55.43,55.2,55.41,93299.0
MO,2018-05-17 17:00:00+00:00,55.405,55.44,55.27,55.3,60677.0
MO,2018-05-17 18:00:00+00:00,55.29,55.31,55.11,55.14,65684.0
MO,2018-05-17 19:00:00+00:00,55.13,55.385,55.105,55.31,270057.0
MO,2018-05-18 13:00:00+00:00,55.34,55.64,55.21,55.3,51311.0
MO,2018-05-18 14:00:00+00:00,55.29,55.39,55.06,55.34,76470.0
MO,2018-05-18 15:00:00+00:00,55.38,55.55,55.25,55.44,75238.0
MO,2018-05-18 16:00:00+00:00,55.42,55.53,55.36,55.5,38797.0
MO,2018-05-18 17:00:00+00:00,55.5,55.73,55.49,55.71,55613.0
MO,2018-05-18 18:00:00+00:00,55.7,55.875,55.58,55.7,64083.0
MO,2018-05-18 19:00:00+00:00,55.71,55.71,55.51,55.54,176175.0
MO,2018-05-18 20:00:00+00:00,55.48,55.48,55.44,55.44,344.0
MO,2018-05-21 13:00:00+00:00,55.64,55.67,55.46,55.54,60354.0
MO,2018-05-21 14:00:00+00:00,55.55,55.86,55.48,55.59,100759.0
MO,2018-05-21 15:00:00+00:00,55.59,55.845,55.57,55.71,55529.0
MO,2018-05-21 16:00:00+00:00,55.71,55.81,55.63,55.65,61756.0
MO,2018-05-21 17:00:00+00:00,55.65,55.67,55.495,55.5,54363.0
MO,2018-05-21 18:00:00+00:00,55.5,55.65,55.5,55.65,62465.0
MO,2018-05-21 19:00:00+00:00,55.65,55.69,55.53,55.62,105256.0
MO,2018-05-21 20:00:00+00:00,55.6,55.6,55.57,55.57,20.0
MO,2018-05-22 13:00:00+00:00,55.57,55.68,55.22,55.65,51676.0
MO,2018-05-22 14:00:00+00:00,55.67,55.79,55.37,55.38,91124.0
MO,2018-05-22 15:00:00+00:00,55.38,55.6,55.38,55.43,92883.0
