symbol,ts,open,high,low,close,volume
MOS,2018-05-01 13:00:00+00:00,26.71,26.86,26.65,26.76,36415.0
MOS,2018-05-01 14:00:00+00:00,26.74,26.81,26.51,26.55,79341.0
MOS,2018-05-01 15:00:00+00:00,26.55,26.7,26.42,26.59,74900.0
MOS,2018-05-01 16:00:00+00:00,26.58,26.74,26.57,26.74,42797.0
MOS,2018-05-01 17:00:00+00:00,26.73,26.84,26.66,26.82,32270.0
MOS,2018-05-01 18:00:00+00:00,26.83,26.96,26.77,26.93,62164.0
MOS,2018-05-01 19:00:00+00:00,26.92,26.93,26.76,26.86,197205.0
MOS,2018-05-02 13:00:00+00:00,26.93,27.48,26.93,27.44,30881.0
MOS,2018-05-02 14:00:00+00:00,27.4,27.54,27.27,27.32,68505.0
MOS,2018-05-02 15:00:00+00:00,27.32,27.41,27.11,27.12,38119.0
MOS,2018-05-02 16:00:00+00:00,27.11,27.155,27.03,27.13,44563.0
MOS,2018-05-02 17:00:00+00:00,27.14,27.29,27.12,27.24,40961.0
MOS,2018-05-02 18:00:00+00:00,27.23,27.45,27.23,27.32,43859.0
MOS,2018-05-02 19:00:00+00:00,27.31,27.35,27.085,27.14,157715.0
MOS,2018-05-03 13:00:00+00:00,27.01,27.2,26.9,27.16,43072.0
MOS,2018-05-03 14:00:00+00:00,27.16,27.16,26.64,26.67,142118.0
MOS,2018-05-03 15:00:00+00:00,26.67,27.11,26.66,27.09,87224.0
MOS,2018-05-03 16:00:00+00:00,27.1,27.17,26.86,27.16,78342.0
MOS,2018-05-03 17:00:00+00:00,27.16,27.17,27.05,27.11,43563.0
MOS,2018-05-03 18:00:00+00:00,27.11,27.14,27.01,27.02,45148.0
MOS,2018-05-03 19:00:00+00:00,27.03,27.06,26.92,27.0,131331.0
MOS,2018-05-04 13:00:00+00:00,26.81,27.07,26.81,27.0,26722.0
MOS,2018-05-04 14:00:00+00:00,27.01,27.18,26.91,27.17,36886.0
MOS,2018-05-04 15:00:00+00:00,27.17,27.57,27.17,27.56,43507.0
MOS,2018-05-04 16:00:00+00:00,27.55,27.55,27.4,27.48,31747.0
MOS,2018-05-04 17:00:00+00:00,27.49,27.52,27.38,27.51,32453.0
MOS,2018-05-04 18:00:00+00:00,27.5,27.64,27.48,27.48,34825.0
MOS,2018-05-04 19:00:00+00:00,27.48,27.505,27.375,27.43,76951.0
MOS,2018-05-07 13:00:00+00:00,27.43,27.74,27.28,27.66,21812.0
MOS,2018-05-07 14:00:00+00:00,27.67,27.89,27.62,27.79,74227.0
MOS,2018-05-07 15:00:00+00:00,27.79,27.84,27.6,27.66,68447.0
MOS,2018-05-07 16:00:00+00:00,27.7,27.71,27.6,27.67,46785.0
MOS,2018-05-07 17:00:00+00:00,27.67,27.68,27.47,27.49,45956.0
MOS,2018-05-07 18:00:00+00:00,27.5,27.52,27.37,27.38,62572.0
MOS,2018-05-07 19:00:00+00:00,27.39,27.65,27.285,27.57,176855.0
MOS,2018-05-07 20:00:00+00:00,27.49,27.49,27.0,27.24,1340.0
MOS,2018-05-07 21:00:00+00:00,27.19,27.19,27.15,27.15,800.0
MOS,2018-05-07 22:00:00+00:00,27.15,27.15,27.15,27.15,3965.0
MOS,2018-05-08 13:00:00+00:00,26.65,27.3,26.29,26.55,120325.0
MOS,2018-05-08 14:00:00+00:00,26.55,26.85,26.3,26.63,159222.0
MOS,2018-05-08 15:00:00+00:00,26.62,26.67,26.05,26.45,123641.0
MOS,2018-05-08 16:00:00+00:00,26.45,26.47,26.245,26.33,77465.0
MOS,2018-05-08 17:00:00+00:00,26.32,26.6,26.17,26.2,74241.0
MOS,2018-05-08 18:00:00+00:00,26.21,26.29,25.88,25.945,111040.0
MOS,2018-05-08 19:00:00+00:00,25.95,26.24,25.91,26.08,231574.0
MOS,2018-05-09 13:00:00+00:00,26.12,26.31,25.87,26.0,107456.0
MOS,2018-05-09 14:00:00+00:00,26.0,26.07,25.75,25.75,215513.0
MOS,2018-05-09 15:00:00+00:00,25.755,25.755,25.61,25.73,160357.0
MOS,2018-05-09 16:00:00+00:00,25.73,25.74,25.58,25.59,70547.0
MOS,2018-05-09 17:00:00+00:00,25.595,25.79,25.51,25.79,89148.0
MOS,2018-05-09 18:00:00+00:00,25.79,25.89,25.735,25.83,96089.0
MOS,2018-05-09 19:00:00+00:00,25.83,25.83,25.6,25.81,262730.0
MOS,2018-05-10 13:00:00+00:00,25.91,26.19,25.74,26.19,60704.0
MOS,2018-05-10 14:00:00+00:00,26.18,26.21,25.86,26.11,78805.0
