symbol,ts,open,high,low,close,volume
MPWR,2018-05-01 13:00:00+00:00,119.7,119.7,116.37,116.86,27652.0
MPWR,2018-05-01 14:00:00+00:00,116.75,118.28,115.03,117.78,36705.0
MPWR,2018-05-01 15:00:00+00:00,117.71,118.21,116.87,117.7,14512.0
MPWR,2018-05-01 16:00:00+00:00,117.81,119.43,117.75,118.34,10592.0
MPWR,2018-05-01 17:00:00+00:00,118.17,118.59,117.44,118.59,9716.0
MPWR,2018-05-01 18:00:00+00:00,118.51,118.51,118.02,118.33,14142.0
MPWR,2018-05-01 19:00:00+00:00,118.41,119.38,117.97,119.02,43517.0
MPWR,2018-05-01 20:00:00+00:00,119.12,119.12,119.03,119.03,25305.0
MPWR,2018-05-02 12:00:00+00:00,119.24,119.24,119.24,119.24,85.0
MPWR,2018-05-02 13:00:00+00:00,119.45,119.72,118.49,118.65,9624.0
MPWR,2018-05-02 14:00:00+00:00,118.665,119.52,118.53,118.67,9907.0
MPWR,2018-05-02 15:00:00+00:00,118.64,118.91,118.32,118.8,11527.0
MPWR,2018-05-02 16:00:00+00:00,118.9,119.42,118.68,119.31,4758.0
MPWR,2018-05-02 17:00:00+00:00,119.34,119.48,119.0,119.1,6118.0
MPWR,2018-05-02 18:00:00+00:00,119.13,119.59,118.68,118.95,12062.0
MPWR,2018-05-02 19:00:00+00:00,118.89,119.12,118.14,118.35,33158.0
MPWR,2018-05-02 20:00:00+00:00,118.36,118.36,118.25,118.25,26767.0
MPWR,2018-05-03 13:00:00+00:00,117.66,117.95,116.63,117.3,12125.0
MPWR,2018-05-03 14:00:00+00:00,117.13,117.33,116.45,117.15,27808.0
MPWR,2018-05-03 15:00:00+00:00,117.15,118.35,116.81,118.35,16380.0
MPWR,2018-05-03 16:00:00+00:00,118.27,119.53,117.84,119.53,13435.0
MPWR,2018-05-03 17:00:00+00:00,119.43,119.74,118.87,119.53,9732.0
MPWR,2018-05-03 18:00:00+00:00,119.38,120.23,119.27,119.95,14771.0
MPWR,2018-05-03 19:00:00+00:00,120.04,120.52,119.76,120.31,38393.0
MPWR,2018-05-03 20:00:00+00:00,120.27,120.27,120.27,120.27,29695.0
MPWR,2018-05-04 13:00:00+00:00,119.5,120.72,118.87,120.68,6496.0
MPWR,2018-05-04 14:00:00+00:00,120.59,122.08,120.23,121.74,16998.0
MPWR,2018-05-04 15:00:00+00:00,121.85,123.5,121.85,123.5,11564.0
MPWR,2018-05-04 16:00:00+00:00,123.41,123.82,123.1,123.39,10355.0
MPWR,2018-05-04 17:00:00+00:00,123.49,123.91,123.09,123.91,9661.0
MPWR,2018-05-04 18:00:00+00:00,123.84,124.24,123.84,123.99,11326.0
MPWR,2018-05-04 19:00:00+00:00,124.01,124.28,123.63,123.84,19753.0
MPWR,2018-05-04 20:00:00+00:00,123.87,123.87,123.87,123.87,17670.0
MPWR,2018-05-07 13:00:00+00:00,124.19,124.8,123.87,124.51,5117.0
MPWR,2018-05-07 14:00:00+00:00,124.62,125.0,124.01,124.69,11104.0
MPWR,2018-05-07 15:00:00+00:00,124.7,125.32,124.42,125.32,9332.0
MPWR,2018-05-07 16:00:00+00:00,125.4,125.58,124.88,124.89,6741.0
MPWR,2018-05-07 17:00:00+00:00,124.99,125.35,124.8,125.13,7042.0
MPWR,2018-05-07 18:00:00+00:00,125.1,125.33,124.72,124.97,11686.0
MPWR,2018-05-07 19:00:00+00:00,125.02,125.14,123.8,123.84,34592.0
MPWR,2018-05-07 20:00:00+00:00,123.84,123.84,123.84,123.84,25924.0
MPWR,2018-05-07 22:00:00+00:00,123.9,123.9,123.9,123.9,100.0
MPWR,2018-05-08 13:00:00+00:00,124.18,125.4,123.48,124.6,8370.0
MPWR,2018-05-08 14:00:00+00:00,124.6,125.08,124.31,124.55,6796.0
MPWR,2018-05-08 15:00:00+00:00,124.26,124.77,123.74,124.36,9897.0
MPWR,2018-05-08 16:00:00+00:00,124.27,124.41,123.52,123.64,7566.0
MPWR,2018-05-08 17:00:00+00:00,123.67,124.14,123.24,123.24,8551.0
MPWR,2018-05-08 18:00:00+00:00,123.29,124.17,123.29,123.71,12876.0
MPWR,2018-05-08 19:00:00+00:00,123.68,124.14,123.535,124.14,20411.0
MPWR,2018-05-08 20:00:00+00:00,124.11,124.11,124.11,124.11,104814.0
MPWR,2018-05-09 13:00:00+00:00,124.34,124.52,123.96,124.12,6603.0
MPWR,2018-05-09 14:00:00+00:00,123.99,124.59,123.8,123.91,8153.0
MPWR,2018-05-09 15:00:00+00:00,123.85,125.2,123.76,125.2,9042.0
MPWR,2018-05-09 16:00:00+00:00,125.19,125.89,125.18,125.89,7430.0
MPWR,2018-05-09 17:00:00+00:00,125.87,126.36,125.78,126.165,6640.0
MPWR,2018-05-09 18:00:00+00:00,126.17,126.5,126.04,126.38,9060.0
MPWR,2018-05-09 19:00:00+00:00,126.37,126.38,125.75,126.14,25889.0
MPWR,2018-05-09 20:00:00+00:00,126.17,126.17,126.17,126.17,51757.0
MPWR,2018-05-10 13:00:00+00:00,126.44,127.15,126.24,126.4,8119.0
