symbol,ts,open,high,low,close,volume
MS,2018-05-01 12:00:00+00:00,51.65,51.65,51.65,51.65,45.0
MS,2018-05-01 13:00:00+00:00,51.65,51.65,51.21,51.37,132043.0
MS,2018-05-01 14:00:00+00:00,51.36,51.51,51.12,51.33,236286.0
MS,2018-05-01 15:00:00+00:00,51.32,51.48,51.15,51.15,219379.0
MS,2018-05-01 16:00:00+00:00,51.15,51.25,51.03,51.22,150513.0
MS,2018-05-01 17:00:00+00:00,51.21,51.47,51.06,51.47,177294.0
MS,2018-05-01 18:00:00+00:00,51.47,51.78,51.45,51.69,200951.0
MS,2018-05-01 19:00:00+00:00,51.69,51.865,51.415,51.8,279305.0
MS,2018-05-01 20:00:00+00:00,51.77,51.77,51.77,51.77,100.0
MS,2018-05-01 23:00:00+00:00,51.98,51.98,51.98,51.98,50.0
MS,2018-05-02 13:00:00+00:00,51.81,51.9,51.61,51.68,100172.0
MS,2018-05-02 14:00:00+00:00,51.68,51.87,51.5,51.79,125821.0
MS,2018-05-02 15:00:00+00:00,51.76,52.15,51.76,52.15,115619.0
MS,2018-05-02 16:00:00+00:00,52.14,52.35,52.1,52.32,104194.0
MS,2018-05-02 17:00:00+00:00,52.33,52.54,52.24,52.33,104111.0
MS,2018-05-02 18:00:00+00:00,52.3,52.44,51.9,51.93,183272.0
MS,2018-05-02 19:00:00+00:00,51.94,52.035,51.585,51.7,361488.0
MS,2018-05-02 20:00:00+00:00,51.7,51.7,51.42,51.62,4515.0
MS,2018-05-02 21:00:00+00:00,51.59,51.59,51.59,51.59,831.0
MS,2018-05-03 08:00:00+00:00,52.05,52.05,52.05,52.05,1056.0
MS,2018-05-03 13:00:00+00:00,51.39,51.5,51.06,51.29,107114.0
MS,2018-05-03 14:00:00+00:00,51.3,51.3,50.23,50.36,262538.0
MS,2018-05-03 15:00:00+00:00,50.365,50.7,49.89,50.31,419781.0
MS,2018-05-03 16:00:00+00:00,50.32,50.97,50.25,50.94,195164.0
MS,2018-05-03 17:00:00+00:00,50.96,51.25,50.64,51.14,176614.0
MS,2018-05-03 18:00:00+00:00,51.14,51.305,50.94,51.0,239755.0
MS,2018-05-03 19:00:00+00:00,51.01,51.39,50.92,51.08,264886.0
MS,2018-05-03 20:00:00+00:00,51.09,51.09,51.07,51.07,100.0
MS,2018-05-03 21:00:00+00:00,51.1,51.1,51.1,51.1,70.0
MS,2018-05-04 08:00:00+00:00,51.82,51.82,51.82,51.82,2.0
MS,2018-05-04 13:00:00+00:00,50.91,51.08,50.53,51.07,182931.0
MS,2018-05-04 14:00:00+00:00,51.05,51.64,51.01,51.54,246456.0
MS,2018-05-04 15:00:00+00:00,51.56,51.745,51.5,51.655,195125.0
MS,2018-05-04 16:00:00+00:00,51.66,51.77,51.57,51.63,211713.0
MS,2018-05-04 17:00:00+00:00,51.64,51.745,51.64,51.7,219226.0
MS,2018-05-04 18:00:00+00:00,51.7,51.76,51.51,51.51,287530.0
MS,2018-05-04 19:00:00+00:00,51.505,51.56,51.31,51.39,355234.0
MS,2018-05-04 20:00:00+00:00,51.39,51.39,51.39,51.39,100.0
MS,2018-05-07 13:00:00+00:00,51.53,51.97,51.53,51.95,83202.0
MS,2018-05-07 14:00:00+00:00,51.97,52.17,51.85,52.17,139147.0
MS,2018-05-07 15:00:00+00:00,52.16,52.32,51.99,52.3,142559.0
MS,2018-05-07 16:00:00+00:00,52.31,52.35,52.19,52.26,88731.0
MS,2018-05-07 17:00:00+00:00,52.25,52.55,52.25,52.51,73198.0
MS,2018-05-07 18:00:00+00:00,52.52,52.62,52.29,52.32,105041.0
MS,2018-05-07 19:00:00+00:00,52.31,52.48,52.23,52.41,275175.0
MS,2018-05-07 20:00:00+00:00,52.4,52.4,52.4,52.4,100.0
MS,2018-05-08 13:00:00+00:00,52.54,52.99,52.4,52.99,127141.0
MS,2018-05-08 14:00:00+00:00,53.0,53.51,52.99,53.4,243983.0
MS,2018-05-08 15:00:00+00:00,53.4,53.755,53.16,53.16,213351.0
MS,2018-05-08 16:00:00+00:00,53.15,53.28,52.99,53.11,127943.0
MS,2018-05-08 17:00:00+00:00,53.09,53.32,53.075,53.21,111555.0
MS,2018-05-08 18:00:00+00:00,53.22,53.4,52.91,53.1,202500.0
MS,2018-05-08 19:00:00+00:00,53.1,53.47,52.99,53.39,288817.0
