symbol,ts,open,high,low,close,volume
MTB,2018-05-01 13:00:00+00:00,180.98,181.34,180.51,180.75,27832.0
MTB,2018-05-01 14:00:00+00:00,180.69,181.33,180.33,180.73,58859.0
MTB,2018-05-01 15:00:00+00:00,180.64,181.62,180.53,180.9,32584.0
MTB,2018-05-01 16:00:00+00:00,181.02,181.88,180.86,181.77,34089.0
MTB,2018-05-01 17:00:00+00:00,181.79,182.92,181.12,182.92,28845.0
MTB,2018-05-01 18:00:00+00:00,182.87,183.71,182.5,183.43,42751.0
MTB,2018-05-01 19:00:00+00:00,183.49,183.67,181.97,182.7,64278.0
MTB,2018-05-02 13:00:00+00:00,181.76,182.65,181.11,182.29,40564.0
MTB,2018-05-02 14:00:00+00:00,182.3,183.31,181.89,182.28,67902.0
MTB,2018-05-02 15:00:00+00:00,182.33,183.24,182.28,183.03,57502.0
MTB,2018-05-02 16:00:00+00:00,183.01,183.33,182.61,182.66,50247.0
MTB,2018-05-02 17:00:00+00:00,182.65,183.11,182.5,182.65,44033.0
MTB,2018-05-02 18:00:00+00:00,182.73,183.0,181.76,181.8,81733.0
MTB,2018-05-02 19:00:00+00:00,181.92,181.93,179.4,179.54,119712.0
MTB,2018-05-03 13:00:00+00:00,178.6,179.29,178.0,179.29,19904.0
MTB,2018-05-03 14:00:00+00:00,179.46,179.49,176.19,176.32,69159.0
MTB,2018-05-03 15:00:00+00:00,176.38,177.51,176.09,177.46,53442.0
MTB,2018-05-03 16:00:00+00:00,177.46,179.52,177.39,179.33,51472.0
MTB,2018-05-03 17:00:00+00:00,179.34,180.46,178.59,180.12,59012.0
MTB,2018-05-03 18:00:00+00:00,180.01,181.24,179.76,179.92,68041.0
MTB,2018-05-03 19:00:00+00:00,179.94,180.11,179.22,179.52,54529.0
MTB,2018-05-04 13:00:00+00:00,177.32,178.26,177.15,178.26,5155.0
MTB,2018-05-04 14:00:00+00:00,178.26,179.46,177.86,178.89,67146.0
MTB,2018-05-04 15:00:00+00:00,178.98,179.84,178.92,179.45,49563.0
MTB,2018-05-04 16:00:00+00:00,179.58,180.55,179.39,180.55,33726.0
MTB,2018-05-04 17:00:00+00:00,180.56,181.32,180.43,181.29,31734.0
MTB,2018-05-04 18:00:00+00:00,181.32,181.93,180.65,180.65,46239.0
MTB,2018-05-04 19:00:00+00:00,180.73,181.21,179.97,180.4,67784.0
MTB,2018-05-07 13:00:00+00:00,180.88,180.88,178.77,179.32,36371.0
MTB,2018-05-07 14:00:00+00:00,179.5,180.105,178.62,180.035,26887.0
MTB,2018-05-07 15:00:00+00:00,180.035,180.23,179.38,179.87,14387.0
MTB,2018-05-07 16:00:00+00:00,180.04,180.6,180.02,180.48,47017.0
MTB,2018-05-07 17:00:00+00:00,180.45,181.49,180.11,181.14,54898.0
MTB,2018-05-07 18:00:00+00:00,181.1,181.945,181.015,181.06,61637.0
MTB,2018-05-07 19:00:00+00:00,181.015,181.57,180.54,180.89,69653.0
MTB,2018-05-08 13:00:00+00:00,180.61,181.76,180.6,181.63,26097.0
MTB,2018-05-08 14:00:00+00:00,181.59,182.57,181.53,182.28,38745.0
MTB,2018-05-08 15:00:00+00:00,182.26,183.02,181.2,181.2,41246.0
MTB,2018-05-08 16:00:00+00:00,181.35,181.81,180.62,181.06,27693.0
MTB,2018-05-08 17:00:00+00:00,181.06,181.65,180.96,181.15,26853.0
MTB,2018-05-08 18:00:00+00:00,181.15,181.34,180.13,180.62,35031.0
MTB,2018-05-08 19:00:00+00:00,180.62,181.19,180.33,181.03,35474.0
MTB,2018-05-09 13:00:00+00:00,181.78,182.32,181.13,181.58,3476.0
MTB,2018-05-09 14:00:00+00:00,181.38,182.36,181.12,181.12,10203.0
MTB,2018-05-09 15:00:00+00:00,181.26,182.21,181.05,181.93,17988.0
MTB,2018-05-09 16:00:00+00:00,182.01,183.95,181.94,183.67,42188.0
MTB,2018-05-09 17:00:00+00:00,183.74,185.07,183.74,184.75,46043.0
MTB,2018-05-09 18:00:00+00:00,184.79,185.08,184.52,184.54,55420.0
MTB,2018-05-09 19:00:00+00:00,184.5,184.68,183.84,184.11,32340.0
MTB,2018-05-10 13:00:00+00:00,184.47,184.93,183.27,183.27,24239.0
MTB,2018-05-10 14:00:00+00:00,183.4,184.41,183.05,184.41,26151.0
MTB,2018-05-10 15:00:00+00:00,184.41,185.51,184.24,185.44,27054.0
MTB,2018-05-10 16:00:00+00:00,185.54,186.15,185.39,186.06,25071.0
MTB,2018-05-10 17:00:00+00:00,186.16,186.27,185.47,185.57,24831.0
MTB,2018-05-10 18:00:00+00:00,185.65,186.39,185.48,186.16,31878.0
MTB,2018-05-10 19:00:00+00:00,186.17,186.25,185.54,185.73,36353.0
MTB,2018-05-11 13:00:00+00:00,186.01,187.08,185.48,186.65,4206.0
MTB,2018-05-11 14:00:00+00:00,186.65,186.92,185.87,186.36,16522.0
MTB,2018-05-11 15:00:00+00:00,186.41,186.45,185.14,185.34,11117.0
MTB,2018-05-11 16:00:00+00:00,185.375,185.92,185.26,185.78,10065.0
MTB,2018-05-11 17:00:00+00:00,185.78,186.07,185.38,185.635,11742.0
MTB,2018-05-11 18:00:00+00:00,185.72,185.87,185.25,185.49,13958.0
MTB,2018-05-11 19:00:00+00:00,185.41,185.76,185.21,185.6,24955.0
MTB,2018-05-14 13:00:00+00:00,184.98,186.16,184.8,185.83,3969.0
MTB,2018-05-14 14:00:00+00:00,185.7,185.7,184.75,184.75,4698.0
MTB,2018-05-14 15:00:00+00:00,184.76,185.18,184.47,184.56,5346.0
