symbol,ts,open,high,low,close,volume
NCLH,2018-05-01 13:00:00+00:00,53.24,53.64,53.02,53.51,8677.0
NCLH,2018-05-01 14:00:00+00:00,53.5,53.62,52.95,52.97,41411.0
NCLH,2018-05-01 15:00:00+00:00,52.95,53.22,52.8,52.91,51602.0
NCLH,2018-05-01 16:00:00+00:00,52.94,53.29,52.94,53.18,49890.0
NCLH,2018-05-01 17:00:00+00:00,53.17,53.49,52.93,53.49,53149.0
NCLH,2018-05-01 18:00:00+00:00,53.51,53.85,53.33,53.54,55960.0
NCLH,2018-05-01 19:00:00+00:00,53.55,53.89,53.49,53.86,108432.0
NCLH,2018-05-01 20:00:00+00:00,53.86,53.86,53.86,53.86,100.0
NCLH,2018-05-02 13:00:00+00:00,54.69,55.78,53.36,53.47,60557.0
NCLH,2018-05-02 14:00:00+00:00,53.47,53.74,52.66,53.64,80888.0
NCLH,2018-05-02 15:00:00+00:00,53.62,53.93,53.43,53.59,60586.0
NCLH,2018-05-02 16:00:00+00:00,53.61,53.63,53.13,53.27,45151.0
NCLH,2018-05-02 17:00:00+00:00,53.255,53.54,53.14,53.22,49702.0
NCLH,2018-05-02 18:00:00+00:00,53.2,53.41,52.62,52.68,77424.0
NCLH,2018-05-02 19:00:00+00:00,52.69,52.72,51.72,52.02,177210.0
NCLH,2018-05-02 20:00:00+00:00,52.04,52.04,52.04,52.04,93.0
NCLH,2018-05-03 13:00:00+00:00,52.3,52.3,51.3,52.0,12028.0
NCLH,2018-05-03 14:00:00+00:00,51.94,51.97,50.85,50.85,51091.0
NCLH,2018-05-03 15:00:00+00:00,50.865,51.21,50.74,50.8,65354.0
NCLH,2018-05-03 16:00:00+00:00,50.84,51.29,50.69,51.23,47477.0
NCLH,2018-05-03 17:00:00+00:00,51.26,51.27,51.0,51.12,42520.0
NCLH,2018-05-03 18:00:00+00:00,51.12,51.29,51.01,51.02,46020.0
NCLH,2018-05-03 19:00:00+00:00,51.03,51.16,50.93,51.1,95689.0
NCLH,2018-05-03 20:00:00+00:00,51.08,51.08,51.08,51.08,100.0
