symbol,ts,open,high,low,close,volume
NDAQ,2018-05-01 13:00:00+00:00,88.01,88.86,88.01,88.84,45520.0
NDAQ,2018-05-01 14:00:00+00:00,88.79,89.05,88.7,88.73,52473.0
NDAQ,2018-05-01 15:00:00+00:00,88.72,88.72,88.38,88.38,41748.0
NDAQ,2018-05-01 16:00:00+00:00,88.38,88.41,88.15,88.15,29179.0
NDAQ,2018-05-01 17:00:00+00:00,88.16,88.46,87.96,88.44,31153.0
NDAQ,2018-05-01 18:00:00+00:00,88.44,88.82,88.37,88.66,35032.0
NDAQ,2018-05-01 19:00:00+00:00,88.66,89.05,88.59,89.0,105339.0
NDAQ,2018-05-01 20:00:00+00:00,89.01,89.01,89.01,89.01,46116.0
NDAQ,2018-05-02 13:00:00+00:00,88.51,89.0,88.03,88.61,47113.0
NDAQ,2018-05-02 14:00:00+00:00,88.64,88.92,88.2,88.5,52019.0
NDAQ,2018-05-02 15:00:00+00:00,88.51,88.78,88.47,88.75,37623.0
NDAQ,2018-05-02 16:00:00+00:00,88.75,89.09,88.7,88.98,30625.0
NDAQ,2018-05-02 17:00:00+00:00,89.03,89.32,89.01,89.07,28148.0
NDAQ,2018-05-02 18:00:00+00:00,89.08,89.27,88.85,88.96,47095.0
NDAQ,2018-05-02 19:00:00+00:00,88.97,88.98,87.51,87.92,241558.0
NDAQ,2018-05-02 20:00:00+00:00,87.91,87.91,87.91,87.91,141602.0
NDAQ,2018-05-03 13:00:00+00:00,87.65,88.17,86.91,87.42,43526.0
NDAQ,2018-05-03 14:00:00+00:00,87.47,87.49,84.96,84.98,121486.0
NDAQ,2018-05-03 15:00:00+00:00,85.08,85.9,85.07,85.24,78930.0
NDAQ,2018-05-03 16:00:00+00:00,85.23,85.96,85.1,85.9,85018.0
NDAQ,2018-05-03 17:00:00+00:00,85.9,86.43,85.51,86.25,85779.0
NDAQ,2018-05-03 18:00:00+00:00,86.25,86.54,85.98,86.06,75121.0
NDAQ,2018-05-03 19:00:00+00:00,86.1,86.44,85.86,86.0,202431.0
NDAQ,2018-05-03 20:00:00+00:00,86.01,86.02,85.99,86.01,49408.0
NDAQ,2018-05-04 13:00:00+00:00,85.82,86.2,85.58,85.9,48942.0
NDAQ,2018-05-04 14:00:00+00:00,85.86,86.87,85.79,86.775,72217.0
NDAQ,2018-05-04 15:00:00+00:00,86.8,87.44,86.78,87.36,58639.0
NDAQ,2018-05-04 16:00:00+00:00,87.37,87.47,87.13,87.39,40529.0
NDAQ,2018-05-04 17:00:00+00:00,87.41,87.71,87.32,87.71,31805.0
NDAQ,2018-05-04 18:00:00+00:00,87.7,88.13,87.69,87.94,50017.0
NDAQ,2018-05-04 19:00:00+00:00,87.95,88.11,87.53,87.7,129290.0
NDAQ,2018-05-04 20:00:00+00:00,87.7,87.7,87.7,87.7,62251.0
NDAQ,2018-05-07 13:00:00+00:00,88.86,88.86,87.63,88.28,56701.0
NDAQ,2018-05-07 14:00:00+00:00,88.3,88.48,87.98,88.38,52128.0
NDAQ,2018-05-07 15:00:00+00:00,88.4,88.63,87.98,88.6,43409.0
NDAQ,2018-05-07 16:00:00+00:00,88.6,88.73,88.49,88.52,33486.0
NDAQ,2018-05-07 17:00:00+00:00,88.52,88.81,88.5,88.63,33079.0
