symbol,ts,open,high,low,close,volume
NDSN,2018-05-01 13:00:00+00:00,128.48,128.48,126.93,127.73,8484.0
NDSN,2018-05-01 14:00:00+00:00,127.535,127.535,126.45,126.55,9648.0
NDSN,2018-05-01 15:00:00+00:00,126.44,127.06,126.25,126.7,13515.0
NDSN,2018-05-01 16:00:00+00:00,126.72,127.0,126.66,127.0,5496.0
NDSN,2018-05-01 17:00:00+00:00,126.9,127.82,126.63,127.82,5733.0
NDSN,2018-05-01 18:00:00+00:00,127.86,127.9,127.26,127.5,9158.0
NDSN,2018-05-01 19:00:00+00:00,127.47,127.82,127.41,127.42,38452.0
NDSN,2018-05-01 20:00:00+00:00,127.47,127.49,127.47,127.49,16331.0
NDSN,2018-05-02 13:00:00+00:00,127.85,128.3,127.49,127.89,18180.0
NDSN,2018-05-02 14:00:00+00:00,128.09,128.49,127.67,128.42,9366.0
NDSN,2018-05-02 15:00:00+00:00,128.33,128.43,127.75,127.99,6992.0
NDSN,2018-05-02 16:00:00+00:00,127.99,128.55,127.91,128.49,6755.0
NDSN,2018-05-02 17:00:00+00:00,128.41,128.5,128.05,128.32,7439.0
NDSN,2018-05-02 18:00:00+00:00,128.28,128.72,128.25,128.45,8036.0
NDSN,2018-05-02 19:00:00+00:00,128.45,128.61,127.12,127.25,25042.0
NDSN,2018-05-02 20:00:00+00:00,127.28,127.28,127.25,127.25,16114.0
NDSN,2018-05-03 13:00:00+00:00,126.96,127.94,126.92,127.25,2241.0
NDSN,2018-05-03 14:00:00+00:00,127.23,127.23,125.26,125.37,7192.0
NDSN,2018-05-03 15:00:00+00:00,125.36,126.55,125.29,126.52,7184.0
NDSN,2018-05-03 16:00:00+00:00,126.77,127.89,126.6,127.89,6123.0
NDSN,2018-05-03 17:00:00+00:00,127.96,128.32,127.48,128.08,7012.0
NDSN,2018-05-03 18:00:00+00:00,127.82,128.27,127.525,127.68,6012.0
NDSN,2018-05-03 19:00:00+00:00,127.72,128.21,127.44,127.6,25474.0
NDSN,2018-05-03 20:00:00+00:00,127.61,127.61,127.61,127.61,4503.0
NDSN,2018-05-04 13:00:00+00:00,126.95,127.56,126.74,127.56,1253.0
NDSN,2018-05-04 14:00:00+00:00,127.58,128.74,127.39,128.49,3822.0
NDSN,2018-05-04 15:00:00+00:00,128.43,128.94,128.4,128.78,4791.0
NDSN,2018-05-04 16:00:00+00:00,128.82,129.07,128.73,129.02,3598.0
NDSN,2018-05-04 17:00:00+00:00,129.19,129.85,129.09,129.85,3006.0
NDSN,2018-05-04 18:00:00+00:00,129.77,130.32,129.77,129.84,3441.0
NDSN,2018-05-04 19:00:00+00:00,129.74,129.99,129.33,129.8,11443.0
NDSN,2018-05-04 20:00:00+00:00,129.77,129.77,129.77,129.77,38679.0
NDSN,2018-05-07 13:00:00+00:00,129.91,130.42,128.55,130.37,1716.0
NDSN,2018-05-07 14:00:00+00:00,130.22,131.39,130.22,131.32,5576.0
NDSN,2018-05-07 15:00:00+00:00,131.32,131.77,131.24,131.77,4571.0
NDSN,2018-05-07 16:00:00+00:00,131.76,131.76,131.21,131.26,2447.0
NDSN,2018-05-07 17:00:00+00:00,131.32,131.65,131.15,131.58,2590.0
NDSN,2018-05-07 18:00:00+00:00,131.48,131.53,130.95,131.08,2828.0
NDSN,2018-05-07 19:00:00+00:00,131.12,131.255,130.67,131.07,20452.0
NDSN,2018-05-07 20:00:00+00:00,131.06,131.06,131.06,131.06,18951.0
NDSN,2018-05-08 13:00:00+00:00,131.26,131.97,130.95,131.84,2571.0
NDSN,2018-05-08 14:00:00+00:00,131.84,132.03,130.945,131.6,3726.0
NDSN,2018-05-08 15:00:00+00:00,131.48,131.83,131.09,131.3,3804.0
NDSN,2018-05-08 16:00:00+00:00,131.26,131.26,130.91,131.06,1330.0
NDSN,2018-05-08 17:00:00+00:00,131.16,131.54,131.1,131.13,2792.0
NDSN,2018-05-08 18:00:00+00:00,131.08,131.93,130.97,131.52,7185.0
NDSN,2018-05-08 19:00:00+00:00,131.45,131.825,131.18,131.81,14438.0
NDSN,2018-05-08 20:00:00+00:00,131.72,131.72,131.72,131.72,24786.0
NDSN,2018-05-09 13:00:00+00:00,132.19,132.19,131.0,131.24,1801.0
NDSN,2018-05-09 14:00:00+00:00,131.38,132.13,131.24,131.24,4161.0
NDSN,2018-05-09 15:00:00+00:00,131.32,131.74,131.14,131.37,4658.0
NDSN,2018-05-09 16:00:00+00:00,131.54,131.85,131.2,131.72,3725.0
NDSN,2018-05-09 17:00:00+00:00,131.86,132.06,131.75,132.06,5583.0
NDSN,2018-05-09 18:00:00+00:00,131.99,132.39,131.93,132.15,4385.0
NDSN,2018-05-09 19:00:00+00:00,132.23,132.61,132.015,132.45,14125.0
NDSN,2018-05-09 20:00:00+00:00,132.54,132.54,132.54,132.54,12618.0
NDSN,2018-05-10 13:00:00+00:00,132.68,133.29,132.05,133.13,2056.0
NDSN,2018-05-10 14:00:00+00:00,132.89,133.51,132.885,132.94,3147.0
NDSN,2018-05-10 15:00:00+00:00,132.94,133.06,132.24,132.42,3210.0
NDSN,2018-05-10 16:00:00+00:00,132.44,132.85,132.24,132.75,15880.0
NDSN,2018-05-10 17:00:00+00:00,132.9,132.91,132.44,132.44,5504.0
NDSN,2018-05-10 18:00:00+00:00,132.43,132.6,131.68,131.98,4820.0
NDSN,2018-05-10 19:00:00+00:00,132.125,132.67,132.06,132.42,16438.0
NDSN,2018-05-10 20:00:00+00:00,132.36,132.36,132.36,132.36,20453.0
NDSN,2018-05-11 13:00:00+00:00,132.86,133.25,131.62,133.25,1611.0
NDSN,2018-05-11 14:00:00+00:00,133.64,133.7,132.73,133.05,5674.0
NDSN,2018-05-11 15:00:00+00:00,133.11,133.11,132.15,132.21,3849.0
NDSN,2018-05-11 16:00:00+00:00,132.43,132.5,131.25,131.26,6708.0
NDSN,2018-05-11 17:00:00+00:00,131.51,131.71,131.29,131.42,5369.0
NDSN,2018-05-11 18:00:00+00:00,131.37,131.77,131.28,131.62,5888.0
NDSN,2018-05-11 19:00:00+00:00,131.7,132.41,131.695,132.26,15173.0
NDSN,2018-05-11 20:00:00+00:00,132.25,132.25,132.25,132.25,4763.0
NDSN,2018-05-14 13:00:00+00:00,132.7,134.1,132.7,134.02,8692.0
NDSN,2018-05-14 14:00:00+00:00,133.97,134.45,133.97,134.17,6554.0
NDSN,2018-05-14 15:00:00+00:00,134.01,134.21,133.77,133.77,4093.0
NDSN,2018-05-14 16:00:00+00:00,133.94,134.13,133.34,133.34,3309.0
NDSN,2018-05-14 17:00:00+00:00,133.1,133.32,133.0,133.0,3998.0
NDSN,2018-05-14 18:00:00+00:00,132.93,133.17,132.82,132.95,3296.0
NDSN,2018-05-14 19:00:00+00:00,133.01,133.29,133.01,133.29,12070.0
NDSN,2018-05-14 20:00:00+00:00,133.29,133.29,133.29,133.29,7799.0
NDSN,2018-05-15 13:00:00+00:00,132.22,132.73,131.8,132.29,3799.0
NDSN,2018-05-15 14:00:00+00:00,132.24,132.29,131.62,132.19,6163.0
NDSN,2018-05-15 15:00:00+00:00,132.38,132.48,132.04,132.1,3574.0
NDSN,2018-05-15 16:00:00+00:00,132.02,132.12,131.77,132.07,2559.0
NDSN,2018-05-15 17:00:00+00:00,131.95,132.09,131.7,131.73,2792.0
NDSN,2018-05-15 18:00:00+00:00,131.71,132.06,131.69,131.69,3933.0
NDSN,2018-05-15 19:00:00+00:00,131.71,132.36,131.67,132.22,23322.0
NDSN,2018-05-15 20:00:00+00:00,132.21,132.21,132.21,132.21,7359.0
NDSN,2018-05-16 13:00:00+00:00,132.51,133.86,132.14,133.84,1842.0
NDSN,2018-05-16 14:00:00+00:00,133.71,134.03,133.18,133.97,6096.0
NDSN,2018-05-16 15:00:00+00:00,134.07,134.24,133.84,134.06,4640.0
NDSN,2018-05-16 16:00:00+00:00,134.22,134.83,134.22,134.56,4601.0
NDSN,2018-05-16 17:00:00+00:00,134.71,134.76,134.46,134.76,3326.0
NDSN,2018-05-16 18:00:00+00:00,134.8,134.87,134.55,134.78,5009.0
NDSN,2018-05-16 19:00:00+00:00,134.74,134.74,133.77,134.22,14374.0
NDSN,2018-05-16 20:00:00+00:00,134.18,134.18,134.18,134.18,9453.0
NDSN,2018-05-17 13:00:00+00:00,134.24,134.48,133.99,134.29,3682.0
NDSN,2018-05-17 14:00:00+00:00,134.14,134.71,134.0,134.71,3102.0
NDSN,2018-05-17 15:00:00+00:00,134.73,134.91,134.36,134.56,3631.0
NDSN,2018-05-17 16:00:00+00:00,134.33,134.46,134.17,134.23,1275.0
NDSN,2018-05-17 17:00:00+00:00,134.21,134.59,133.81,133.98,4337.0
NDSN,2018-05-17 18:00:00+00:00,134.04,134.33,133.91,134.33,4018.0
NDSN,2018-05-17 19:00:00+00:00,134.4,134.59,133.8,134.13,14318.0
NDSN,2018-05-17 20:00:00+00:00,134.05,134.05,134.0,134.0,14075.0
NDSN,2018-05-18 13:00:00+00:00,134.13,134.65,133.72,134.13,4915.0
NDSN,2018-05-18 14:00:00+00:00,134.0,135.35,133.99,135.12,4981.0
NDSN,2018-05-18 15:00:00+00:00,135.22,135.41,134.87,134.99,4168.0
NDSN,2018-05-18 16:00:00+00:00,134.81,134.83,134.3,134.54,2326.0
NDSN,2018-05-18 17:00:00+00:00,134.54,134.87,134.53,134.87,2223.0
NDSN,2018-05-18 18:00:00+00:00,134.805,135.0,134.61,135.0,7518.0
NDSN,2018-05-18 19:00:00+00:00,134.96,135.52,134.85,134.98,37639.0
NDSN,2018-05-18 20:00:00+00:00,134.96,134.96,134.96,134.96,17268.0
NDSN,2018-05-21 13:00:00+00:00,135.98,137.5,135.98,137.16,5599.0
NDSN,2018-05-21 14:00:00+00:00,137.06,138.96,137.06,138.96,10526.0
NDSN,2018-05-21 15:00:00+00:00,138.96,138.96,137.4,137.72,3374.0
NDSN,2018-05-21 16:00:00+00:00,137.72,138.28,137.72,138.07,6345.0
NDSN,2018-05-21 17:00:00+00:00,138.06,138.88,138.06,138.88,6808.0
NDSN,2018-05-21 18:00:00+00:00,138.84,138.93,138.23,138.5,11871.0
NDSN,2018-05-21 19:00:00+00:00,138.5,139.73,138.44,139.71,63835.0
NDSN,2018-05-21 20:00:00+00:00,139.62,141.22,128.0,131.69,18081.0
NDSN,2018-05-22 13:00:00+00:00,131.5,134.0,130.33,132.7,73631.0
NDSN,2018-05-22 14:00:00+00:00,132.66,133.0,130.92,131.26,56191.0
NDSN,2018-05-22 15:00:00+00:00,131.185,131.85,130.11,131.18,47693.0
NDSN,2018-05-22 16:00:00+00:00,131.2,131.35,129.59,130.03,54392.0
NDSN,2018-05-22 17:00:00+00:00,130.0,131.15,129.52,130.0,36224.0
NDSN,2018-05-22 18:00:00+00:00,130.0,130.0,128.24,128.78,55226.0
NDSN,2018-05-22 19:00:00+00:00,128.78,130.075,128.65,129.25,98606.0
NDSN,2018-05-22 20:00:00+00:00,129.25,129.25,129.25,129.25,16850.0
NDSN,2018-05-23 13:00:00+00:00,127.65,128.17,126.78,127.63,15763.0
NDSN,2018-05-23 14:00:00+00:00,127.61,128.81,126.86,126.86,39880.0
NDSN,2018-05-23 15:00:00+00:00,126.73,128.44,126.68,128.03,15883.0
NDSN,2018-05-23 16:00:00+00:00,127.91,128.02,127.43,127.62,12965.0
NDSN,2018-05-23 17:00:00+00:00,127.56,127.56,126.53,126.53,10264.0
NDSN,2018-05-23 18:00:00+00:00,126.5,126.84,126.22,126.34,16402.0
NDSN,2018-05-23 19:00:00+00:00,126.37,127.18,126.24,126.95,67188.0
NDSN,2018-05-23 20:00:00+00:00,127.0,127.0,127.0,127.0,25202.0
NDSN,2018-05-24 13:00:00+00:00,126.65,127.27,126.65,127.02,9037.0
NDSN,2018-05-24 14:00:00+00:00,126.92,127.23,126.0,126.0,15377.0
NDSN,2018-05-24 15:00:00+00:00,126.13,127.75,126.13,127.75,10637.0
NDSN,2018-05-24 16:00:00+00:00,127.8,127.95,127.64,127.8,10399.0
NDSN,2018-05-24 17:00:00+00:00,127.89,129.18,127.89,128.82,19432.0
NDSN,2018-05-24 18:00:00+00:00,128.84,128.87,128.02,128.02,11242.0
NDSN,2018-05-24 19:00:00+00:00,128.02,128.74,127.83,128.65,41218.0
NDSN,2018-05-24 20:00:00+00:00,128.65,128.65,128.65,128.65,14818.0
NDSN,2018-05-25 13:00:00+00:00,128.38,128.38,127.2,127.29,10615.0
NDSN,2018-05-25 14:00:00+00:00,127.21,128.41,127.19,127.49,11105.0
NDSN,2018-05-25 15:00:00+00:00,127.57,127.94,127.57,127.78,8046.0
NDSN,2018-05-25 16:00:00+00:00,127.74,127.81,127.6,127.75,13484.0
NDSN,2018-05-25 17:00:00+00:00,127.62,127.71,127.37,127.37,8400.0
NDSN,2018-05-25 18:00:00+00:00,127.37,127.46,126.84,126.91,9421.0
