symbol,ts,open,high,low,close,volume
NEE,2018-05-01 13:00:00+00:00,163.55,163.64,163.0,163.47,18553.0
NEE,2018-05-01 14:00:00+00:00,163.47,163.66,163.22,163.585,44873.0
NEE,2018-05-01 15:00:00+00:00,163.61,163.755,163.32,163.685,29014.0
NEE,2018-05-01 16:00:00+00:00,163.65,163.65,163.08,163.08,26785.0
NEE,2018-05-01 17:00:00+00:00,163.08,163.52,162.84,163.52,21095.0
NEE,2018-05-01 18:00:00+00:00,163.52,163.69,163.14,163.17,23860.0
NEE,2018-05-01 19:00:00+00:00,163.17,163.23,162.78,163.15,85494.0
NEE,2018-05-02 13:00:00+00:00,163.37,163.93,163.09,163.33,19343.0
NEE,2018-05-02 14:00:00+00:00,163.17,164.08,162.92,164.02,47085.0
NEE,2018-05-02 15:00:00+00:00,164.03,164.09,163.14,163.17,34973.0
NEE,2018-05-02 16:00:00+00:00,163.13,163.5,162.99,163.4,39731.0
NEE,2018-05-02 17:00:00+00:00,163.39,164.04,163.36,163.76,23819.0
NEE,2018-05-02 18:00:00+00:00,163.84,163.95,163.43,163.58,45058.0
NEE,2018-05-02 19:00:00+00:00,163.56,163.56,162.99,163.45,120340.0
NEE,2018-05-03 13:00:00+00:00,162.83,163.28,162.16,162.96,15381.0
NEE,2018-05-03 14:00:00+00:00,162.92,162.92,161.55,162.32,79464.0
NEE,2018-05-03 15:00:00+00:00,162.35,163.3,162.35,163.16,61294.0
NEE,2018-05-03 16:00:00+00:00,163.1,163.5,162.83,163.43,43765.0
NEE,2018-05-03 17:00:00+00:00,163.43,164.1,163.03,164.05,44249.0
NEE,2018-05-03 18:00:00+00:00,164.03,164.03,162.82,162.98,56749.0
NEE,2018-05-03 19:00:00+00:00,162.98,163.38,162.84,163.06,108578.0
NEE,2018-05-04 13:00:00+00:00,163.5,164.1,163.03,163.9,23404.0
NEE,2018-05-04 14:00:00+00:00,164.05,164.41,163.94,164.27,35019.0
NEE,2018-05-04 15:00:00+00:00,164.175,164.53,163.91,164.29,27944.0
NEE,2018-05-04 16:00:00+00:00,164.29,164.67,164.24,164.41,28479.0
NEE,2018-05-04 17:00:00+00:00,164.41,165.13,164.33,164.53,38265.0
NEE,2018-05-04 18:00:00+00:00,164.48,164.6,164.01,164.31,37081.0
NEE,2018-05-04 19:00:00+00:00,164.31,164.56,163.9,164.12,95971.0
NEE,2018-05-07 13:00:00+00:00,165.18,165.18,163.5,163.58,23375.0
NEE,2018-05-07 14:00:00+00:00,163.54,163.6,162.9,163.19,44149.0
NEE,2018-05-07 15:00:00+00:00,163.2,163.67,163.14,163.57,41102.0
NEE,2018-05-07 16:00:00+00:00,163.48,163.92,163.43,163.67,41803.0
NEE,2018-05-07 17:00:00+00:00,163.66,163.9,163.53,163.89,31025.0
NEE,2018-05-07 18:00:00+00:00,163.9,164.24,163.9,164.01,43755.0
NEE,2018-05-07 19:00:00+00:00,163.99,163.99,163.15,163.35,74682.0
NEE,2018-05-08 13:00:00+00:00,163.0,163.0,160.89,160.89,23589.0
NEE,2018-05-08 14:00:00+00:00,160.915,161.74,160.6,161.35,48275.0
NEE,2018-05-08 15:00:00+00:00,161.36,162.21,161.09,161.44,40137.0
