symbol,ts,open,high,low,close,volume
NEM,2018-05-01 12:00:00+00:00,39.1,39.1,39.1,39.1,50.0
NEM,2018-05-01 13:00:00+00:00,39.09,39.12,38.68,39.07,59851.0
NEM,2018-05-01 14:00:00+00:00,39.08,39.18,39.0,39.11,124757.0
NEM,2018-05-01 15:00:00+00:00,39.11,39.19,39.02,39.1,77665.0
NEM,2018-05-01 16:00:00+00:00,39.095,39.195,39.02,39.15,48710.0
NEM,2018-05-01 17:00:00+00:00,39.15,39.24,39.07,39.16,40462.0
NEM,2018-05-01 18:00:00+00:00,39.17,39.27,39.14,39.23,41731.0
NEM,2018-05-01 19:00:00+00:00,39.22,39.27,39.07,39.19,128966.0
NEM,2018-05-02 13:00:00+00:00,39.45,39.61,39.01,39.04,52288.0
NEM,2018-05-02 14:00:00+00:00,39.045,39.09,38.85,39.08,81362.0
NEM,2018-05-02 15:00:00+00:00,39.08,39.08,38.98,39.05,39013.0
NEM,2018-05-02 16:00:00+00:00,39.05,39.07,38.99,39.05,38011.0
NEM,2018-05-02 17:00:00+00:00,39.055,39.2,38.935,39.18,36428.0
NEM,2018-05-02 18:00:00+00:00,39.18,39.51,39.16,39.33,134699.0
NEM,2018-05-02 19:00:00+00:00,39.34,39.34,39.07,39.18,185511.0
NEM,2018-05-03 13:00:00+00:00,39.51,39.73,39.45,39.57,66611.0
NEM,2018-05-03 14:00:00+00:00,39.58,39.6,39.29,39.47,142528.0
NEM,2018-05-03 15:00:00+00:00,39.47,39.7,39.47,39.61,72659.0
NEM,2018-05-03 16:00:00+00:00,39.62,39.65,39.46,39.56,60927.0
NEM,2018-05-03 17:00:00+00:00,39.55,39.81,39.55,39.73,57214.0
NEM,2018-05-03 18:00:00+00:00,39.72,39.85,39.63,39.65,52752.0
NEM,2018-05-03 19:00:00+00:00,39.65,39.82,39.605,39.81,136147.0
NEM,2018-05-04 13:00:00+00:00,39.57,39.66,39.44,39.49,61848.0
NEM,2018-05-04 14:00:00+00:00,39.49,39.74,39.46,39.66,70359.0
NEM,2018-05-04 15:00:00+00:00,39.66,39.68,39.5,39.65,47343.0
NEM,2018-05-04 16:00:00+00:00,39.64,39.64,39.49,39.5,46626.0
NEM,2018-05-04 17:00:00+00:00,39.5,39.51,39.45,39.5,45802.0
NEM,2018-05-04 18:00:00+00:00,39.5,39.67,39.47,39.6,45951.0
NEM,2018-05-04 19:00:00+00:00,39.6,39.65,39.45,39.63,78346.0
NEM,2018-05-07 13:00:00+00:00,39.69,39.92,39.69,39.84,29449.0
NEM,2018-05-07 14:00:00+00:00,39.85,40.15,39.84,39.93,75961.0
NEM,2018-05-07 15:00:00+00:00,39.93,40.23,39.93,40.19,98107.0
NEM,2018-05-07 16:00:00+00:00,40.18,40.2,39.95,39.98,42593.0
NEM,2018-05-07 17:00:00+00:00,39.99,39.99,39.83,39.92,51763.0
NEM,2018-05-07 18:00:00+00:00,39.92,39.92,39.81,39.84,44389.0
NEM,2018-05-07 19:00:00+00:00,39.835,39.87,39.76,39.86,88140.0
NEM,2018-05-08 13:00:00+00:00,39.64,39.75,39.29,39.34,33041.0
NEM,2018-05-08 14:00:00+00:00,39.33,39.42,39.26,39.31,66338.0
NEM,2018-05-08 15:00:00+00:00,39.3,39.62,39.21,39.46,82335.0
NEM,2018-05-08 16:00:00+00:00,39.44,39.71,39.39,39.55,101449.0
NEM,2018-05-08 17:00:00+00:00,39.54,39.63,39.475,39.57,44305.0
NEM,2018-05-08 18:00:00+00:00,39.57,39.9,39.53,39.78,145530.0
NEM,2018-05-08 19:00:00+00:00,39.78,39.98,39.78,39.98,123155.0
NEM,2018-05-09 13:00:00+00:00,39.93,40.04,39.79,39.99,57760.0
NEM,2018-05-09 14:00:00+00:00,39.99,40.28,39.97,40.16,60000.0
NEM,2018-05-09 15:00:00+00:00,40.2,40.21,39.88,39.91,40866.0
