symbol,ts,open,high,low,close,volume
NI,2018-05-01 13:00:00+00:00,24.37,24.48,24.37,24.39,18531.0
NI,2018-05-01 14:00:00+00:00,24.4,24.5,24.37,24.47,26618.0
NI,2018-05-01 15:00:00+00:00,24.47,24.565,24.41,24.43,34884.0
NI,2018-05-01 16:00:00+00:00,24.43,24.485,24.4,24.48,27487.0
NI,2018-05-01 17:00:00+00:00,24.48,24.53,24.46,24.52,24257.0
NI,2018-05-01 18:00:00+00:00,24.52,24.53,24.415,24.42,19750.0
NI,2018-05-01 19:00:00+00:00,24.42,24.55,24.42,24.52,88691.0
NI,2018-05-02 13:00:00+00:00,24.76,25.18,24.76,24.86,137169.0
NI,2018-05-02 14:00:00+00:00,24.86,25.32,24.85,25.28,106675.0
NI,2018-05-02 15:00:00+00:00,25.28,25.295,25.205,25.26,70675.0
NI,2018-05-02 16:00:00+00:00,25.25,25.33,25.16,25.295,37267.0
NI,2018-05-02 17:00:00+00:00,25.295,25.38,25.295,25.37,36924.0
NI,2018-05-02 18:00:00+00:00,25.36,25.45,25.36,25.39,54010.0
NI,2018-05-02 19:00:00+00:00,25.385,25.43,25.28,25.39,159722.0
NI,2018-05-03 13:00:00+00:00,25.29,25.31,25.11,25.26,47958.0
NI,2018-05-03 14:00:00+00:00,25.27,25.39,25.12,25.31,86357.0
NI,2018-05-03 15:00:00+00:00,25.32,25.455,25.275,25.4,49830.0
NI,2018-05-03 16:00:00+00:00,25.405,25.495,25.345,25.48,42222.0
NI,2018-05-03 17:00:00+00:00,25.485,25.625,25.45,25.6,52260.0
NI,2018-05-03 18:00:00+00:00,25.59,25.595,25.485,25.52,52670.0
NI,2018-05-03 19:00:00+00:00,25.525,25.605,25.475,25.57,109749.0
NI,2018-05-04 13:00:00+00:00,25.57,25.63,25.5,25.5,23831.0
NI,2018-05-04 14:00:00+00:00,25.5,25.54,25.32,25.34,44508.0
NI,2018-05-04 15:00:00+00:00,25.35,25.37,25.29,25.35,30315.0
NI,2018-05-04 16:00:00+00:00,25.35,25.395,25.34,25.355,20737.0
NI,2018-05-04 17:00:00+00:00,25.36,25.45,25.34,25.355,27496.0
NI,2018-05-04 18:00:00+00:00,25.35,25.41,25.305,25.36,22359.0
NI,2018-05-04 19:00:00+00:00,25.355,25.43,25.355,25.41,75092.0
NI,2018-05-07 13:00:00+00:00,25.75,25.75,25.31,25.4,36441.0
NI,2018-05-07 14:00:00+00:00,25.41,25.45,25.36,25.4,37345.0
NI,2018-05-07 15:00:00+00:00,25.39,25.54,25.38,25.5,67100.0
NI,2018-05-07 16:00:00+00:00,25.49,25.58,25.475,25.52,36153.0
NI,2018-05-07 17:00:00+00:00,25.525,25.58,25.485,25.575,29100.0
NI,2018-05-07 18:00:00+00:00,25.58,25.65,25.58,25.645,43267.0
NI,2018-05-07 19:00:00+00:00,25.64,25.64,25.455,25.49,110821.0
NI,2018-05-08 13:00:00+00:00,25.35,25.37,25.025,25.04,34055.0
NI,2018-05-08 14:00:00+00:00,25.04,25.23,25.03,25.19,55137.0
NI,2018-05-08 15:00:00+00:00,25.18,25.335,25.17,25.235,44689.0
NI,2018-05-08 16:00:00+00:00,25.235,25.285,25.145,25.145,25220.0
NI,2018-05-08 17:00:00+00:00,25.15,25.165,25.065,25.095,21928.0
NI,2018-05-08 18:00:00+00:00,25.095,25.12,25.03,25.095,42637.0
NI,2018-05-08 19:00:00+00:00,25.1,25.18,25.085,25.1,67962.0
NI,2018-05-09 13:00:00+00:00,25.13,25.13,25.005,25.11,25249.0
NI,2018-05-09 14:00:00+00:00,25.09,25.14,24.84,24.87,35022.0
NI,2018-05-09 15:00:00+00:00,24.87,24.885,24.78,24.84,44204.0
NI,2018-05-09 16:00:00+00:00,24.83,24.84,24.71,24.735,37344.0
NI,2018-05-09 17:00:00+00:00,24.73,24.74,24.675,24.69,25492.0
NI,2018-05-09 18:00:00+00:00,24.68,24.725,24.64,24.725,31871.0
NI,2018-05-09 19:00:00+00:00,24.72,24.72,24.59,24.645,106756.0
