symbol,ts,open,high,low,close,volume
NOW,2018-05-01 13:00:00+00:00,165.9,166.54,163.86,164.41,24116.0
NOW,2018-05-01 14:00:00+00:00,164.38,164.51,163.46,163.73,37243.0
NOW,2018-05-01 15:00:00+00:00,163.61,164.1,163.3,163.49,34936.0
NOW,2018-05-01 16:00:00+00:00,163.49,164.35,163.26,164.35,26507.0
NOW,2018-05-01 17:00:00+00:00,164.4,166.17,164.27,166.17,54232.0
NOW,2018-05-01 18:00:00+00:00,165.85,166.1,165.21,165.45,21144.0
NOW,2018-05-01 19:00:00+00:00,165.44,165.51,164.68,165.42,57176.0
NOW,2018-05-02 13:00:00+00:00,165.19,166.55,164.35,166.0,6933.0
NOW,2018-05-02 14:00:00+00:00,166.04,167.89,166.04,166.77,29434.0
NOW,2018-05-02 15:00:00+00:00,166.78,166.9,165.2,165.74,10129.0
NOW,2018-05-02 16:00:00+00:00,165.67,166.72,165.15,166.64,16304.0
NOW,2018-05-02 17:00:00+00:00,166.68,167.11,166.46,166.8,13944.0
NOW,2018-05-02 18:00:00+00:00,166.79,167.85,166.44,166.68,20450.0
NOW,2018-05-02 19:00:00+00:00,166.74,166.78,165.29,165.52,45876.0
NOW,2018-05-03 13:00:00+00:00,165.53,168.41,165.53,168.29,26005.0
NOW,2018-05-03 14:00:00+00:00,168.28,168.85,165.35,165.7,46838.0
NOW,2018-05-03 15:00:00+00:00,165.69,166.78,165.25,166.73,28674.0
NOW,2018-05-03 16:00:00+00:00,166.64,168.83,166.63,168.49,29051.0
NOW,2018-05-03 17:00:00+00:00,168.53,169.13,168.16,168.83,30756.0
NOW,2018-05-03 18:00:00+00:00,168.78,169.06,167.56,168.69,33999.0
NOW,2018-05-03 19:00:00+00:00,168.81,169.48,168.31,168.91,58906.0
NOW,2018-05-03 20:00:00+00:00,167.0,167.0,167.0,167.0,32.0
NOW,2018-05-04 13:00:00+00:00,168.7,169.51,167.79,167.87,47434.0
NOW,2018-05-04 14:00:00+00:00,167.84,170.79,167.5,170.43,24231.0
NOW,2018-05-04 15:00:00+00:00,170.48,172.35,170.48,171.2,15773.0
NOW,2018-05-04 16:00:00+00:00,171.19,171.28,170.41,170.7,22415.0
NOW,2018-05-04 17:00:00+00:00,170.75,172.32,170.53,172.28,18796.0
NOW,2018-05-04 18:00:00+00:00,172.18,173.0,172.06,172.4,35238.0
NOW,2018-05-04 19:00:00+00:00,172.33,172.37,170.99,171.23,76352.0
NOW,2018-05-04 20:00:00+00:00,170.65,170.65,170.65,170.65,50.0
NOW,2018-05-07 13:00:00+00:00,172.84,173.66,171.9,173.21,23607.0
NOW,2018-05-07 14:00:00+00:00,173.09,175.15,172.83,174.94,54980.0
NOW,2018-05-07 15:00:00+00:00,174.93,175.06,174.165,174.94,47479.0
NOW,2018-05-07 16:00:00+00:00,174.98,175.09,174.11,174.26,30790.0
NOW,2018-05-07 17:00:00+00:00,174.23,176.39,174.23,176.19,29326.0
NOW,2018-05-07 18:00:00+00:00,176.19,176.87,175.8,176.46,56062.0
NOW,2018-05-07 19:00:00+00:00,176.4,176.75,175.59,176.0,100400.0
NOW,2018-05-08 11:00:00+00:00,174.15,174.15,169.43,170.0,5914.0
NOW,2018-05-08 12:00:00+00:00,169.72,172.0,169.72,170.45,4955.0
NOW,2018-05-08 13:00:00+00:00,170.45,174.38,170.14,172.14,119916.0
NOW,2018-05-08 14:00:00+00:00,172.13,174.14,171.52,173.65,82220.0
NOW,2018-05-08 15:00:00+00:00,173.58,175.42,173.4,175.06,31292.0
NOW,2018-05-08 16:00:00+00:00,175.16,175.42,174.2,174.2,28891.0
NOW,2018-05-08 17:00:00+00:00,174.19,175.3,174.14,174.64,20497.0
NOW,2018-05-08 18:00:00+00:00,174.7,175.93,174.63,175.28,43088.0
NOW,2018-05-08 19:00:00+00:00,175.21,176.12,174.99,176.04,62454.0
NOW,2018-05-08 20:00:00+00:00,176.5,176.5,176.5,176.5,50.0
NOW,2018-05-09 13:00:00+00:00,178.0,178.79,175.98,176.24,25918.0
NOW,2018-05-09 14:00:00+00:00,176.21,178.3,176.2,177.65,34364.0
NOW,2018-05-09 15:00:00+00:00,177.73,179.38,177.15,179.29,24989.0
NOW,2018-05-09 16:00:00+00:00,179.29,180.05,178.76,179.69,19348.0
NOW,2018-05-09 17:00:00+00:00,179.85,180.96,179.35,180.74,26661.0
NOW,2018-05-09 18:00:00+00:00,180.67,180.67,179.6,179.7,28122.0
NOW,2018-05-09 19:00:00+00:00,179.66,180.38,179.56,180.0,72080.0
NOW,2018-05-09 20:00:00+00:00,180.0,180.0,180.0,180.0,40.0
NOW,2018-05-10 13:00:00+00:00,181.13,182.0,179.73,180.74,37750.0
NOW,2018-05-10 14:00:00+00:00,180.75,182.54,180.48,182.27,48198.0
NOW,2018-05-10 15:00:00+00:00,182.37,182.56,181.28,181.6,29145.0
NOW,2018-05-10 16:00:00+00:00,181.67,182.1,180.9,181.17,46902.0
NOW,2018-05-10 17:00:00+00:00,181.25,181.48,180.15,180.25,27936.0
NOW,2018-05-10 18:00:00+00:00,180.25,180.71,178.77,178.92,55567.0
NOW,2018-05-10 19:00:00+00:00,178.97,179.14,178.56,178.98,100108.0
NOW,2018-05-10 21:00:00+00:00,178.75,178.75,178.75,178.75,8.0
NOW,2018-05-11 12:00:00+00:00,179.5,179.5,179.5,179.5,55.0
NOW,2018-05-11 13:00:00+00:00,179.22,179.57,178.2,179.28,11974.0
NOW,2018-05-11 14:00:00+00:00,179.26,180.05,178.99,179.28,24735.0
NOW,2018-05-11 15:00:00+00:00,179.31,179.43,178.46,178.83,17192.0
NOW,2018-05-11 16:00:00+00:00,178.93,179.04,178.26,178.87,8582.0
NOW,2018-05-11 17:00:00+00:00,178.8,179.24,177.92,177.97,23644.0
NOW,2018-05-11 18:00:00+00:00,178.07,178.2,177.35,177.9,14574.0
NOW,2018-05-11 19:00:00+00:00,177.93,179.0,177.93,178.85,38956.0
NOW,2018-05-11 20:00:00+00:00,178.88,178.88,178.88,178.88,1.0
NOW,2018-05-14 12:00:00+00:00,178.87,178.87,178.87,178.87,1.0
NOW,2018-05-14 13:00:00+00:00,178.84,179.4,177.76,177.79,22497.0
NOW,2018-05-14 14:00:00+00:00,177.82,178.56,177.76,177.76,33200.0
NOW,2018-05-14 15:00:00+00:00,177.76,177.98,177.11,177.27,25436.0
NOW,2018-05-14 16:00:00+00:00,177.25,177.55,175.75,175.75,26427.0
NOW,2018-05-14 17:00:00+00:00,175.75,175.75,174.03,174.91,19183.0
NOW,2018-05-14 18:00:00+00:00,174.93,175.0,174.2,174.6,19746.0
NOW,2018-05-14 19:00:00+00:00,174.66,174.8,173.5,173.71,96682.0
NOW,2018-05-15 13:00:00+00:00,173.33,173.33,168.91,171.34,30943.0
NOW,2018-05-15 14:00:00+00:00,171.27,173.66,171.27,173.06,32514.0
NOW,2018-05-15 15:00:00+00:00,173.2,174.54,172.82,174.16,23197.0
NOW,2018-05-15 16:00:00+00:00,174.14,174.2,172.67,173.73,16208.0
NOW,2018-05-15 17:00:00+00:00,173.73,174.35,173.12,173.12,17358.0
NOW,2018-05-15 18:00:00+00:00,173.2,173.83,173.18,173.46,18391.0
NOW,2018-05-15 19:00:00+00:00,173.55,173.64,172.67,173.42,33811.0
NOW,2018-05-16 13:00:00+00:00,173.42,173.71,170.55,171.4,20313.0
NOW,2018-05-16 14:00:00+00:00,171.53,173.09,171.06,171.795,35865.0
NOW,2018-05-16 15:00:00+00:00,171.8,171.81,170.93,171.19,17802.0
NOW,2018-05-16 16:00:00+00:00,171.13,171.85,171.12,171.64,25738.0
NOW,2018-05-16 17:00:00+00:00,171.62,171.63,170.54,170.77,20034.0
NOW,2018-05-16 18:00:00+00:00,170.75,170.87,170.04,170.48,18418.0
NOW,2018-05-16 19:00:00+00:00,170.47,171.29,170.4,171.15,69927.0
NOW,2018-05-17 13:00:00+00:00,171.15,171.73,169.45,169.45,11456.0
NOW,2018-05-17 14:00:00+00:00,169.51,170.36,169.25,169.99,27379.0
NOW,2018-05-17 15:00:00+00:00,169.98,171.69,169.9,171.49,25314.0
NOW,2018-05-17 16:00:00+00:00,171.57,171.68,170.72,170.8,17793.0
NOW,2018-05-17 17:00:00+00:00,170.81,171.28,170.45,170.45,33343.0
NOW,2018-05-17 18:00:00+00:00,170.51,171.7,169.47,171.59,32343.0
NOW,2018-05-17 19:00:00+00:00,171.55,171.92,171.42,171.69,54608.0
NOW,2018-05-18 13:00:00+00:00,172.0,173.43,171.72,172.5,11221.0
NOW,2018-05-18 14:00:00+00:00,172.5,173.5,172.39,173.26,25537.0
NOW,2018-05-18 15:00:00+00:00,173.4,174.55,173.4,174.37,27465.0
NOW,2018-05-18 16:00:00+00:00,174.28,174.28,173.56,173.82,18773.0
NOW,2018-05-18 17:00:00+00:00,173.84,174.02,173.56,173.79,12276.0
