symbol,ts,open,high,low,close,volume
NRG,2018-05-01 13:00:00+00:00,31.24,31.29,30.87,30.89,30289.0
NRG,2018-05-01 14:00:00+00:00,30.87,30.88,30.38,30.39,88476.0
NRG,2018-05-01 15:00:00+00:00,30.4,30.75,30.325,30.685,77885.0
NRG,2018-05-01 16:00:00+00:00,30.69,30.75,30.665,30.7,45474.0
NRG,2018-05-01 17:00:00+00:00,30.7,30.7,30.5,30.64,58169.0
NRG,2018-05-01 18:00:00+00:00,30.66,30.75,30.66,30.69,46171.0
NRG,2018-05-01 19:00:00+00:00,30.7,30.75,30.645,30.66,88902.0
NRG,2018-05-02 13:00:00+00:00,30.59,30.79,30.58,30.745,38387.0
NRG,2018-05-02 14:00:00+00:00,30.745,30.91,30.69,30.73,79124.0
NRG,2018-05-02 15:00:00+00:00,30.72,30.775,30.48,30.51,86429.0
NRG,2018-05-02 16:00:00+00:00,30.51,30.535,30.44,30.44,50800.0
NRG,2018-05-02 17:00:00+00:00,30.44,30.6,30.43,30.57,53522.0
NRG,2018-05-02 18:00:00+00:00,30.575,30.61,30.36,30.36,106253.0
NRG,2018-05-02 19:00:00+00:00,30.365,30.48,30.245,30.48,186295.0
NRG,2018-05-03 13:00:00+00:00,31.24,31.88,30.79,31.74,124202.0
NRG,2018-05-03 14:00:00+00:00,31.73,32.48,31.63,32.465,192448.0
NRG,2018-05-03 15:00:00+00:00,32.465,32.78,32.3,32.5,146761.0
NRG,2018-05-03 16:00:00+00:00,32.5,32.57,31.88,32.07,96482.0
NRG,2018-05-03 17:00:00+00:00,32.085,32.39,32.03,32.33,64859.0
NRG,2018-05-03 18:00:00+00:00,32.32,32.35,32.12,32.155,113533.0
NRG,2018-05-03 19:00:00+00:00,32.155,32.55,32.115,32.35,228619.0
NRG,2018-05-03 20:00:00+00:00,32.29,32.29,32.29,32.29,1.0
NRG,2018-05-04 13:00:00+00:00,32.45,33.175,32.42,33.06,73924.0
NRG,2018-05-04 14:00:00+00:00,33.055,33.75,32.92,33.68,193434.0
NRG,2018-05-04 15:00:00+00:00,33.68,33.68,33.39,33.41,157748.0
NRG,2018-05-04 16:00:00+00:00,33.41,33.75,33.4,33.67,123921.0
NRG,2018-05-04 17:00:00+00:00,33.67,33.67,33.52,33.55,71244.0
NRG,2018-05-04 18:00:00+00:00,33.54,33.61,33.47,33.48,80640.0
NRG,2018-05-04 19:00:00+00:00,33.48,33.5,33.29,33.29,201903.0
NRG,2018-05-04 20:00:00+00:00,33.27,33.27,33.27,33.27,1.0
NRG,2018-05-07 13:00:00+00:00,33.58,34.15,33.51,34.07,53583.0
NRG,2018-05-07 14:00:00+00:00,34.08,34.34,33.99,34.17,89524.0
NRG,2018-05-07 15:00:00+00:00,34.18,34.37,34.16,34.26,49076.0
NRG,2018-05-07 16:00:00+00:00,34.255,34.3,34.16,34.21,35445.0
NRG,2018-05-07 17:00:00+00:00,34.2,34.21,34.04,34.09,55309.0
NRG,2018-05-07 18:00:00+00:00,34.09,34.16,34.02,34.02,71721.0
NRG,2018-05-07 19:00:00+00:00,34.02,34.21,33.96,34.13,236775.0
NRG,2018-05-07 20:00:00+00:00,34.19,34.19,34.18,34.18,189.0
NRG,2018-05-07 21:00:00+00:00,34.18,34.2,34.18,34.2,230.0
NRG,2018-05-07 22:00:00+00:00,34.2,34.2,34.2,34.2,100.0
NRG,2018-05-08 13:00:00+00:00,33.87,34.25,33.87,34.0,55727.0
NRG,2018-05-08 14:00:00+00:00,34.0,34.21,33.85,34.02,132268.0
NRG,2018-05-08 15:00:00+00:00,34.02,34.18,34.0,34.16,92734.0
NRG,2018-05-08 16:00:00+00:00,34.155,34.17,33.86,33.92,70573.0
NRG,2018-05-08 17:00:00+00:00,33.91,34.07,33.86,33.86,62349.0
NRG,2018-05-08 18:00:00+00:00,33.87,33.95,33.79,33.87,231747.0
NRG,2018-05-08 19:00:00+00:00,33.86,34.005,33.83,33.91,102980.0
NRG,2018-05-09 13:00:00+00:00,33.94,34.28,33.89,34.21,30935.0
NRG,2018-05-09 14:00:00+00:00,34.2,34.23,33.85,33.89,100188.0
NRG,2018-05-09 15:00:00+00:00,33.9,33.97,33.8,33.95,70125.0
NRG,2018-05-09 16:00:00+00:00,33.95,34.16,33.95,34.1,50383.0
NRG,2018-05-09 17:00:00+00:00,34.1,34.1,33.94,33.95,68458.0
NRG,2018-05-09 18:00:00+00:00,33.94,34.25,33.89,34.24,67191.0
NRG,2018-05-09 19:00:00+00:00,34.24,34.29,34.16,34.22,106653.0
NRG,2018-05-09 20:00:00+00:00,34.23,34.23,34.23,34.23,24.0
NRG,2018-05-10 13:00:00+00:00,34.49,34.6,34.37,34.39,20529.0
NRG,2018-05-10 14:00:00+00:00,34.39,34.55,34.38,34.5,50067.0
NRG,2018-05-10 15:00:00+00:00,34.5,34.8,34.46,34.74,51040.0
NRG,2018-05-10 16:00:00+00:00,34.73,34.9,34.67,34.74,47308.0
NRG,2018-05-10 17:00:00+00:00,34.74,34.79,34.63,34.65,34432.0
NRG,2018-05-10 18:00:00+00:00,34.65,34.74,34.57,34.61,51327.0
NRG,2018-05-10 19:00:00+00:00,34.61,34.75,34.6,34.68,120314.0
NRG,2018-05-11 13:00:00+00:00,34.76,35.05,34.76,35.035,18564.0
