symbol,ts,open,high,low,close,volume
NSC,2018-05-01 13:00:00+00:00,142.57,144.06,142.07,143.9,18318.0
NSC,2018-05-01 14:00:00+00:00,143.88,143.88,141.61,142.14,54441.0
NSC,2018-05-01 15:00:00+00:00,142.15,142.92,142.06,142.08,30218.0
NSC,2018-05-01 16:00:00+00:00,142.02,142.1,141.28,141.4,34206.0
NSC,2018-05-01 17:00:00+00:00,141.36,141.81,140.62,141.61,39870.0
NSC,2018-05-01 18:00:00+00:00,141.73,142.66,141.67,142.58,41643.0
NSC,2018-05-01 19:00:00+00:00,142.59,142.64,141.85,142.48,107313.0
NSC,2018-05-01 23:00:00+00:00,142.49,142.49,142.49,142.49,5.0
NSC,2018-05-02 13:00:00+00:00,142.11,143.1,141.23,142.67,25566.0
NSC,2018-05-02 14:00:00+00:00,142.78,144.02,142.47,143.96,36524.0
NSC,2018-05-02 15:00:00+00:00,143.94,144.36,143.76,144.07,39757.0
NSC,2018-05-02 16:00:00+00:00,144.1,144.59,143.9,144.51,30229.0
NSC,2018-05-02 17:00:00+00:00,144.51,144.82,144.28,144.29,46550.0
NSC,2018-05-02 18:00:00+00:00,144.27,144.83,144.17,144.28,21670.0
NSC,2018-05-02 19:00:00+00:00,144.28,144.3,141.97,142.41,63679.0
NSC,2018-05-03 13:00:00+00:00,141.26,141.33,139.47,139.91,31155.0
NSC,2018-05-03 14:00:00+00:00,139.81,139.81,138.37,139.35,90924.0
NSC,2018-05-03 15:00:00+00:00,139.4,140.46,139.29,140.24,27715.0
NSC,2018-05-03 16:00:00+00:00,140.33,141.01,140.05,140.97,24394.0
NSC,2018-05-03 17:00:00+00:00,140.94,141.61,140.61,141.23,21258.0
NSC,2018-05-03 18:00:00+00:00,141.27,141.82,140.78,141.11,25022.0
NSC,2018-05-03 19:00:00+00:00,141.26,141.7,140.63,140.95,90064.0
NSC,2018-05-04 13:00:00+00:00,140.49,142.2,140.49,141.87,29437.0
NSC,2018-05-04 14:00:00+00:00,141.76,143.1,141.56,142.21,25226.0
NSC,2018-05-04 15:00:00+00:00,142.35,142.85,142.08,142.85,38056.0
NSC,2018-05-04 16:00:00+00:00,142.91,143.59,142.64,143.4,16299.0
NSC,2018-05-04 17:00:00+00:00,143.46,144.39,143.4,144.27,14837.0
NSC,2018-05-04 18:00:00+00:00,144.3,144.91,144.23,144.53,27918.0
NSC,2018-05-04 19:00:00+00:00,144.53,144.84,143.54,143.91,63914.0
NSC,2018-05-07 13:00:00+00:00,144.35,145.28,144.31,144.94,12486.0
NSC,2018-05-07 14:00:00+00:00,144.965,145.26,144.04,144.78,60651.0
NSC,2018-05-07 15:00:00+00:00,144.85,145.41,144.72,145.105,25989.0
NSC,2018-05-07 16:00:00+00:00,145.06,145.8,144.93,145.57,23263.0
NSC,2018-05-07 17:00:00+00:00,145.54,145.59,145.18,145.43,19961.0
NSC,2018-05-07 18:00:00+00:00,145.45,145.67,145.04,145.13,34994.0
NSC,2018-05-07 19:00:00+00:00,145.09,145.6,144.67,145.45,119318.0
NSC,2018-05-08 13:00:00+00:00,145.3,146.54,144.61,146.46,37202.0
NSC,2018-05-08 14:00:00+00:00,146.45,147.26,146.33,147.11,41973.0
NSC,2018-05-08 15:00:00+00:00,146.86,147.73,146.49,146.73,29217.0
NSC,2018-05-08 16:00:00+00:00,146.74,146.74,146.17,146.36,21079.0
NSC,2018-05-08 17:00:00+00:00,146.36,146.55,145.87,145.95,16308.0
NSC,2018-05-08 18:00:00+00:00,145.97,146.28,145.32,145.76,29347.0
NSC,2018-05-08 19:00:00+00:00,145.71,146.3,145.6,146.09,54469.0
NSC,2018-05-09 13:00:00+00:00,146.58,150.39,146.38,148.85,122588.0
NSC,2018-05-09 14:00:00+00:00,148.78,149.69,148.5,149.48,59583.0
NSC,2018-05-09 15:00:00+00:00,149.53,149.98,149.15,149.66,53367.0
NSC,2018-05-09 16:00:00+00:00,149.7,150.59,149.38,150.57,38146.0
NSC,2018-05-09 17:00:00+00:00,150.57,151.72,150.46,151.72,40995.0
NSC,2018-05-09 18:00:00+00:00,151.74,152.21,150.73,151.41,36191.0
NSC,2018-05-09 19:00:00+00:00,151.43,151.53,150.68,150.92,81992.0
NSC,2018-05-10 13:00:00+00:00,151.01,151.23,150.2,151.05,13191.0
NSC,2018-05-10 14:00:00+00:00,151.0,151.495,150.37,150.41,18973.0
NSC,2018-05-10 15:00:00+00:00,150.41,150.7,150.2,150.6,17693.0
NSC,2018-05-10 16:00:00+00:00,150.51,151.27,150.5,151.05,10196.0
NSC,2018-05-10 17:00:00+00:00,151.1,151.19,150.82,151.01,14377.0
NSC,2018-05-10 18:00:00+00:00,151.01,151.52,150.75,151.5,23109.0
NSC,2018-05-10 19:00:00+00:00,151.58,151.98,151.44,151.74,56014.0
NSC,2018-05-11 12:00:00+00:00,152.54,152.85,152.54,152.85,200.0
NSC,2018-05-11 13:00:00+00:00,152.05,153.09,151.49,152.98,24693.0
NSC,2018-05-11 14:00:00+00:00,153.12,153.6,152.12,152.38,16361.0
NSC,2018-05-11 15:00:00+00:00,152.41,152.62,152.07,152.345,13615.0
NSC,2018-05-11 16:00:00+00:00,152.3,152.59,152.06,152.51,15696.0
NSC,2018-05-11 17:00:00+00:00,152.5,152.56,151.78,152.34,8668.0
NSC,2018-05-11 18:00:00+00:00,152.365,152.52,152.03,152.26,11756.0
NSC,2018-05-11 19:00:00+00:00,152.34,152.5,152.21,152.38,34525.0
NSC,2018-05-11 20:00:00+00:00,154.39,154.39,154.39,154.39,20.0
NSC,2018-05-14 13:00:00+00:00,152.84,153.35,152.255,152.84,14321.0
NSC,2018-05-14 14:00:00+00:00,152.74,152.74,151.75,151.92,19479.0
NSC,2018-05-14 15:00:00+00:00,151.86,151.88,150.92,151.26,12976.0
NSC,2018-05-14 16:00:00+00:00,151.34,151.62,150.92,150.96,12551.0
NSC,2018-05-14 17:00:00+00:00,150.97,151.01,150.42,150.42,10170.0
NSC,2018-05-14 18:00:00+00:00,150.48,150.99,150.43,150.71,10202.0
NSC,2018-05-14 19:00:00+00:00,150.69,150.95,150.14,150.47,50702.0
NSC,2018-05-15 13:00:00+00:00,149.49,150.14,149.36,149.36,20814.0
NSC,2018-05-15 14:00:00+00:00,149.41,150.15,149.19,149.94,40959.0
NSC,2018-05-15 15:00:00+00:00,149.98,150.68,149.58,149.58,35900.0
NSC,2018-05-15 16:00:00+00:00,149.64,150.55,149.34,150.34,20349.0
NSC,2018-05-15 17:00:00+00:00,150.31,150.5,149.89,149.9,22638.0
NSC,2018-05-15 18:00:00+00:00,149.96,150.79,149.84,150.66,23477.0
NSC,2018-05-15 19:00:00+00:00,150.64,150.9,150.24,150.76,43793.0
NSC,2018-05-16 13:00:00+00:00,150.45,150.9,150.31,150.41,10628.0
NSC,2018-05-16 14:00:00+00:00,150.47,151.01,149.96,150.73,23820.0
NSC,2018-05-16 15:00:00+00:00,150.69,151.42,150.59,151.4,24475.0
NSC,2018-05-16 16:00:00+00:00,151.44,151.57,151.2,151.2,29306.0
NSC,2018-05-16 17:00:00+00:00,151.24,151.5,150.97,151.41,19655.0
NSC,2018-05-16 18:00:00+00:00,151.44,151.55,151.26,151.29,29901.0
NSC,2018-05-16 19:00:00+00:00,151.27,151.27,150.74,150.85,70222.0
NSC,2018-05-17 13:00:00+00:00,151.35,152.06,151.14,151.52,18570.0
NSC,2018-05-17 14:00:00+00:00,151.56,153.73,151.56,153.17,42270.0
NSC,2018-05-17 15:00:00+00:00,153.19,153.34,152.62,153.18,16070.0
NSC,2018-05-17 16:00:00+00:00,153.14,153.31,152.82,153.01,12930.0
NSC,2018-05-17 17:00:00+00:00,153.05,153.36,152.82,152.89,18592.0
NSC,2018-05-17 18:00:00+00:00,152.93,153.13,152.64,152.88,19962.0
NSC,2018-05-17 19:00:00+00:00,152.89,152.99,152.35,152.5,42487.0
NSC,2018-05-18 13:00:00+00:00,151.93,152.75,151.9,152.66,6696.0
NSC,2018-05-18 14:00:00+00:00,152.66,153.1,151.27,151.82,33416.0
NSC,2018-05-18 15:00:00+00:00,151.86,152.92,151.75,152.92,17901.0
NSC,2018-05-18 16:00:00+00:00,152.84,152.96,152.5,152.9,22369.0
NSC,2018-05-18 17:00:00+00:00,152.85,153.18,152.62,152.67,18515.0
NSC,2018-05-18 18:00:00+00:00,152.67,153.07,152.59,152.76,19831.0
NSC,2018-05-18 19:00:00+00:00,152.8,152.83,152.5,152.51,53186.0
NSC,2018-05-21 13:00:00+00:00,153.26,154.49,152.9,152.9,37617.0
