symbol,ts,open,high,low,close,volume
NTAP,2018-05-01 13:00:00+00:00,66.51,67.49,66.34,67.37,88281.0
NTAP,2018-05-01 14:00:00+00:00,67.37,67.69,66.94,67.57,139323.0
NTAP,2018-05-01 15:00:00+00:00,67.55,67.63,67.25,67.28,99920.0
NTAP,2018-05-01 16:00:00+00:00,67.31,67.71,67.31,67.61,61726.0
NTAP,2018-05-01 17:00:00+00:00,67.6,67.73,67.29,67.73,81683.0
NTAP,2018-05-01 18:00:00+00:00,67.72,67.84,67.62,67.7,95623.0
NTAP,2018-05-01 19:00:00+00:00,67.69,67.9,67.44,67.85,197123.0
NTAP,2018-05-01 20:00:00+00:00,67.85,67.85,67.85,67.85,103075.0
NTAP,2018-05-02 13:00:00+00:00,68.4,68.4,67.46,67.89,126033.0
NTAP,2018-05-02 14:00:00+00:00,67.88,68.275,67.7,67.86,110305.0
NTAP,2018-05-02 15:00:00+00:00,67.87,67.87,66.9,67.12,125369.0
NTAP,2018-05-02 16:00:00+00:00,67.12,67.52,67.05,67.41,60587.0
NTAP,2018-05-02 17:00:00+00:00,67.43,67.81,67.39,67.79,60873.0
NTAP,2018-05-02 18:00:00+00:00,67.79,67.98,67.615,67.78,113906.0
NTAP,2018-05-02 19:00:00+00:00,67.78,67.79,67.38,67.39,288091.0
NTAP,2018-05-02 20:00:00+00:00,67.4,67.4,67.38,67.38,357469.0
NTAP,2018-05-03 13:00:00+00:00,66.98,68.01,66.98,68.01,62336.0
NTAP,2018-05-03 14:00:00+00:00,68.01,68.01,66.67,66.7,94598.0
NTAP,2018-05-03 15:00:00+00:00,66.7,67.19,66.52,67.16,74697.0
NTAP,2018-05-03 16:00:00+00:00,67.18,67.37,66.82,67.33,79118.0
NTAP,2018-05-03 17:00:00+00:00,67.33,67.59,67.17,67.41,261983.0
NTAP,2018-05-03 18:00:00+00:00,67.41,67.67,67.13,67.27,183608.0
NTAP,2018-05-03 19:00:00+00:00,67.28,67.46,67.06,67.19,328636.0
NTAP,2018-05-03 20:00:00+00:00,67.19,67.2,67.19,67.2,101634.0
NTAP,2018-05-04 13:00:00+00:00,66.88,67.83,66.8,67.75,105646.0
NTAP,2018-05-04 14:00:00+00:00,67.75,67.98,67.25,67.79,119101.0
NTAP,2018-05-04 15:00:00+00:00,67.8,68.16,67.79,67.96,83250.0
NTAP,2018-05-04 16:00:00+00:00,67.97,68.265,67.97,68.18,67981.0
NTAP,2018-05-04 17:00:00+00:00,68.17,68.41,68.12,68.38,48963.0
NTAP,2018-05-04 18:00:00+00:00,68.37,68.63,68.29,68.3,106888.0
NTAP,2018-05-04 19:00:00+00:00,68.31,68.44,67.91,68.01,295609.0
NTAP,2018-05-04 20:00:00+00:00,68.01,68.01,68.0,68.0,329487.0
NTAP,2018-05-07 13:00:00+00:00,68.37,68.76,68.21,68.3,27765.0
NTAP,2018-05-07 14:00:00+00:00,68.35,68.75,68.0,68.71,71940.0
NTAP,2018-05-07 15:00:00+00:00,68.7,69.305,68.67,69.305,59234.0
NTAP,2018-05-07 16:00:00+00:00,69.29,69.29,68.86,68.89,72530.0
NTAP,2018-05-07 17:00:00+00:00,68.89,69.21,68.8,69.16,45144.0
NTAP,2018-05-07 18:00:00+00:00,69.16,69.21,68.84,68.91,65597.0
NTAP,2018-05-07 19:00:00+00:00,68.92,69.05,68.62,68.83,160801.0
NTAP,2018-05-07 20:00:00+00:00,68.84,68.86,68.81,68.86,159008.0
NTAP,2018-05-08 12:00:00+00:00,69.0,69.0,68.99,68.99,300.0
NTAP,2018-05-08 13:00:00+00:00,68.99,69.02,68.16,68.85,44276.0
NTAP,2018-05-08 14:00:00+00:00,68.85,69.48,68.76,69.41,59227.0
NTAP,2018-05-08 15:00:00+00:00,69.4,69.69,69.21,69.42,81334.0
NTAP,2018-05-08 16:00:00+00:00,69.42,69.93,69.34,69.71,87180.0
NTAP,2018-05-08 17:00:00+00:00,69.71,70.15,69.66,69.72,119719.0
NTAP,2018-05-08 18:00:00+00:00,69.735,69.9,69.24,69.49,142007.0
NTAP,2018-05-08 19:00:00+00:00,69.49,69.69,69.29,69.63,250352.0
NTAP,2018-05-08 20:00:00+00:00,69.63,69.63,69.63,69.63,215099.0
NTAP,2018-05-09 13:00:00+00:00,70.0,70.49,69.525,69.94,93854.0
NTAP,2018-05-09 14:00:00+00:00,69.91,70.68,69.88,70.47,92690.0
NTAP,2018-05-09 15:00:00+00:00,70.48,70.99,70.46,70.93,69894.0
NTAP,2018-05-09 16:00:00+00:00,70.93,71.19,70.76,71.09,64742.0
NTAP,2018-05-09 17:00:00+00:00,71.1,71.41,70.97,71.29,59264.0
NTAP,2018-05-09 18:00:00+00:00,71.3,71.325,71.02,71.07,89148.0
NTAP,2018-05-09 19:00:00+00:00,71.035,71.21,70.91,71.16,169652.0
NTAP,2018-05-09 20:00:00+00:00,71.17,71.17,71.17,71.17,164990.0
NTAP,2018-05-10 13:00:00+00:00,71.87,71.87,71.13,71.32,42564.0
NTAP,2018-05-10 14:00:00+00:00,71.3,71.64,71.13,71.32,107258.0
