symbol,ts,open,high,low,close,volume
NUE,2018-05-01 13:00:00+00:00,61.33,61.74,60.94,61.58,41526.0
NUE,2018-05-01 14:00:00+00:00,61.58,61.58,60.46,60.64,142039.0
NUE,2018-05-01 15:00:00+00:00,60.64,60.66,60.02,60.07,91142.0
NUE,2018-05-01 16:00:00+00:00,60.07,60.39,59.82,60.17,86726.0
NUE,2018-05-01 17:00:00+00:00,60.175,60.28,59.82,60.16,61866.0
NUE,2018-05-01 18:00:00+00:00,60.18,60.5,60.14,60.37,112945.0
NUE,2018-05-01 19:00:00+00:00,60.37,60.42,60.08,60.36,172021.0
NUE,2018-05-01 20:00:00+00:00,60.88,61.16,60.88,61.16,15.0
NUE,2018-05-01 21:00:00+00:00,59.72,59.72,59.72,59.72,75.0
NUE,2018-05-02 13:00:00+00:00,60.85,61.45,60.68,61.23,30657.0
NUE,2018-05-02 14:00:00+00:00,61.23,61.45,61.04,61.44,78932.0
NUE,2018-05-02 15:00:00+00:00,61.44,61.54,61.055,61.11,42059.0
NUE,2018-05-02 16:00:00+00:00,61.09,61.155,60.94,61.09,28766.0
NUE,2018-05-02 17:00:00+00:00,61.1,61.19,61.0,61.05,22169.0
NUE,2018-05-02 18:00:00+00:00,61.01,61.625,61.01,61.5,55385.0
NUE,2018-05-02 19:00:00+00:00,61.51,61.57,60.87,60.98,109238.0
NUE,2018-05-03 13:00:00+00:00,60.9,61.68,60.85,61.47,56616.0
NUE,2018-05-03 14:00:00+00:00,61.47,61.47,60.56,60.66,101798.0
NUE,2018-05-03 15:00:00+00:00,60.66,61.06,60.48,61.04,78151.0
NUE,2018-05-03 16:00:00+00:00,61.06,61.45,60.77,61.37,75280.0
NUE,2018-05-03 17:00:00+00:00,61.37,61.62,61.19,61.48,64123.0
NUE,2018-05-03 18:00:00+00:00,61.49,61.7,61.2,61.26,66733.0
NUE,2018-05-03 19:00:00+00:00,61.28,61.49,61.06,61.21,128449.0
NUE,2018-05-04 13:00:00+00:00,60.9,61.42,60.72,61.28,33901.0
NUE,2018-05-04 14:00:00+00:00,61.28,61.91,61.19,61.88,93311.0
NUE,2018-05-04 15:00:00+00:00,61.89,62.56,61.88,62.52,51343.0
NUE,2018-05-04 16:00:00+00:00,62.52,63.025,62.42,63.02,44446.0
NUE,2018-05-04 17:00:00+00:00,63.01,63.13,62.89,63.1,74298.0
NUE,2018-05-04 18:00:00+00:00,63.1,63.22,62.97,63.01,49720.0
NUE,2018-05-04 19:00:00+00:00,63.01,63.14,62.8,62.93,103433.0
NUE,2018-05-07 13:00:00+00:00,63.18,63.23,62.78,63.17,15128.0
NUE,2018-05-07 14:00:00+00:00,63.2,63.26,62.88,62.99,33797.0
NUE,2018-05-07 15:00:00+00:00,62.99,63.01,62.75,62.98,37953.0
NUE,2018-05-07 16:00:00+00:00,62.99,63.1,62.9,62.96,36287.0
NUE,2018-05-07 17:00:00+00:00,62.97,62.98,62.79,62.87,31164.0
NUE,2018-05-07 18:00:00+00:00,62.87,62.98,62.68,62.76,38090.0
NUE,2018-05-07 19:00:00+00:00,62.76,62.84,62.55,62.84,77898.0
NUE,2018-05-07 20:00:00+00:00,62.02,62.02,62.02,62.02,23.0
NUE,2018-05-08 13:00:00+00:00,62.65,62.88,62.37,62.72,14447.0
NUE,2018-05-08 14:00:00+00:00,62.75,63.13,62.64,62.93,32471.0
NUE,2018-05-08 15:00:00+00:00,62.9,62.97,62.64,62.72,21297.0
NUE,2018-05-08 16:00:00+00:00,62.74,62.77,62.4,62.46,26829.0
NUE,2018-05-08 17:00:00+00:00,62.45,62.51,62.24,62.29,27520.0
NUE,2018-05-08 18:00:00+00:00,62.295,62.46,62.06,62.2,57292.0
NUE,2018-05-08 19:00:00+00:00,62.21,62.61,62.12,62.605,107823.0
NUE,2018-05-09 13:00:00+00:00,62.91,63.15,62.82,63.02,10730.0
NUE,2018-05-09 14:00:00+00:00,63.0,63.1,62.79,62.97,31349.0
NUE,2018-05-09 15:00:00+00:00,62.98,63.01,62.73,62.77,24056.0
NUE,2018-05-09 16:00:00+00:00,62.78,62.96,62.72,62.82,27151.0
NUE,2018-05-09 17:00:00+00:00,62.84,62.98,62.75,62.79,21867.0
NUE,2018-05-09 18:00:00+00:00,62.82,62.84,62.58,62.62,26473.0
NUE,2018-05-09 19:00:00+00:00,62.61,62.71,62.45,62.71,59091.0
NUE,2018-05-10 12:00:00+00:00,62.85,62.85,62.85,62.85,100.0
NUE,2018-05-10 13:00:00+00:00,62.98,63.27,62.84,63.22,18410.0
NUE,2018-05-10 14:00:00+00:00,63.21,63.71,63.05,63.63,65848.0
NUE,2018-05-10 15:00:00+00:00,63.6,64.13,63.39,64.11,47391.0
NUE,2018-05-10 16:00:00+00:00,64.12,64.4,64.09,64.24,80583.0
NUE,2018-05-10 17:00:00+00:00,64.26,64.38,63.93,63.97,67120.0
NUE,2018-05-10 18:00:00+00:00,63.99,64.09,63.71,63.95,72226.0
NUE,2018-05-10 19:00:00+00:00,63.95,64.02,63.81,63.86,105896.0
NUE,2018-05-11 13:00:00+00:00,63.83,64.3,63.57,64.19,51435.0
NUE,2018-05-11 14:00:00+00:00,64.16,64.28,63.96,64.02,82046.0
NUE,2018-05-11 15:00:00+00:00,64.02,64.11,63.34,63.57,85614.0
NUE,2018-05-11 16:00:00+00:00,63.59,63.64,62.98,63.31,85518.0
NUE,2018-05-11 17:00:00+00:00,63.31,63.52,63.265,63.43,85171.0
NUE,2018-05-11 18:00:00+00:00,63.44,63.44,63.09,63.15,68309.0
NUE,2018-05-11 19:00:00+00:00,63.15,63.29,62.975,63.11,115258.0
NUE,2018-05-14 13:00:00+00:00,63.27,63.32,62.61,62.9,30360.0
NUE,2018-05-14 14:00:00+00:00,62.875,63.04,62.59,62.64,70489.0
NUE,2018-05-14 15:00:00+00:00,62.62,62.75,62.53,62.73,68376.0
NUE,2018-05-14 16:00:00+00:00,62.725,62.87,62.68,62.68,63277.0
NUE,2018-05-14 17:00:00+00:00,62.68,62.72,62.48,62.66,75266.0
NUE,2018-05-14 18:00:00+00:00,62.67,62.71,62.5,62.61,73086.0
NUE,2018-05-14 19:00:00+00:00,62.6,62.79,62.57,62.75,128602.0
NUE,2018-05-15 13:00:00+00:00,62.26,62.3,62.05,62.07,39642.0
NUE,2018-05-15 14:00:00+00:00,62.07,62.49,62.06,62.36,85036.0
NUE,2018-05-15 15:00:00+00:00,62.36,62.77,62.36,62.54,68757.0
NUE,2018-05-15 16:00:00+00:00,62.56,62.81,62.51,62.75,30332.0
