symbol,ts,open,high,low,close,volume
NVDA,2018-05-01 09:00:00+00:00,224.3,224.3,224.3,224.3,100.0
NVDA,2018-05-01 10:00:00+00:00,224.0,224.0,223.8,223.8,88.0
NVDA,2018-05-01 11:00:00+00:00,224.2,224.21,224.2,224.21,105.0
NVDA,2018-05-01 12:00:00+00:00,224.34,224.7,224.3,224.63,845.0
NVDA,2018-05-01 13:00:00+00:00,224.61,224.83,222.2,224.45,326925.0
NVDA,2018-05-01 14:00:00+00:00,224.39,225.49,223.0,223.9,277058.0
NVDA,2018-05-01 15:00:00+00:00,223.87,225.02,223.44,223.84,178282.0
NVDA,2018-05-01 16:00:00+00:00,223.86,224.85,223.47,224.05,135369.0
NVDA,2018-05-01 17:00:00+00:00,224.11,224.29,222.81,224.24,159811.0
NVDA,2018-05-01 18:00:00+00:00,224.24,225.5,224.12,225.1,194732.0
NVDA,2018-05-01 19:00:00+00:00,225.12,227.25,224.77,227.1,465010.0
NVDA,2018-05-01 20:00:00+00:00,227.14,228.73,226.5,228.2,182352.0
NVDA,2018-05-01 21:00:00+00:00,228.3,228.3,227.14,227.3,2267.0
NVDA,2018-05-01 22:00:00+00:00,227.5,228.25,227.5,228.25,2974.0
NVDA,2018-05-01 23:00:00+00:00,228.3,228.73,228.3,228.5,678.0
NVDA,2018-05-02 08:00:00+00:00,228.06,228.06,228.06,228.06,2.0
NVDA,2018-05-02 09:00:00+00:00,228.56,228.78,228.4,228.78,330.0
NVDA,2018-05-02 10:00:00+00:00,228.11,228.11,227.31,227.31,258.0
NVDA,2018-05-02 11:00:00+00:00,228.38,228.79,227.62,227.62,1521.0
NVDA,2018-05-02 12:00:00+00:00,227.48,227.75,226.6,226.8,1125.0
NVDA,2018-05-02 13:00:00+00:00,226.99,228.33,225.26,227.11,291038.0
NVDA,2018-05-02 14:00:00+00:00,227.07,228.68,226.91,227.42,222263.0
NVDA,2018-05-02 15:00:00+00:00,227.52,227.9,225.7,226.55,218518.0
NVDA,2018-05-02 16:00:00+00:00,226.52,227.21,226.19,227.02,128124.0
NVDA,2018-05-02 17:00:00+00:00,227.15,227.63,226.96,227.15,83921.0
NVDA,2018-05-02 18:00:00+00:00,227.22,228.8,226.97,227.61,249329.0
NVDA,2018-05-02 19:00:00+00:00,227.61,228.2,226.11,226.31,364750.0
NVDA,2018-05-02 20:00:00+00:00,226.31,226.95,225.56,225.56,270153.0
NVDA,2018-05-02 21:00:00+00:00,225.79,225.95,225.79,225.95,447.0
NVDA,2018-05-02 22:00:00+00:00,225.82,226.17,225.7,225.88,2247.0
NVDA,2018-05-02 23:00:00+00:00,226.0,226.0,225.62,225.62,713.0
NVDA,2018-05-03 08:00:00+00:00,229.95,230.39,229.05,229.76,687.0
NVDA,2018-05-03 09:00:00+00:00,229.73,230.45,229.5,230.0,1775.0
NVDA,2018-05-03 10:00:00+00:00,230.0,230.5,229.9,230.5,2177.0
NVDA,2018-05-03 11:00:00+00:00,229.2,229.9,227.5,227.55,9149.0
NVDA,2018-05-03 12:00:00+00:00,227.99,228.38,227.5,228.0,7074.0
NVDA,2018-05-03 13:00:00+00:00,227.85,228.75,226.02,228.28,433411.0
NVDA,2018-05-03 14:00:00+00:00,228.25,229.41,225.74,226.46,455287.0
NVDA,2018-05-03 15:00:00+00:00,226.46,228.1,225.98,227.96,371586.0
NVDA,2018-05-03 16:00:00+00:00,227.96,231.86,227.22,231.64,437376.0
NVDA,2018-05-03 17:00:00+00:00,231.64,232.88,230.8,232.02,431206.0
NVDA,2018-05-03 18:00:00+00:00,232.06,233.66,231.61,232.38,286461.0
NVDA,2018-05-03 19:00:00+00:00,232.38,234.08,232.28,232.99,522165.0
NVDA,2018-05-03 20:00:00+00:00,232.99,233.48,232.99,233.37,205518.0
NVDA,2018-05-03 21:00:00+00:00,233.25,233.78,233.15,233.51,2181.0
NVDA,2018-05-03 22:00:00+00:00,233.67,233.93,233.56,233.83,1282.0
NVDA,2018-05-03 23:00:00+00:00,233.75,233.75,233.2,233.3,4124.0
