symbol,ts,open,high,low,close,volume
NWSA,2018-05-01 13:00:00+00:00,15.94,15.99,15.91,15.93,20076.0
NWSA,2018-05-01 14:00:00+00:00,15.92,15.93,15.83,15.845,24738.0
NWSA,2018-05-01 15:00:00+00:00,15.845,15.9,15.82,15.85,27427.0
NWSA,2018-05-01 16:00:00+00:00,15.84,15.9,15.83,15.9,19680.0
NWSA,2018-05-01 17:00:00+00:00,15.89,15.91,15.85,15.91,33139.0
NWSA,2018-05-01 18:00:00+00:00,15.92,15.965,15.92,15.95,35327.0
NWSA,2018-05-01 19:00:00+00:00,15.95,16.03,15.92,16.0,109643.0
NWSA,2018-05-01 20:00:00+00:00,16.01,16.01,16.01,16.01,534106.0
NWSA,2018-05-02 13:00:00+00:00,15.95,16.0,15.8,15.8,41501.0
NWSA,2018-05-02 14:00:00+00:00,15.8,15.93,15.8,15.92,36392.0
NWSA,2018-05-02 15:00:00+00:00,15.92,15.96,15.83,15.845,47000.0
NWSA,2018-05-02 16:00:00+00:00,15.84,15.88,15.84,15.845,25026.0
NWSA,2018-05-02 17:00:00+00:00,15.845,15.9,15.845,15.86,34055.0
NWSA,2018-05-02 18:00:00+00:00,15.86,15.9,15.82,15.83,44287.0
NWSA,2018-05-02 19:00:00+00:00,15.83,15.83,15.695,15.71,100964.0
NWSA,2018-05-02 20:00:00+00:00,15.71,15.73,15.71,15.73,666566.0
NWSA,2018-05-03 13:00:00+00:00,15.7,15.78,15.63,15.73,70667.0
NWSA,2018-05-03 14:00:00+00:00,15.74,15.74,15.56,15.58,102959.0
NWSA,2018-05-03 15:00:00+00:00,15.59,15.69,15.57,15.69,35850.0
NWSA,2018-05-03 16:00:00+00:00,15.69,15.83,15.68,15.83,37288.0
NWSA,2018-05-03 17:00:00+00:00,15.83,15.9,15.8,15.88,42856.0
NWSA,2018-05-03 18:00:00+00:00,15.87,15.91,15.83,15.84,35697.0
NWSA,2018-05-03 19:00:00+00:00,15.845,15.88,15.82,15.875,74650.0
NWSA,2018-05-03 20:00:00+00:00,15.88,15.88,15.88,15.88,151741.0
NWSA,2018-05-04 13:00:00+00:00,15.81,15.94,15.74,15.93,39651.0
NWSA,2018-05-04 14:00:00+00:00,15.93,16.02,15.905,16.0,61918.0
NWSA,2018-05-04 15:00:00+00:00,16.005,16.08,15.98,16.08,26870.0
NWSA,2018-05-04 16:00:00+00:00,16.08,16.095,16.045,16.06,31925.0
NWSA,2018-05-04 17:00:00+00:00,16.06,16.08,16.055,16.08,15388.0
NWSA,2018-05-04 18:00:00+00:00,16.08,16.12,16.08,16.085,25624.0
NWSA,2018-05-04 19:00:00+00:00,16.09,16.15,16.09,16.14,91406.0
NWSA,2018-05-04 20:00:00+00:00,16.14,16.14,16.14,16.14,155566.0
NWSA,2018-05-07 13:00:00+00:00,16.15,16.35,16.11,16.3,62514.0
NWSA,2018-05-07 14:00:00+00:00,16.305,16.36,16.28,16.34,57356.0
NWSA,2018-05-07 15:00:00+00:00,16.33,16.37,16.33,16.365,29563.0
NWSA,2018-05-07 16:00:00+00:00,16.365,16.425,16.365,16.41,37860.0
NWSA,2018-05-07 17:00:00+00:00,16.42,16.43,16.4,16.42,16441.0
NWSA,2018-05-07 18:00:00+00:00,16.425,16.45,16.375,16.38,39617.0
NWSA,2018-05-07 19:00:00+00:00,16.38,16.43,16.33,16.385,116085.0
NWSA,2018-05-07 20:00:00+00:00,16.39,16.39,16.39,16.39,207748.0
NWSA,2018-05-08 13:00:00+00:00,16.33,16.45,16.31,16.4,61645.0
NWSA,2018-05-08 14:00:00+00:00,16.4,16.435,16.385,16.395,51759.0
NWSA,2018-05-08 15:00:00+00:00,16.395,16.47,16.39,16.395,77722.0
NWSA,2018-05-08 16:00:00+00:00,16.4,16.42,16.36,16.37,50983.0
NWSA,2018-05-08 17:00:00+00:00,16.37,16.42,16.37,16.395,22142.0
NWSA,2018-05-08 18:00:00+00:00,16.395,16.41,16.31,16.34,51317.0
NWSA,2018-05-08 19:00:00+00:00,16.33,16.43,16.32,16.38,146747.0
NWSA,2018-05-08 20:00:00+00:00,16.37,16.37,16.37,16.37,244369.0
NWSA,2018-05-09 13:00:00+00:00,16.44,16.49,16.38,16.43,33930.0
NWSA,2018-05-09 14:00:00+00:00,16.435,16.445,16.37,16.38,41039.0
NWSA,2018-05-09 15:00:00+00:00,16.37,16.465,16.36,16.46,31826.0
NWSA,2018-05-09 16:00:00+00:00,16.46,16.5,16.45,16.49,44015.0
NWSA,2018-05-09 17:00:00+00:00,16.5,16.51,16.46,16.46,56926.0
NWSA,2018-05-09 18:00:00+00:00,16.45,16.48,16.44,16.45,29367.0
NWSA,2018-05-09 19:00:00+00:00,16.455,16.52,16.44,16.51,130136.0
NWSA,2018-05-09 20:00:00+00:00,16.51,16.51,16.48,16.51,149358.0
NWSA,2018-05-10 13:00:00+00:00,16.56,16.59,16.45,16.57,30278.0
NWSA,2018-05-10 14:00:00+00:00,16.57,16.59,16.49,16.5,62938.0
NWSA,2018-05-10 15:00:00+00:00,16.505,16.615,16.505,16.58,62487.0
NWSA,2018-05-10 16:00:00+00:00,16.57,16.65,16.57,16.625,29088.0
NWSA,2018-05-10 17:00:00+00:00,16.63,16.63,16.495,16.53,38020.0
NWSA,2018-05-10 18:00:00+00:00,16.53,16.56,16.485,16.5,36278.0
NWSA,2018-05-10 19:00:00+00:00,16.495,16.635,16.49,16.57,271453.0
NWSA,2018-05-10 20:00:00+00:00,16.59,16.79,16.59,16.7,112842.0
NWSA,2018-05-11 13:00:00+00:00,16.51,16.56,15.57,15.6,151866.0
NWSA,2018-05-11 14:00:00+00:00,15.595,15.71,15.53,15.665,180007.0
NWSA,2018-05-11 15:00:00+00:00,15.66,15.66,15.195,15.32,133127.0
NWSA,2018-05-11 16:00:00+00:00,15.325,15.48,15.225,15.24,76216.0
NWSA,2018-05-11 17:00:00+00:00,15.24,15.32,15.23,15.32,73856.0
NWSA,2018-05-11 18:00:00+00:00,15.33,15.355,15.24,15.24,64323.0
NWSA,2018-05-11 19:00:00+00:00,15.24,15.28,15.18,15.19,287125.0
NWSA,2018-05-11 20:00:00+00:00,15.18,15.22,15.18,15.22,172159.0
NWSA,2018-05-14 13:00:00+00:00,15.49,15.7,15.41,15.63,174793.0
NWSA,2018-05-14 14:00:00+00:00,15.625,15.92,15.62,15.81,145536.0
NWSA,2018-05-14 15:00:00+00:00,15.8,15.8,15.63,15.69,104807.0
NWSA,2018-05-14 16:00:00+00:00,15.695,15.75,15.68,15.7,83932.0
NWSA,2018-05-14 17:00:00+00:00,15.7,15.73,15.645,15.73,153073.0
NWSA,2018-05-14 18:00:00+00:00,15.74,15.925,15.74,15.92,138013.0
NWSA,2018-05-14 19:00:00+00:00,15.925,15.925,15.79,15.81,314546.0
NWSA,2018-05-14 20:00:00+00:00,15.82,15.83,15.8,15.8,178111.0
NWSA,2018-05-15 13:00:00+00:00,15.78,15.86,15.61,15.61,71787.0
NWSA,2018-05-15 14:00:00+00:00,15.61,15.75,15.61,15.75,85338.0
NWSA,2018-05-15 15:00:00+00:00,15.75,15.79,15.745,15.755,56948.0
NWSA,2018-05-15 16:00:00+00:00,15.755,15.87,15.72,15.84,64117.0
NWSA,2018-05-15 17:00:00+00:00,15.85,15.85,15.8,15.82,38543.0
NWSA,2018-05-15 18:00:00+00:00,15.82,15.87,15.81,15.85,87942.0
NWSA,2018-05-15 19:00:00+00:00,15.86,15.86,15.75,15.8,150050.0
NWSA,2018-05-15 20:00:00+00:00,15.79,15.79,15.79,15.79,182623.0
NWSA,2018-05-16 13:00:00+00:00,15.81,15.81,15.7,15.8,47044.0
NWSA,2018-05-16 14:00:00+00:00,15.79,15.805,15.74,15.78,62135.0
NWSA,2018-05-16 15:00:00+00:00,15.785,15.86,15.77,15.79,71750.0
NWSA,2018-05-16 16:00:00+00:00,15.79,15.88,15.79,15.865,25880.0
NWSA,2018-05-16 17:00:00+00:00,15.865,15.91,15.855,15.91,42464.0
NWSA,2018-05-16 18:00:00+00:00,15.915,15.985,15.91,15.98,48401.0
NWSA,2018-05-16 19:00:00+00:00,15.98,15.98,15.85,15.9,210342.0
NWSA,2018-05-16 20:00:00+00:00,15.89,15.89,15.89,15.89,223350.0
NWSA,2018-05-17 13:00:00+00:00,15.86,15.94,15.83,15.86,36048.0
NWSA,2018-05-17 14:00:00+00:00,15.85,15.89,15.8,15.89,39359.0
NWSA,2018-05-17 15:00:00+00:00,15.88,15.88,15.8,15.8,31953.0
NWSA,2018-05-17 16:00:00+00:00,15.8,15.82,15.77,15.795,41896.0
NWSA,2018-05-17 17:00:00+00:00,15.795,15.8,15.74,15.74,24736.0
NWSA,2018-05-17 18:00:00+00:00,15.74,15.78,15.715,15.72,33614.0
NWSA,2018-05-17 19:00:00+00:00,15.725,15.76,15.7,15.75,112065.0
NWSA,2018-05-17 20:00:00+00:00,15.74,15.74,15.74,15.74,289194.0
NWSA,2018-05-18 13:00:00+00:00,15.7,15.73,15.61,15.66,84707.0
NWSA,2018-05-18 14:00:00+00:00,15.655,15.69,15.62,15.62,58953.0
NWSA,2018-05-18 15:00:00+00:00,15.61,15.67,15.6,15.65,43613.0
NWSA,2018-05-18 16:00:00+00:00,15.65,15.68,15.64,15.65,19693.0
NWSA,2018-05-18 17:00:00+00:00,15.655,15.675,15.6,15.61,58735.0
NWSA,2018-05-18 18:00:00+00:00,15.615,15.685,15.615,15.65,45788.0
NWSA,2018-05-18 19:00:00+00:00,15.645,15.69,15.62,15.63,197435.0
NWSA,2018-05-18 20:00:00+00:00,15.63,15.63,15.63,15.63,264443.0
NWSA,2018-05-21 13:00:00+00:00,15.69,15.77,15.66,15.705,39274.0
NWSA,2018-05-21 14:00:00+00:00,15.705,15.78,15.705,15.745,37490.0
NWSA,2018-05-21 15:00:00+00:00,15.745,15.75,15.69,15.74,51450.0
NWSA,2018-05-21 16:00:00+00:00,15.75,15.79,15.745,15.745,22771.0
NWSA,2018-05-21 17:00:00+00:00,15.745,15.78,15.745,15.755,26834.0
NWSA,2018-05-21 18:00:00+00:00,15.75,15.76,15.72,15.75,31336.0
NWSA,2018-05-21 19:00:00+00:00,15.745,15.75,15.695,15.705,156596.0
NWSA,2018-05-21 20:00:00+00:00,15.7,15.7,15.7,15.7,153697.0
NWSA,2018-05-22 13:00:00+00:00,15.7,15.79,15.7,15.765,35668.0
NWSA,2018-05-22 14:00:00+00:00,15.765,15.79,15.67,15.685,50274.0
NWSA,2018-05-22 15:00:00+00:00,15.685,15.745,15.685,15.715,31280.0
NWSA,2018-05-22 16:00:00+00:00,15.72,15.72,15.68,15.7,35574.0
NWSA,2018-05-22 17:00:00+00:00,15.7,15.73,15.685,15.685,31512.0
NWSA,2018-05-22 18:00:00+00:00,15.685,15.72,15.665,15.665,48638.0
NWSA,2018-05-22 19:00:00+00:00,15.665,15.67,15.59,15.61,135707.0
NWSA,2018-05-22 20:00:00+00:00,15.61,15.61,15.61,15.61,164508.0
NWSA,2018-05-23 13:00:00+00:00,15.52,15.55,15.485,15.51,26835.0
NWSA,2018-05-23 14:00:00+00:00,15.505,15.51,15.42,15.435,42130.0
NWSA,2018-05-23 15:00:00+00:00,15.435,15.47,15.42,15.42,31897.0
NWSA,2018-05-23 16:00:00+00:00,15.42,15.475,15.4,15.475,34465.0
NWSA,2018-05-23 17:00:00+00:00,15.47,15.47,15.4,15.405,17210.0
NWSA,2018-05-23 18:00:00+00:00,15.41,15.485,15.4,15.485,34605.0
NWSA,2018-05-23 19:00:00+00:00,15.485,15.505,15.46,15.49,116213.0
NWSA,2018-05-23 20:00:00+00:00,15.48,15.48,15.42,15.42,171949.0
NWSA,2018-05-24 13:00:00+00:00,15.45,15.57,15.42,15.455,63318.0
NWSA,2018-05-24 14:00:00+00:00,15.45,15.49,15.405,15.415,55617.0
NWSA,2018-05-24 15:00:00+00:00,15.415,15.55,15.405,15.55,49615.0
NWSA,2018-05-24 16:00:00+00:00,15.545,15.56,15.52,15.535,25753.0
NWSA,2018-05-24 17:00:00+00:00,15.54,15.55,15.485,15.505,31522.0
NWSA,2018-05-24 18:00:00+00:00,15.51,15.515,15.47,15.48,37266.0
NWSA,2018-05-24 19:00:00+00:00,15.48,15.545,15.47,15.53,157568.0
NWSA,2018-05-24 20:00:00+00:00,15.52,15.52,15.52,15.52,171199.0
NWSA,2018-05-25 13:00:00+00:00,15.49,15.58,15.48,15.58,31752.0
NWSA,2018-05-25 14:00:00+00:00,15.58,15.595,15.56,15.58,32386.0
NWSA,2018-05-25 15:00:00+00:00,15.58,15.62,15.58,15.615,26861.0
NWSA,2018-05-25 16:00:00+00:00,15.615,15.62,15.53,15.535,27289.0
NWSA,2018-05-25 17:00:00+00:00,15.54,15.58,15.54,15.575,36417.0
NWSA,2018-05-25 18:00:00+00:00,15.58,15.6,15.57,15.59,32379.0
NWSA,2018-05-25 19:00:00+00:00,15.59,15.61,15.57,15.59,90255.0
NWSA,2018-05-25 20:00:00+00:00,15.58,15.59,15.55,15.55,187095.0
NWSA,2018-05-29 13:00:00+00:00,15.46,15.62,15.46,15.52,60915.0
NWSA,2018-05-29 14:00:00+00:00,15.51,15.515,15.305,15.31,60000.0
NWSA,2018-05-29 15:00:00+00:00,15.31,15.31,15.13,15.13,54231.0
NWSA,2018-05-29 16:00:00+00:00,15.12,15.13,15.03,15.12,72740.0
NWSA,2018-05-29 17:00:00+00:00,15.11,15.11,15.06,15.07,63356.0
NWSA,2018-05-29 18:00:00+00:00,15.07,15.09,15.04,15.045,79676.0
NWSA,2018-05-29 19:00:00+00:00,15.05,15.135,15.03,15.09,117412.0
NWSA,2018-05-29 20:00:00+00:00,15.08,15.08,15.08,15.08,221428.0
NWSA,2018-05-30 13:00:00+00:00,15.17,15.41,15.17,15.345,54043.0
NWSA,2018-05-30 14:00:00+00:00,15.345,15.345,15.285,15.31,64226.0
NWSA,2018-05-30 15:00:00+00:00,15.31,15.4,15.3,15.4,55080.0
NWSA,2018-05-30 16:00:00+00:00,15.395,15.44,15.39,15.43,41615.0
NWSA,2018-05-30 17:00:00+00:00,15.43,15.46,15.41,15.42,47012.0
NWSA,2018-05-30 18:00:00+00:00,15.43,15.445,15.41,15.44,21370.0
NWSA,2018-05-30 19:00:00+00:00,15.445,15.45,15.4,15.405,95125.0
NWSA,2018-05-30 20:00:00+00:00,15.4,15.4,15.4,15.4,147089.0
NWSA,2018-05-31 13:00:00+00:00,15.39,15.43,15.25,15.25,36525.0
NWSA,2018-05-31 14:00:00+00:00,15.26,15.275,15.215,15.25,56051.0
NWSA,2018-05-31 15:00:00+00:00,15.24,15.3,15.23,15.23,45181.0
NWSA,2018-05-31 16:00:00+00:00,15.23,15.23,15.14,15.15,17176.0
NWSA,2018-05-31 17:00:00+00:00,15.15,15.15,15.035,15.035,33786.0
NWSA,2018-05-31 18:00:00+00:00,15.03,15.045,14.97,14.98,46535.0
NWSA,2018-05-31 19:00:00+00:00,14.99,15.065,14.99,15.04,363834.0
NWSA,2018-05-31 20:00:00+00:00,15.03,15.03,15.03,15.03,632309.0
NWSA,2018-06-01 13:00:00+00:00,15.11,15.25,15.1,15.17,45468.0
NWSA,2018-06-01 14:00:00+00:00,15.165,15.26,15.155,15.215,57339.0
NWSA,2018-06-01 15:00:00+00:00,15.22,15.24,15.185,15.2,23868.0
NWSA,2018-06-01 16:00:00+00:00,15.2,15.23,15.19,15.205,24141.0
NWSA,2018-06-01 17:00:00+00:00,15.205,15.23,15.2,15.23,23729.0
NWSA,2018-06-01 18:00:00+00:00,15.22,15.23,15.19,15.2,73823.0
NWSA,2018-06-01 19:00:00+00:00,15.21,15.22,15.19,15.22,88436.0
NWSA,2018-06-01 20:00:00+00:00,15.21,15.21,15.21,15.21,581438.0
NWSA,2018-06-04 13:00:00+00:00,15.3,15.36,15.28,15.305,32370.0
NWSA,2018-06-04 14:00:00+00:00,15.305,15.305,15.265,15.29,28813.0
NWSA,2018-06-04 15:00:00+00:00,15.29,15.29,15.215,15.23,19425.0
NWSA,2018-06-04 16:00:00+00:00,15.23,15.26,15.23,15.245,11655.0
NWSA,2018-06-04 17:00:00+00:00,15.24,15.28,15.24,15.28,23224.0
NWSA,2018-06-04 18:00:00+00:00,15.275,15.28,15.255,15.28,42013.0
NWSA,2018-06-04 19:00:00+00:00,15.275,15.29,15.25,15.29,103906.0
NWSA,2018-06-04 20:00:00+00:00,15.28,15.29,15.28,15.29,583171.0
NWSA,2018-06-05 13:00:00+00:00,15.25,15.46,15.25,15.435,32891.0
NWSA,2018-06-05 14:00:00+00:00,15.44,15.525,15.44,15.505,51414.0
NWSA,2018-06-05 15:00:00+00:00,15.505,15.54,15.465,15.505,59263.0
NWSA,2018-06-05 16:00:00+00:00,15.505,15.53,15.495,15.52,27353.0
NWSA,2018-06-05 17:00:00+00:00,15.515,15.605,15.515,15.575,29839.0
NWSA,2018-06-05 18:00:00+00:00,15.575,15.63,15.575,15.625,34869.0
NWSA,2018-06-05 19:00:00+00:00,15.625,15.65,15.595,15.61,121564.0
NWSA,2018-06-05 20:00:00+00:00,15.62,15.62,15.62,15.62,247130.0
NWSA,2018-06-06 13:00:00+00:00,15.64,15.67,15.575,15.605,22457.0
NWSA,2018-06-06 14:00:00+00:00,15.605,15.635,15.54,15.635,39915.0
NWSA,2018-06-06 15:00:00+00:00,15.64,15.73,15.64,15.68,33670.0
NWSA,2018-06-06 16:00:00+00:00,15.685,15.685,15.66,15.675,13276.0
NWSA,2018-06-06 17:00:00+00:00,15.68,15.72,15.68,15.705,12261.0
NWSA,2018-06-06 18:00:00+00:00,15.705,15.775,15.7,15.7,25737.0
NWSA,2018-06-06 19:00:00+00:00,15.7,15.71,15.67,15.7,136056.0
NWSA,2018-06-06 20:00:00+00:00,15.7,15.7,15.7,15.7,256630.0
NWSA,2018-06-07 13:00:00+00:00,15.72,15.75,15.68,15.69,21002.0
NWSA,2018-06-07 14:00:00+00:00,15.69,15.755,15.69,15.75,32724.0
NWSA,2018-06-07 15:00:00+00:00,15.74,15.79,15.715,15.715,16483.0
NWSA,2018-06-07 16:00:00+00:00,15.71,15.715,15.66,15.67,21316.0
NWSA,2018-06-07 17:00:00+00:00,15.67,15.685,15.61,15.62,20673.0
NWSA,2018-06-07 18:00:00+00:00,15.625,15.7,15.615,15.695,26616.0
NWSA,2018-06-07 19:00:00+00:00,15.695,15.735,15.64,15.67,118545.0
NWSA,2018-06-07 20:00:00+00:00,15.66,15.68,15.66,15.68,354595.0
NWSA,2018-06-08 13:00:00+00:00,15.67,15.81,15.5,15.75,31788.0
NWSA,2018-06-08 14:00:00+00:00,15.74,15.78,15.74,15.78,22090.0
NWSA,2018-06-08 15:00:00+00:00,15.775,15.805,15.745,15.805,22993.0
NWSA,2018-06-08 16:00:00+00:00,15.805,15.85,15.8,15.84,21802.0
NWSA,2018-06-08 17:00:00+00:00,15.84,15.86,15.785,15.795,56553.0
NWSA,2018-06-08 18:00:00+00:00,15.8,15.815,15.775,15.795,39992.0
NWSA,2018-06-08 19:00:00+00:00,15.795,15.85,15.795,15.82,137737.0
NWSA,2018-06-08 20:00:00+00:00,15.82,15.82,15.79,15.79,205711.0
NWSA,2018-06-11 13:00:00+00:00,15.79,15.79,15.74,15.775,23479.0
NWSA,2018-06-11 14:00:00+00:00,15.77,15.88,15.77,15.83,39504.0
NWSA,2018-06-11 15:00:00+00:00,15.84,15.89,15.84,15.88,23026.0
NWSA,2018-06-11 16:00:00+00:00,15.88,15.92,15.88,15.915,18686.0
NWSA,2018-06-11 17:00:00+00:00,15.91,15.91,15.88,15.885,11989.0
NWSA,2018-06-11 18:00:00+00:00,15.88,15.89,15.86,15.88,18648.0
NWSA,2018-06-11 19:00:00+00:00,15.885,15.915,15.87,15.875,61739.0
NWSA,2018-06-11 20:00:00+00:00,15.87,15.87,15.87,15.87,152123.0
NWSA,2018-06-12 13:00:00+00:00,15.92,16.01,15.86,15.91,32771.0
NWSA,2018-06-12 14:00:00+00:00,15.91,15.955,15.91,15.92,34368.0
NWSA,2018-06-12 15:00:00+00:00,15.925,15.98,15.905,15.975,43983.0
NWSA,2018-06-12 16:00:00+00:00,15.975,16.035,15.97,16.015,29494.0
NWSA,2018-06-12 17:00:00+00:00,16.015,16.04,16.015,16.03,11573.0
NWSA,2018-06-12 18:00:00+00:00,16.03,16.03,15.94,15.94,24179.0
NWSA,2018-06-12 19:00:00+00:00,15.95,16.01,15.95,16.0,63714.0
NWSA,2018-06-12 20:00:00+00:00,16.0,16.0,16.0,16.0,154784.0
NWSA,2018-06-13 13:00:00+00:00,16.05,16.34,15.97,16.26,114586.0
NWSA,2018-06-13 14:00:00+00:00,16.26,16.265,16.05,16.06,47903.0
NWSA,2018-06-13 15:00:00+00:00,16.055,16.105,16.025,16.03,32645.0
