symbol,ts,open,high,low,close,volume
O,2018-05-01 13:00:00+00:00,50.51,50.82,50.51,50.58,12085.0
O,2018-05-01 14:00:00+00:00,50.58,50.72,50.27,50.28,47018.0
O,2018-05-01 15:00:00+00:00,50.29,50.66,50.24,50.57,47896.0
O,2018-05-01 16:00:00+00:00,50.57,50.61,50.52,50.56,19200.0
O,2018-05-01 17:00:00+00:00,50.55,50.78,50.54,50.76,19451.0
O,2018-05-01 18:00:00+00:00,50.78,51.1,50.73,51.1,24771.0
O,2018-05-01 19:00:00+00:00,51.09,51.31,51.02,51.2,82324.0
O,2018-05-02 13:00:00+00:00,51.01,51.04,50.35,50.35,13488.0
O,2018-05-02 14:00:00+00:00,50.36,50.76,50.25,50.72,38796.0
O,2018-05-02 15:00:00+00:00,50.73,50.92,50.65,50.76,24923.0
O,2018-05-02 16:00:00+00:00,50.74,50.78,50.65,50.72,19983.0
O,2018-05-02 17:00:00+00:00,50.72,50.96,50.66,50.96,23862.0
O,2018-05-02 18:00:00+00:00,50.97,51.11,50.79,50.97,29143.0
O,2018-05-02 19:00:00+00:00,50.97,50.97,50.67,50.8,67562.0
O,2018-05-03 13:00:00+00:00,50.7,50.99,50.67,50.94,10621.0
O,2018-05-03 14:00:00+00:00,51.0,51.15,50.72,51.05,24533.0
O,2018-05-03 15:00:00+00:00,51.06,51.52,51.06,51.5,55679.0
O,2018-05-03 16:00:00+00:00,51.52,51.52,51.27,51.44,24534.0
O,2018-05-03 17:00:00+00:00,51.44,51.44,51.19,51.37,20629.0
O,2018-05-03 18:00:00+00:00,51.37,51.43,51.18,51.22,17820.0
O,2018-05-03 19:00:00+00:00,51.22,51.3,51.165,51.29,54788.0
O,2018-05-04 13:00:00+00:00,51.25,52.04,51.25,51.89,26196.0
O,2018-05-04 14:00:00+00:00,51.87,52.24,51.78,52.06,65362.0
O,2018-05-04 15:00:00+00:00,52.07,52.39,51.91,52.29,42739.0
O,2018-05-04 16:00:00+00:00,52.27,52.43,52.27,52.32,31848.0
O,2018-05-04 17:00:00+00:00,52.315,52.39,52.13,52.17,25731.0
O,2018-05-04 18:00:00+00:00,52.17,52.43,52.13,52.33,34477.0
O,2018-05-04 19:00:00+00:00,52.34,52.42,52.23,52.28,65156.0
O,2018-05-04 20:00:00+00:00,52.44,52.45,52.44,52.45,60.0
O,2018-05-07 13:00:00+00:00,52.32,52.6,52.23,52.26,9654.0
O,2018-05-07 14:00:00+00:00,52.33,52.395,52.18,52.26,27326.0
