symbol,ts,open,high,low,close,volume
ODFL,2018-05-01 13:00:00+00:00,133.84,134.38,133.4,134.13,14668.0
ODFL,2018-05-01 14:00:00+00:00,134.11,134.11,131.23,131.38,38850.0
ODFL,2018-05-01 15:00:00+00:00,131.32,132.15,131.14,131.42,36686.0
ODFL,2018-05-01 16:00:00+00:00,131.445,132.18,131.37,131.66,14549.0
ODFL,2018-05-01 17:00:00+00:00,131.61,132.23,130.9,132.22,14124.0
ODFL,2018-05-01 18:00:00+00:00,132.21,132.44,131.73,131.93,27131.0
ODFL,2018-05-01 19:00:00+00:00,131.895,132.36,131.71,131.72,68186.0
ODFL,2018-05-01 20:00:00+00:00,131.75,131.75,131.75,131.75,84657.0
ODFL,2018-05-02 12:00:00+00:00,131.75,131.75,131.75,131.75,5.0
ODFL,2018-05-02 13:00:00+00:00,131.11,131.64,130.31,130.88,31420.0
ODFL,2018-05-02 14:00:00+00:00,130.79,132.75,130.68,132.51,34984.0
ODFL,2018-05-02 15:00:00+00:00,132.5,133.13,132.13,133.13,23690.0
ODFL,2018-05-02 16:00:00+00:00,133.07,133.37,132.83,133.09,26724.0
ODFL,2018-05-02 17:00:00+00:00,133.15,133.51,133.04,133.15,17154.0
ODFL,2018-05-02 18:00:00+00:00,133.07,134.44,133.0,134.25,36627.0
ODFL,2018-05-02 19:00:00+00:00,134.28,134.44,132.87,133.04,102541.0
ODFL,2018-05-02 20:00:00+00:00,133.04,133.04,133.03,133.03,44809.0
ODFL,2018-05-03 13:00:00+00:00,132.69,133.65,132.36,133.04,17776.0
ODFL,2018-05-03 14:00:00+00:00,132.94,133.0,131.43,131.69,31187.0
ODFL,2018-05-03 15:00:00+00:00,131.69,132.42,130.85,131.61,43155.0
ODFL,2018-05-03 16:00:00+00:00,131.625,132.91,131.625,132.75,34494.0
ODFL,2018-05-03 17:00:00+00:00,132.75,133.52,132.425,133.23,36445.0
ODFL,2018-05-03 18:00:00+00:00,133.24,133.99,133.09,133.66,32963.0
ODFL,2018-05-03 19:00:00+00:00,133.68,133.9,132.59,133.15,84276.0
ODFL,2018-05-03 20:00:00+00:00,133.17,133.17,133.16,133.16,42447.0
ODFL,2018-05-04 13:00:00+00:00,132.3,133.48,132.17,132.65,15533.0
ODFL,2018-05-04 14:00:00+00:00,132.55,134.11,132.04,134.11,17650.0
ODFL,2018-05-04 15:00:00+00:00,134.01,134.5,133.86,134.42,15317.0
ODFL,2018-05-04 16:00:00+00:00,134.345,134.44,133.82,134.395,9812.0
ODFL,2018-05-04 17:00:00+00:00,134.38,134.97,134.22,134.88,14406.0
ODFL,2018-05-04 18:00:00+00:00,135.0,135.28,134.86,134.94,15500.0
ODFL,2018-05-04 19:00:00+00:00,134.96,135.27,134.0,134.31,41710.0
ODFL,2018-05-04 20:00:00+00:00,134.31,134.31,134.31,134.31,33528.0
ODFL,2018-05-07 13:00:00+00:00,134.31,136.36,134.31,135.84,16484.0
ODFL,2018-05-07 14:00:00+00:00,135.82,137.78,135.81,137.76,22454.0
ODFL,2018-05-07 15:00:00+00:00,137.66,138.35,137.32,137.71,30293.0
