symbol,ts,open,high,low,close,volume
OMC,2018-05-01 13:00:00+00:00,73.4,73.6,73.14,73.6,10928.0
OMC,2018-05-01 14:00:00+00:00,73.6,73.78,73.12,73.25,40246.0
OMC,2018-05-01 15:00:00+00:00,73.29,73.4,73.17,73.19,29073.0
OMC,2018-05-01 16:00:00+00:00,73.185,73.44,73.18,73.34,21374.0
OMC,2018-05-01 17:00:00+00:00,73.33,73.86,73.25,73.855,23976.0
OMC,2018-05-01 18:00:00+00:00,73.86,74.1,73.78,74.08,33544.0
OMC,2018-05-01 19:00:00+00:00,74.09,74.32,74.06,74.21,53106.0
OMC,2018-05-02 13:00:00+00:00,73.84,74.06,73.54,73.56,8075.0
OMC,2018-05-02 14:00:00+00:00,73.61,74.38,73.5,74.1,31360.0
OMC,2018-05-02 15:00:00+00:00,74.1,74.32,73.82,73.99,36236.0
OMC,2018-05-02 16:00:00+00:00,73.98,74.11,73.72,73.81,33690.0
OMC,2018-05-02 17:00:00+00:00,73.82,73.97,73.72,73.93,27613.0
OMC,2018-05-02 18:00:00+00:00,73.91,74.03,73.83,73.96,35308.0
OMC,2018-05-02 19:00:00+00:00,73.97,73.98,73.51,73.54,83800.0
OMC,2018-05-03 13:00:00+00:00,73.28,73.41,73.04,73.24,9244.0
OMC,2018-05-03 14:00:00+00:00,73.23,73.36,72.87,73.16,36385.0
OMC,2018-05-03 15:00:00+00:00,73.18,73.93,73.18,73.77,30052.0
OMC,2018-05-03 16:00:00+00:00,73.75,74.24,73.55,74.21,25583.0
OMC,2018-05-03 17:00:00+00:00,74.21,74.29,73.98,74.2,20055.0
OMC,2018-05-03 18:00:00+00:00,74.17,74.4,74.1,74.21,40426.0
OMC,2018-05-03 19:00:00+00:00,74.19,74.31,73.99,74.15,57613.0
OMC,2018-05-04 13:00:00+00:00,73.605,74.08,73.39,73.93,20737.0
OMC,2018-05-04 14:00:00+00:00,73.9,74.74,73.8,74.69,36039.0
OMC,2018-05-04 15:00:00+00:00,74.67,74.7,74.44,74.5,23031.0
OMC,2018-05-04 16:00:00+00:00,74.49,74.78,74.48,74.76,12596.0
OMC,2018-05-04 17:00:00+00:00,74.75,74.83,74.58,74.58,13025.0
OMC,2018-05-04 18:00:00+00:00,74.61,74.9,74.61,74.85,21749.0
OMC,2018-05-04 19:00:00+00:00,74.855,74.96,74.43,74.57,60927.0
OMC,2018-05-07 13:00:00+00:00,74.58,74.58,73.83,73.84,18363.0
OMC,2018-05-07 14:00:00+00:00,73.81,73.89,73.18,73.22,38349.0
OMC,2018-05-07 15:00:00+00:00,73.22,73.66,73.18,73.61,18601.0
OMC,2018-05-07 16:00:00+00:00,73.62,73.68,73.54,73.64,16919.0
OMC,2018-05-07 17:00:00+00:00,73.63,73.65,73.45,73.6,11266.0
OMC,2018-05-07 18:00:00+00:00,73.59,74.11,73.59,74.08,15652.0
OMC,2018-05-07 19:00:00+00:00,74.08,74.2,73.88,74.04,42870.0
OMC,2018-05-08 12:00:00+00:00,74.06,74.06,74.06,74.06,139.0
OMC,2018-05-08 13:00:00+00:00,74.05,74.22,73.56,74.15,6087.0
OMC,2018-05-08 14:00:00+00:00,74.14,74.34,73.7,73.85,13328.0
OMC,2018-05-08 15:00:00+00:00,73.78,74.1,73.69,73.71,18545.0
OMC,2018-05-08 16:00:00+00:00,73.67,73.78,73.41,73.49,13500.0
OMC,2018-05-08 17:00:00+00:00,73.49,73.98,73.46,73.84,12809.0
OMC,2018-05-08 18:00:00+00:00,73.84,73.96,73.72,73.79,23212.0
OMC,2018-05-08 19:00:00+00:00,73.78,74.0,73.73,73.85,23267.0
OMC,2018-05-09 13:00:00+00:00,73.95,74.27,73.62,73.71,14296.0
OMC,2018-05-09 14:00:00+00:00,73.71,73.9,73.61,73.77,33193.0
OMC,2018-05-09 15:00:00+00:00,73.81,74.07,73.74,74.07,15554.0
OMC,2018-05-09 16:00:00+00:00,74.08,74.25,74.03,74.23,14683.0
OMC,2018-05-09 17:00:00+00:00,74.24,74.31,74.1,74.17,21045.0
OMC,2018-05-09 18:00:00+00:00,74.16,74.255,74.07,74.24,17690.0
OMC,2018-05-09 19:00:00+00:00,74.24,74.31,74.1,74.28,36887.0
OMC,2018-05-10 13:00:00+00:00,74.57,74.72,74.18,74.72,6105.0
OMC,2018-05-10 14:00:00+00:00,74.68,74.86,74.45,74.82,9016.0
OMC,2018-05-10 15:00:00+00:00,74.85,74.91,74.56,74.76,42077.0
OMC,2018-05-10 16:00:00+00:00,74.77,74.9,74.68,74.72,15978.0
OMC,2018-05-10 17:00:00+00:00,74.7,74.73,74.28,74.39,15070.0
OMC,2018-05-10 18:00:00+00:00,74.41,74.47,74.28,74.47,29808.0
OMC,2018-05-10 19:00:00+00:00,74.49,74.68,74.44,74.61,73842.0
OMC,2018-05-11 13:00:00+00:00,74.75,75.28,74.59,75.25,19936.0
OMC,2018-05-11 14:00:00+00:00,75.29,75.45,75.26,75.44,42131.0
OMC,2018-05-11 15:00:00+00:00,75.46,75.66,75.37,75.4,24396.0
OMC,2018-05-11 16:00:00+00:00,75.39,75.42,75.11,75.27,19735.0
OMC,2018-05-11 17:00:00+00:00,75.27,75.345,75.25,75.345,12901.0
OMC,2018-05-11 18:00:00+00:00,75.34,75.34,75.15,75.26,16204.0
OMC,2018-05-11 19:00:00+00:00,75.26,75.3,75.025,75.08,29351.0
OMC,2018-05-14 13:00:00+00:00,74.93,75.06,74.73,75.0,7121.0
