symbol,ts,open,high,low,close,volume
ON,2018-05-01 13:00:00+00:00,22.01,22.28,21.98,22.23,365093.0
ON,2018-05-01 14:00:00+00:00,22.23,22.24,21.985,21.99,227628.0
ON,2018-05-01 15:00:00+00:00,22.0,22.2,21.97,22.04,289831.0
ON,2018-05-01 16:00:00+00:00,22.05,22.105,22.01,22.05,172990.0
ON,2018-05-01 17:00:00+00:00,22.04,22.06,21.965,22.03,169230.0
ON,2018-05-01 18:00:00+00:00,22.03,22.05,21.93,22.0,223737.0
ON,2018-05-01 19:00:00+00:00,22.0,22.18,21.975,22.16,381159.0
ON,2018-05-01 20:00:00+00:00,22.16,22.16,22.16,22.16,261669.0
ON,2018-05-01 21:00:00+00:00,22.3,22.3,22.3,22.3,15.0
ON,2018-05-02 13:00:00+00:00,22.21,22.425,22.115,22.315,171664.0
ON,2018-05-02 14:00:00+00:00,22.315,22.505,22.31,22.31,231418.0
ON,2018-05-02 15:00:00+00:00,22.31,22.34,21.975,22.08,200029.0
ON,2018-05-02 16:00:00+00:00,22.09,22.265,22.065,22.235,221548.0
ON,2018-05-02 17:00:00+00:00,22.235,22.26,22.175,22.26,139396.0
ON,2018-05-02 18:00:00+00:00,22.255,22.42,22.21,22.22,345011.0
ON,2018-05-02 19:00:00+00:00,22.21,22.295,22.135,22.2,446423.0
ON,2018-05-02 20:00:00+00:00,22.2,22.2,22.18,22.18,257769.0
ON,2018-05-03 12:00:00+00:00,22.2,22.2,22.2,22.2,25.0
ON,2018-05-03 13:00:00+00:00,21.96,22.04,21.71,21.85,232961.0
ON,2018-05-03 14:00:00+00:00,21.86,21.925,21.445,21.49,391038.0
ON,2018-05-03 15:00:00+00:00,21.495,21.78,21.46,21.73,373274.0
ON,2018-05-03 16:00:00+00:00,21.73,22.02,21.58,22.01,195972.0
ON,2018-05-03 17:00:00+00:00,22.0,22.04,21.91,21.93,189697.0
ON,2018-05-03 18:00:00+00:00,21.925,22.1,21.86,21.99,265564.0
ON,2018-05-03 19:00:00+00:00,22.0,22.09,21.95,22.08,673243.0
ON,2018-05-03 20:00:00+00:00,22.08,22.08,22.08,22.08,978965.0
ON,2018-05-04 13:00:00+00:00,21.9,22.2,21.9,22.115,116379.0
ON,2018-05-04 14:00:00+00:00,22.11,22.27,22.005,22.265,115494.0
ON,2018-05-04 15:00:00+00:00,22.28,22.56,22.28,22.55,109732.0
ON,2018-05-04 16:00:00+00:00,22.54,22.605,22.51,22.58,123722.0
ON,2018-05-04 17:00:00+00:00,22.585,22.685,22.51,22.685,125101.0
ON,2018-05-04 18:00:00+00:00,22.685,22.775,22.62,22.635,144905.0
ON,2018-05-04 19:00:00+00:00,22.64,22.705,22.605,22.65,346856.0
ON,2018-05-04 20:00:00+00:00,22.64,22.64,22.64,22.64,619860.0
ON,2018-05-07 13:00:00+00:00,22.72,22.895,22.68,22.73,112136.0
ON,2018-05-07 14:00:00+00:00,22.72,22.99,22.695,22.96,134646.0
ON,2018-05-07 15:00:00+00:00,22.96,23.11,22.94,23.055,148269.0
ON,2018-05-07 16:00:00+00:00,23.06,23.13,23.015,23.05,114585.0
ON,2018-05-07 17:00:00+00:00,23.06,23.08,23.01,23.035,72054.0
ON,2018-05-07 18:00:00+00:00,23.03,23.095,22.96,23.0,99463.0
ON,2018-05-07 19:00:00+00:00,23.0,23.025,22.79,22.855,262270.0
ON,2018-05-07 20:00:00+00:00,22.86,22.86,22.86,22.86,201191.0
ON,2018-05-08 10:00:00+00:00,22.9,22.9,22.9,22.9,5.0
ON,2018-05-08 13:00:00+00:00,22.91,23.2,22.78,22.82,251780.0
ON,2018-05-08 14:00:00+00:00,22.82,22.98,22.78,22.94,140544.0
ON,2018-05-08 15:00:00+00:00,22.93,23.03,22.865,22.975,102399.0
ON,2018-05-08 16:00:00+00:00,22.97,22.98,22.84,22.84,67692.0
ON,2018-05-08 17:00:00+00:00,22.85,22.97,22.765,22.78,77646.0
ON,2018-05-08 18:00:00+00:00,22.79,23.0,22.725,22.81,120913.0
ON,2018-05-08 19:00:00+00:00,22.81,22.92,22.765,22.92,263190.0
ON,2018-05-08 20:00:00+00:00,22.92,22.92,22.92,22.92,434950.0
ON,2018-05-09 13:00:00+00:00,23.0,23.14,22.98,23.07,120590.0
ON,2018-05-09 14:00:00+00:00,23.07,23.295,23.04,23.16,172130.0
ON,2018-05-09 15:00:00+00:00,23.155,23.325,23.13,23.3,92951.0
ON,2018-05-09 16:00:00+00:00,23.295,23.36,23.245,23.275,83956.0
ON,2018-05-09 17:00:00+00:00,23.275,23.44,23.265,23.38,84611.0
ON,2018-05-09 18:00:00+00:00,23.385,23.39,23.32,23.35,88987.0
