symbol,ts,open,high,low,close,volume
ORCL,2018-05-01 13:00:00+00:00,45.6,45.83,45.39,45.73,147298.0
ORCL,2018-05-01 14:00:00+00:00,45.72,45.775,45.545,45.715,176420.0
ORCL,2018-05-01 15:00:00+00:00,45.71,45.71,45.565,45.57,105480.0
ORCL,2018-05-01 16:00:00+00:00,45.57,45.68,45.545,45.56,121322.0
ORCL,2018-05-01 17:00:00+00:00,45.56,45.71,45.44,45.7,120807.0
ORCL,2018-05-01 18:00:00+00:00,45.7,45.86,45.655,45.8,171421.0
ORCL,2018-05-01 19:00:00+00:00,45.81,45.94,45.69,45.93,262479.0
ORCL,2018-05-01 20:00:00+00:00,46.1,46.1,46.01,46.01,85.0
ORCL,2018-05-02 13:00:00+00:00,46.03,46.03,45.78,45.91,103978.0
ORCL,2018-05-02 14:00:00+00:00,45.91,45.965,45.74,45.83,148211.0
ORCL,2018-05-02 15:00:00+00:00,45.82,45.86,45.64,45.7,105251.0
ORCL,2018-05-02 16:00:00+00:00,45.69,45.845,45.655,45.84,71447.0
ORCL,2018-05-02 17:00:00+00:00,45.84,45.925,45.84,45.91,80948.0
ORCL,2018-05-02 18:00:00+00:00,45.91,46.07,45.74,45.78,167378.0
ORCL,2018-05-02 19:00:00+00:00,45.78,45.81,45.48,45.51,282123.0
ORCL,2018-05-03 13:00:00+00:00,45.41,45.43,45.01,45.18,143234.0
ORCL,2018-05-03 14:00:00+00:00,45.18,45.18,44.5,44.59,426549.0
ORCL,2018-05-03 15:00:00+00:00,44.6,44.805,44.54,44.75,320124.0
ORCL,2018-05-03 16:00:00+00:00,44.75,45.05,44.62,45.04,293320.0
ORCL,2018-05-03 17:00:00+00:00,45.04,45.15,44.93,45.08,211307.0
ORCL,2018-05-03 18:00:00+00:00,45.09,45.15,45.04,45.09,297485.0
ORCL,2018-05-03 19:00:00+00:00,45.1,45.23,45.025,45.05,520908.0
ORCL,2018-05-04 13:00:00+00:00,44.8,45.15,44.8,45.14,146934.0
ORCL,2018-05-04 14:00:00+00:00,45.145,45.575,45.095,45.46,230939.0
ORCL,2018-05-04 15:00:00+00:00,45.47,45.51,45.44,45.505,132272.0
ORCL,2018-05-04 16:00:00+00:00,45.5,45.58,45.49,45.55,118088.0
ORCL,2018-05-04 17:00:00+00:00,45.56,45.75,45.56,45.725,96402.0
ORCL,2018-05-04 18:00:00+00:00,45.72,45.915,45.7,45.83,120153.0
ORCL,2018-05-04 19:00:00+00:00,45.82,45.88,45.655,45.71,367881.0
ORCL,2018-05-04 20:00:00+00:00,45.66,45.66,45.66,45.66,3.0
ORCL,2018-05-07 13:00:00+00:00,45.94,46.11,45.78,45.99,78072.0
ORCL,2018-05-07 14:00:00+00:00,45.98,46.06,45.89,46.0,125680.0
ORCL,2018-05-07 15:00:00+00:00,46.005,46.09,45.95,46.03,99818.0
ORCL,2018-05-07 16:00:00+00:00,46.035,46.11,45.99,45.995,95623.0
ORCL,2018-05-07 17:00:00+00:00,45.995,46.14,45.97,46.13,114272.0
