symbol,ts,open,high,low,close,volume
OTIS,2020-04-03 12:00:00+00:00,41.16,43.3,41.11,43.3,1392.0
OTIS,2020-04-03 13:00:00+00:00,43.2,43.95,41.8,42.92,162687.0
OTIS,2020-04-03 14:00:00+00:00,43.0,45.71,42.62,45.7,175965.0
OTIS,2020-04-03 15:00:00+00:00,45.75,47.93,45.24,47.25,197800.0
OTIS,2020-04-03 16:00:00+00:00,47.2,48.08,46.6,48.08,107245.0
OTIS,2020-04-03 17:00:00+00:00,48.22,49.3,48.22,48.78,142850.0
OTIS,2020-04-03 18:00:00+00:00,48.8,48.9,46.68,47.11,151230.0
OTIS,2020-04-03 19:00:00+00:00,47.02,47.9,46.0,47.01,367786.0
OTIS,2020-04-03 20:00:00+00:00,47.16,47.16,47.16,47.16,223.0
OTIS,2020-04-06 10:00:00+00:00,49.0,49.0,49.0,49.0,2000.0
OTIS,2020-04-06 11:00:00+00:00,48.74,48.74,48.0,48.0,83.0
OTIS,2020-04-06 12:00:00+00:00,47.8,47.8,47.8,47.8,37.0
OTIS,2020-04-06 13:00:00+00:00,47.5,47.85,46.99,47.48,123709.0
OTIS,2020-04-06 14:00:00+00:00,47.48,47.73,47.33,47.47,102912.0
OTIS,2020-04-06 15:00:00+00:00,47.47,47.53,47.46,47.49,74748.0
OTIS,2020-04-06 16:00:00+00:00,47.49,47.51,47.45,47.49,57747.0
OTIS,2020-04-06 17:00:00+00:00,47.5,47.7,46.41,47.305,95015.0
OTIS,2020-04-06 18:00:00+00:00,47.3,47.44,44.755,45.14,122778.0
OTIS,2020-04-06 19:00:00+00:00,45.09,46.68,44.71,45.71,224155.0
OTIS,2020-04-07 13:00:00+00:00,45.1,46.98,44.15,46.16,54037.0
OTIS,2020-04-07 14:00:00+00:00,46.16,46.2,45.0,45.5,107932.0
OTIS,2020-04-07 15:00:00+00:00,45.5,45.94,44.75,44.95,98899.0
OTIS,2020-04-07 16:00:00+00:00,44.87,45.0,44.3,44.37,105538.0
OTIS,2020-04-07 17:00:00+00:00,44.38,44.88,43.25,43.96,139783.0
OTIS,2020-04-07 18:00:00+00:00,43.95,44.52,42.99,44.48,182204.0
OTIS,2020-04-07 19:00:00+00:00,44.49,44.8,43.73,44.21,236401.0
OTIS,2020-04-07 20:00:00+00:00,44.29,44.29,44.17,44.17,170.0
OTIS,2020-04-08 12:00:00+00:00,43.5,43.5,43.4,43.5,400.0
OTIS,2020-04-08 13:00:00+00:00,43.5,43.85,42.21,43.22,125718.0
OTIS,2020-04-08 14:00:00+00:00,43.23,45.15,43.0,43.11,225498.0
OTIS,2020-04-08 15:00:00+00:00,43.08,43.98,43.0,43.64,271194.0
OTIS,2020-04-08 16:00:00+00:00,43.64,43.67,43.12,43.42,163619.0
OTIS,2020-04-08 17:00:00+00:00,43.43,43.5,42.76,42.8,131321.0
OTIS,2020-04-08 18:00:00+00:00,42.79,42.81,41.26,42.36,167010.0
OTIS,2020-04-08 19:00:00+00:00,42.34,44.65,42.04,44.08,459363.0
OTIS,2020-04-09 12:00:00+00:00,44.0,44.0,43.72,43.72,8.0
OTIS,2020-04-09 13:00:00+00:00,43.93,45.75,43.93,45.14,143494.0
OTIS,2020-04-09 14:00:00+00:00,45.15,45.66,44.48,45.49,185540.0
OTIS,2020-04-09 15:00:00+00:00,45.46,46.5,45.42,46.26,123805.0
OTIS,2020-04-09 16:00:00+00:00,46.26,47.48,46.18,47.09,171043.0
OTIS,2020-04-09 17:00:00+00:00,47.09,47.57,46.77,47.54,157975.0
OTIS,2020-04-09 18:00:00+00:00,47.52,48.23,46.6,47.69,159777.0
OTIS,2020-04-09 19:00:00+00:00,47.67,50.25,47.04,49.46,389451.0
OTIS,2020-04-09 20:00:00+00:00,49.58,50.0,49.45,49.6,850.0
