symbol,ts,open,high,low,close,volume
OXY,2018-05-01 12:00:00+00:00,77.7,77.7,77.7,77.7,10.0
OXY,2018-05-01 13:00:00+00:00,76.91,77.08,76.53,76.82,28455.0
OXY,2018-05-01 14:00:00+00:00,76.8,76.89,76.12,76.23,90103.0
OXY,2018-05-01 15:00:00+00:00,76.18,76.43,75.97,76.06,101042.0
OXY,2018-05-01 16:00:00+00:00,76.07,76.35,76.05,76.22,67985.0
OXY,2018-05-01 17:00:00+00:00,76.23,76.32,76.07,76.26,63135.0
OXY,2018-05-01 18:00:00+00:00,76.26,76.51,76.25,76.44,69851.0
OXY,2018-05-01 19:00:00+00:00,76.44,76.6,76.17,76.58,147446.0
OXY,2018-05-02 13:00:00+00:00,76.43,76.92,76.38,76.38,24765.0
OXY,2018-05-02 14:00:00+00:00,76.4,76.9,76.4,76.85,68223.0
OXY,2018-05-02 15:00:00+00:00,76.86,76.95,76.64,76.69,55437.0
OXY,2018-05-02 16:00:00+00:00,76.7,76.85,76.54,76.59,51262.0
OXY,2018-05-02 17:00:00+00:00,76.59,76.78,76.58,76.69,33154.0
OXY,2018-05-02 18:00:00+00:00,76.68,77.16,76.67,77.06,65350.0
OXY,2018-05-02 19:00:00+00:00,77.07,77.15,76.54,76.84,128227.0
OXY,2018-05-03 13:00:00+00:00,76.63,77.12,76.29,77.12,29900.0
OXY,2018-05-03 14:00:00+00:00,77.07,77.19,76.35,77.01,109023.0
OXY,2018-05-03 15:00:00+00:00,77.03,77.43,76.94,77.33,117850.0
OXY,2018-05-03 16:00:00+00:00,77.3,77.52,77.11,77.5,108953.0
OXY,2018-05-03 17:00:00+00:00,77.51,77.77,77.31,77.66,73263.0
OXY,2018-05-03 18:00:00+00:00,77.67,77.71,77.31,77.36,72065.0
OXY,2018-05-03 19:00:00+00:00,77.36,77.43,77.15,77.32,143448.0
OXY,2018-05-03 20:00:00+00:00,77.31,77.31,77.31,77.31,1900.0
OXY,2018-05-04 13:00:00+00:00,76.88,77.26,76.72,77.12,28081.0
OXY,2018-05-04 14:00:00+00:00,77.12,77.5,76.82,77.3,69465.0
OXY,2018-05-04 15:00:00+00:00,77.28,78.05,77.225,78.05,76144.0
OXY,2018-05-04 16:00:00+00:00,78.05,78.11,77.7,77.73,65147.0
OXY,2018-05-04 17:00:00+00:00,77.74,77.87,77.67,77.85,48295.0
OXY,2018-05-04 18:00:00+00:00,77.84,78.01,77.77,77.89,42984.0
OXY,2018-05-04 19:00:00+00:00,77.88,77.92,77.54,77.71,97959.0
OXY,2018-05-04 21:00:00+00:00,77.81,77.81,77.81,77.81,600.0
OXY,2018-05-07 13:00:00+00:00,78.31,79.24,78.01,79.15,63159.0
OXY,2018-05-07 14:00:00+00:00,79.14,79.31,78.76,79.07,110502.0
OXY,2018-05-07 15:00:00+00:00,79.07,79.095,78.785,78.84,64432.0
OXY,2018-05-07 16:00:00+00:00,78.85,78.955,78.72,78.77,45709.0
OXY,2018-05-07 17:00:00+00:00,78.78,78.88,78.52,78.61,30961.0
OXY,2018-05-07 18:00:00+00:00,78.6,78.64,78.01,78.02,92570.0
OXY,2018-05-07 19:00:00+00:00,78.02,78.02,77.28,77.28,215599.0
OXY,2018-05-08 10:00:00+00:00,77.28,77.28,77.28,77.28,84.0
OXY,2018-05-08 13:00:00+00:00,77.02,77.17,76.59,77.03,49282.0
OXY,2018-05-08 14:00:00+00:00,77.05,77.62,77.02,77.36,83248.0
OXY,2018-05-08 15:00:00+00:00,77.33,77.48,76.54,77.3,151885.0
OXY,2018-05-08 16:00:00+00:00,77.28,77.395,77.07,77.16,91217.0
OXY,2018-05-08 17:00:00+00:00,77.15,77.35,77.09,77.16,96693.0
OXY,2018-05-08 18:00:00+00:00,77.16,78.14,77.08,77.72,177737.0
OXY,2018-05-08 19:00:00+00:00,77.73,78.4,77.67,78.24,248219.0
OXY,2018-05-08 20:00:00+00:00,78.5,80.29,78.5,80.29,3154.0
OXY,2018-05-08 21:00:00+00:00,80.2,80.32,80.15,80.15,584.0
OXY,2018-05-08 23:00:00+00:00,80.33,80.35,80.33,80.35,150.0
OXY,2018-05-09 12:00:00+00:00,80.71,80.71,80.35,80.35,215.0
OXY,2018-05-09 13:00:00+00:00,80.36,82.48,80.36,81.78,201865.0
OXY,2018-05-09 14:00:00+00:00,81.79,83.8,81.79,82.28,301020.0
OXY,2018-05-09 15:00:00+00:00,82.26,82.81,82.07,82.74,156513.0
OXY,2018-05-09 16:00:00+00:00,82.75,82.93,82.27,82.27,167552.0
OXY,2018-05-09 17:00:00+00:00,82.29,82.61,81.63,82.03,137394.0
OXY,2018-05-09 18:00:00+00:00,82.01,82.27,81.55,82.27,133624.0
OXY,2018-05-09 19:00:00+00:00,82.27,82.595,81.89,82.43,379563.0
OXY,2018-05-09 20:00:00+00:00,82.55,82.55,82.55,82.55,96.0
OXY,2018-05-10 12:00:00+00:00,82.91,82.91,82.91,82.91,100.0
OXY,2018-05-10 13:00:00+00:00,82.9,84.28,82.9,83.21,83444.0
OXY,2018-05-10 14:00:00+00:00,83.21,83.48,82.56,83.11,136817.0
OXY,2018-05-10 15:00:00+00:00,83.1,83.79,83.04,83.76,76156.0
OXY,2018-05-10 16:00:00+00:00,83.79,83.95,83.59,83.7,68598.0
OXY,2018-05-10 17:00:00+00:00,83.71,83.76,83.41,83.55,85729.0
OXY,2018-05-10 18:00:00+00:00,83.55,84.275,83.43,84.24,89626.0
OXY,2018-05-10 19:00:00+00:00,84.25,84.28,83.8,83.86,131657.0
OXY,2018-05-11 13:00:00+00:00,83.95,83.95,83.23,83.66,34175.0
OXY,2018-05-11 14:00:00+00:00,83.65,85.06,83.63,85.03,169965.0
OXY,2018-05-11 15:00:00+00:00,85.03,85.36,85.01,85.22,114778.0
OXY,2018-05-11 16:00:00+00:00,85.22,85.79,84.84,85.47,121266.0
OXY,2018-05-11 17:00:00+00:00,85.47,85.525,85.01,85.43,75590.0
OXY,2018-05-11 18:00:00+00:00,85.42,85.51,84.7,85.06,136654.0
OXY,2018-05-11 19:00:00+00:00,85.08,85.09,84.68,84.99,206584.0
OXY,2018-05-11 20:00:00+00:00,84.94,84.94,84.94,84.94,9.0
OXY,2018-05-14 13:00:00+00:00,85.21,86.13,85.0,85.15,79896.0
OXY,2018-05-14 14:00:00+00:00,85.15,85.15,84.45,84.85,202283.0
OXY,2018-05-14 15:00:00+00:00,84.84,85.15,84.76,84.97,171101.0
OXY,2018-05-14 16:00:00+00:00,84.98,85.02,84.63,84.82,101373.0
OXY,2018-05-14 17:00:00+00:00,84.81,84.87,84.56,84.61,97967.0
OXY,2018-05-14 18:00:00+00:00,84.61,84.7,84.46,84.57,105492.0
OXY,2018-05-14 19:00:00+00:00,84.58,84.96,84.52,84.91,175243.0
OXY,2018-05-15 10:00:00+00:00,85.27,85.27,85.27,85.27,100.0
OXY,2018-05-15 13:00:00+00:00,84.64,84.99,83.9,83.94,34631.0
OXY,2018-05-15 14:00:00+00:00,83.91,85.02,83.9,84.62,99576.0
OXY,2018-05-15 15:00:00+00:00,84.62,84.87,84.51,84.52,93030.0
OXY,2018-05-15 16:00:00+00:00,84.51,84.55,84.13,84.24,53298.0
OXY,2018-05-15 17:00:00+00:00,84.24,84.4,84.07,84.17,56438.0
OXY,2018-05-15 18:00:00+00:00,84.18,84.59,84.11,84.28,64151.0
