symbol,ts,open,high,low,close,volume
PANW,2018-05-01 13:00:00+00:00,192.49,192.49,189.84,190.46,10146.0
PANW,2018-05-01 14:00:00+00:00,190.45,191.9,190.28,191.42,14861.0
PANW,2018-05-01 15:00:00+00:00,191.37,191.7,190.75,190.96,9551.0
PANW,2018-05-01 16:00:00+00:00,191.05,192.11,190.97,191.92,4276.0
PANW,2018-05-01 17:00:00+00:00,191.94,192.65,191.72,192.65,5716.0
PANW,2018-05-01 18:00:00+00:00,192.66,193.29,192.5,193.01,12875.0
PANW,2018-05-01 19:00:00+00:00,193.16,194.26,193.03,194.12,21570.0
PANW,2018-05-02 13:00:00+00:00,194.61,196.85,194.39,196.69,20635.0
PANW,2018-05-02 14:00:00+00:00,196.55,198.69,196.51,197.71,34794.0
PANW,2018-05-02 15:00:00+00:00,197.715,197.96,196.5,196.64,12447.0
PANW,2018-05-02 16:00:00+00:00,196.44,197.35,195.84,197.35,11668.0
PANW,2018-05-02 17:00:00+00:00,197.33,198.04,197.25,197.72,11841.0
PANW,2018-05-02 18:00:00+00:00,197.82,198.75,197.75,198.03,18843.0
PANW,2018-05-02 19:00:00+00:00,197.96,197.96,196.3,196.67,35327.0
PANW,2018-05-03 13:00:00+00:00,195.0,196.66,195.0,196.23,3867.0
PANW,2018-05-03 14:00:00+00:00,196.55,196.63,190.0,191.25,39705.0
PANW,2018-05-03 15:00:00+00:00,191.23,192.4,191.085,192.14,26152.0
PANW,2018-05-03 16:00:00+00:00,192.22,194.15,191.92,194.1,19019.0
PANW,2018-05-03 17:00:00+00:00,194.07,194.84,193.41,193.8,25740.0
PANW,2018-05-03 18:00:00+00:00,193.92,194.08,192.84,193.15,15345.0
PANW,2018-05-03 19:00:00+00:00,193.4,193.84,192.93,193.46,31052.0
PANW,2018-05-04 13:00:00+00:00,192.89,194.06,192.08,193.96,5153.0
PANW,2018-05-04 14:00:00+00:00,193.92,195.23,193.57,194.26,16251.0
PANW,2018-05-04 15:00:00+00:00,194.27,195.77,194.26,195.17,11950.0
PANW,2018-05-04 16:00:00+00:00,195.32,195.56,195.07,195.19,8164.0
PANW,2018-05-04 17:00:00+00:00,195.24,196.59,195.08,196.46,6739.0
PANW,2018-05-04 18:00:00+00:00,196.35,196.95,195.915,195.915,12937.0
PANW,2018-05-04 19:00:00+00:00,195.92,195.99,194.93,195.325,32720.0
PANW,2018-05-07 13:00:00+00:00,196.63,197.68,195.85,196.13,5895.0
PANW,2018-05-07 14:00:00+00:00,196.14,198.12,196.05,198.08,17437.0
PANW,2018-05-07 15:00:00+00:00,198.065,198.89,197.72,198.71,9560.0
PANW,2018-05-07 16:00:00+00:00,198.75,198.91,198.04,198.26,9557.0
PANW,2018-05-07 17:00:00+00:00,198.06,199.35,198.03,199.1,7362.0
PANW,2018-05-07 18:00:00+00:00,199.13,199.64,198.62,198.62,6363.0
PANW,2018-05-07 19:00:00+00:00,198.68,198.98,197.79,198.5,16072.0
PANW,2018-05-08 12:00:00+00:00,198.99,198.99,198.99,198.99,10.0
PANW,2018-05-08 13:00:00+00:00,198.71,199.44,198.26,198.98,6775.0
PANW,2018-05-08 14:00:00+00:00,199.22,201.88,199.22,201.18,26595.0
PANW,2018-05-08 15:00:00+00:00,201.05,202.09,200.69,201.87,17020.0
PANW,2018-05-08 16:00:00+00:00,201.91,202.0,200.79,201.01,9899.0
PANW,2018-05-08 17:00:00+00:00,200.94,202.26,200.905,201.32,16142.0
PANW,2018-05-08 18:00:00+00:00,201.38,202.34,200.23,200.95,28968.0
PANW,2018-05-08 19:00:00+00:00,200.93,202.46,200.8,201.7,33131.0
PANW,2018-05-08 20:00:00+00:00,201.5,201.5,201.5,201.5,65.0
PANW,2018-05-09 12:00:00+00:00,203.0,203.0,203.0,203.0,10.0
PANW,2018-05-09 13:00:00+00:00,202.96,205.59,202.65,204.9,26191.0
PANW,2018-05-09 14:00:00+00:00,205.0,205.38,203.13,203.4,24880.0
PANW,2018-05-09 15:00:00+00:00,203.37,204.2,203.28,203.86,18367.0
PANW,2018-05-09 16:00:00+00:00,203.85,206.05,203.85,205.71,12150.0
