symbol,ts,open,high,low,close,volume
PCG,2018-05-01 13:00:00+00:00,46.26,46.43,46.0,46.28,16868.0
PCG,2018-05-01 14:00:00+00:00,46.26,46.42,46.23,46.36,40501.0
PCG,2018-05-01 15:00:00+00:00,46.34,46.57,46.23,46.5,32599.0
PCG,2018-05-01 16:00:00+00:00,46.51,46.52,46.36,46.43,32789.0
PCG,2018-05-01 17:00:00+00:00,46.435,46.535,46.33,46.46,40039.0
PCG,2018-05-01 18:00:00+00:00,46.46,46.48,46.29,46.32,41276.0
PCG,2018-05-01 19:00:00+00:00,46.325,46.335,46.04,46.27,110259.0
PCG,2018-05-02 13:00:00+00:00,46.25,46.39,46.03,46.05,17291.0
PCG,2018-05-02 14:00:00+00:00,46.06,46.485,46.01,46.48,31435.0
PCG,2018-05-02 15:00:00+00:00,46.485,46.59,46.21,46.21,35369.0
PCG,2018-05-02 16:00:00+00:00,46.21,46.265,46.11,46.17,32282.0
PCG,2018-05-02 17:00:00+00:00,46.17,46.28,46.135,46.17,41986.0
PCG,2018-05-02 18:00:00+00:00,46.18,46.31,45.91,45.955,55026.0
PCG,2018-05-02 19:00:00+00:00,45.95,45.95,45.68,45.87,156599.0
PCG,2018-05-03 13:00:00+00:00,45.5,45.59,43.76,44.54,98417.0
PCG,2018-05-03 14:00:00+00:00,44.51,44.51,43.99,44.27,101779.0
PCG,2018-05-03 15:00:00+00:00,44.3,44.61,44.08,44.48,104913.0
PCG,2018-05-03 16:00:00+00:00,44.49,44.505,43.99,44.13,58805.0
PCG,2018-05-03 17:00:00+00:00,44.14,44.32,43.96,44.31,60653.0
PCG,2018-05-03 18:00:00+00:00,44.3,44.71,44.0,44.13,88158.0
PCG,2018-05-03 19:00:00+00:00,44.12,44.42,44.03,44.365,190063.0
PCG,2018-05-04 13:00:00+00:00,44.4,45.1,44.39,44.85,42113.0
PCG,2018-05-04 14:00:00+00:00,44.86,45.14,44.79,44.98,92966.0
PCG,2018-05-04 15:00:00+00:00,44.97,45.2,44.88,45.125,78216.0
PCG,2018-05-04 16:00:00+00:00,45.12,45.25,45.1,45.18,55524.0
PCG,2018-05-04 17:00:00+00:00,45.18,45.25,44.95,45.01,62582.0
PCG,2018-05-04 18:00:00+00:00,45.01,45.21,44.945,45.07,79920.0
PCG,2018-05-04 19:00:00+00:00,45.08,45.13,44.84,44.89,198048.0
PCG,2018-05-04 20:00:00+00:00,44.89,44.89,44.89,44.89,1.0
PCG,2018-05-07 13:00:00+00:00,44.81,44.95,44.78,44.87,14179.0
PCG,2018-05-07 14:00:00+00:00,44.88,45.08,44.85,44.87,62364.0
PCG,2018-05-07 15:00:00+00:00,44.87,44.95,44.76,44.79,47621.0
PCG,2018-05-07 16:00:00+00:00,44.79,44.99,44.79,44.87,52533.0
PCG,2018-05-07 17:00:00+00:00,44.87,44.89,44.74,44.865,34297.0
PCG,2018-05-07 18:00:00+00:00,44.865,44.93,44.85,44.87,44210.0
PCG,2018-05-07 19:00:00+00:00,44.86,44.86,44.535,44.61,113680.0
PCG,2018-05-08 13:00:00+00:00,44.3,44.33,43.67,43.67,26335.0
PCG,2018-05-08 14:00:00+00:00,43.65,43.75,43.51,43.51,52190.0
PCG,2018-05-08 15:00:00+00:00,43.5,43.53,43.13,43.195,42003.0
PCG,2018-05-08 16:00:00+00:00,43.2,43.21,42.8,42.81,40272.0
PCG,2018-05-08 17:00:00+00:00,42.82,42.96,42.66,42.68,72414.0
PCG,2018-05-08 18:00:00+00:00,42.67,42.67,42.3,42.63,122099.0
PCG,2018-05-08 19:00:00+00:00,42.62,43.1,42.59,42.77,170316.0
PCG,2018-05-08 20:00:00+00:00,42.8,42.8,42.7,42.7,112.0
PCG,2018-05-08 22:00:00+00:00,42.27,42.27,42.27,42.27,103.0
PCG,2018-05-09 13:00:00+00:00,42.8,43.19,42.76,43.08,34246.0
PCG,2018-05-09 14:00:00+00:00,43.09,43.11,42.62,42.68,74877.0
PCG,2018-05-09 15:00:00+00:00,42.69,42.805,42.35,42.56,56785.0
PCG,2018-05-09 16:00:00+00:00,42.55,42.69,42.5,42.61,49049.0
PCG,2018-05-09 17:00:00+00:00,42.625,42.625,42.45,42.59,45147.0
PCG,2018-05-09 18:00:00+00:00,42.58,42.65,42.48,42.49,72138.0
PCG,2018-05-09 19:00:00+00:00,42.48,42.67,42.435,42.59,81747.0
PCG,2018-05-09 20:00:00+00:00,42.58,42.58,42.58,42.58,100.0
PCG,2018-05-10 13:00:00+00:00,43.15,43.2,42.72,42.74,19455.0
PCG,2018-05-10 14:00:00+00:00,42.74,42.83,42.63,42.7,45438.0
PCG,2018-05-10 15:00:00+00:00,42.7,42.86,42.675,42.81,53185.0
PCG,2018-05-10 16:00:00+00:00,42.81,42.88,42.76,42.85,46962.0
PCG,2018-05-10 17:00:00+00:00,42.86,42.98,42.825,42.94,50014.0
PCG,2018-05-10 18:00:00+00:00,42.94,43.13,42.89,43.11,63903.0
PCG,2018-05-10 19:00:00+00:00,43.11,43.415,43.09,43.38,146322.0
PCG,2018-05-11 13:00:00+00:00,43.5,43.71,43.28,43.28,23985.0
PCG,2018-05-11 14:00:00+00:00,43.29,43.29,43.1,43.14,97402.0
PCG,2018-05-11 15:00:00+00:00,43.14,43.15,42.865,43.005,82337.0
PCG,2018-05-11 16:00:00+00:00,43.0,43.18,42.94,43.16,28814.0
PCG,2018-05-11 17:00:00+00:00,43.16,43.51,43.14,43.5,59009.0
PCG,2018-05-11 18:00:00+00:00,43.5,43.5,43.24,43.44,129640.0
PCG,2018-05-11 19:00:00+00:00,43.44,43.47,43.28,43.32,180149.0
PCG,2018-05-14 13:00:00+00:00,43.25,43.54,43.16,43.5,11727.0
PCG,2018-05-14 14:00:00+00:00,43.505,43.69,43.44,43.46,38272.0
PCG,2018-05-14 15:00:00+00:00,43.46,43.475,43.32,43.36,24694.0
PCG,2018-05-14 16:00:00+00:00,43.36,43.435,43.195,43.42,30460.0
PCG,2018-05-14 17:00:00+00:00,43.42,43.42,43.17,43.205,32707.0
PCG,2018-05-14 18:00:00+00:00,43.2,43.215,43.09,43.16,29729.0
PCG,2018-05-14 19:00:00+00:00,43.16,43.24,43.05,43.24,153889.0
PCG,2018-05-14 20:00:00+00:00,43.25,43.46,43.25,43.46,923.0
PCG,2018-05-15 13:00:00+00:00,42.93,43.28,42.78,42.88,24003.0
PCG,2018-05-15 14:00:00+00:00,42.88,43.36,42.85,43.35,31727.0
PCG,2018-05-15 15:00:00+00:00,43.33,43.33,42.89,42.91,23763.0
PCG,2018-05-15 16:00:00+00:00,42.91,43.0,42.84,42.88,22482.0
PCG,2018-05-15 17:00:00+00:00,42.88,42.92,42.81,42.86,14463.0
PCG,2018-05-15 18:00:00+00:00,42.85,42.94,42.82,42.91,32439.0
PCG,2018-05-15 19:00:00+00:00,42.91,43.03,42.775,42.96,127143.0
PCG,2018-05-16 13:00:00+00:00,43.11,43.11,42.89,43.06,21565.0
PCG,2018-05-16 14:00:00+00:00,43.05,43.07,42.59,42.73,58668.0
PCG,2018-05-16 15:00:00+00:00,42.75,42.83,42.46,42.475,73384.0
PCG,2018-05-16 16:00:00+00:00,42.475,42.57,42.45,42.51,53274.0
PCG,2018-05-16 17:00:00+00:00,42.51,42.53,42.41,42.46,71462.0
PCG,2018-05-16 18:00:00+00:00,42.47,42.76,42.47,42.68,75672.0
PCG,2018-05-16 19:00:00+00:00,42.67,42.685,42.51,42.55,180625.0
PCG,2018-05-17 13:00:00+00:00,42.7,43.15,42.65,42.81,44269.0
PCG,2018-05-17 14:00:00+00:00,42.83,42.86,42.57,42.62,52082.0
PCG,2018-05-17 15:00:00+00:00,42.62,42.65,42.42,42.49,46631.0
PCG,2018-05-17 16:00:00+00:00,42.48,42.52,42.385,42.45,35674.0
PCG,2018-05-17 17:00:00+00:00,42.45,42.5,42.32,42.36,27912.0
PCG,2018-05-17 18:00:00+00:00,42.365,42.48,42.34,42.42,39049.0
PCG,2018-05-17 19:00:00+00:00,42.42,42.42,42.2,42.22,150706.0
PCG,2018-05-18 12:00:00+00:00,42.49,42.49,42.49,42.49,235.0
PCG,2018-05-18 13:00:00+00:00,42.31,42.52,42.17,42.4,22603.0
PCG,2018-05-18 14:00:00+00:00,42.4,42.73,42.4,42.56,47352.0
PCG,2018-05-18 15:00:00+00:00,42.56,42.625,41.82,42.18,159191.0
PCG,2018-05-18 16:00:00+00:00,42.185,42.38,42.17,42.23,49360.0
PCG,2018-05-18 17:00:00+00:00,42.22,42.23,42.09,42.2,42524.0
PCG,2018-05-18 18:00:00+00:00,42.19,42.47,42.18,42.47,47843.0
PCG,2018-05-18 19:00:00+00:00,42.46,42.86,42.39,42.8,178713.0
PCG,2018-05-21 13:00:00+00:00,42.86,42.91,42.63,42.66,27942.0
PCG,2018-05-21 14:00:00+00:00,42.64,43.06,42.62,43.04,90030.0
PCG,2018-05-21 15:00:00+00:00,43.01,43.03,42.87,42.99,63113.0
PCG,2018-05-21 16:00:00+00:00,42.99,43.24,42.99,43.17,56222.0
PCG,2018-05-21 17:00:00+00:00,43.17,43.28,43.14,43.28,59353.0
PCG,2018-05-21 18:00:00+00:00,43.28,43.44,43.19,43.39,71662.0
PCG,2018-05-21 19:00:00+00:00,43.39,43.445,43.1,43.2,174372.0
PCG,2018-05-22 13:00:00+00:00,43.31,43.56,43.23,43.55,26602.0
PCG,2018-05-22 14:00:00+00:00,43.54,43.68,43.47,43.63,59886.0
PCG,2018-05-22 15:00:00+00:00,43.63,43.72,43.56,43.61,65463.0
PCG,2018-05-22 16:00:00+00:00,43.61,43.82,43.57,43.58,34859.0
PCG,2018-05-22 17:00:00+00:00,43.59,43.63,43.52,43.62,33831.0
PCG,2018-05-22 18:00:00+00:00,43.62,43.8,43.61,43.755,45700.0
PCG,2018-05-22 19:00:00+00:00,43.76,43.79,43.555,43.62,128209.0
PCG,2018-05-23 13:00:00+00:00,43.63,43.75,43.29,43.39,15977.0
PCG,2018-05-23 14:00:00+00:00,43.42,43.85,43.39,43.8,35501.0
PCG,2018-05-23 15:00:00+00:00,43.805,43.83,43.66,43.7,70784.0
PCG,2018-05-23 16:00:00+00:00,43.71,43.83,43.64,43.75,34155.0
PCG,2018-05-23 17:00:00+00:00,43.72,43.78,43.63,43.72,23135.0
PCG,2018-05-23 18:00:00+00:00,43.72,43.89,43.72,43.85,42604.0
PCG,2018-05-23 19:00:00+00:00,43.86,44.01,43.81,43.86,86051.0
PCG,2018-05-24 13:00:00+00:00,43.32,43.83,43.17,43.44,20240.0
PCG,2018-05-24 14:00:00+00:00,43.45,43.83,43.38,43.77,28971.0
PCG,2018-05-24 15:00:00+00:00,43.78,43.78,43.46,43.48,44398.0
PCG,2018-05-24 16:00:00+00:00,43.48,43.67,43.45,43.62,46253.0
PCG,2018-05-24 17:00:00+00:00,43.62,43.78,43.6,43.77,41791.0
PCG,2018-05-24 18:00:00+00:00,43.76,43.79,43.575,43.575,43757.0
PCG,2018-05-24 19:00:00+00:00,43.57,43.875,43.53,43.83,114576.0
PCG,2018-05-25 13:00:00+00:00,43.82,44.24,43.77,44.21,35426.0
PCG,2018-05-25 14:00:00+00:00,44.22,44.54,44.17,44.38,52147.0
PCG,2018-05-25 15:00:00+00:00,44.38,44.625,44.315,44.47,40434.0
PCG,2018-05-25 16:00:00+00:00,44.48,44.51,44.35,44.42,33427.0
PCG,2018-05-25 17:00:00+00:00,44.41,44.5,44.41,44.5,36465.0
PCG,2018-05-25 18:00:00+00:00,44.5,44.95,44.49,44.61,125595.0
PCG,2018-05-25 19:00:00+00:00,44.61,44.7,44.585,44.66,102969.0
PCG,2018-05-25 21:00:00+00:00,42.5,43.61,42.5,43.61,2118.0
PCG,2018-05-25 23:00:00+00:00,43.95,43.95,43.95,43.95,125.0
PCG,2018-05-29 13:00:00+00:00,43.49,43.66,42.56,42.62,109041.0
PCG,2018-05-29 14:00:00+00:00,42.575,43.13,42.38,43.05,130197.0
PCG,2018-05-29 15:00:00+00:00,43.05,43.25,42.91,42.97,112075.0
PCG,2018-05-29 16:00:00+00:00,42.96,42.98,42.8,42.87,62236.0
PCG,2018-05-29 17:00:00+00:00,42.86,43.0,42.8,42.97,65251.0
PCG,2018-05-29 18:00:00+00:00,42.96,43.0,42.63,42.65,83485.0
PCG,2018-05-29 19:00:00+00:00,42.65,42.66,42.335,42.34,345015.0
PCG,2018-05-29 20:00:00+00:00,42.49,42.49,42.49,42.49,1.0
PCG,2018-05-30 13:00:00+00:00,42.28,42.62,42.13,42.19,94062.0
PCG,2018-05-30 14:00:00+00:00,42.19,42.66,41.95,42.64,178636.0
PCG,2018-05-30 15:00:00+00:00,42.63,43.04,42.6,42.96,82592.0
PCG,2018-05-30 16:00:00+00:00,42.97,43.04,42.85,43.0,67282.0
PCG,2018-05-30 17:00:00+00:00,43.0,43.22,42.95,43.03,90665.0
PCG,2018-05-30 18:00:00+00:00,43.04,43.13,42.96,43.01,94854.0
PCG,2018-05-30 19:00:00+00:00,43.015,43.11,42.98,43.08,112887.0
PCG,2018-05-31 13:00:00+00:00,43.15,43.15,42.79,42.85,30446.0
PCG,2018-05-31 14:00:00+00:00,42.86,43.38,42.85,43.29,84389.0
PCG,2018-05-31 15:00:00+00:00,43.29,43.6,43.23,43.54,71250.0
PCG,2018-05-31 16:00:00+00:00,43.54,43.785,43.5,43.61,38916.0
PCG,2018-05-31 17:00:00+00:00,43.61,43.61,43.36,43.47,42719.0
PCG,2018-05-31 18:00:00+00:00,43.46,43.485,43.36,43.4,41077.0
PCG,2018-05-31 19:00:00+00:00,43.4,43.43,43.295,43.34,152067.0
PCG,2018-06-01 13:00:00+00:00,43.1,43.28,42.82,42.88,26728.0
