symbol,ts,open,high,low,close,volume
PEG,2018-05-01 13:00:00+00:00,51.9,52.04,51.6,52.02,41345.0
PEG,2018-05-01 14:00:00+00:00,52.0,52.31,51.98,52.28,88322.0
PEG,2018-05-01 15:00:00+00:00,52.28,52.34,52.08,52.11,56334.0
PEG,2018-05-01 16:00:00+00:00,52.12,52.12,51.96,51.96,76294.0
PEG,2018-05-01 17:00:00+00:00,51.95,52.1,51.87,52.07,62441.0
PEG,2018-05-01 18:00:00+00:00,52.075,52.105,51.98,52.01,75925.0
PEG,2018-05-01 19:00:00+00:00,52.01,52.035,51.77,51.86,174817.0
PEG,2018-05-02 13:00:00+00:00,51.87,51.955,51.35,51.35,38903.0
PEG,2018-05-02 14:00:00+00:00,51.36,51.68,51.3,51.64,140591.0
PEG,2018-05-02 15:00:00+00:00,51.64,51.66,51.15,51.16,62108.0
PEG,2018-05-02 16:00:00+00:00,51.16,51.2,51.03,51.07,65748.0
PEG,2018-05-02 17:00:00+00:00,51.075,51.28,51.0,51.23,58328.0
PEG,2018-05-02 18:00:00+00:00,51.23,51.44,51.23,51.36,68633.0
PEG,2018-05-02 19:00:00+00:00,51.37,51.47,51.22,51.45,122540.0
PEG,2018-05-03 13:00:00+00:00,51.46,51.46,51.06,51.27,30558.0
PEG,2018-05-03 14:00:00+00:00,51.28,51.32,50.98,51.32,65918.0
PEG,2018-05-03 15:00:00+00:00,51.35,51.63,51.26,51.585,72131.0
PEG,2018-05-03 16:00:00+00:00,51.59,51.82,51.51,51.8,49874.0
PEG,2018-05-03 17:00:00+00:00,51.81,52.11,51.665,52.04,76482.0
PEG,2018-05-03 18:00:00+00:00,52.035,52.04,51.82,51.88,69654.0
PEG,2018-05-03 19:00:00+00:00,51.89,51.97,51.835,51.875,111350.0
PEG,2018-05-04 13:00:00+00:00,51.99,52.14,51.94,51.94,22048.0
PEG,2018-05-04 14:00:00+00:00,51.98,52.07,51.84,51.94,29843.0
PEG,2018-05-04 15:00:00+00:00,51.94,52.08,51.83,52.01,38413.0
PEG,2018-05-04 16:00:00+00:00,52.02,52.15,52.01,52.07,32509.0
PEG,2018-05-04 17:00:00+00:00,52.065,52.21,52.05,52.09,26417.0
PEG,2018-05-04 18:00:00+00:00,52.09,52.24,51.97,52.1,42704.0
PEG,2018-05-04 19:00:00+00:00,52.105,52.185,52.015,52.09,80792.0
PEG,2018-05-07 13:00:00+00:00,52.1,52.2,52.02,52.17,17751.0
PEG,2018-05-07 14:00:00+00:00,52.16,52.22,51.91,51.98,51729.0
PEG,2018-05-07 15:00:00+00:00,51.97,52.14,51.945,52.06,38857.0
PEG,2018-05-07 16:00:00+00:00,52.06,52.2,52.015,52.14,33605.0
PEG,2018-05-07 17:00:00+00:00,52.13,52.17,52.065,52.17,33980.0
PEG,2018-05-07 18:00:00+00:00,52.17,52.24,52.15,52.16,38125.0
PEG,2018-05-07 19:00:00+00:00,52.165,52.17,51.83,51.88,106623.0
PEG,2018-05-08 13:00:00+00:00,51.6,51.68,51.23,51.27,26007.0
PEG,2018-05-08 14:00:00+00:00,51.26,51.5,51.08,51.32,69364.0
PEG,2018-05-08 15:00:00+00:00,51.31,51.59,51.2,51.39,96841.0
PEG,2018-05-08 16:00:00+00:00,51.4,51.48,51.36,51.41,33819.0
PEG,2018-05-08 17:00:00+00:00,51.41,51.43,51.23,51.23,58517.0
PEG,2018-05-08 18:00:00+00:00,51.22,51.22,50.98,51.08,67414.0
