symbol,ts,open,high,low,close,volume
PFG,2018-05-01 13:00:00+00:00,59.16,59.43,58.92,59.32,41784.0
PFG,2018-05-01 14:00:00+00:00,59.23,59.32,58.86,58.88,30413.0
PFG,2018-05-01 15:00:00+00:00,58.87,58.87,58.29,58.29,45878.0
PFG,2018-05-01 16:00:00+00:00,58.29,58.46,58.21,58.43,40526.0
PFG,2018-05-01 17:00:00+00:00,58.41,58.41,58.07,58.35,61090.0
PFG,2018-05-01 18:00:00+00:00,58.34,58.5,58.27,58.4,66828.0
PFG,2018-05-01 19:00:00+00:00,58.41,58.48,58.09,58.32,164415.0
PFG,2018-05-01 20:00:00+00:00,58.3,58.3,58.3,58.3,142918.0
PFG,2018-05-01 21:00:00+00:00,59.0,59.0,59.0,59.0,25.0
PFG,2018-05-02 13:00:00+00:00,58.12,58.57,57.13,57.13,67895.0
PFG,2018-05-02 14:00:00+00:00,57.12,57.38,56.66,57.02,78092.0
PFG,2018-05-02 15:00:00+00:00,57.02,57.17,56.8,56.94,93130.0
PFG,2018-05-02 16:00:00+00:00,56.94,57.08,56.84,57.05,71310.0
PFG,2018-05-02 17:00:00+00:00,57.05,57.32,57.05,57.27,66543.0
PFG,2018-05-02 18:00:00+00:00,57.26,57.36,56.95,57.12,80213.0
PFG,2018-05-02 19:00:00+00:00,57.12,57.15,56.66,56.79,159431.0
PFG,2018-05-02 20:00:00+00:00,56.8,56.8,56.79,56.79,277184.0
PFG,2018-05-03 13:00:00+00:00,56.52,56.77,56.34,56.51,55649.0
PFG,2018-05-03 14:00:00+00:00,56.52,56.52,55.13,55.29,83252.0
PFG,2018-05-03 15:00:00+00:00,55.29,55.33,54.89,55.19,92488.0
PFG,2018-05-03 16:00:00+00:00,55.19,55.98,55.19,55.97,57054.0
PFG,2018-05-03 17:00:00+00:00,55.99,55.99,55.63,55.82,53259.0
PFG,2018-05-03 18:00:00+00:00,55.815,56.28,55.62,55.99,79953.0
PFG,2018-05-03 19:00:00+00:00,56.0,56.05,55.7,55.84,131851.0
PFG,2018-05-03 20:00:00+00:00,55.84,55.85,55.84,55.85,134297.0
PFG,2018-05-04 13:00:00+00:00,55.46,56.07,55.17,56.06,25362.0
PFG,2018-05-04 14:00:00+00:00,56.06,56.82,55.94,56.74,40683.0
PFG,2018-05-04 15:00:00+00:00,56.75,57.01,56.65,56.89,45717.0
PFG,2018-05-04 16:00:00+00:00,56.89,56.98,56.78,56.98,20199.0
PFG,2018-05-04 17:00:00+00:00,56.99,57.18,56.96,57.14,21885.0
PFG,2018-05-04 18:00:00+00:00,57.13,57.36,57.1,57.26,27837.0
PFG,2018-05-04 19:00:00+00:00,57.25,57.39,57.05,57.16,92257.0
PFG,2018-05-04 20:00:00+00:00,57.15,57.15,57.15,57.15,99092.0
PFG,2018-05-07 13:00:00+00:00,57.17,57.25,56.88,57.13,61852.0
PFG,2018-05-07 14:00:00+00:00,57.16,57.22,56.8,57.15,34684.0
PFG,2018-05-07 15:00:00+00:00,57.16,57.21,56.85,56.99,29694.0
PFG,2018-05-07 16:00:00+00:00,56.99,57.14,56.99,57.11,28064.0
PFG,2018-05-07 17:00:00+00:00,57.12,57.4,57.05,57.29,31153.0
PFG,2018-05-07 18:00:00+00:00,57.29,57.41,57.08,57.12,46698.0
PFG,2018-05-07 19:00:00+00:00,57.1,57.24,57.01,57.16,100052.0
PFG,2018-05-07 20:00:00+00:00,57.16,57.16,57.16,57.16,61262.0
PFG,2018-05-08 13:00:00+00:00,57.25,57.39,56.94,57.15,53955.0
PFG,2018-05-08 14:00:00+00:00,57.19,57.61,57.14,57.5,76078.0
PFG,2018-05-08 15:00:00+00:00,57.49,57.64,57.28,57.28,85864.0
PFG,2018-05-08 16:00:00+00:00,57.26,57.425,57.17,57.295,59271.0
PFG,2018-05-08 17:00:00+00:00,57.295,57.62,57.26,57.46,94011.0
PFG,2018-05-08 18:00:00+00:00,57.46,57.52,57.0,57.14,68101.0
PFG,2018-05-08 19:00:00+00:00,57.12,57.45,57.04,57.44,168918.0
