symbol,ts,open,high,low,close,volume
PG,2018-05-01 13:00:00+00:00,72.29,72.33,71.93,72.22,97620.0
PG,2018-05-01 14:00:00+00:00,72.21,72.32,71.89,71.94,171456.0
PG,2018-05-01 15:00:00+00:00,71.945,71.945,71.7,71.79,154466.0
PG,2018-05-01 16:00:00+00:00,71.8,72.02,71.77,71.89,111926.0
PG,2018-05-01 17:00:00+00:00,71.88,71.95,71.67,71.88,104520.0
PG,2018-05-01 18:00:00+00:00,71.89,72.1,71.8,72.06,105422.0
PG,2018-05-01 19:00:00+00:00,72.07,72.13,71.885,71.92,173726.0
PG,2018-05-01 20:00:00+00:00,72.23,72.23,72.23,72.23,4.0
PG,2018-05-02 08:00:00+00:00,72.03,72.03,72.03,72.03,6.0
PG,2018-05-02 12:00:00+00:00,72.1,72.1,72.08,72.08,727.0
PG,2018-05-02 13:00:00+00:00,72.06,72.06,71.47,71.53,108137.0
PG,2018-05-02 14:00:00+00:00,71.52,71.77,71.44,71.67,151769.0
PG,2018-05-02 15:00:00+00:00,71.68,71.7,71.44,71.51,150990.0
PG,2018-05-02 16:00:00+00:00,71.51,71.62,71.395,71.44,106522.0
PG,2018-05-02 17:00:00+00:00,71.44,71.44,71.24,71.365,97290.0
PG,2018-05-02 18:00:00+00:00,71.37,71.56,71.09,71.165,213920.0
PG,2018-05-02 19:00:00+00:00,71.17,71.24,70.74,70.94,364500.0
PG,2018-05-02 20:00:00+00:00,70.92,71.0,70.83,70.83,1427.0
PG,2018-05-02 21:00:00+00:00,70.75,70.75,70.75,70.75,250.0
PG,2018-05-02 22:00:00+00:00,70.78,70.78,70.78,70.78,250.0
PG,2018-05-03 09:00:00+00:00,71.09,71.28,71.09,71.28,250.0
PG,2018-05-03 11:00:00+00:00,71.08,71.08,71.08,71.08,200.0
PG,2018-05-03 12:00:00+00:00,70.87,71.0,70.87,70.98,1251.0
PG,2018-05-03 13:00:00+00:00,71.0,71.32,70.75,71.17,128505.0
PG,2018-05-03 14:00:00+00:00,71.19,71.29,70.91,71.06,207091.0
PG,2018-05-03 15:00:00+00:00,71.07,71.2,70.85,71.17,160277.0
PG,2018-05-03 16:00:00+00:00,71.18,71.42,71.005,71.41,126262.0
PG,2018-05-03 17:00:00+00:00,71.4,71.715,71.26,71.52,147908.0
PG,2018-05-03 18:00:00+00:00,71.52,71.64,71.29,71.36,142142.0
PG,2018-05-03 19:00:00+00:00,71.37,71.425,71.22,71.33,222457.0
PG,2018-05-04 10:00:00+00:00,71.54,71.54,71.54,71.54,39.0
PG,2018-05-04 12:00:00+00:00,71.4,71.4,71.4,71.4,5.0
PG,2018-05-04 13:00:00+00:00,71.43,72.27,71.35,72.26,103806.0
PG,2018-05-04 14:00:00+00:00,72.25,72.565,72.23,72.37,200966.0
PG,2018-05-04 15:00:00+00:00,72.38,72.575,72.29,72.36,136870.0
PG,2018-05-04 16:00:00+00:00,72.38,72.4,72.25,72.325,82435.0
PG,2018-05-04 17:00:00+00:00,72.33,72.41,72.18,72.31,98692.0
PG,2018-05-04 18:00:00+00:00,72.31,72.61,72.29,72.5,79876.0
PG,2018-05-04 19:00:00+00:00,72.5,72.57,72.3,72.42,178657.0
PG,2018-05-04 20:00:00+00:00,72.44,72.44,72.43,72.43,13.0
PG,2018-05-07 08:00:00+00:00,72.7,72.8,72.7,72.8,210.0
PG,2018-05-07 09:00:00+00:00,72.83,72.83,72.83,72.83,100.0
PG,2018-05-07 12:00:00+00:00,72.8,72.8,72.73,72.76,650.0
PG,2018-05-07 13:00:00+00:00,72.77,73.21,72.63,73.18,100257.0
PG,2018-05-07 14:00:00+00:00,73.19,73.19,72.33,72.46,135384.0
PG,2018-05-07 15:00:00+00:00,72.45,72.61,72.35,72.55,136550.0
PG,2018-05-07 16:00:00+00:00,72.55,72.57,72.31,72.33,68404.0
PG,2018-05-07 17:00:00+00:00,72.31,72.38,72.24,72.28,65704.0
PG,2018-05-07 18:00:00+00:00,72.29,72.43,72.09,72.13,115868.0
PG,2018-05-07 19:00:00+00:00,72.13,72.13,71.89,71.99,191541.0
PG,2018-05-07 20:00:00+00:00,72.0,72.0,72.0,72.0,597.0
PG,2018-05-07 21:00:00+00:00,71.85,71.85,71.85,71.85,4.0
PG,2018-05-08 10:00:00+00:00,71.8,71.95,71.8,71.95,31.0
PG,2018-05-08 11:00:00+00:00,72.01,72.01,71.99,71.99,980.0
PG,2018-05-08 12:00:00+00:00,72.13,72.13,71.91,71.91,505.0
PG,2018-05-08 13:00:00+00:00,72.1,72.1,71.4,71.51,73950.0
PG,2018-05-08 14:00:00+00:00,71.49,71.8,71.44,71.68,86711.0
PG,2018-05-08 15:00:00+00:00,71.68,71.98,71.66,71.66,120095.0
PG,2018-05-08 16:00:00+00:00,71.66,71.71,71.52,71.55,84602.0
PG,2018-05-08 17:00:00+00:00,71.54,71.655,71.455,71.52,82302.0
PG,2018-05-08 18:00:00+00:00,71.52,71.55,71.12,71.22,187915.0
PG,2018-05-08 19:00:00+00:00,71.23,71.49,71.19,71.45,263852.0
PG,2018-05-08 20:00:00+00:00,71.43,71.43,71.43,71.43,500.0
PG,2018-05-08 21:00:00+00:00,71.22,71.22,71.22,71.22,68.0
PG,2018-05-08 23:00:00+00:00,71.32,71.32,71.32,71.32,600.0
PG,2018-05-09 08:00:00+00:00,71.7,71.7,71.7,71.7,600.0
PG,2018-05-09 12:00:00+00:00,71.6,71.73,71.6,71.73,690.0
PG,2018-05-09 13:00:00+00:00,71.55,72.39,71.55,72.16,69672.0
PG,2018-05-09 14:00:00+00:00,72.16,72.21,71.765,72.03,151135.0
PG,2018-05-09 15:00:00+00:00,72.04,72.28,71.98,72.1,101679.0
PG,2018-05-09 16:00:00+00:00,72.1,72.48,72.04,72.47,75978.0
PG,2018-05-09 17:00:00+00:00,72.47,72.51,72.35,72.43,82756.0
PG,2018-05-09 18:00:00+00:00,72.42,72.54,72.29,72.4,81205.0
PG,2018-05-09 19:00:00+00:00,72.4,72.43,72.26,72.4,147255.0
PG,2018-05-10 13:00:00+00:00,72.62,73.24,72.59,73.22,66920.0
PG,2018-05-10 14:00:00+00:00,73.22,73.28,72.7,72.89,139023.0
PG,2018-05-10 15:00:00+00:00,72.89,73.28,72.86,73.26,105097.0
PG,2018-05-10 16:00:00+00:00,73.25,73.34,73.17,73.22,68560.0
PG,2018-05-10 17:00:00+00:00,73.23,73.25,73.01,73.06,70356.0
PG,2018-05-10 18:00:00+00:00,73.065,73.2,73.0,73.12,88463.0
PG,2018-05-10 19:00:00+00:00,73.12,73.175,72.97,73.15,167640.0
PG,2018-05-10 21:00:00+00:00,73.08,73.08,73.08,73.08,25.0
PG,2018-05-11 10:00:00+00:00,73.37,73.37,73.37,73.37,200.0
PG,2018-05-11 12:00:00+00:00,73.37,73.46,73.3,73.3,1110.0
