symbol,ts,open,high,low,close,volume
PGR,2018-05-01 13:00:00+00:00,60.29,60.35,60.07,60.34,16724.0
PGR,2018-05-01 14:00:00+00:00,60.32,60.5,60.21,60.39,45263.0
PGR,2018-05-01 15:00:00+00:00,60.39,60.48,60.12,60.13,41657.0
PGR,2018-05-01 16:00:00+00:00,60.1,60.18,60.03,60.07,24925.0
PGR,2018-05-01 17:00:00+00:00,60.07,60.34,59.92,60.34,25992.0
PGR,2018-05-01 18:00:00+00:00,60.33,60.46,60.31,60.41,31293.0
PGR,2018-05-01 19:00:00+00:00,60.41,60.53,60.25,60.5,55702.0
PGR,2018-05-02 13:00:00+00:00,60.24,60.24,58.71,58.71,39763.0
PGR,2018-05-02 14:00:00+00:00,58.7,58.72,58.11,58.64,101681.0
PGR,2018-05-02 15:00:00+00:00,58.67,59.26,58.565,59.09,102549.0
PGR,2018-05-02 16:00:00+00:00,59.12,59.47,59.06,59.435,69541.0
PGR,2018-05-02 17:00:00+00:00,59.44,59.79,59.4,59.42,83516.0
PGR,2018-05-02 18:00:00+00:00,59.42,59.74,59.39,59.43,81845.0
PGR,2018-05-02 19:00:00+00:00,59.43,59.51,58.89,58.97,139502.0
PGR,2018-05-03 13:00:00+00:00,58.7,59.13,58.64,59.13,25942.0
PGR,2018-05-03 14:00:00+00:00,59.155,59.17,58.38,58.49,64299.0
PGR,2018-05-03 15:00:00+00:00,58.48,58.69,58.24,58.54,55663.0
PGR,2018-05-03 16:00:00+00:00,58.54,59.12,58.41,59.11,76555.0
PGR,2018-05-03 17:00:00+00:00,59.11,59.45,58.88,59.39,78567.0
PGR,2018-05-03 18:00:00+00:00,59.39,59.62,59.32,59.36,59496.0
PGR,2018-05-03 19:00:00+00:00,59.36,59.44,59.16,59.28,100733.0
PGR,2018-05-04 12:00:00+00:00,60.0,60.0,60.0,60.0,200.0
PGR,2018-05-04 13:00:00+00:00,58.97,59.09,58.64,59.02,19180.0
PGR,2018-05-04 14:00:00+00:00,59.03,59.49,58.87,59.39,42944.0
PGR,2018-05-04 15:00:00+00:00,59.4,59.61,59.35,59.47,42359.0
PGR,2018-05-04 16:00:00+00:00,59.47,59.65,59.45,59.62,33304.0
PGR,2018-05-04 17:00:00+00:00,59.63,59.89,59.6,59.85,38184.0
PGR,2018-05-04 18:00:00+00:00,59.85,60.1,59.85,60.1,65303.0
PGR,2018-05-04 19:00:00+00:00,60.07,60.07,59.7,59.81,71381.0
PGR,2018-05-07 13:00:00+00:00,59.81,60.24,59.81,60.2,22480.0
PGR,2018-05-07 14:00:00+00:00,60.2,60.52,60.15,60.52,64782.0
PGR,2018-05-07 15:00:00+00:00,60.5,60.56,60.26,60.48,52072.0
PGR,2018-05-07 16:00:00+00:00,60.49,60.71,60.4,60.67,46280.0
PGR,2018-05-07 17:00:00+00:00,60.675,60.93,60.65,60.8,40849.0
PGR,2018-05-07 18:00:00+00:00,60.81,61.01,60.68,60.71,47830.0
PGR,2018-05-07 19:00:00+00:00,60.7,60.81,60.55,60.7,88475.0
PGR,2018-05-07 20:00:00+00:00,60.27,60.27,60.27,60.27,5.0
PGR,2018-05-08 13:00:00+00:00,60.48,60.97,60.48,60.87,22694.0
PGR,2018-05-08 14:00:00+00:00,60.9,61.06,60.73,60.97,30472.0
PGR,2018-05-08 15:00:00+00:00,60.97,61.28,60.96,61.08,40337.0
PGR,2018-05-08 16:00:00+00:00,61.07,61.18,60.94,61.03,21599.0
PGR,2018-05-08 17:00:00+00:00,61.02,61.2,61.01,61.06,23537.0
PGR,2018-05-08 18:00:00+00:00,61.06,61.2,60.86,60.93,37620.0
PGR,2018-05-08 19:00:00+00:00,60.93,61.24,60.86,61.17,96524.0
PGR,2018-05-09 13:00:00+00:00,61.09,61.27,61.04,61.06,11493.0
PGR,2018-05-09 14:00:00+00:00,61.07,61.41,61.03,61.1,26275.0
PGR,2018-05-09 15:00:00+00:00,61.11,61.35,61.08,61.27,21877.0
PGR,2018-05-09 16:00:00+00:00,61.27,61.48,61.23,61.44,30721.0
PGR,2018-05-09 17:00:00+00:00,61.45,61.77,61.45,61.7,21561.0
PGR,2018-05-09 18:00:00+00:00,61.72,61.8,61.65,61.71,23116.0
PGR,2018-05-09 19:00:00+00:00,61.7,61.8,61.59,61.79,57745.0
PGR,2018-05-10 13:00:00+00:00,61.89,61.94,61.64,61.77,8056.0
PGR,2018-05-10 14:00:00+00:00,61.79,62.23,61.79,62.14,50299.0
PGR,2018-05-10 15:00:00+00:00,62.16,62.31,62.15,62.26,29845.0
PGR,2018-05-10 16:00:00+00:00,62.27,62.6,62.26,62.53,28972.0
PGR,2018-05-10 17:00:00+00:00,62.53,62.56,62.31,62.33,25815.0
PGR,2018-05-10 18:00:00+00:00,62.33,62.42,62.19,62.28,36951.0
PGR,2018-05-10 19:00:00+00:00,62.31,62.39,62.2,62.38,72431.0
PGR,2018-05-11 13:00:00+00:00,62.36,62.93,62.24,62.93,16516.0
PGR,2018-05-11 14:00:00+00:00,62.92,62.99,62.71,62.88,50585.0
PGR,2018-05-11 15:00:00+00:00,62.88,62.94,62.47,62.52,32101.0
PGR,2018-05-11 16:00:00+00:00,62.52,62.69,62.47,62.64,27639.0
PGR,2018-05-11 17:00:00+00:00,62.625,62.695,62.57,62.58,22053.0
PGR,2018-05-11 18:00:00+00:00,62.58,62.61,62.39,62.47,32751.0
PGR,2018-05-11 19:00:00+00:00,62.45,62.49,62.31,62.44,69079.0
PGR,2018-05-14 13:00:00+00:00,62.4,62.56,62.13,62.2,14701.0
PGR,2018-05-14 14:00:00+00:00,62.235,62.26,61.97,62.05,35122.0
PGR,2018-05-14 15:00:00+00:00,62.04,62.12,61.84,61.92,28342.0
PGR,2018-05-14 16:00:00+00:00,61.91,62.02,61.71,61.73,27531.0
PGR,2018-05-14 17:00:00+00:00,61.73,61.83,61.66,61.74,21491.0
PGR,2018-05-14 18:00:00+00:00,61.73,61.835,61.615,61.76,41512.0
PGR,2018-05-14 19:00:00+00:00,61.76,61.845,61.62,61.72,84592.0
PGR,2018-05-15 13:00:00+00:00,61.64,62.53,61.64,61.88,51775.0
PGR,2018-05-15 14:00:00+00:00,61.86,62.285,61.84,62.26,83752.0
PGR,2018-05-15 15:00:00+00:00,62.26,62.5,62.16,62.3,75193.0
PGR,2018-05-15 16:00:00+00:00,62.31,62.31,62.01,62.16,79499.0
PGR,2018-05-15 17:00:00+00:00,62.15,62.19,61.8,61.845,57622.0
PGR,2018-05-15 18:00:00+00:00,61.845,62.0,61.77,61.82,61158.0
PGR,2018-05-15 19:00:00+00:00,61.83,61.92,61.555,61.9,144454.0
PGR,2018-05-16 13:00:00+00:00,62.1,62.28,61.7,61.73,27766.0
PGR,2018-05-16 14:00:00+00:00,61.705,61.75,61.17,61.38,80741.0
PGR,2018-05-16 15:00:00+00:00,61.36,61.36,61.03,61.25,92632.0
PGR,2018-05-16 16:00:00+00:00,61.26,61.52,61.26,61.46,36026.0
PGR,2018-05-16 17:00:00+00:00,61.48,61.75,61.47,61.74,28177.0
PGR,2018-05-16 18:00:00+00:00,61.74,61.845,61.62,61.62,38841.0
PGR,2018-05-16 19:00:00+00:00,61.61,61.61,61.42,61.61,101831.0
PGR,2018-05-17 13:00:00+00:00,61.16,61.16,60.36,60.56,66635.0
PGR,2018-05-17 14:00:00+00:00,60.58,60.765,60.34,60.43,96971.0
PGR,2018-05-17 15:00:00+00:00,60.43,60.5,60.2,60.43,72270.0
PGR,2018-05-17 16:00:00+00:00,60.43,60.62,60.35,60.6,44387.0
PGR,2018-05-17 17:00:00+00:00,60.6,60.78,60.58,60.59,43467.0
PGR,2018-05-17 18:00:00+00:00,60.59,60.63,60.48,60.51,52714.0
PGR,2018-05-17 19:00:00+00:00,60.51,60.51,60.205,60.34,137255.0
PGR,2018-05-18 13:00:00+00:00,60.54,60.54,60.29,60.48,13716.0
PGR,2018-05-18 14:00:00+00:00,60.48,60.77,60.44,60.55,49588.0
PGR,2018-05-18 15:00:00+00:00,60.56,60.83,60.54,60.62,35292.0
PGR,2018-05-18 16:00:00+00:00,60.61,60.79,60.59,60.79,30735.0
PGR,2018-05-18 17:00:00+00:00,60.78,60.89,60.73,60.78,24146.0
PGR,2018-05-18 18:00:00+00:00,60.77,60.95,60.73,60.95,23019.0
PGR,2018-05-18 19:00:00+00:00,60.95,61.04,60.905,60.94,131521.0
PGR,2018-05-18 20:00:00+00:00,60.92,60.92,60.92,60.92,100.0
PGR,2018-05-18 23:00:00+00:00,60.96,60.96,60.96,60.96,80.0
PGR,2018-05-21 13:00:00+00:00,61.18,61.48,61.06,61.22,19494.0
PGR,2018-05-21 14:00:00+00:00,61.23,61.495,61.16,61.36,45289.0
PGR,2018-05-21 15:00:00+00:00,61.36,61.67,61.33,61.62,100343.0
PGR,2018-05-21 16:00:00+00:00,61.64,61.76,61.6,61.62,43161.0
PGR,2018-05-21 17:00:00+00:00,61.63,61.69,61.55,61.66,47477.0
PGR,2018-05-21 18:00:00+00:00,61.65,61.89,61.65,61.89,34908.0
PGR,2018-05-21 19:00:00+00:00,61.89,61.91,61.535,61.66,89489.0
PGR,2018-05-22 13:00:00+00:00,61.82,62.53,61.63,62.5,71249.0
PGR,2018-05-22 14:00:00+00:00,62.52,62.8,62.28,62.53,111396.0
PGR,2018-05-22 15:00:00+00:00,62.55,62.67,62.49,62.5,52011.0
PGR,2018-05-22 16:00:00+00:00,62.5,62.5,62.375,62.4,32433.0
PGR,2018-05-22 17:00:00+00:00,62.405,62.43,62.25,62.27,28760.0
PGR,2018-05-22 18:00:00+00:00,62.27,62.315,62.12,62.12,36407.0
PGR,2018-05-22 19:00:00+00:00,62.12,62.14,61.93,61.99,86804.0
PGR,2018-05-23 13:00:00+00:00,61.88,62.13,61.78,61.85,14276.0
PGR,2018-05-23 14:00:00+00:00,61.85,62.29,61.85,61.98,51848.0
PGR,2018-05-23 15:00:00+00:00,61.98,62.12,61.91,61.91,41046.0
PGR,2018-05-23 16:00:00+00:00,61.92,62.13,61.9,62.11,37837.0
PGR,2018-05-23 17:00:00+00:00,62.09,62.16,61.88,62.09,39645.0
PGR,2018-05-23 18:00:00+00:00,62.08,62.27,62.03,62.26,65524.0
PGR,2018-05-23 19:00:00+00:00,62.26,62.36,62.15,62.18,153492.0
PGR,2018-05-24 13:00:00+00:00,62.16,62.26,61.84,61.95,22054.0
