symbol,ts,open,high,low,close,volume
PHM,2018-05-01 13:00:00+00:00,30.335,30.64,30.25,30.62,50116.0
PHM,2018-05-01 14:00:00+00:00,30.6,30.6,30.245,30.245,98788.0
PHM,2018-05-01 15:00:00+00:00,30.24,30.61,30.24,30.47,78165.0
PHM,2018-05-01 16:00:00+00:00,30.47,30.7,30.465,30.67,51459.0
PHM,2018-05-01 17:00:00+00:00,30.66,30.88,30.6,30.86,60196.0
PHM,2018-05-01 18:00:00+00:00,30.87,31.03,30.81,30.94,45223.0
PHM,2018-05-01 19:00:00+00:00,30.95,31.01,30.8,30.88,76173.0
PHM,2018-05-02 13:00:00+00:00,30.88,30.94,30.62,30.63,35344.0
PHM,2018-05-02 14:00:00+00:00,30.63,31.06,30.62,31.0,71167.0
PHM,2018-05-02 15:00:00+00:00,30.995,31.01,30.73,30.77,68058.0
PHM,2018-05-02 16:00:00+00:00,30.76,30.88,30.76,30.845,57353.0
PHM,2018-05-02 17:00:00+00:00,30.85,30.945,30.815,30.84,43166.0
PHM,2018-05-02 18:00:00+00:00,30.84,31.1,30.73,30.77,105743.0
PHM,2018-05-02 19:00:00+00:00,30.77,30.78,30.4,30.56,169233.0
PHM,2018-05-03 13:00:00+00:00,30.45,30.69,30.44,30.65,46950.0
PHM,2018-05-03 14:00:00+00:00,30.65,30.65,30.18,30.38,62823.0
PHM,2018-05-03 15:00:00+00:00,30.44,30.61,30.34,30.43,63810.0
PHM,2018-05-03 16:00:00+00:00,30.46,30.76,30.33,30.76,70842.0
PHM,2018-05-03 17:00:00+00:00,30.76,30.79,30.53,30.67,59757.0
PHM,2018-05-03 18:00:00+00:00,30.68,30.82,30.63,30.74,39579.0
PHM,2018-05-03 19:00:00+00:00,30.75,30.91,30.71,30.89,102129.0
PHM,2018-05-04 13:00:00+00:00,30.82,30.99,30.62,30.97,29614.0
PHM,2018-05-04 14:00:00+00:00,30.96,30.99,30.86,30.92,43604.0
PHM,2018-05-04 15:00:00+00:00,30.93,31.05,30.84,30.99,38280.0
