symbol,ts,open,high,low,close,volume
PLTR,2020-09-30 17:00:00+00:00,10.15,11.41,10.05,10.61,18444849.0
PLTR,2020-09-30 18:00:00+00:00,10.61,11.0,10.15,10.28,10546419.0
PLTR,2020-09-30 19:00:00+00:00,10.28,10.4,9.11,9.56,15094119.0
PLTR,2020-09-30 20:00:00+00:00,9.73,9.98,9.55,9.77,150807.0
PLTR,2020-09-30 21:00:00+00:00,9.77,9.82,9.72,9.79,54964.0
PLTR,2020-09-30 22:00:00+00:00,9.83,9.85,9.79,9.8,12746.0
PLTR,2020-09-30 23:00:00+00:00,9.81,9.95,9.8,9.86,26223.0
PLTR,2020-10-01 08:00:00+00:00,10.2,10.25,10.1,10.2,38992.0
PLTR,2020-10-01 09:00:00+00:00,10.2,10.33,10.19,10.21,15969.0
PLTR,2020-10-01 10:00:00+00:00,10.21,10.27,10.07,10.07,43573.0
PLTR,2020-10-01 11:00:00+00:00,10.09,10.2,9.58,9.69,64000.0
PLTR,2020-10-01 12:00:00+00:00,9.78,9.91,9.65,9.85,567486.0
PLTR,2020-10-01 13:00:00+00:00,9.85,10.1,9.61,9.87,4387482.0
PLTR,2020-10-01 14:00:00+00:00,9.85,9.86,9.3,9.305,3222443.0
PLTR,2020-10-01 15:00:00+00:00,9.3,9.7,9.25,9.57,1703545.0
PLTR,2020-10-01 16:00:00+00:00,9.57,9.75,9.41,9.48,1145369.0
PLTR,2020-10-01 17:00:00+00:00,9.485,9.52,9.35,9.39,1050144.0
PLTR,2020-10-01 18:00:00+00:00,9.395,9.42,9.275,9.3,964623.0
PLTR,2020-10-01 19:00:00+00:00,9.29,9.5,9.23,9.45,1783642.0
PLTR,2020-10-01 20:00:00+00:00,9.5,9.5,9.35,9.42,19113.0
PLTR,2020-10-01 21:00:00+00:00,9.43,9.44,9.38,9.38,2937.0
PLTR,2020-10-01 22:00:00+00:00,9.41,9.41,9.37,9.37,6126.0
PLTR,2020-10-01 23:00:00+00:00,9.4,9.41,9.39,9.4,5975.0
PLTR,2020-10-02 08:00:00+00:00,9.1,9.1,9.0,9.03,35748.0
PLTR,2020-10-02 09:00:00+00:00,9.03,9.04,8.88,9.0,47141.0
PLTR,2020-10-02 10:00:00+00:00,9.0,9.29,9.0,9.29,15115.0
PLTR,2020-10-02 11:00:00+00:00,9.24,9.3,9.01,9.09,29025.0
PLTR,2020-10-02 12:00:00+00:00,9.07,9.2,9.03,9.1,106943.0
PLTR,2020-10-02 13:00:00+00:00,9.1,9.28,8.94,9.05,2319225.0
PLTR,2020-10-02 14:00:00+00:00,9.06,9.25,9.06,9.17,1217979.0
PLTR,2020-10-02 15:00:00+00:00,9.175,9.24,9.05,9.16,597305.0
PLTR,2020-10-02 16:00:00+00:00,9.16,9.225,9.105,9.17,468817.0
PLTR,2020-10-02 17:00:00+00:00,9.18,9.22,9.14,9.19,367983.0
PLTR,2020-10-02 18:00:00+00:00,9.195,9.28,9.04,9.11,705618.0
PLTR,2020-10-02 19:00:00+00:00,9.12,9.195,9.04,9.19,655087.0
PLTR,2020-10-02 20:00:00+00:00,9.16,9.22,9.1,9.15,14786.0
PLTR,2020-10-02 21:00:00+00:00,9.15,9.15,9.06,9.1,20267.0
PLTR,2020-10-02 22:00:00+00:00,9.1,9.11,9.02,9.1,20385.0
PLTR,2020-10-02 23:00:00+00:00,9.1,9.1,9.06,9.07,17387.0
PLTR,2020-10-05 08:00:00+00:00,9.3,9.48,9.3,9.35,10075.0
PLTR,2020-10-05 09:00:00+00:00,9.38,9.48,9.35,9.4,3847.0
PLTR,2020-10-05 10:00:00+00:00,9.48,9.55,9.41,9.52,9963.0
PLTR,2020-10-05 11:00:00+00:00,9.55,9.55,9.32,9.37,13408.0
PLTR,2020-10-05 12:00:00+00:00,9.37,9.47,9.35,9.43,38993.0
PLTR,2020-10-05 13:00:00+00:00,9.43,9.49,9.21,9.245,316158.0
PLTR,2020-10-05 14:00:00+00:00,9.245,9.29,9.03,9.11,612028.0
PLTR,2020-10-05 15:00:00+00:00,9.105,9.13,8.92,9.09,741657.0
PLTR,2020-10-05 16:00:00+00:00,9.08,9.09,9.02,9.04,251722.0
PLTR,2020-10-05 17:00:00+00:00,9.035,9.04,8.97,9.0,264413.0
PLTR,2020-10-05 18:00:00+00:00,9.0,9.07,8.98,9.015,197577.0
PLTR,2020-10-05 19:00:00+00:00,9.01,9.09,9.0,9.04,321318.0
PLTR,2020-10-05 20:00:00+00:00,9.02,9.07,9.01,9.06,8120.0
PLTR,2020-10-05 21:00:00+00:00,9.05,9.07,9.05,9.07,800.0
PLTR,2020-10-05 22:00:00+00:00,9.07,9.1,9.06,9.08,22688.0
PLTR,2020-10-05 23:00:00+00:00,9.09,9.1,9.02,9.03,28881.0
PLTR,2020-10-06 08:00:00+00:00,9.03,9.05,9.03,9.03,10896.0
PLTR,2020-10-06 09:00:00+00:00,9.03,9.03,9.03,9.03,2724.0
PLTR,2020-10-06 10:00:00+00:00,9.03,9.03,8.92,8.93,18271.0
PLTR,2020-10-06 11:00:00+00:00,9.0,9.05,9.0,9.03,3001.0
PLTR,2020-10-06 12:00:00+00:00,9.04,9.08,9.03,9.05,22391.0
PLTR,2020-10-06 13:00:00+00:00,9.07,9.07,8.9,9.0,404663.0
PLTR,2020-10-06 14:00:00+00:00,8.99,9.255,8.98,9.255,892034.0
PLTR,2020-10-06 15:00:00+00:00,9.255,9.315,9.16,9.27,566414.0
PLTR,2020-10-06 16:00:00+00:00,9.275,9.58,9.27,9.565,649694.0
PLTR,2020-10-06 17:00:00+00:00,9.56,10.145,9.55,10.095,1563072.0
PLTR,2020-10-06 18:00:00+00:00,10.09,10.18,9.55,9.7,1209555.0
PLTR,2020-10-06 19:00:00+00:00,9.695,9.95,9.55,9.9,988525.0
PLTR,2020-10-06 20:00:00+00:00,9.97,9.97,9.7,9.7,13567.0
PLTR,2020-10-06 21:00:00+00:00,9.69,9.79,9.69,9.71,6337.0
PLTR,2020-10-06 22:00:00+00:00,9.75,9.78,9.75,9.78,6348.0
PLTR,2020-10-06 23:00:00+00:00,9.77,9.81,9.7,9.7,23916.0
PLTR,2020-10-07 08:00:00+00:00,9.98,10.19,9.96,10.17,30065.0
PLTR,2020-10-07 09:00:00+00:00,10.17,10.7,10.11,10.37,57229.0
PLTR,2020-10-07 10:00:00+00:00,10.32,10.35,10.26,10.26,25166.0
PLTR,2020-10-07 11:00:00+00:00,10.28,10.33,10.12,10.23,54544.0
PLTR,2020-10-07 12:00:00+00:00,10.21,10.29,10.06,10.08,68124.0
