symbol,ts,open,high,low,close,volume
PM,2018-05-01 12:00:00+00:00,82.0,82.0,82.0,82.0,32.0
PM,2018-05-01 13:00:00+00:00,81.45,81.66,80.84,81.235,72015.0
PM,2018-05-01 14:00:00+00:00,81.22,81.46,81.05,81.14,65793.0
PM,2018-05-01 15:00:00+00:00,81.17,81.19,80.99,81.13,42292.0
PM,2018-05-01 16:00:00+00:00,81.13,81.15,81.04,81.08,26629.0
PM,2018-05-01 17:00:00+00:00,81.07,81.17,80.93,81.15,30111.0
PM,2018-05-01 18:00:00+00:00,81.15,81.26,80.95,81.18,52239.0
PM,2018-05-01 19:00:00+00:00,81.19,81.36,81.04,81.2,121025.0
PM,2018-05-01 20:00:00+00:00,81.3,81.36,81.3,81.36,650.0
PM,2018-05-01 21:00:00+00:00,81.36,81.36,81.36,81.36,100.0
PM,2018-05-02 08:00:00+00:00,82.83,82.83,82.83,82.83,1.0
PM,2018-05-02 09:00:00+00:00,81.4,81.4,81.4,81.4,26.0
PM,2018-05-02 13:00:00+00:00,81.25,81.25,80.61,80.62,43531.0
PM,2018-05-02 14:00:00+00:00,80.62,81.11,80.55,80.76,79344.0
PM,2018-05-02 15:00:00+00:00,80.745,80.81,80.54,80.71,68334.0
PM,2018-05-02 16:00:00+00:00,80.68,80.96,80.42,80.46,75161.0
PM,2018-05-02 17:00:00+00:00,80.48,80.5,80.27,80.49,62336.0
PM,2018-05-02 18:00:00+00:00,80.48,80.67,80.06,80.09,75074.0
PM,2018-05-02 19:00:00+00:00,80.09,80.18,79.85,80.1,184318.0
PM,2018-05-02 20:00:00+00:00,80.16,80.16,80.16,80.16,2.0
PM,2018-05-03 10:00:00+00:00,80.32,80.32,80.3,80.3,224.0
PM,2018-05-03 12:00:00+00:00,80.0,80.0,80.0,80.0,3.0
PM,2018-05-03 13:00:00+00:00,79.97,80.86,79.72,80.855,49896.0
PM,2018-05-03 14:00:00+00:00,80.87,81.19,80.83,81.04,126670.0
PM,2018-05-03 15:00:00+00:00,81.07,81.31,80.61,81.05,62894.0
PM,2018-05-03 16:00:00+00:00,81.07,81.18,80.76,81.14,74248.0
PM,2018-05-03 17:00:00+00:00,81.13,81.29,80.74,80.9,48353.0
PM,2018-05-03 18:00:00+00:00,80.915,80.92,80.28,80.32,56937.0
PM,2018-05-03 19:00:00+00:00,80.34,80.49,80.22,80.45,99814.0
PM,2018-05-03 21:00:00+00:00,80.68,80.68,80.68,80.68,296.0
