symbol,ts,open,high,low,close,volume
PNC,2018-05-01 13:00:00+00:00,145.22,145.22,144.28,144.49,16500.0
PNC,2018-05-01 14:00:00+00:00,144.44,144.97,144.12,144.48,47316.0
PNC,2018-05-01 15:00:00+00:00,144.49,144.7,144.14,144.14,54268.0
PNC,2018-05-01 16:00:00+00:00,144.12,144.63,143.98,144.56,46392.0
PNC,2018-05-01 17:00:00+00:00,144.48,145.23,143.96,145.23,45242.0
PNC,2018-05-01 18:00:00+00:00,145.18,145.73,145.06,145.46,68257.0
PNC,2018-05-01 19:00:00+00:00,145.48,145.64,144.72,145.35,94544.0
PNC,2018-05-02 13:00:00+00:00,145.4,145.5,143.77,144.0,26289.0
PNC,2018-05-02 14:00:00+00:00,143.9,144.63,143.81,144.31,45435.0
PNC,2018-05-02 15:00:00+00:00,144.31,145.36,144.24,145.26,49313.0
PNC,2018-05-02 16:00:00+00:00,145.24,145.47,145.03,145.24,38888.0
PNC,2018-05-02 17:00:00+00:00,145.26,145.5,145.2,145.36,28027.0
PNC,2018-05-02 18:00:00+00:00,145.32,145.66,144.93,144.93,46622.0
PNC,2018-05-02 19:00:00+00:00,144.95,144.98,143.32,143.62,82089.0
PNC,2018-05-03 13:00:00+00:00,143.37,143.44,142.4,143.44,18391.0
PNC,2018-05-03 14:00:00+00:00,143.42,143.42,141.4,141.73,64638.0
PNC,2018-05-03 15:00:00+00:00,141.75,142.54,141.35,142.54,69936.0
PNC,2018-05-03 16:00:00+00:00,142.47,144.65,142.46,144.5,93773.0
PNC,2018-05-03 17:00:00+00:00,144.5,145.73,143.86,145.49,80059.0
PNC,2018-05-03 18:00:00+00:00,145.51,146.49,145.11,145.14,75948.0
PNC,2018-05-03 19:00:00+00:00,145.15,145.59,144.65,145.0,92546.0
PNC,2018-05-04 13:00:00+00:00,143.76,144.2,142.93,144.16,22617.0
PNC,2018-05-04 14:00:00+00:00,144.17,145.5,143.99,145.37,35716.0
PNC,2018-05-04 15:00:00+00:00,145.36,146.3,145.19,146.07,23427.0
PNC,2018-05-04 16:00:00+00:00,146.14,146.29,145.71,145.99,64202.0
PNC,2018-05-04 17:00:00+00:00,146.04,146.61,145.79,146.61,57774.0
PNC,2018-05-04 18:00:00+00:00,146.65,146.89,146.03,146.03,41798.0
PNC,2018-05-04 19:00:00+00:00,146.075,146.38,145.38,145.65,89051.0
PNC,2018-05-07 13:00:00+00:00,145.68,145.71,144.63,145.11,31194.0
