symbol,ts,open,high,low,close,volume
PODD,2018-05-01 13:00:00+00:00,85.68,87.16,84.72,86.86,5557.0
PODD,2018-05-01 14:00:00+00:00,86.825,87.38,85.99,87.14,8358.0
PODD,2018-05-01 15:00:00+00:00,87.02,87.63,86.71,87.17,7796.0
PODD,2018-05-01 16:00:00+00:00,87.1,87.28,86.85,87.14,5973.0
PODD,2018-05-01 17:00:00+00:00,87.16,87.16,86.62,87.16,5723.0
PODD,2018-05-01 18:00:00+00:00,87.19,87.97,87.18,87.95,9045.0
PODD,2018-05-01 19:00:00+00:00,88.0,88.0,87.06,87.1,84546.0
PODD,2018-05-01 20:00:00+00:00,87.07,87.08,87.07,87.08,22466.0
PODD,2018-05-02 13:00:00+00:00,87.27,88.87,87.06,88.74,11727.0
PODD,2018-05-02 14:00:00+00:00,88.69,88.96,87.94,88.5,26331.0
PODD,2018-05-02 15:00:00+00:00,88.5,88.5,87.45,87.81,19979.0
PODD,2018-05-02 16:00:00+00:00,87.81,88.01,87.37,87.39,11958.0
PODD,2018-05-02 17:00:00+00:00,87.44,87.84,87.41,87.68,10362.0
PODD,2018-05-02 18:00:00+00:00,87.69,88.12,87.55,87.6,19287.0
PODD,2018-05-02 19:00:00+00:00,87.62,87.82,86.62,86.96,104411.0
PODD,2018-05-02 20:00:00+00:00,86.97,86.97,86.95,86.95,26509.0
PODD,2018-05-03 13:00:00+00:00,86.62,88.35,85.73,88.275,8871.0
PODD,2018-05-03 14:00:00+00:00,88.23,88.23,86.1,86.26,19656.0
PODD,2018-05-03 15:00:00+00:00,86.34,86.9,85.55,86.12,28688.0
PODD,2018-05-03 16:00:00+00:00,86.09,86.09,84.84,86.04,23592.0
PODD,2018-05-03 17:00:00+00:00,86.03,87.56,85.71,86.74,29455.0
PODD,2018-05-03 18:00:00+00:00,86.77,87.48,86.46,87.03,21821.0
PODD,2018-05-03 19:00:00+00:00,87.1,87.25,86.61,87.09,53236.0
PODD,2018-05-03 20:00:00+00:00,87.09,87.09,87.09,87.09,16524.0
PODD,2018-05-04 13:00:00+00:00,89.25,94.13,83.66,83.77,42610.0
PODD,2018-05-04 14:00:00+00:00,83.66,84.43,81.15,84.35,83839.0
PODD,2018-05-04 15:00:00+00:00,84.42,85.57,82.0,82.02,42227.0
PODD,2018-05-04 16:00:00+00:00,82.25,84.39,82.23,84.3,25552.0
PODD,2018-05-04 17:00:00+00:00,84.43,85.65,84.43,85.37,20515.0
PODD,2018-05-04 18:00:00+00:00,85.42,86.93,85.25,86.49,23879.0
PODD,2018-05-04 19:00:00+00:00,86.44,86.44,83.65,83.83,87732.0
PODD,2018-05-04 20:00:00+00:00,83.88,83.88,83.83,83.83,17106.0
PODD,2018-05-07 13:00:00+00:00,84.0,85.35,84.0,85.04,10532.0
PODD,2018-05-07 14:00:00+00:00,84.96,86.28,84.96,85.59,12126.0
PODD,2018-05-07 15:00:00+00:00,85.57,85.57,84.58,85.01,19433.0
PODD,2018-05-07 16:00:00+00:00,85.01,85.19,84.375,84.73,14712.0
PODD,2018-05-07 17:00:00+00:00,84.8,84.85,84.09,84.15,10750.0
PODD,2018-05-07 18:00:00+00:00,84.21,84.43,83.77,83.93,9164.0
PODD,2018-05-07 19:00:00+00:00,83.92,84.0,83.1,83.63,37637.0
PODD,2018-05-07 20:00:00+00:00,83.62,83.62,83.62,83.62,14298.0
PODD,2018-05-08 13:00:00+00:00,82.93,84.01,82.93,83.97,11456.0
PODD,2018-05-08 14:00:00+00:00,84.02,84.38,83.7,83.7,14506.0
PODD,2018-05-08 15:00:00+00:00,83.71,84.08,83.56,83.99,9337.0
PODD,2018-05-08 16:00:00+00:00,83.89,83.89,83.39,83.85,16063.0
PODD,2018-05-08 17:00:00+00:00,83.85,84.02,83.42,83.42,14478.0
PODD,2018-05-08 18:00:00+00:00,83.47,83.57,82.69,82.78,20296.0
PODD,2018-05-08 19:00:00+00:00,82.76,83.3,82.58,83.3,35284.0
PODD,2018-05-08 20:00:00+00:00,83.27,83.27,83.27,83.27,8060.0
PODD,2018-05-09 13:00:00+00:00,83.45,83.97,82.87,82.87,4766.0
PODD,2018-05-09 14:00:00+00:00,82.83,83.42,82.23,82.91,17688.0
PODD,2018-05-09 15:00:00+00:00,82.93,83.03,81.86,82.27,12556.0
PODD,2018-05-09 16:00:00+00:00,82.44,83.13,82.33,82.96,9042.0
PODD,2018-05-09 17:00:00+00:00,83.03,84.14,82.98,84.14,15954.0
PODD,2018-05-09 18:00:00+00:00,84.15,84.4,83.97,83.97,14484.0
PODD,2018-05-09 19:00:00+00:00,83.75,84.08,83.62,83.69,41148.0
PODD,2018-05-09 20:00:00+00:00,83.72,83.72,83.72,83.72,15041.0
PODD,2018-05-10 13:00:00+00:00,84.01,84.67,83.855,84.35,6163.0
PODD,2018-05-10 14:00:00+00:00,84.5,86.07,84.5,85.79,13320.0
PODD,2018-05-10 15:00:00+00:00,85.84,86.6,85.68,86.45,18243.0
PODD,2018-05-10 16:00:00+00:00,86.4,87.12,86.38,86.89,9135.0
PODD,2018-05-10 17:00:00+00:00,86.85,86.92,86.09,86.09,5510.0
PODD,2018-05-10 18:00:00+00:00,86.05,86.49,85.99,86.28,10753.0
PODD,2018-05-10 19:00:00+00:00,86.26,86.28,85.8,86.17,28536.0
PODD,2018-05-10 20:00:00+00:00,86.16,86.16,86.16,86.16,58447.0
PODD,2018-05-11 13:00:00+00:00,85.96,87.0,85.96,87.0,3061.0
PODD,2018-05-11 14:00:00+00:00,87.2,87.58,86.66,86.71,18215.0
PODD,2018-05-11 15:00:00+00:00,86.71,86.93,86.25,86.51,9990.0
PODD,2018-05-11 16:00:00+00:00,86.56,86.57,85.97,86.23,8326.0
PODD,2018-05-11 17:00:00+00:00,86.22,86.36,85.91,86.11,5888.0
PODD,2018-05-11 18:00:00+00:00,86.09,86.39,85.75,86.39,7385.0
PODD,2018-05-11 19:00:00+00:00,86.29,86.62,86.18,86.35,23807.0
PODD,2018-05-11 20:00:00+00:00,86.35,86.35,86.35,86.35,9794.0
PODD,2018-05-14 13:00:00+00:00,86.53,87.19,86.03,87.03,2501.0
PODD,2018-05-14 14:00:00+00:00,87.1,87.5,86.47,86.58,5448.0
PODD,2018-05-14 15:00:00+00:00,86.59,87.14,86.59,87.06,8199.0
PODD,2018-05-14 16:00:00+00:00,87.07,87.23,86.94,86.94,5060.0
PODD,2018-05-14 17:00:00+00:00,87.06,87.22,86.97,87.13,7016.0
PODD,2018-05-14 18:00:00+00:00,87.11,87.53,87.05,87.41,12315.0
PODD,2018-05-14 19:00:00+00:00,87.39,87.39,87.12,87.2,34230.0
PODD,2018-05-14 20:00:00+00:00,87.22,87.22,87.22,87.22,14899.0
PODD,2018-05-15 13:00:00+00:00,86.6,86.69,85.92,86.29,9902.0
PODD,2018-05-15 14:00:00+00:00,86.32,86.74,86.24,86.33,5218.0
PODD,2018-05-15 15:00:00+00:00,86.38,87.01,86.32,86.94,6455.0
PODD,2018-05-15 16:00:00+00:00,86.88,87.41,86.39,87.28,12552.0
PODD,2018-05-15 17:00:00+00:00,87.27,87.69,86.67,86.67,11837.0
PODD,2018-05-15 18:00:00+00:00,86.65,86.7,85.96,85.96,11161.0
PODD,2018-05-15 19:00:00+00:00,86.06,86.49,85.94,86.42,28242.0
PODD,2018-05-15 20:00:00+00:00,86.42,86.42,86.42,86.42,48730.0
PODD,2018-05-16 13:00:00+00:00,86.16,86.33,85.2,85.9,4973.0
PODD,2018-05-16 14:00:00+00:00,85.92,87.1,85.83,87.1,7631.0
PODD,2018-05-16 15:00:00+00:00,87.08,87.35,86.65,86.74,14866.0
PODD,2018-05-16 16:00:00+00:00,86.82,87.22,86.65,87.0,18256.0
PODD,2018-05-16 17:00:00+00:00,87.02,87.07,86.8,87.0,7935.0
PODD,2018-05-16 18:00:00+00:00,87.07,87.33,86.86,87.06,11090.0
PODD,2018-05-16 19:00:00+00:00,87.06,87.26,86.68,86.96,30000.0
PODD,2018-05-16 20:00:00+00:00,86.96,86.96,86.96,86.96,77897.0
PODD,2018-05-17 13:00:00+00:00,86.97,87.4,86.56,87.18,6248.0
PODD,2018-05-17 14:00:00+00:00,87.3,88.59,87.03,88.05,24297.0
PODD,2018-05-17 15:00:00+00:00,87.9,88.52,87.88,88.25,13376.0
PODD,2018-05-17 16:00:00+00:00,88.35,88.42,87.74,87.78,9425.0
PODD,2018-05-17 17:00:00+00:00,87.805,88.04,87.23,87.23,8307.0
PODD,2018-05-17 18:00:00+00:00,87.22,87.78,86.96,87.71,14741.0
PODD,2018-05-17 19:00:00+00:00,87.7,87.78,87.36,87.54,19864.0
PODD,2018-05-17 20:00:00+00:00,87.55,87.55,87.55,87.55,6574.0
PODD,2018-05-18 13:00:00+00:00,87.76,88.2,87.5,87.79,20913.0
PODD,2018-05-18 14:00:00+00:00,87.97,88.45,87.79,87.85,7643.0
PODD,2018-05-18 15:00:00+00:00,87.96,88.14,87.81,88.0,7526.0
PODD,2018-05-18 16:00:00+00:00,87.96,88.0,87.83,87.98,3825.0
PODD,2018-05-18 17:00:00+00:00,88.0,88.08,87.67,87.67,3779.0
PODD,2018-05-18 18:00:00+00:00,87.66,87.75,87.47,87.61,5907.0
PODD,2018-05-18 19:00:00+00:00,87.66,87.68,87.01,87.49,43873.0
PODD,2018-05-18 20:00:00+00:00,87.52,87.52,87.52,87.52,21888.0
PODD,2018-05-21 13:00:00+00:00,88.04,88.75,88.04,88.09,2543.0
PODD,2018-05-21 14:00:00+00:00,88.19,88.98,88.06,88.93,6852.0
PODD,2018-05-21 15:00:00+00:00,89.02,89.03,88.34,88.83,13856.0
PODD,2018-05-21 16:00:00+00:00,88.89,89.06,88.76,88.98,4614.0
PODD,2018-05-21 17:00:00+00:00,89.04,89.31,88.96,89.06,5775.0
PODD,2018-05-21 18:00:00+00:00,89.02,89.14,88.63,88.73,7387.0
PODD,2018-05-21 19:00:00+00:00,88.68,89.06,88.59,88.92,20941.0
PODD,2018-05-21 20:00:00+00:00,88.92,88.92,88.92,88.92,49388.0
PODD,2018-05-22 13:00:00+00:00,89.22,89.31,88.22,88.6,3519.0
PODD,2018-05-22 14:00:00+00:00,88.49,88.53,87.64,87.93,5459.0
