symbol,ts,open,high,low,close,volume
PSA,2018-05-01 13:00:00+00:00,202.15,203.72,201.75,203.36,8740.0
PSA,2018-05-01 14:00:00+00:00,203.68,204.63,203.64,204.47,22292.0
PSA,2018-05-01 15:00:00+00:00,204.4,204.6,203.89,204.31,11774.0
PSA,2018-05-01 16:00:00+00:00,204.23,204.56,203.75,204.46,14285.0
PSA,2018-05-01 17:00:00+00:00,204.465,205.5,204.42,205.39,12542.0
PSA,2018-05-01 18:00:00+00:00,205.4,205.43,204.86,205.32,16066.0
PSA,2018-05-01 19:00:00+00:00,205.38,205.67,204.42,204.58,50552.0
PSA,2018-05-02 13:00:00+00:00,203.29,203.32,201.57,201.57,7792.0
PSA,2018-05-02 14:00:00+00:00,201.27,204.1,201.11,203.93,18321.0
PSA,2018-05-02 15:00:00+00:00,204.0,204.48,203.27,203.47,12174.0
PSA,2018-05-02 16:00:00+00:00,203.29,203.29,202.39,203.15,7865.0
PSA,2018-05-02 17:00:00+00:00,203.03,204.58,202.89,204.58,7109.0
PSA,2018-05-02 18:00:00+00:00,204.6,205.93,204.29,205.87,21050.0
PSA,2018-05-02 19:00:00+00:00,205.79,205.98,204.16,204.65,73709.0
PSA,2018-05-03 13:00:00+00:00,204.465,205.22,203.91,204.84,5860.0
PSA,2018-05-03 14:00:00+00:00,204.66,205.47,204.5,204.77,10760.0
PSA,2018-05-03 15:00:00+00:00,204.81,205.81,204.66,205.16,24918.0
PSA,2018-05-03 16:00:00+00:00,205.18,205.72,204.92,205.56,14108.0
PSA,2018-05-03 17:00:00+00:00,205.71,206.44,205.19,206.14,12305.0
PSA,2018-05-03 18:00:00+00:00,206.23,207.24,206.21,206.53,16731.0
PSA,2018-05-03 19:00:00+00:00,206.565,206.93,204.98,205.86,52614.0
PSA,2018-05-04 13:00:00+00:00,205.51,206.8,205.51,206.36,4009.0
PSA,2018-05-04 14:00:00+00:00,206.16,207.32,206.0,206.45,7509.0
PSA,2018-05-04 15:00:00+00:00,206.47,207.21,206.27,207.0,8274.0
PSA,2018-05-04 16:00:00+00:00,206.9,207.52,206.83,207.37,8850.0
PSA,2018-05-04 17:00:00+00:00,207.36,207.65,206.92,206.92,6598.0
PSA,2018-05-04 18:00:00+00:00,206.96,208.05,206.92,207.79,12196.0
PSA,2018-05-04 19:00:00+00:00,207.85,208.06,207.1,207.36,26791.0
PSA,2018-05-07 13:00:00+00:00,207.04,207.38,206.19,206.94,4297.0
PSA,2018-05-07 14:00:00+00:00,207.13,207.34,206.2,206.33,24008.0
PSA,2018-05-07 15:00:00+00:00,206.36,208.25,206.19,208.18,9008.0
PSA,2018-05-07 16:00:00+00:00,208.13,208.75,207.94,208.11,12552.0
PSA,2018-05-07 17:00:00+00:00,208.09,208.56,208.0,208.56,13494.0
PSA,2018-05-07 18:00:00+00:00,208.54,209.47,208.45,209.42,18288.0
PSA,2018-05-07 19:00:00+00:00,209.43,210.235,209.06,209.97,55332.0
PSA,2018-05-08 13:00:00+00:00,209.96,210.34,209.35,209.46,7440.0
PSA,2018-05-08 14:00:00+00:00,209.43,210.37,209.19,210.03,17660.0
PSA,2018-05-08 15:00:00+00:00,209.91,210.7,209.66,209.85,16298.0
PSA,2018-05-08 16:00:00+00:00,209.85,210.07,209.57,209.86,11163.0
