symbol,ts,open,high,low,close,volume
PSKY,2025-08-07 13:00:00+00:00,11.64,12.1,11.19,11.395,379581.0
PSKY,2025-08-07 14:00:00+00:00,11.38,11.4,10.575,10.89,755187.0
PSKY,2025-08-07 15:00:00+00:00,10.88,11.4,10.88,11.14,391097.0
PSKY,2025-08-07 16:00:00+00:00,11.13,11.31,10.96,11.16,199453.0
PSKY,2025-08-07 17:00:00+00:00,11.16,11.39,11.1,11.295,272688.0
PSKY,2025-08-07 18:00:00+00:00,11.3,11.49,11.25,11.32,485985.0
PSKY,2025-08-07 19:00:00+00:00,11.32,11.845,11.13,11.8,1729024.0
PSKY,2025-08-07 20:00:00+00:00,11.74,11.77,11.25,11.5,8217404.0
PSKY,2025-08-07 21:00:00+00:00,11.47,11.5,11.47,11.5,23.0
PSKY,2025-08-07 22:00:00+00:00,11.5,11.5,11.5,11.5,2905.0
PSKY,2025-08-07 23:00:00+00:00,11.5,11.5,11.5,11.5,244.0
PSKY,2025-08-08 08:00:00+00:00,11.26,11.26,11.26,11.26,50.0
PSKY,2025-08-08 09:00:00+00:00,11.26,11.45,11.26,11.35,452.0
PSKY,2025-08-08 10:00:00+00:00,11.43,11.43,11.32,11.32,5013.0
PSKY,2025-08-08 11:00:00+00:00,11.45,11.49,11.39,11.45,3186.0
PSKY,2025-08-08 12:00:00+00:00,11.49,11.5,11.35,11.4,5302.0
PSKY,2025-08-08 13:00:00+00:00,11.4,11.47,11.08,11.34,505717.0
PSKY,2025-08-08 14:00:00+00:00,11.34,11.84,11.18,11.29,895167.0
PSKY,2025-08-08 15:00:00+00:00,11.3,11.5,11.3,11.37,312563.0
PSKY,2025-08-08 16:00:00+00:00,11.37,11.39,11.12,11.13,227030.0
PSKY,2025-08-08 17:00:00+00:00,11.13,11.14,10.6,10.61,443701.0
PSKY,2025-08-08 18:00:00+00:00,10.6,10.775,10.46,10.625,749206.0
PSKY,2025-08-08 19:00:00+00:00,10.62,10.66,10.38,10.52,1937034.0
PSKY,2025-08-08 20:00:00+00:00,10.51,10.66,10.51,10.65,2614492.0
PSKY,2025-08-08 21:00:00+00:00,10.57,10.74,10.57,10.62,30118.0
PSKY,2025-08-08 22:00:00+00:00,10.65,10.65,10.65,10.65,800.0
PSKY,2025-08-08 23:00:00+00:00,10.63,10.68,10.61,10.61,268.0
PSKY,2025-08-11 08:00:00+00:00,10.9,10.9,10.64,10.64,102.0
PSKY,2025-08-11 10:00:00+00:00,10.63,10.63,10.62,10.62,332.0
PSKY,2025-08-11 11:00:00+00:00,10.63,10.66,10.63,10.65,1105.0
PSKY,2025-08-11 12:00:00+00:00,10.8,11.25,10.7,10.72,56863.0
PSKY,2025-08-11 13:00:00+00:00,10.73,10.75,10.235,10.53,1377496.0
PSKY,2025-08-11 14:00:00+00:00,10.52,10.65,10.34,10.47,950751.0
PSKY,2025-08-11 15:00:00+00:00,10.47,10.48,10.305,10.355,605248.0
PSKY,2025-08-11 16:00:00+00:00,10.355,10.49,10.355,10.4,589008.0
PSKY,2025-08-11 17:00:00+00:00,10.395,10.45,10.15,10.15,453794.0
PSKY,2025-08-11 18:00:00+00:00,10.15,10.19,9.95,10.04,1089822.0
PSKY,2025-08-11 19:00:00+00:00,10.045,10.18,10.005,10.12,2166868.0
PSKY,2025-08-11 20:00:00+00:00,10.12,10.12,10.08,10.12,2478035.0
PSKY,2025-08-11 21:00:00+00:00,10.15,10.15,10.15,10.15,50.0
PSKY,2025-08-11 22:00:00+00:00,10.21,10.21,10.21,10.21,763.0
PSKY,2025-08-11 23:00:00+00:00,10.21,10.21,10.2,10.2,522.0
PSKY,2025-08-12 09:00:00+00:00,10.25,10.29,10.25,10.29,1141.0
PSKY,2025-08-12 10:00:00+00:00,10.29,10.29,10.29,10.29,101.0
PSKY,2025-08-12 11:00:00+00:00,10.27,10.27,10.12,10.14,1592.0
PSKY,2025-08-12 12:00:00+00:00,10.16,10.25,10.15,10.15,6675.0
PSKY,2025-08-12 13:00:00+00:00,10.19,10.54,10.14,10.45,891828.0
PSKY,2025-08-12 14:00:00+00:00,10.445,10.98,10.405,10.975,665641.0
PSKY,2025-08-12 15:00:00+00:00,10.975,11.01,10.77,10.85,516088.0
PSKY,2025-08-12 16:00:00+00:00,10.85,10.965,10.79,10.89,379777.0
PSKY,2025-08-12 17:00:00+00:00,10.895,11.15,10.885,11.095,493894.0
PSKY,2025-08-12 18:00:00+00:00,11.095,11.21,11.05,11.165,268021.0
