symbol,ts,open,high,low,close,volume
PSX,2018-05-01 13:00:00+00:00,111.12,111.58,110.4,110.83,46402.0
PSX,2018-05-01 14:00:00+00:00,110.94,111.065,110.33,110.61,58194.0
PSX,2018-05-01 15:00:00+00:00,110.58,111.9,110.55,111.04,60055.0
PSX,2018-05-01 16:00:00+00:00,111.05,111.31,110.74,110.89,37291.0
PSX,2018-05-01 17:00:00+00:00,110.9,111.21,110.73,111.1,60806.0
PSX,2018-05-01 18:00:00+00:00,111.08,111.86,111.06,111.83,81781.0
PSX,2018-05-01 19:00:00+00:00,111.84,111.98,111.35,111.81,142244.0
PSX,2018-05-02 12:00:00+00:00,112.38,112.38,112.38,112.38,25.0
PSX,2018-05-02 13:00:00+00:00,111.44,113.1,111.44,112.95,23643.0
PSX,2018-05-02 14:00:00+00:00,112.96,113.81,112.96,113.26,92796.0
PSX,2018-05-02 15:00:00+00:00,113.29,113.86,113.22,113.8,80904.0
PSX,2018-05-02 16:00:00+00:00,113.81,114.24,113.49,113.92,71919.0
PSX,2018-05-02 17:00:00+00:00,113.95,114.78,113.94,114.45,69953.0
PSX,2018-05-02 18:00:00+00:00,114.41,115.45,114.34,114.88,82991.0
PSX,2018-05-02 19:00:00+00:00,114.9,115.05,114.09,114.52,187247.0
PSX,2018-05-03 13:00:00+00:00,113.97,114.2,113.5,114.11,31096.0
PSX,2018-05-03 14:00:00+00:00,114.02,114.04,112.96,113.66,59350.0
PSX,2018-05-03 15:00:00+00:00,113.67,114.72,113.49,114.61,62361.0
PSX,2018-05-03 16:00:00+00:00,114.59,115.49,114.58,115.49,78025.0
PSX,2018-05-03 17:00:00+00:00,115.49,115.6,114.29,115.255,54732.0
PSX,2018-05-03 18:00:00+00:00,115.21,115.61,114.84,114.89,50022.0
PSX,2018-05-03 19:00:00+00:00,114.91,115.6,114.78,115.58,128235.0
PSX,2018-05-04 13:00:00+00:00,115.17,115.36,114.47,114.66,36106.0
PSX,2018-05-04 14:00:00+00:00,114.66,115.54,114.62,115.41,72706.0
PSX,2018-05-04 15:00:00+00:00,115.39,115.62,115.13,115.62,33549.0
PSX,2018-05-04 16:00:00+00:00,115.6,115.74,115.07,115.18,56583.0
PSX,2018-05-04 17:00:00+00:00,115.18,115.44,114.98,115.38,42961.0
PSX,2018-05-04 18:00:00+00:00,115.34,115.79,115.28,115.5,45866.0
PSX,2018-05-04 19:00:00+00:00,115.48,115.78,115.39,115.6,104351.0
PSX,2018-05-07 13:00:00+00:00,115.95,117.19,115.69,116.98,29932.0
PSX,2018-05-07 14:00:00+00:00,116.98,117.56,116.67,117.49,63933.0
PSX,2018-05-07 15:00:00+00:00,117.53,117.98,117.3,117.61,33646.0
PSX,2018-05-07 16:00:00+00:00,117.59,117.73,117.23,117.25,30610.0
PSX,2018-05-07 17:00:00+00:00,117.27,117.4,117.05,117.12,37770.0
PSX,2018-05-07 18:00:00+00:00,117.11,117.13,115.92,115.96,39650.0
PSX,2018-05-07 19:00:00+00:00,115.93,116.03,115.34,115.43,101603.0
PSX,2018-05-08 13:00:00+00:00,115.4,115.4,113.86,114.27,23000.0
PSX,2018-05-08 14:00:00+00:00,114.32,114.86,114.25,114.46,25304.0
PSX,2018-05-08 15:00:00+00:00,114.45,115.45,113.7,115.19,49764.0
PSX,2018-05-08 16:00:00+00:00,115.22,115.23,114.7,114.93,33985.0
PSX,2018-05-08 17:00:00+00:00,114.96,115.0,114.54,114.75,39029.0
PSX,2018-05-08 18:00:00+00:00,114.75,116.28,114.66,115.8,57165.0
PSX,2018-05-08 19:00:00+00:00,115.81,116.36,115.73,116.31,104267.0
PSX,2018-05-09 13:00:00+00:00,117.0,117.84,116.69,117.84,36999.0
PSX,2018-05-09 14:00:00+00:00,117.83,118.55,117.67,117.85,73025.0
PSX,2018-05-09 15:00:00+00:00,117.89,118.01,116.61,116.67,37098.0
PSX,2018-05-09 16:00:00+00:00,116.69,117.435,116.56,117.23,48887.0
PSX,2018-05-09 17:00:00+00:00,117.22,117.88,117.18,117.87,40714.0
PSX,2018-05-09 18:00:00+00:00,117.87,118.18,117.65,118.18,50310.0
PSX,2018-05-09 19:00:00+00:00,118.17,118.3,117.25,117.5,115138.0
PSX,2018-05-10 13:00:00+00:00,118.15,118.33,117.5,117.5,19300.0
PSX,2018-05-10 14:00:00+00:00,117.48,118.13,117.18,117.51,39900.0
PSX,2018-05-10 15:00:00+00:00,117.51,117.99,117.44,117.99,34045.0
PSX,2018-05-10 16:00:00+00:00,117.98,118.21,117.91,118.07,30394.0
PSX,2018-05-10 17:00:00+00:00,118.08,118.12,117.63,117.69,29706.0
