symbol,ts,open,high,low,close,volume
PTC,2018-05-01 13:00:00+00:00,82.43,83.24,81.67,82.34,13656.0
PTC,2018-05-01 14:00:00+00:00,82.36,82.68,82.16,82.28,24970.0
PTC,2018-05-01 15:00:00+00:00,82.26,82.39,82.06,82.23,35777.0
PTC,2018-05-01 16:00:00+00:00,82.24,82.59,82.24,82.57,33767.0
PTC,2018-05-01 17:00:00+00:00,82.55,82.55,82.22,82.46,45642.0
PTC,2018-05-01 18:00:00+00:00,82.47,82.59,82.39,82.59,70443.0
PTC,2018-05-01 19:00:00+00:00,82.59,82.93,82.43,82.83,115116.0
PTC,2018-05-01 20:00:00+00:00,82.83,82.83,82.82,82.82,46518.0
PTC,2018-05-02 13:00:00+00:00,82.99,83.19,82.66,82.9,14686.0
PTC,2018-05-02 14:00:00+00:00,82.96,83.63,82.94,83.19,27559.0
PTC,2018-05-02 15:00:00+00:00,83.21,83.27,82.67,83.01,38048.0
PTC,2018-05-02 16:00:00+00:00,82.97,83.55,82.93,83.44,35137.0
PTC,2018-05-02 17:00:00+00:00,83.45,83.94,83.45,83.93,30326.0
PTC,2018-05-02 18:00:00+00:00,83.9,84.27,83.73,83.82,43257.0
PTC,2018-05-02 19:00:00+00:00,83.74,83.91,83.32,83.5,106553.0
PTC,2018-05-02 20:00:00+00:00,83.51,83.51,83.51,83.51,42652.0
PTC,2018-05-03 13:00:00+00:00,83.53,84.51,83.3,84.47,16479.0
PTC,2018-05-03 14:00:00+00:00,84.48,84.48,83.25,83.3,44508.0
PTC,2018-05-03 15:00:00+00:00,83.28,83.95,83.245,83.93,37627.0
PTC,2018-05-03 16:00:00+00:00,83.915,84.41,83.78,84.4,44541.0
PTC,2018-05-03 17:00:00+00:00,84.38,84.38,83.76,83.92,51736.0
PTC,2018-05-03 18:00:00+00:00,83.94,84.33,83.81,84.01,33636.0
PTC,2018-05-03 19:00:00+00:00,84.02,84.37,83.74,83.86,97943.0
PTC,2018-05-03 20:00:00+00:00,83.86,83.86,83.86,83.86,16935.0
PTC,2018-05-04 13:00:00+00:00,83.49,84.23,83.33,83.85,19646.0
PTC,2018-05-04 14:00:00+00:00,83.79,84.96,83.78,84.78,39226.0
PTC,2018-05-04 15:00:00+00:00,84.86,85.41,84.82,85.36,34357.0
PTC,2018-05-04 16:00:00+00:00,85.37,85.43,85.14,85.21,21853.0
PTC,2018-05-04 17:00:00+00:00,85.23,85.6,85.11,85.59,24686.0
PTC,2018-05-04 18:00:00+00:00,85.58,85.76,85.53,85.53,26138.0
PTC,2018-05-04 19:00:00+00:00,85.52,85.55,84.95,85.07,86860.0
PTC,2018-05-04 20:00:00+00:00,85.08,85.08,84.89,84.89,35818.0
PTC,2018-05-07 13:00:00+00:00,85.5,86.2,85.32,85.86,17869.0
PTC,2018-05-07 14:00:00+00:00,85.87,86.28,85.86,86.28,21449.0
PTC,2018-05-07 15:00:00+00:00,86.23,86.71,86.22,86.53,31592.0
PTC,2018-05-07 16:00:00+00:00,86.6,86.8,86.5,86.65,16756.0
PTC,2018-05-07 17:00:00+00:00,86.69,86.73,86.42,86.65,22278.0
PTC,2018-05-07 18:00:00+00:00,86.64,86.7,86.4,86.55,26580.0
PTC,2018-05-07 19:00:00+00:00,86.51,86.59,86.13,86.51,110205.0
PTC,2018-05-07 20:00:00+00:00,86.51,86.51,86.48,86.48,51494.0
PTC,2018-05-08 13:00:00+00:00,86.2,86.76,86.2,86.41,16951.0
PTC,2018-05-08 14:00:00+00:00,86.41,86.91,86.38,86.68,29400.0
PTC,2018-05-08 15:00:00+00:00,86.7,86.88,86.48,86.64,37226.0
PTC,2018-05-08 16:00:00+00:00,86.62,86.65,86.26,86.28,21610.0
PTC,2018-05-08 17:00:00+00:00,86.31,86.66,86.3,86.44,22585.0
PTC,2018-05-08 18:00:00+00:00,86.5,86.9,86.32,86.56,35851.0
PTC,2018-05-08 19:00:00+00:00,86.62,86.79,86.48,86.79,54587.0
PTC,2018-05-08 20:00:00+00:00,86.79,86.79,86.79,86.79,41795.0
PTC,2018-05-09 13:00:00+00:00,87.14,87.14,86.52,86.7,21713.0
PTC,2018-05-09 14:00:00+00:00,86.67,87.21,86.6,86.92,42678.0
PTC,2018-05-09 15:00:00+00:00,86.95,87.41,86.86,87.33,22175.0
PTC,2018-05-09 16:00:00+00:00,87.32,87.47,87.19,87.34,26900.0
PTC,2018-05-09 17:00:00+00:00,87.34,87.65,87.3,87.54,35466.0
PTC,2018-05-09 18:00:00+00:00,87.54,87.56,87.09,87.34,56522.0
PTC,2018-05-09 19:00:00+00:00,87.33,87.33,86.96,87.16,146823.0
PTC,2018-05-09 20:00:00+00:00,87.18,87.18,87.18,87.18,48456.0
PTC,2018-05-10 13:00:00+00:00,87.57,87.82,87.0,87.58,14913.0
PTC,2018-05-10 14:00:00+00:00,87.59,87.95,87.48,87.89,51324.0
PTC,2018-05-10 15:00:00+00:00,87.94,88.0,87.8,87.89,51204.0
PTC,2018-05-10 16:00:00+00:00,87.86,88.08,87.56,87.62,59077.0
PTC,2018-05-10 17:00:00+00:00,87.65,87.73,87.48,87.48,46972.0
PTC,2018-05-10 18:00:00+00:00,87.5,87.8,87.06,87.69,60209.0
PTC,2018-05-10 19:00:00+00:00,87.7,87.82,87.4,87.61,151482.0
PTC,2018-05-10 20:00:00+00:00,87.62,87.62,87.62,87.62,49236.0
PTC,2018-05-11 13:00:00+00:00,87.41,88.22,87.11,88.21,31190.0
PTC,2018-05-11 14:00:00+00:00,88.25,88.5,88.12,88.27,34295.0
PTC,2018-05-11 15:00:00+00:00,88.26,88.3,87.85,88.1,17911.0
PTC,2018-05-11 16:00:00+00:00,88.06,88.11,87.65,87.83,12440.0
PTC,2018-05-11 17:00:00+00:00,87.88,88.04,87.71,87.83,13416.0
PTC,2018-05-11 18:00:00+00:00,87.8,87.86,87.57,87.83,20027.0
PTC,2018-05-11 19:00:00+00:00,87.85,88.07,87.845,88.03,61939.0
PTC,2018-05-11 20:00:00+00:00,88.05,88.05,88.05,88.05,30889.0
PTC,2018-05-14 13:00:00+00:00,88.11,88.69,88.09,88.24,12497.0
PTC,2018-05-14 14:00:00+00:00,88.23,88.44,88.02,88.02,22225.0
PTC,2018-05-14 15:00:00+00:00,87.98,88.12,87.62,87.71,18913.0
PTC,2018-05-14 16:00:00+00:00,87.69,87.92,87.14,87.18,17628.0
PTC,2018-05-14 17:00:00+00:00,87.15,87.15,86.22,86.58,30243.0
PTC,2018-05-14 18:00:00+00:00,86.56,86.59,86.19,86.42,27036.0
PTC,2018-05-14 19:00:00+00:00,86.41,86.6,86.26,86.34,90482.0
PTC,2018-05-14 20:00:00+00:00,86.35,86.35,86.35,86.35,30433.0
PTC,2018-05-15 13:00:00+00:00,85.74,86.0,84.43,84.67,28465.0
PTC,2018-05-15 14:00:00+00:00,84.6,84.9,84.51,84.62,50192.0
