symbol,ts,open,high,low,close,volume
PWR,2018-05-01 13:00:00+00:00,32.56,32.75,32.37,32.71,15937.0
PWR,2018-05-01 14:00:00+00:00,32.71,32.71,32.35,32.37,27282.0
PWR,2018-05-01 15:00:00+00:00,32.37,32.54,32.195,32.36,36154.0
PWR,2018-05-01 16:00:00+00:00,32.36,32.425,32.305,32.39,24758.0
PWR,2018-05-01 17:00:00+00:00,32.37,32.54,32.24,32.52,30272.0
PWR,2018-05-01 18:00:00+00:00,32.545,32.69,32.525,32.67,33283.0
PWR,2018-05-01 19:00:00+00:00,32.69,32.88,32.62,32.815,51277.0
PWR,2018-05-02 13:00:00+00:00,32.83,32.96,32.72,32.835,7221.0
PWR,2018-05-02 14:00:00+00:00,32.83,32.95,32.77,32.83,25017.0
PWR,2018-05-02 15:00:00+00:00,32.83,32.98,32.81,32.93,24860.0
PWR,2018-05-02 16:00:00+00:00,32.925,33.0,32.92,32.98,14466.0
PWR,2018-05-02 17:00:00+00:00,32.99,33.25,32.98,33.2,33340.0
PWR,2018-05-02 18:00:00+00:00,33.2,33.29,32.95,32.96,39637.0
PWR,2018-05-02 19:00:00+00:00,32.97,33.055,32.74,32.82,116911.0
PWR,2018-05-02 23:00:00+00:00,32.77,32.77,32.77,32.77,300.0
PWR,2018-05-03 13:00:00+00:00,34.08,34.08,33.37,33.59,56447.0
PWR,2018-05-03 14:00:00+00:00,33.545,33.61,32.57,32.77,84262.0
PWR,2018-05-03 15:00:00+00:00,32.75,34.1,32.61,34.1,96246.0
PWR,2018-05-03 16:00:00+00:00,34.08,34.12,33.58,33.89,55242.0
PWR,2018-05-03 17:00:00+00:00,33.895,34.17,33.85,34.0,36743.0
PWR,2018-05-03 18:00:00+00:00,33.99,34.2,33.9,33.96,50281.0
PWR,2018-05-03 19:00:00+00:00,33.99,34.28,33.93,34.06,116502.0
PWR,2018-05-04 13:00:00+00:00,33.99,34.42,33.67,34.34,26195.0
PWR,2018-05-04 14:00:00+00:00,34.34,34.81,34.2,34.77,54253.0
PWR,2018-05-04 15:00:00+00:00,34.77,35.01,34.71,34.98,37739.0
PWR,2018-05-04 16:00:00+00:00,34.97,35.0,34.83,34.91,23839.0
PWR,2018-05-04 17:00:00+00:00,34.92,34.94,34.83,34.9,19877.0
PWR,2018-05-04 18:00:00+00:00,34.9,35.05,34.89,34.95,24915.0
PWR,2018-05-04 19:00:00+00:00,34.96,35.09,34.93,34.95,78243.0
PWR,2018-05-07 13:00:00+00:00,35.16,35.2,34.84,35.11,19169.0
PWR,2018-05-07 14:00:00+00:00,35.11,35.39,35.11,35.27,32607.0
PWR,2018-05-07 15:00:00+00:00,35.27,35.34,35.19,35.33,18079.0
PWR,2018-05-07 16:00:00+00:00,35.33,35.4,35.25,35.39,15407.0
PWR,2018-05-07 17:00:00+00:00,35.4,35.41,35.32,35.36,13967.0
PWR,2018-05-07 18:00:00+00:00,35.35,35.4,35.27,35.335,35588.0
PWR,2018-05-07 19:00:00+00:00,35.33,35.35,35.055,35.135,64748.0
PWR,2018-05-08 13:00:00+00:00,35.32,35.61,35.32,35.37,16151.0
PWR,2018-05-08 14:00:00+00:00,35.37,35.71,35.315,35.57,19254.0
PWR,2018-05-08 15:00:00+00:00,35.56,35.66,35.46,35.59,15897.0
PWR,2018-05-08 16:00:00+00:00,35.61,35.61,35.43,35.49,12968.0
PWR,2018-05-08 17:00:00+00:00,35.5,35.55,35.41,35.41,17324.0
PWR,2018-05-08 18:00:00+00:00,35.41,35.52,35.31,35.43,29605.0
PWR,2018-05-08 19:00:00+00:00,35.43,35.555,35.41,35.54,43909.0
PWR,2018-05-09 13:00:00+00:00,35.84,35.94,35.73,35.87,5977.0
PWR,2018-05-09 14:00:00+00:00,35.85,35.91,35.71,35.74,26318.0
PWR,2018-05-09 15:00:00+00:00,35.75,35.86,35.71,35.74,26170.0
PWR,2018-05-09 16:00:00+00:00,35.75,35.99,35.75,35.99,25965.0
PWR,2018-05-09 17:00:00+00:00,35.99,36.13,35.99,36.11,19189.0
PWR,2018-05-09 18:00:00+00:00,36.12,36.13,36.03,36.08,30008.0
PWR,2018-05-09 19:00:00+00:00,36.07,36.1,36.02,36.08,38303.0
PWR,2018-05-10 13:00:00+00:00,36.06,36.11,35.95,35.99,5910.0
PWR,2018-05-10 14:00:00+00:00,35.97,36.03,35.76,36.0,12356.0
PWR,2018-05-10 15:00:00+00:00,35.98,36.04,35.9,36.03,9486.0
PWR,2018-05-10 16:00:00+00:00,36.05,36.36,36.05,36.21,26440.0
PWR,2018-05-10 17:00:00+00:00,36.23,36.28,36.11,36.18,20238.0
PWR,2018-05-10 18:00:00+00:00,36.17,36.27,36.07,36.16,18289.0
PWR,2018-05-10 19:00:00+00:00,36.16,36.27,36.06,36.27,60875.0
PWR,2018-05-11 13:00:00+00:00,36.255,36.44,36.22,36.44,5705.0
PWR,2018-05-11 14:00:00+00:00,36.48,36.55,36.39,36.485,30985.0
PWR,2018-05-11 15:00:00+00:00,36.49,36.49,36.24,36.34,19157.0
PWR,2018-05-11 16:00:00+00:00,36.33,36.52,36.32,36.44,31635.0
PWR,2018-05-11 17:00:00+00:00,36.43,36.46,36.32,36.33,13036.0
PWR,2018-05-11 18:00:00+00:00,36.33,36.33,36.25,36.3,11500.0
PWR,2018-05-11 19:00:00+00:00,36.3,36.465,36.3,36.37,47422.0
PWR,2018-05-14 13:00:00+00:00,36.46,36.54,36.4,36.51,1985.0
PWR,2018-05-14 14:00:00+00:00,36.52,36.55,36.43,36.48,23356.0
PWR,2018-05-14 15:00:00+00:00,36.46,36.57,36.42,36.55,17389.0
PWR,2018-05-14 16:00:00+00:00,36.55,36.63,36.53,36.53,14050.0
PWR,2018-05-14 17:00:00+00:00,36.53,36.6,36.51,36.58,8318.0
PWR,2018-05-14 18:00:00+00:00,36.58,36.58,36.48,36.56,9407.0
PWR,2018-05-14 19:00:00+00:00,36.55,36.64,36.465,36.5,41723.0
PWR,2018-05-15 13:00:00+00:00,36.31,36.4,36.21,36.21,6183.0
PWR,2018-05-15 14:00:00+00:00,36.17,36.51,36.15,36.48,14063.0
PWR,2018-05-15 15:00:00+00:00,36.46,36.54,36.4,36.4,13434.0
PWR,2018-05-15 16:00:00+00:00,36.39,36.53,36.355,36.49,12313.0
PWR,2018-05-15 17:00:00+00:00,36.48,36.49,36.39,36.39,11691.0
PWR,2018-05-15 18:00:00+00:00,36.38,36.57,36.38,36.51,14621.0
PWR,2018-05-15 19:00:00+00:00,36.53,36.53,36.39,36.495,38703.0
PWR,2018-05-16 13:00:00+00:00,36.47,36.78,36.42,36.68,18953.0
PWR,2018-05-16 14:00:00+00:00,36.67,36.73,36.56,36.66,15844.0
PWR,2018-05-16 15:00:00+00:00,36.64,36.8,36.6,36.75,14156.0
PWR,2018-05-16 16:00:00+00:00,36.75,36.95,36.75,36.91,9689.0
PWR,2018-05-16 17:00:00+00:00,36.9,36.94,36.83,36.93,12325.0
PWR,2018-05-16 18:00:00+00:00,36.95,36.97,36.8,36.9,20585.0
PWR,2018-05-16 19:00:00+00:00,36.9,36.9,36.72,36.74,51914.0
PWR,2018-05-17 13:00:00+00:00,36.74,37.01,36.74,36.97,15344.0
PWR,2018-05-17 14:00:00+00:00,36.93,37.01,36.89,36.98,30109.0
PWR,2018-05-17 15:00:00+00:00,36.98,37.06,36.89,36.97,17503.0
PWR,2018-05-17 16:00:00+00:00,36.98,37.01,36.91,36.93,26146.0
PWR,2018-05-17 17:00:00+00:00,36.92,36.95,36.7,36.72,18412.0
