symbol,ts,open,high,low,close,volume
Q,2025-11-03 11:00:00+00:00,94.93,94.93,92.0,92.0,7.0
Q,2025-11-03 12:00:00+00:00,94.79,94.93,93.0,93.0,550.0
Q,2025-11-03 13:00:00+00:00,94.89,94.9,94.2,94.2,1883.0
Q,2025-11-03 14:00:00+00:00,94.2,100.49,94.2,96.19,68751.0
Q,2025-11-03 15:00:00+00:00,96.15,99.49,95.5,97.155,65655.0
Q,2025-11-03 16:00:00+00:00,97.15,98.86,95.51,97.69,45831.0
Q,2025-11-03 17:00:00+00:00,97.525,98.47,96.615,97.46,40535.0
Q,2025-11-03 18:00:00+00:00,97.37,97.79,96.85,97.255,34843.0
Q,2025-11-03 19:00:00+00:00,97.145,99.76,97.12,97.78,47311.0
Q,2025-11-03 20:00:00+00:00,98.03,100.1,96.71,97.01,132156.0
Q,2025-11-03 21:00:00+00:00,97.2,98.99,96.99,98.85,849.0
Q,2025-11-03 22:00:00+00:00,98.9,98.99,98.55,98.99,193.0
Q,2025-11-03 23:00:00+00:00,98.99,99.95,98.99,99.95,2477.0
Q,2025-11-04 10:00:00+00:00,98.34,98.46,97.26,98.38,486.0
Q,2025-11-04 12:00:00+00:00,98.49,98.69,97.98,97.98,325.0
Q,2025-11-04 13:00:00+00:00,97.77,99.32,97.77,99.25,1250.0
Q,2025-11-04 14:00:00+00:00,99.1,101.1,98.5,98.85,31244.0
Q,2025-11-04 15:00:00+00:00,99.1,99.35,97.81,98.2,34271.0
Q,2025-11-04 16:00:00+00:00,98.16,99.05,97.83,98.94,33538.0
Q,2025-11-04 17:00:00+00:00,98.93,100.365,98.81,100.365,31096.0
Q,2025-11-04 18:00:00+00:00,100.435,103.72,100.42,101.43,47481.0
Q,2025-11-04 19:00:00+00:00,101.41,102.0,98.76,98.89,81883.0
Q,2025-11-04 20:00:00+00:00,99.0,102.25,98.75,100.87,89898.0
Q,2025-11-04 21:00:00+00:00,100.98,101.99,100.9,100.9,503.0
Q,2025-11-04 22:00:00+00:00,100.9,101.0,100.9,101.0,1023.0
Q,2025-11-05 12:00:00+00:00,101.94,104.65,101.94,104.0,127.0
Q,2025-11-05 13:00:00+00:00,104.69,105.43,104.69,105.43,145.0
Q,2025-11-05 14:00:00+00:00,104.92,105.5,94.89,96.26,31872.0
Q,2025-11-05 15:00:00+00:00,96.28,96.99,93.38,94.15,67754.0
Q,2025-11-05 16:00:00+00:00,94.09,95.69,94.06,95.27,45371.0
Q,2025-11-05 17:00:00+00:00,95.26,96.5,93.96,96.15,42321.0
Q,2025-11-05 18:00:00+00:00,96.2,96.94,95.41,95.8,27807.0
Q,2025-11-05 19:00:00+00:00,95.88,97.81,95.5,97.8,28764.0
Q,2025-11-05 20:00:00+00:00,97.815,99.71,97.33,99.6,83563.0
Q,2025-11-05 21:00:00+00:00,99.64,99.98,99.2,99.98,2431.0
Q,2025-11-05 22:00:00+00:00,99.7,99.98,99.7,99.98,317.0
Q,2025-11-05 23:00:00+00:00,99.98,99.98,99.71,99.71,160.0
Q,2025-11-06 11:00:00+00:00,99.8,99.8,99.8,99.8,15.0
Q,2025-11-06 12:00:00+00:00,99.8,99.8,99.8,99.8,278.0
Q,2025-11-06 13:00:00+00:00,99.8,100.19,99.8,100.19,40.0
Q,2025-11-06 14:00:00+00:00,100.31,100.91,96.68,97.49,34878.0
Q,2025-11-06 15:00:00+00:00,97.49,100.03,96.21,96.37,25015.0
Q,2025-11-06 16:00:00+00:00,96.21,96.37,95.07,95.38,31463.0
Q,2025-11-06 17:00:00+00:00,95.38,96.71,94.87,96.37,35552.0
Q,2025-11-06 18:00:00+00:00,96.3,98.6,95.85,97.79,29381.0
Q,2025-11-06 19:00:00+00:00,97.795,99.46,97.75,98.835,40460.0
Q,2025-11-06 20:00:00+00:00,98.79,98.79,93.5,93.5,106677.0
Q,2025-11-06 21:00:00+00:00,94.11,94.95,94.01,94.01,362.0
Q,2025-11-06 22:00:00+00:00,94.39,94.39,94.39,94.39,5.0
Q,2025-11-06 23:00:00+00:00,94.74,95.19,94.36,94.36,505.0
Q,2025-11-07 09:00:00+00:00,94.12,94.12,94.12,94.12,31.0
Q,2025-11-07 11:00:00+00:00,94.32,94.32,94.32,94.32,2.0
Q,2025-11-07 12:00:00+00:00,94.01,94.01,94.01,94.01,100.0
Q,2025-11-07 13:00:00+00:00,93.98,93.98,92.9,92.9,15.0
Q,2025-11-07 14:00:00+00:00,92.0,93.19,88.78,90.76,28078.0
Q,2025-11-07 15:00:00+00:00,90.99,94.98,90.99,92.91,36086.0
Q,2025-11-07 16:00:00+00:00,92.79,92.91,90.57,91.71,45429.0
Q,2025-11-07 17:00:00+00:00,91.64,94.56,91.56,94.56,19502.0
Q,2025-11-07 18:00:00+00:00,94.36,94.8,92.19,92.745,32040.0
Q,2025-11-07 19:00:00+00:00,92.75,93.12,91.51,92.7,20017.0
Q,2025-11-07 20:00:00+00:00,92.78,93.35,91.78,92.43,71697.0
Q,2025-11-07 21:00:00+00:00,92.31,94.95,92.31,94.75,952.0
Q,2025-11-07 22:00:00+00:00,94.5,94.5,94.49,94.49,17.0
Q,2025-11-07 23:00:00+00:00,94.48,94.69,94.48,94.69,120.0
Q,2025-11-10 11:00:00+00:00,95.0,95.0,95.0,95.0,10.0
Q,2025-11-10 12:00:00+00:00,95.6,95.6,95.49,95.49,80.0
Q,2025-11-10 13:00:00+00:00,95.0,95.0,94.98,94.98,482.0
Q,2025-11-10 14:00:00+00:00,94.98,97.8,93.6,97.02,24851.0
Q,2025-11-10 15:00:00+00:00,96.61,96.94,94.99,95.52,24172.0
Q,2025-11-10 16:00:00+00:00,95.585,96.81,95.13,96.81,36459.0
Q,2025-11-10 17:00:00+00:00,96.83,99.3,96.81,98.825,34673.0
Q,2025-11-10 18:00:00+00:00,98.85,99.34,97.3,98.22,26301.0
Q,2025-11-10 19:00:00+00:00,98.23,98.53,97.01,97.6,30610.0
Q,2025-11-10 20:00:00+00:00,97.6,98.18,96.225,96.6,69483.0
Q,2025-11-10 21:00:00+00:00,97.0,97.0,97.0,97.0,30.0
Q,2025-11-10 23:00:00+00:00,97.95,97.95,97.95,97.95,12.0
Q,2025-11-11 10:00:00+00:00,97.84,97.84,97.84,97.84,3.0
Q,2025-11-11 11:00:00+00:00,97.88,97.88,97.88,97.88,1.0
Q,2025-11-11 12:00:00+00:00,98.04,98.04,98.04,98.04,54.0
Q,2025-11-11 13:00:00+00:00,97.75,97.75,97.75,97.75,10.0
Q,2025-11-11 14:00:00+00:00,98.0,99.63,95.71,97.93,22603.0
Q,2025-11-11 15:00:00+00:00,97.99,102.07,97.99,99.89,33304.0
Q,2025-11-11 16:00:00+00:00,99.85,100.53,97.54,97.95,33964.0
Q,2025-11-11 17:00:00+00:00,97.97,99.09,97.93,98.89,13981.0
Q,2025-11-11 18:00:00+00:00,98.9,99.22,97.22,97.735,18357.0
Q,2025-11-11 19:00:00+00:00,97.56,97.81,96.95,97.29,15994.0
Q,2025-11-11 20:00:00+00:00,97.28,98.16,96.43,96.58,33276.0
Q,2025-11-11 21:00:00+00:00,96.92,96.95,96.75,96.95,177.0
Q,2025-11-11 22:00:00+00:00,96.9,96.9,96.9,96.9,1.0
Q,2025-11-12 12:00:00+00:00,96.17,96.17,96.17,96.17,2.0
Q,2025-11-12 14:00:00+00:00,96.11,96.38,94.03,94.35,12061.0
Q,2025-11-12 15:00:00+00:00,94.27,94.88,92.56,93.1,48309.0
Q,2025-11-12 16:00:00+00:00,93.02,94.31,92.03,93.92,29537.0
Q,2025-11-12 17:00:00+00:00,93.9,94.205,93.1,93.82,29652.0
Q,2025-11-12 18:00:00+00:00,93.84,94.26,92.75,92.91,32285.0
Q,2025-11-12 19:00:00+00:00,92.91,93.56,92.4,92.57,29622.0
Q,2025-11-12 20:00:00+00:00,92.44,92.7,91.27,91.98,75689.0
Q,2025-11-12 21:00:00+00:00,92.13,92.25,92.02,92.02,113.0
Q,2025-11-12 22:00:00+00:00,92.02,92.02,92.02,92.02,20.0
Q,2025-11-13 14:00:00+00:00,91.51,91.8,89.28,89.67,32607.0
Q,2025-11-13 15:00:00+00:00,89.61,89.68,86.72,87.78,72742.0
Q,2025-11-13 16:00:00+00:00,87.585,87.89,86.55,87.07,40023.0
Q,2025-11-13 17:00:00+00:00,87.18,87.23,86.15,86.27,39552.0
Q,2025-11-13 18:00:00+00:00,86.23,86.56,84.83,85.64,31821.0
Q,2025-11-13 19:00:00+00:00,85.6,86.255,85.13,85.865,28365.0
Q,2025-11-13 20:00:00+00:00,85.77,86.315,85.05,85.91,80486.0
Q,2025-11-13 21:00:00+00:00,86.04,86.04,86.04,86.04,3.0
Q,2025-11-13 23:00:00+00:00,86.15,86.15,86.15,86.15,1.0
Q,2025-11-14 09:00:00+00:00,86.2,86.2,86.2,86.2,21.0
Q,2025-11-14 10:00:00+00:00,86.2,86.2,86.2,86.2,49.0
Q,2025-11-14 11:00:00+00:00,86.2,86.2,86.2,86.2,2.0
Q,2025-11-14 12:00:00+00:00,84.7,84.7,84.0,84.0,35.0
Q,2025-11-14 13:00:00+00:00,84.99,84.99,84.99,84.99,1.0
Q,2025-11-14 14:00:00+00:00,84.2,84.37,81.68,83.54,35942.0
Q,2025-11-14 15:00:00+00:00,83.58,86.32,83.54,85.83,51209.0
Q,2025-11-14 16:00:00+00:00,85.78,87.05,85.47,86.27,32862.0
Q,2025-11-14 17:00:00+00:00,86.22,86.5,85.34,85.71,12749.0
Q,2025-11-14 18:00:00+00:00,85.655,86.11,85.41,85.58,16334.0
