symbol,ts,open,high,low,close,volume
REG,2018-05-01 13:00:00+00:00,58.67,59.06,58.24,58.72,12467.0
REG,2018-05-01 14:00:00+00:00,58.85,59.21,58.41,58.41,12110.0
REG,2018-05-01 15:00:00+00:00,58.42,58.87,58.42,58.77,8399.0
REG,2018-05-01 16:00:00+00:00,58.72,58.72,58.42,58.51,11073.0
REG,2018-05-01 17:00:00+00:00,58.52,59.22,58.52,59.03,11484.0
REG,2018-05-01 18:00:00+00:00,59.02,59.34,58.86,59.34,18618.0
REG,2018-05-01 19:00:00+00:00,59.36,59.52,59.08,59.28,48867.0
REG,2018-05-02 13:00:00+00:00,58.87,58.95,58.11,58.15,8492.0
REG,2018-05-02 14:00:00+00:00,58.1,58.99,57.965,58.89,20359.0
REG,2018-05-02 15:00:00+00:00,58.91,59.08,58.53,58.55,24038.0
REG,2018-05-02 16:00:00+00:00,58.53,58.58,58.31,58.32,13875.0
REG,2018-05-02 17:00:00+00:00,58.33,58.48,58.23,58.48,16701.0
REG,2018-05-02 18:00:00+00:00,58.47,58.7,58.29,58.44,22040.0
REG,2018-05-02 19:00:00+00:00,58.44,58.45,57.99,58.1,44985.0
REG,2018-05-03 13:00:00+00:00,58.06,58.11,57.69,58.11,11976.0
REG,2018-05-03 14:00:00+00:00,58.135,58.24,57.76,57.92,20731.0
REG,2018-05-03 15:00:00+00:00,57.94,58.4,57.89,58.11,26925.0
REG,2018-05-03 16:00:00+00:00,58.14,58.18,57.88,57.96,19411.0
REG,2018-05-03 17:00:00+00:00,57.94,58.17,57.88,57.9,26529.0
REG,2018-05-03 18:00:00+00:00,57.92,57.92,57.7,57.74,17198.0
REG,2018-05-03 19:00:00+00:00,57.77,57.83,57.69,57.76,51252.0
REG,2018-05-04 13:00:00+00:00,57.83,58.0,57.75,57.77,9484.0
REG,2018-05-04 14:00:00+00:00,57.77,58.32,57.7,58.21,32657.0
REG,2018-05-04 15:00:00+00:00,58.19,58.56,58.07,58.47,20521.0
REG,2018-05-04 16:00:00+00:00,58.45,58.74,58.45,58.67,12637.0
REG,2018-05-04 17:00:00+00:00,58.68,58.83,58.53,58.53,13833.0
REG,2018-05-04 18:00:00+00:00,58.53,58.9,58.53,58.76,23621.0
REG,2018-05-04 19:00:00+00:00,58.76,58.91,58.7,58.76,35780.0
REG,2018-05-07 13:00:00+00:00,59.05,59.195,58.69,58.72,3368.0
REG,2018-05-07 14:00:00+00:00,58.86,58.97,58.65,58.71,13530.0
REG,2018-05-07 15:00:00+00:00,58.68,59.015,58.66,58.91,16273.0
REG,2018-05-07 16:00:00+00:00,58.92,58.97,58.82,58.85,19302.0
REG,2018-05-07 17:00:00+00:00,58.86,58.86,58.75,58.82,10208.0
REG,2018-05-07 18:00:00+00:00,58.81,58.9,58.75,58.85,12371.0
REG,2018-05-07 19:00:00+00:00,58.84,59.01,58.67,58.91,30323.0
REG,2018-05-08 13:00:00+00:00,58.74,58.84,58.28,58.37,4327.0
REG,2018-05-08 14:00:00+00:00,58.44,58.59,58.24,58.24,13025.0
REG,2018-05-08 15:00:00+00:00,58.22,58.35,58.14,58.14,15266.0
REG,2018-05-08 16:00:00+00:00,58.17,58.25,57.94,57.95,16455.0
REG,2018-05-08 17:00:00+00:00,57.965,58.25,57.94,58.24,18473.0
REG,2018-05-08 18:00:00+00:00,58.23,58.25,57.985,58.08,26401.0
REG,2018-05-08 19:00:00+00:00,58.08,58.22,57.99,58.09,52153.0
REG,2018-05-09 13:00:00+00:00,57.98,58.17,57.77,58.17,5833.0
REG,2018-05-09 14:00:00+00:00,58.13,58.32,57.91,58.13,16263.0
REG,2018-05-09 15:00:00+00:00,58.15,58.34,58.11,58.33,9787.0
REG,2018-05-09 16:00:00+00:00,58.34,58.59,58.28,58.59,11329.0
REG,2018-05-09 17:00:00+00:00,58.59,58.7,58.48,58.69,10270.0
REG,2018-05-09 18:00:00+00:00,58.67,58.7,58.59,58.61,10921.0
REG,2018-05-09 19:00:00+00:00,58.59,58.68,58.41,58.65,30858.0
REG,2018-05-10 13:00:00+00:00,58.97,59.03,58.65,58.94,3928.0
REG,2018-05-10 14:00:00+00:00,58.88,58.88,58.56,58.61,6447.0
REG,2018-05-10 15:00:00+00:00,58.59,59.11,58.59,59.07,10558.0
REG,2018-05-10 16:00:00+00:00,59.06,59.07,58.76,58.77,10051.0
