symbol,ts,open,high,low,close,volume
REGN,2018-05-01 11:00:00+00:00,302.07,302.07,302.07,302.07,14.0
REGN,2018-05-01 12:00:00+00:00,304.09,304.09,304.09,304.09,1.0
REGN,2018-05-01 13:00:00+00:00,303.75,303.75,298.2,299.08,42717.0
REGN,2018-05-01 14:00:00+00:00,298.62,299.24,295.8,296.64,47793.0
REGN,2018-05-01 15:00:00+00:00,296.5,297.28,294.11,294.23,41083.0
REGN,2018-05-01 16:00:00+00:00,294.33,297.52,294.33,297.52,28322.0
REGN,2018-05-01 17:00:00+00:00,297.29,297.43,295.31,297.43,23803.0
REGN,2018-05-01 18:00:00+00:00,297.45,297.85,295.83,296.21,44530.0
REGN,2018-05-01 19:00:00+00:00,296.37,301.9,295.11,301.22,133865.0
REGN,2018-05-01 20:00:00+00:00,301.22,302.0,301.22,301.22,179561.0
REGN,2018-05-01 21:00:00+00:00,300.0,300.0,300.0,300.0,11.0
REGN,2018-05-02 11:00:00+00:00,299.01,299.01,299.01,299.01,25.0
REGN,2018-05-02 12:00:00+00:00,295.0,295.0,295.0,295.0,9.0
REGN,2018-05-02 13:00:00+00:00,300.0,302.07,297.6,300.71,36445.0
REGN,2018-05-02 14:00:00+00:00,300.35,303.52,298.19,299.43,59970.0
REGN,2018-05-02 15:00:00+00:00,299.69,301.5,297.28,298.57,41784.0
REGN,2018-05-02 16:00:00+00:00,298.44,300.41,297.61,299.26,25147.0
REGN,2018-05-02 17:00:00+00:00,299.39,300.69,298.6,299.17,31851.0
REGN,2018-05-02 18:00:00+00:00,299.23,301.7,299.0,299.0,35258.0
REGN,2018-05-02 19:00:00+00:00,298.91,299.68,295.75,296.18,77223.0
REGN,2018-05-02 20:00:00+00:00,296.14,296.99,296.12,296.14,60318.0
REGN,2018-05-03 11:00:00+00:00,298.0,301.99,298.0,301.99,130.0
REGN,2018-05-03 12:00:00+00:00,303.89,308.0,299.5,300.0,1203.0
REGN,2018-05-03 13:00:00+00:00,300.0,307.45,297.03,301.88,61308.0
REGN,2018-05-03 14:00:00+00:00,302.49,303.84,291.69,294.12,51988.0
REGN,2018-05-03 15:00:00+00:00,293.98,294.66,290.43,291.45,45171.0
REGN,2018-05-03 16:00:00+00:00,291.6,293.17,288.5,292.9,45706.0
REGN,2018-05-03 17:00:00+00:00,293.0,294.42,291.79,292.31,29656.0
REGN,2018-05-03 18:00:00+00:00,292.5,293.54,290.01,291.16,35844.0
REGN,2018-05-03 19:00:00+00:00,291.49,292.95,290.59,292.42,87796.0
REGN,2018-05-03 20:00:00+00:00,292.41,292.41,291.0,291.0,51443.0
REGN,2018-05-03 23:00:00+00:00,291.8,291.8,291.8,291.8,100.0
REGN,2018-05-04 13:00:00+00:00,292.0,292.88,287.6,292.44,36080.0
REGN,2018-05-04 14:00:00+00:00,291.99,292.21,288.41,290.86,40425.0
REGN,2018-05-04 15:00:00+00:00,290.98,291.2,289.93,290.59,36994.0
REGN,2018-05-04 16:00:00+00:00,290.59,291.8,289.3,289.6,27605.0
REGN,2018-05-04 17:00:00+00:00,289.76,290.55,288.73,290.39,23704.0
REGN,2018-05-04 18:00:00+00:00,290.22,291.54,290.16,291.29,37824.0
REGN,2018-05-04 19:00:00+00:00,291.3,292.91,290.3,291.25,101443.0
REGN,2018-05-04 20:00:00+00:00,291.25,291.3,291.25,291.3,185781.0
REGN,2018-05-07 13:00:00+00:00,293.61,294.59,291.25,292.1,32405.0
REGN,2018-05-07 14:00:00+00:00,292.18,292.74,288.37,288.43,43864.0
REGN,2018-05-07 15:00:00+00:00,288.47,288.7,287.75,288.48,23825.0
REGN,2018-05-07 16:00:00+00:00,288.41,288.54,287.66,288.21,22107.0
REGN,2018-05-07 17:00:00+00:00,288.09,288.19,287.24,287.44,19188.0
REGN,2018-05-07 18:00:00+00:00,287.56,288.52,287.25,287.89,18525.0
REGN,2018-05-07 19:00:00+00:00,287.85,288.75,286.34,288.52,106095.0
REGN,2018-05-07 20:00:00+00:00,288.54,288.54,288.37,288.54,160660.0
REGN,2018-05-07 21:00:00+00:00,288.54,288.54,288.54,288.54,1.0
REGN,2018-05-08 13:00:00+00:00,288.88,291.68,288.2,291.5,40072.0
REGN,2018-05-08 14:00:00+00:00,291.65,292.0,289.15,290.25,31153.0
REGN,2018-05-08 15:00:00+00:00,290.16,290.3,288.375,289.0,44730.0
REGN,2018-05-08 16:00:00+00:00,288.99,289.0,286.63,286.67,24631.0
REGN,2018-05-08 17:00:00+00:00,286.77,288.0,286.43,286.45,10927.0
REGN,2018-05-08 18:00:00+00:00,286.7,287.14,284.16,285.36,40376.0
REGN,2018-05-08 19:00:00+00:00,285.3,286.1,284.35,285.87,60411.0
REGN,2018-05-08 20:00:00+00:00,285.86,285.86,285.86,285.86,32154.0
REGN,2018-05-08 21:00:00+00:00,287.0,287.0,284.86,284.86,20.0
REGN,2018-05-09 13:00:00+00:00,285.99,285.99,282.33,283.38,33155.0
REGN,2018-05-09 14:00:00+00:00,283.38,285.25,282.15,282.15,46577.0
REGN,2018-05-09 15:00:00+00:00,282.22,283.5,281.86,283.38,24103.0
REGN,2018-05-09 16:00:00+00:00,283.43,285.67,283.21,285.67,23916.0
REGN,2018-05-09 17:00:00+00:00,285.69,287.49,285.56,287.15,21761.0
REGN,2018-05-09 18:00:00+00:00,287.11,288.68,287.04,287.99,24370.0
REGN,2018-05-09 19:00:00+00:00,287.78,288.04,284.14,284.63,65460.0
REGN,2018-05-09 20:00:00+00:00,284.6,285.0,284.6,284.6,38788.0
REGN,2018-05-10 13:00:00+00:00,285.28,286.0,282.95,284.5,17596.0
REGN,2018-05-10 14:00:00+00:00,284.5,285.0,282.59,284.48,41508.0
REGN,2018-05-10 15:00:00+00:00,284.37,285.45,284.36,284.95,32110.0
REGN,2018-05-10 16:00:00+00:00,284.95,286.84,284.83,286.82,29846.0
REGN,2018-05-10 17:00:00+00:00,286.85,288.26,286.32,286.63,30485.0
REGN,2018-05-10 18:00:00+00:00,286.59,287.92,286.35,287.7,24353.0
REGN,2018-05-10 19:00:00+00:00,287.73,289.9,287.68,288.9,76711.0
REGN,2018-05-10 20:00:00+00:00,288.9,288.95,288.9,288.9,32424.0
REGN,2018-05-10 22:00:00+00:00,289.25,289.61,289.25,289.61,61.0
REGN,2018-05-11 12:00:00+00:00,290.72,291.0,290.31,290.31,100.0
REGN,2018-05-11 13:00:00+00:00,291.15,302.47,290.14,302.11,86008.0
REGN,2018-05-11 14:00:00+00:00,301.92,305.87,301.16,302.0,87012.0
