symbol,ts,open,high,low,close,volume
RF,2018-05-01 13:00:00+00:00,18.68,18.68,18.455,18.505,180238.0
RF,2018-05-01 14:00:00+00:00,18.5,18.62,18.48,18.515,182077.0
RF,2018-05-01 15:00:00+00:00,18.51,18.59,18.49,18.5,119718.0
RF,2018-05-01 16:00:00+00:00,18.51,18.65,18.5,18.64,104235.0
RF,2018-05-01 17:00:00+00:00,18.64,18.745,18.58,18.74,80369.0
RF,2018-05-01 18:00:00+00:00,18.74,18.82,18.73,18.775,109742.0
RF,2018-05-01 19:00:00+00:00,18.78,18.79,18.675,18.755,199651.0
RF,2018-05-02 13:00:00+00:00,18.68,18.73,18.52,18.555,239828.0
RF,2018-05-02 14:00:00+00:00,18.555,18.66,18.48,18.63,331299.0
RF,2018-05-02 15:00:00+00:00,18.63,18.775,18.63,18.77,173449.0
RF,2018-05-02 16:00:00+00:00,18.775,18.805,18.735,18.745,284049.0
RF,2018-05-02 17:00:00+00:00,18.745,18.775,18.725,18.765,127479.0
RF,2018-05-02 18:00:00+00:00,18.76,18.81,18.66,18.67,167203.0
RF,2018-05-02 19:00:00+00:00,18.67,18.68,18.515,18.54,239977.0
RF,2018-05-03 13:00:00+00:00,18.29,18.52,18.29,18.52,238575.0
RF,2018-05-03 14:00:00+00:00,18.52,18.52,18.13,18.16,606041.0
RF,2018-05-03 15:00:00+00:00,18.16,18.26,18.13,18.25,248100.0
RF,2018-05-03 16:00:00+00:00,18.26,18.47,18.24,18.45,135135.0
RF,2018-05-03 17:00:00+00:00,18.45,18.5,18.33,18.47,152648.0
RF,2018-05-03 18:00:00+00:00,18.455,18.55,18.41,18.41,151110.0
RF,2018-05-03 19:00:00+00:00,18.41,18.505,18.37,18.425,261765.0
RF,2018-05-04 13:00:00+00:00,18.22,18.38,18.18,18.38,217617.0
RF,2018-05-04 14:00:00+00:00,18.38,18.57,18.37,18.55,368714.0
RF,2018-05-04 15:00:00+00:00,18.55,18.67,18.55,18.65,201228.0
RF,2018-05-04 16:00:00+00:00,18.66,18.75,18.63,18.75,110445.0
RF,2018-05-04 17:00:00+00:00,18.75,18.795,18.72,18.795,88175.0
RF,2018-05-04 18:00:00+00:00,18.79,18.84,18.75,18.75,101734.0
RF,2018-05-04 19:00:00+00:00,18.75,18.785,18.705,18.73,168237.0
RF,2018-05-07 13:00:00+00:00,18.77,18.77,18.61,18.68,72550.0
RF,2018-05-07 14:00:00+00:00,18.685,18.73,18.59,18.73,109280.0
RF,2018-05-07 15:00:00+00:00,18.73,18.76,18.66,18.7,96986.0
RF,2018-05-07 16:00:00+00:00,18.71,18.765,18.71,18.755,71881.0
RF,2018-05-07 17:00:00+00:00,18.75,18.81,18.725,18.79,78470.0
RF,2018-05-07 18:00:00+00:00,18.785,18.86,18.74,18.75,80492.0
RF,2018-05-07 19:00:00+00:00,18.755,18.8,18.71,18.735,231182.0
RF,2018-05-08 13:00:00+00:00,18.75,18.94,18.72,18.94,113160.0
RF,2018-05-08 14:00:00+00:00,18.95,19.105,18.93,19.08,218726.0
RF,2018-05-08 15:00:00+00:00,19.07,19.17,18.995,18.995,140928.0
RF,2018-05-08 16:00:00+00:00,19.0,19.035,18.9,18.94,89019.0
RF,2018-05-08 17:00:00+00:00,18.93,19.0,18.925,18.945,86676.0
RF,2018-05-08 18:00:00+00:00,18.95,18.96,18.84,18.89,136636.0
RF,2018-05-08 19:00:00+00:00,18.89,19.0,18.87,18.96,154185.0
RF,2018-05-09 13:00:00+00:00,19.03,19.1,19.0,19.07,59352.0
RF,2018-05-09 14:00:00+00:00,19.08,19.22,19.08,19.09,117683.0
RF,2018-05-09 15:00:00+00:00,19.1,19.25,19.08,19.215,99242.0
RF,2018-05-09 16:00:00+00:00,19.215,19.32,19.2,19.275,138079.0
RF,2018-05-09 17:00:00+00:00,19.28,19.395,19.28,19.37,101014.0
RF,2018-05-09 18:00:00+00:00,19.37,19.41,19.29,19.3,100915.0
RF,2018-05-09 19:00:00+00:00,19.295,19.305,19.21,19.23,235650.0
RF,2018-05-09 20:00:00+00:00,19.21,19.21,19.21,19.21,1.0
RF,2018-05-10 13:00:00+00:00,19.2,19.27,19.13,19.15,81643.0
RF,2018-05-10 14:00:00+00:00,19.15,19.3,19.14,19.3,139323.0
RF,2018-05-10 15:00:00+00:00,19.305,19.39,19.285,19.39,93269.0
RF,2018-05-10 16:00:00+00:00,19.39,19.475,19.365,19.44,118809.0
RF,2018-05-10 17:00:00+00:00,19.44,19.46,19.335,19.39,90015.0
RF,2018-05-10 18:00:00+00:00,19.395,19.43,19.33,19.4,85212.0
RF,2018-05-10 19:00:00+00:00,19.4,19.41,19.29,19.33,224908.0
RF,2018-05-11 13:00:00+00:00,19.39,19.485,19.35,19.41,75811.0
RF,2018-05-11 14:00:00+00:00,19.4,19.485,19.38,19.46,107191.0
RF,2018-05-11 15:00:00+00:00,19.46,19.46,19.285,19.285,117142.0
RF,2018-05-11 16:00:00+00:00,19.285,19.35,19.25,19.34,82725.0
RF,2018-05-11 17:00:00+00:00,19.345,19.37,19.335,19.35,50861.0
RF,2018-05-11 18:00:00+00:00,19.355,19.355,19.295,19.32,84662.0
RF,2018-05-11 19:00:00+00:00,19.32,19.355,19.305,19.325,142041.0
RF,2018-05-14 13:00:00+00:00,19.34,19.35,19.21,19.255,115550.0
RF,2018-05-14 14:00:00+00:00,19.255,19.26,19.16,19.17,149933.0
RF,2018-05-14 15:00:00+00:00,19.17,19.2,19.14,19.16,128611.0
RF,2018-05-14 16:00:00+00:00,19.165,19.225,19.145,19.145,100283.0
RF,2018-05-14 17:00:00+00:00,19.14,19.245,19.13,19.245,89997.0
RF,2018-05-14 18:00:00+00:00,19.24,19.265,19.21,19.245,64378.0
RF,2018-05-14 19:00:00+00:00,19.24,19.255,19.17,19.205,197979.0
RF,2018-05-15 13:00:00+00:00,19.24,19.41,19.19,19.38,194147.0
RF,2018-05-15 14:00:00+00:00,19.385,19.415,19.27,19.37,199064.0
RF,2018-05-15 15:00:00+00:00,19.37,19.45,19.37,19.4,158906.0
RF,2018-05-15 16:00:00+00:00,19.41,19.445,19.35,19.425,103739.0
RF,2018-05-15 17:00:00+00:00,19.42,19.44,19.33,19.33,66462.0
RF,2018-05-15 18:00:00+00:00,19.33,19.41,19.33,19.365,145812.0
RF,2018-05-15 19:00:00+00:00,19.37,19.4,19.3,19.395,275923.0
RF,2018-05-16 13:00:00+00:00,19.33,19.395,19.31,19.33,64715.0
RF,2018-05-16 14:00:00+00:00,19.33,19.365,19.275,19.34,105638.0
RF,2018-05-16 15:00:00+00:00,19.33,19.33,19.21,19.3,139654.0
RF,2018-05-16 16:00:00+00:00,19.3,19.375,19.3,19.335,169064.0
RF,2018-05-16 17:00:00+00:00,19.34,19.36,19.33,19.36,77135.0
RF,2018-05-16 18:00:00+00:00,19.35,19.365,19.325,19.35,46440.0
RF,2018-05-16 19:00:00+00:00,19.35,19.35,19.275,19.305,173771.0
RF,2018-05-17 13:00:00+00:00,19.28,19.29,19.11,19.25,152407.0
RF,2018-05-17 14:00:00+00:00,19.26,19.355,19.26,19.31,126630.0
RF,2018-05-17 15:00:00+00:00,19.31,19.34,19.285,19.31,132544.0
RF,2018-05-17 16:00:00+00:00,19.31,19.315,19.25,19.28,97117.0
RF,2018-05-17 17:00:00+00:00,19.28,19.31,19.255,19.27,126159.0
RF,2018-05-17 18:00:00+00:00,19.27,19.335,19.24,19.325,112305.0
RF,2018-05-17 19:00:00+00:00,19.325,19.325,19.285,19.325,100095.0
RF,2018-05-18 13:00:00+00:00,19.29,19.315,19.21,19.27,90196.0
RF,2018-05-18 14:00:00+00:00,19.28,19.295,19.155,19.195,117366.0
RF,2018-05-18 15:00:00+00:00,19.195,19.265,19.16,19.195,150670.0
RF,2018-05-18 16:00:00+00:00,19.19,19.19,19.115,19.16,69892.0
RF,2018-05-18 17:00:00+00:00,19.155,19.195,19.12,19.13,77469.0
RF,2018-05-18 18:00:00+00:00,19.12,19.175,19.115,19.165,206452.0
RF,2018-05-18 19:00:00+00:00,19.165,19.18,19.135,19.14,219257.0
RF,2018-05-21 13:00:00+00:00,19.22,19.28,19.2,19.22,114836.0
RF,2018-05-21 14:00:00+00:00,19.22,19.265,19.18,19.18,175262.0
RF,2018-05-21 15:00:00+00:00,19.19,19.215,19.15,19.21,158648.0
RF,2018-05-21 16:00:00+00:00,19.21,19.215,19.17,19.17,106177.0
RF,2018-05-21 17:00:00+00:00,19.17,19.215,19.155,19.21,91044.0
RF,2018-05-21 18:00:00+00:00,19.2,19.215,19.18,19.195,61785.0
RF,2018-05-21 19:00:00+00:00,19.195,19.195,19.155,19.16,178871.0
RF,2018-05-22 13:00:00+00:00,19.19,19.32,19.19,19.32,106412.0
RF,2018-05-22 14:00:00+00:00,19.325,19.37,19.275,19.335,136986.0
RF,2018-05-22 15:00:00+00:00,19.34,19.435,19.34,19.435,118547.0
RF,2018-05-22 16:00:00+00:00,19.44,19.515,19.43,19.5,236538.0
RF,2018-05-22 17:00:00+00:00,19.5,19.55,19.5,19.53,117881.0
RF,2018-05-22 18:00:00+00:00,19.525,19.595,19.52,19.52,156383.0
RF,2018-05-22 19:00:00+00:00,19.52,19.545,19.445,19.45,181856.0
RF,2018-05-22 21:00:00+00:00,19.59,19.59,19.59,19.59,75.0
RF,2018-05-22 23:00:00+00:00,19.55,19.55,19.55,19.55,75.0
RF,2018-05-23 13:00:00+00:00,19.41,19.44,19.25,19.27,174498.0
RF,2018-05-23 14:00:00+00:00,19.27,19.275,19.06,19.115,268110.0
RF,2018-05-23 15:00:00+00:00,19.11,19.165,19.05,19.09,189183.0
RF,2018-05-23 16:00:00+00:00,19.09,19.17,19.075,19.17,135947.0
RF,2018-05-23 17:00:00+00:00,19.16,19.205,19.115,19.16,93400.0
RF,2018-05-23 18:00:00+00:00,19.16,19.22,19.1,19.18,163035.0
RF,2018-05-23 19:00:00+00:00,19.18,19.22,19.115,19.2,152507.0
RF,2018-05-24 13:00:00+00:00,19.11,19.15,18.99,19.0,181233.0
RF,2018-05-24 14:00:00+00:00,19.0,19.125,18.805,18.85,292590.0
RF,2018-05-24 15:00:00+00:00,18.85,19.05,18.85,19.05,140427.0
RF,2018-05-24 16:00:00+00:00,19.04,19.08,19.03,19.06,69539.0
RF,2018-05-24 17:00:00+00:00,19.06,19.13,19.06,19.09,67318.0
RF,2018-05-24 18:00:00+00:00,19.095,19.17,19.07,19.15,71908.0
RF,2018-05-24 19:00:00+00:00,19.14,19.17,19.115,19.14,109621.0
RF,2018-05-25 13:00:00+00:00,19.0,19.075,18.91,18.96,78300.0
RF,2018-05-25 14:00:00+00:00,18.96,19.035,18.92,18.95,207168.0
RF,2018-05-25 15:00:00+00:00,18.955,19.095,18.95,19.08,96938.0
RF,2018-05-25 16:00:00+00:00,19.08,19.085,18.98,18.99,68570.0
RF,2018-05-25 17:00:00+00:00,18.995,19.005,18.94,18.955,71013.0
RF,2018-05-25 18:00:00+00:00,18.95,19.0,18.94,18.95,44051.0
RF,2018-05-25 19:00:00+00:00,18.94,19.02,18.93,19.015,107439.0
RF,2018-05-29 13:00:00+00:00,18.8,18.8,18.61,18.74,128512.0
RF,2018-05-29 14:00:00+00:00,18.75,18.76,18.585,18.6,113426.0
RF,2018-05-29 15:00:00+00:00,18.6,18.6,18.27,18.27,206466.0
RF,2018-05-29 16:00:00+00:00,18.26,18.395,18.2,18.36,182492.0
RF,2018-05-29 17:00:00+00:00,18.36,18.36,18.17,18.17,145253.0
RF,2018-05-29 18:00:00+00:00,18.16,18.17,18.01,18.02,182013.0
RF,2018-05-29 19:00:00+00:00,18.01,18.18,18.01,18.115,351929.0
RF,2018-05-29 22:00:00+00:00,18.38,18.38,18.38,18.38,200.0
RF,2018-05-30 12:00:00+00:00,18.34,18.34,18.34,18.34,25.0
RF,2018-05-30 13:00:00+00:00,18.33,18.55,18.32,18.33,190489.0
RF,2018-05-30 14:00:00+00:00,18.325,18.44,18.31,18.37,166577.0
RF,2018-05-30 15:00:00+00:00,18.38,18.505,18.28,18.47,296329.0
RF,2018-05-30 16:00:00+00:00,18.47,18.57,18.45,18.52,143331.0
RF,2018-05-30 17:00:00+00:00,18.53,18.565,18.48,18.54,124440.0
RF,2018-05-30 18:00:00+00:00,18.54,18.56,18.465,18.465,109790.0
RF,2018-05-30 19:00:00+00:00,18.47,18.5,18.385,18.425,152552.0
RF,2018-05-31 13:00:00+00:00,18.34,18.45,18.235,18.25,176362.0
RF,2018-05-31 14:00:00+00:00,18.24,18.35,18.19,18.34,174610.0
RF,2018-05-31 15:00:00+00:00,18.34,18.47,18.34,18.39,116579.0
RF,2018-05-31 16:00:00+00:00,18.38,18.385,18.275,18.31,63328.0
RF,2018-05-31 17:00:00+00:00,18.32,18.38,18.22,18.23,141043.0
RF,2018-05-31 18:00:00+00:00,18.23,18.31,18.205,18.29,138481.0
RF,2018-05-31 19:00:00+00:00,18.3,18.36,18.22,18.245,185700.0
RF,2018-06-01 13:00:00+00:00,18.5,18.68,18.48,18.635,132527.0
RF,2018-06-01 14:00:00+00:00,18.64,18.665,18.49,18.49,135146.0
RF,2018-06-01 15:00:00+00:00,18.495,18.62,18.485,18.615,129216.0
RF,2018-06-01 16:00:00+00:00,18.615,18.69,18.61,18.65,147057.0
RF,2018-06-01 17:00:00+00:00,18.66,18.7,18.63,18.65,68311.0
RF,2018-06-01 18:00:00+00:00,18.66,18.66,18.535,18.58,71439.0
RF,2018-06-01 19:00:00+00:00,18.58,18.585,18.5,18.58,142254.0
RF,2018-06-04 13:00:00+00:00,18.68,18.71,18.66,18.69,81171.0
RF,2018-06-04 14:00:00+00:00,18.69,18.705,18.62,18.67,84619.0
RF,2018-06-04 15:00:00+00:00,18.68,18.68,18.605,18.65,52921.0
RF,2018-06-04 16:00:00+00:00,18.655,18.69,18.63,18.63,29978.0
RF,2018-06-04 17:00:00+00:00,18.63,18.685,18.62,18.67,43101.0
RF,2018-06-04 18:00:00+00:00,18.68,18.75,18.68,18.75,81496.0
RF,2018-06-04 19:00:00+00:00,18.75,18.755,18.7,18.73,94464.0
RF,2018-06-04 20:00:00+00:00,18.71,18.75,18.71,18.75,90.0
RF,2018-06-05 13:00:00+00:00,18.67,18.71,18.59,18.59,50808.0
RF,2018-06-05 14:00:00+00:00,18.58,18.675,18.54,18.57,106237.0
RF,2018-06-05 15:00:00+00:00,18.575,18.605,18.51,18.52,63069.0
RF,2018-06-05 16:00:00+00:00,18.53,18.58,18.51,18.575,45279.0
RF,2018-06-05 17:00:00+00:00,18.57,18.62,18.565,18.61,34053.0
RF,2018-06-05 18:00:00+00:00,18.62,18.635,18.6,18.63,31920.0
RF,2018-06-05 19:00:00+00:00,18.625,18.63,18.575,18.63,118869.0
RF,2018-06-06 13:00:00+00:00,18.785,18.89,18.76,18.85,114605.0
RF,2018-06-06 14:00:00+00:00,18.85,19.005,18.835,18.98,211671.0
RF,2018-06-06 15:00:00+00:00,18.98,19.15,18.98,19.13,163189.0
RF,2018-06-06 16:00:00+00:00,19.14,19.185,19.13,19.16,84660.0
RF,2018-06-06 17:00:00+00:00,19.165,19.29,19.165,19.29,115111.0
RF,2018-06-06 18:00:00+00:00,19.295,19.295,19.23,19.285,105418.0
RF,2018-06-06 19:00:00+00:00,19.28,19.295,19.225,19.26,191849.0
RF,2018-06-06 20:00:00+00:00,19.27,19.27,19.27,19.27,100.0
RF,2018-06-07 13:00:00+00:00,19.27,19.32,19.19,19.24,81796.0
RF,2018-06-07 14:00:00+00:00,19.23,19.315,19.11,19.14,196152.0
RF,2018-06-07 15:00:00+00:00,19.135,19.185,19.105,19.16,71006.0
RF,2018-06-07 16:00:00+00:00,19.16,19.16,19.06,19.08,60996.0
RF,2018-06-07 17:00:00+00:00,19.08,19.08,18.91,18.98,91514.0
RF,2018-06-07 18:00:00+00:00,18.98,19.08,18.97,19.06,78271.0
RF,2018-06-07 19:00:00+00:00,19.06,19.13,19.045,19.065,120884.0
RF,2018-06-08 13:00:00+00:00,19.06,19.13,18.95,19.025,50736.0
RF,2018-06-08 14:00:00+00:00,19.025,19.12,18.99,19.075,115571.0
RF,2018-06-08 15:00:00+00:00,19.075,19.1,19.005,19.09,71678.0
RF,2018-06-08 16:00:00+00:00,19.09,19.11,19.05,19.07,48571.0
RF,2018-06-08 17:00:00+00:00,19.07,19.08,19.02,19.03,50459.0
RF,2018-06-08 18:00:00+00:00,19.04,19.12,19.03,19.1,77583.0
RF,2018-06-08 19:00:00+00:00,19.105,19.15,19.07,19.1,288661.0
RF,2018-06-11 13:00:00+00:00,19.11,19.16,19.07,19.1,126606.0
RF,2018-06-11 14:00:00+00:00,19.1,19.23,19.08,19.09,150810.0
RF,2018-06-11 15:00:00+00:00,19.09,19.09,18.99,19.01,119748.0
RF,2018-06-11 16:00:00+00:00,19.02,19.06,18.99,19.05,140111.0
RF,2018-06-11 17:00:00+00:00,19.045,19.05,18.95,18.95,128901.0
RF,2018-06-11 18:00:00+00:00,18.96,18.96,18.88,18.88,162288.0
RF,2018-06-11 19:00:00+00:00,18.88,18.965,18.88,18.88,155923.0
RF,2018-06-12 13:00:00+00:00,18.95,19.075,18.95,19.01,324090.0
RF,2018-06-12 14:00:00+00:00,19.02,19.1,18.91,18.95,160461.0
RF,2018-06-12 15:00:00+00:00,18.96,19.12,18.96,19.1,262439.0
RF,2018-06-12 16:00:00+00:00,19.1,19.1,18.98,19.0,106471.0
RF,2018-06-12 17:00:00+00:00,18.99,19.0,18.9,18.9,99555.0
RF,2018-06-12 18:00:00+00:00,18.9,18.9,18.84,18.84,100587.0
RF,2018-06-12 19:00:00+00:00,18.845,18.95,18.84,18.945,167266.0
RF,2018-06-13 13:00:00+00:00,19.01,19.05,18.87,18.9,86133.0
RF,2018-06-13 14:00:00+00:00,18.91,18.97,18.835,18.84,117056.0
RF,2018-06-13 15:00:00+00:00,18.83,18.86,18.76,18.84,165431.0
RF,2018-06-13 16:00:00+00:00,18.84,18.875,18.83,18.845,66984.0
RF,2018-06-13 17:00:00+00:00,18.85,18.915,18.85,18.88,62945.0
RF,2018-06-13 18:00:00+00:00,18.89,19.24,18.88,19.05,423441.0
RF,2018-06-13 19:00:00+00:00,19.045,19.07,18.89,18.89,231312.0
RF,2018-06-14 13:00:00+00:00,18.92,18.95,18.65,18.72,480344.0
RF,2018-06-14 14:00:00+00:00,18.72,18.79,18.62,18.62,273331.0
RF,2018-06-14 15:00:00+00:00,18.62,18.68,18.54,18.65,200093.0
RF,2018-06-14 16:00:00+00:00,18.64,18.645,18.53,18.53,124745.0
RF,2018-06-14 17:00:00+00:00,18.525,18.62,18.52,18.58,83221.0
RF,2018-06-14 18:00:00+00:00,18.585,18.66,18.575,18.63,113619.0
RF,2018-06-14 19:00:00+00:00,18.625,18.685,18.6,18.62,203410.0
RF,2018-06-15 13:00:00+00:00,18.51,18.57,18.425,18.49,287913.0
RF,2018-06-15 14:00:00+00:00,18.49,18.55,18.31,18.51,486775.0
RF,2018-06-15 15:00:00+00:00,18.51,18.57,18.46,18.52,126785.0
RF,2018-06-15 16:00:00+00:00,18.53,18.55,18.495,18.55,83534.0
RF,2018-06-15 17:00:00+00:00,18.56,18.625,18.56,18.57,61394.0
