symbol,ts,open,high,low,close,volume
RMD,2018-05-01 13:00:00+00:00,94.78,94.98,94.46,94.86,8793.0
RMD,2018-05-01 14:00:00+00:00,94.79,94.82,94.47,94.79,11976.0
RMD,2018-05-01 15:00:00+00:00,94.69,95.15,94.61,95.03,21740.0
RMD,2018-05-01 16:00:00+00:00,95.06,95.06,94.65,94.74,19360.0
RMD,2018-05-01 17:00:00+00:00,94.74,94.85,94.37,94.85,9997.0
RMD,2018-05-01 18:00:00+00:00,94.8,94.91,94.63,94.765,17194.0
RMD,2018-05-01 19:00:00+00:00,94.77,95.09,94.56,95.07,58812.0
RMD,2018-05-02 13:00:00+00:00,95.95,96.27,95.72,96.21,9715.0
RMD,2018-05-02 14:00:00+00:00,96.15,96.37,96.03,96.23,16328.0
RMD,2018-05-02 15:00:00+00:00,96.22,96.27,95.76,95.99,13956.0
RMD,2018-05-02 16:00:00+00:00,95.97,96.51,95.9,96.46,11534.0
RMD,2018-05-02 17:00:00+00:00,96.49,96.63,96.34,96.39,13467.0
RMD,2018-05-02 18:00:00+00:00,96.33,96.74,96.33,96.49,16652.0
RMD,2018-05-02 19:00:00+00:00,96.5,96.61,95.54,95.85,51045.0
RMD,2018-05-03 11:00:00+00:00,96.01,96.01,96.01,96.01,350.0
RMD,2018-05-03 12:00:00+00:00,96.01,96.01,96.01,96.01,275.0
RMD,2018-05-03 13:00:00+00:00,96.01,96.51,95.81,96.31,8686.0
RMD,2018-05-03 14:00:00+00:00,96.23,96.24,94.75,94.88,15433.0
RMD,2018-05-03 15:00:00+00:00,94.93,95.85,94.93,95.78,10729.0
RMD,2018-05-03 16:00:00+00:00,95.74,96.61,95.74,96.61,9996.0
RMD,2018-05-03 17:00:00+00:00,96.55,97.14,96.35,96.87,11997.0
RMD,2018-05-03 18:00:00+00:00,96.84,97.43,96.8,97.13,20777.0
RMD,2018-05-03 19:00:00+00:00,97.17,97.28,96.83,96.98,34087.0
RMD,2018-05-04 13:00:00+00:00,96.55,96.83,95.92,96.23,4763.0
RMD,2018-05-04 14:00:00+00:00,96.14,96.48,95.45,96.43,12034.0
RMD,2018-05-04 15:00:00+00:00,96.47,97.0,96.43,96.81,16170.0
RMD,2018-05-04 16:00:00+00:00,96.85,97.3,96.8,97.24,11461.0
RMD,2018-05-04 17:00:00+00:00,97.3,97.61,97.21,97.61,9840.0
RMD,2018-05-04 18:00:00+00:00,97.63,98.07,97.56,97.97,15983.0
RMD,2018-05-04 19:00:00+00:00,98.0,98.1,97.64,97.72,35724.0
RMD,2018-05-07 13:00:00+00:00,97.78,98.42,97.78,98.12,5833.0
RMD,2018-05-07 14:00:00+00:00,98.11,98.11,97.51,97.74,6343.0
RMD,2018-05-07 15:00:00+00:00,97.79,98.29,97.79,98.02,7933.0
RMD,2018-05-07 16:00:00+00:00,98.08,98.24,98.01,98.215,8862.0
RMD,2018-05-07 17:00:00+00:00,98.2,98.57,98.2,98.55,7193.0
RMD,2018-05-07 18:00:00+00:00,98.58,98.7,98.09,98.11,13178.0
RMD,2018-05-07 19:00:00+00:00,98.1,98.12,97.56,97.84,42584.0
RMD,2018-05-08 13:00:00+00:00,97.75,98.265,97.75,97.9,3609.0
RMD,2018-05-08 14:00:00+00:00,97.92,98.13,97.75,97.97,6413.0
RMD,2018-05-08 15:00:00+00:00,97.87,98.04,97.22,97.28,10462.0
RMD,2018-05-08 16:00:00+00:00,97.26,97.52,97.17,97.37,9703.0
RMD,2018-05-08 17:00:00+00:00,97.36,97.57,97.25,97.25,9958.0
RMD,2018-05-08 18:00:00+00:00,97.28,97.55,96.99,97.11,18611.0
RMD,2018-05-08 19:00:00+00:00,97.14,97.84,97.09,97.83,27526.0
RMD,2018-05-09 13:00:00+00:00,97.79,97.94,97.4,97.5,1639.0
RMD,2018-05-09 14:00:00+00:00,97.46,98.13,97.4,97.93,6638.0
RMD,2018-05-09 15:00:00+00:00,97.93,97.96,97.56,97.56,12378.0
RMD,2018-05-09 16:00:00+00:00,97.58,98.25,97.47,98.2,13123.0
RMD,2018-05-09 17:00:00+00:00,98.23,98.43,98.13,98.4,6174.0
RMD,2018-05-09 18:00:00+00:00,98.45,98.9,98.42,98.81,15866.0
RMD,2018-05-09 19:00:00+00:00,98.78,98.82,98.09,98.17,29708.0
RMD,2018-05-10 08:00:00+00:00,96.12,96.12,96.12,96.12,600.0
RMD,2018-05-10 11:00:00+00:00,98.66,98.66,98.66,98.66,200.0
RMD,2018-05-10 13:00:00+00:00,100.08,100.65,100.08,100.34,9909.0
RMD,2018-05-10 14:00:00+00:00,100.33,100.33,99.75,100.07,21685.0
RMD,2018-05-10 15:00:00+00:00,100.05,100.56,100.05,100.56,14812.0
RMD,2018-05-10 16:00:00+00:00,100.59,101.06,100.55,101.04,18238.0
RMD,2018-05-10 17:00:00+00:00,101.04,101.27,100.8,100.86,15277.0
RMD,2018-05-10 18:00:00+00:00,100.83,100.95,100.56,100.84,22317.0
RMD,2018-05-10 19:00:00+00:00,100.84,101.12,100.69,101.06,47866.0
RMD,2018-05-11 13:00:00+00:00,100.92,101.97,100.85,101.89,6735.0
RMD,2018-05-11 14:00:00+00:00,101.88,102.07,101.62,101.85,20654.0
RMD,2018-05-11 15:00:00+00:00,101.86,101.86,101.5,101.76,18461.0
RMD,2018-05-11 16:00:00+00:00,101.72,101.76,101.44,101.7,16795.0
RMD,2018-05-11 17:00:00+00:00,101.68,102.0,101.5,101.72,16754.0
RMD,2018-05-11 18:00:00+00:00,101.66,101.97,101.42,101.97,25021.0
RMD,2018-05-11 19:00:00+00:00,101.95,102.12,101.88,102.01,51307.0
RMD,2018-05-14 13:00:00+00:00,101.73,102.53,101.73,102.49,3195.0
RMD,2018-05-14 14:00:00+00:00,102.38,102.82,102.295,102.43,4793.0
RMD,2018-05-14 15:00:00+00:00,102.41,102.58,102.23,102.42,7004.0
RMD,2018-05-14 16:00:00+00:00,102.35,102.44,102.2,102.2,5836.0
RMD,2018-05-14 17:00:00+00:00,102.19,102.24,101.98,102.08,6223.0
RMD,2018-05-14 18:00:00+00:00,102.06,102.11,101.65,102.0,8798.0
RMD,2018-05-14 19:00:00+00:00,101.96,102.17,101.9,102.17,26835.0
RMD,2018-05-15 13:00:00+00:00,102.02,102.02,101.36,101.4,5295.0
RMD,2018-05-15 14:00:00+00:00,101.43,101.79,101.43,101.72,4749.0
RMD,2018-05-15 15:00:00+00:00,101.72,101.77,101.47,101.59,5859.0
RMD,2018-05-15 16:00:00+00:00,101.62,101.91,101.35,101.72,8263.0
RMD,2018-05-15 17:00:00+00:00,101.7,101.71,101.13,101.13,7137.0
RMD,2018-05-15 18:00:00+00:00,101.16,101.38,100.93,101.15,14326.0
RMD,2018-05-15 19:00:00+00:00,101.16,101.2,100.96,101.16,28871.0
RMD,2018-05-16 13:00:00+00:00,101.505,101.59,101.4,101.55,2914.0
RMD,2018-05-16 14:00:00+00:00,101.55,101.81,101.41,101.69,7781.0
RMD,2018-05-16 15:00:00+00:00,101.74,102.04,101.74,101.97,4312.0
RMD,2018-05-16 16:00:00+00:00,102.03,102.76,102.01,102.49,9820.0
RMD,2018-05-16 17:00:00+00:00,102.51,102.65,102.32,102.51,8582.0
RMD,2018-05-16 18:00:00+00:00,102.5,102.64,102.36,102.61,15931.0
RMD,2018-05-16 19:00:00+00:00,102.59,102.6,102.19,102.36,34659.0
RMD,2018-05-17 13:00:00+00:00,102.13,102.33,101.52,101.77,3355.0
RMD,2018-05-17 14:00:00+00:00,101.8,102.05,101.8,101.96,9261.0
RMD,2018-05-17 15:00:00+00:00,102.0,102.11,101.84,101.88,9358.0
RMD,2018-05-17 16:00:00+00:00,101.88,101.99,101.52,101.52,12070.0
RMD,2018-05-17 17:00:00+00:00,101.505,101.58,101.06,101.06,9509.0
RMD,2018-05-17 18:00:00+00:00,101.05,101.36,100.86,101.32,11651.0
RMD,2018-05-17 19:00:00+00:00,101.35,101.53,101.23,101.39,20416.0
RMD,2018-05-18 13:00:00+00:00,101.26,101.58,101.26,101.37,3857.0
RMD,2018-05-18 14:00:00+00:00,101.32,101.49,101.1,101.37,9851.0
RMD,2018-05-18 15:00:00+00:00,101.46,102.1,101.43,102.1,9668.0
RMD,2018-05-18 16:00:00+00:00,102.09,102.18,101.71,101.83,7651.0
RMD,2018-05-18 17:00:00+00:00,101.8,101.8,101.62,101.72,8322.0
RMD,2018-05-18 18:00:00+00:00,101.73,101.93,101.66,101.72,10038.0
RMD,2018-05-18 19:00:00+00:00,101.76,101.79,101.59,101.63,28763.0
RMD,2018-05-21 13:00:00+00:00,102.23,102.45,101.96,102.32,2765.0
RMD,2018-05-21 14:00:00+00:00,102.33,102.53,102.18,102.53,7856.0
RMD,2018-05-21 15:00:00+00:00,102.55,102.58,102.15,102.39,6004.0
RMD,2018-05-21 16:00:00+00:00,102.42,102.87,102.33,102.71,6157.0
RMD,2018-05-21 17:00:00+00:00,102.7,102.93,102.69,102.92,3796.0
RMD,2018-05-21 18:00:00+00:00,102.9,102.99,102.77,102.85,9919.0
RMD,2018-05-21 19:00:00+00:00,102.85,102.96,102.72,102.85,28542.0
RMD,2018-05-22 13:00:00+00:00,102.82,102.82,101.91,101.91,6923.0
RMD,2018-05-22 14:00:00+00:00,101.85,102.24,101.51,102.08,20970.0
RMD,2018-05-22 15:00:00+00:00,102.1,102.63,102.1,102.61,12783.0
RMD,2018-05-22 16:00:00+00:00,102.69,102.69,102.31,102.31,9912.0
RMD,2018-05-22 17:00:00+00:00,102.29,102.29,102.09,102.17,9174.0
RMD,2018-05-22 18:00:00+00:00,102.14,102.3,102.07,102.17,17584.0
RMD,2018-05-22 19:00:00+00:00,102.18,102.24,101.9,102.05,37600.0
RMD,2018-05-23 13:00:00+00:00,101.59,102.31,101.59,102.31,6490.0
RMD,2018-05-23 14:00:00+00:00,102.34,102.46,102.11,102.41,11630.0
RMD,2018-05-23 15:00:00+00:00,102.42,102.62,102.34,102.37,9981.0
RMD,2018-05-23 16:00:00+00:00,102.38,102.51,102.13,102.47,8705.0
RMD,2018-05-23 17:00:00+00:00,102.475,102.58,102.42,102.58,10839.0
RMD,2018-05-23 18:00:00+00:00,102.58,102.86,102.55,102.63,12250.0
RMD,2018-05-23 19:00:00+00:00,102.64,102.79,102.44,102.7,28723.0
RMD,2018-05-24 13:00:00+00:00,102.66,103.54,102.47,102.47,9643.0
RMD,2018-05-24 14:00:00+00:00,102.51,102.99,102.51,102.63,11637.0
RMD,2018-05-24 15:00:00+00:00,102.6,103.51,102.6,103.45,20486.0
RMD,2018-05-24 16:00:00+00:00,103.5,103.52,103.32,103.43,14778.0
RMD,2018-05-24 17:00:00+00:00,103.42,103.54,103.35,103.37,9882.0
RMD,2018-05-24 18:00:00+00:00,103.39,103.41,103.07,103.09,16601.0
RMD,2018-05-24 19:00:00+00:00,103.05,103.165,102.91,103.15,26150.0
RMD,2018-05-25 13:00:00+00:00,103.23,103.32,103.03,103.08,5427.0
RMD,2018-05-25 14:00:00+00:00,103.01,103.34,102.95,103.03,13598.0
RMD,2018-05-25 15:00:00+00:00,103.02,103.17,102.88,103.12,15680.0
RMD,2018-05-25 16:00:00+00:00,103.12,103.2,102.93,103.13,16129.0
RMD,2018-05-25 17:00:00+00:00,103.14,103.26,103.01,103.05,12007.0
RMD,2018-05-25 18:00:00+00:00,103.01,103.33,103.01,103.08,11359.0
RMD,2018-05-25 19:00:00+00:00,103.06,103.27,103.06,103.13,27325.0
RMD,2018-05-29 13:00:00+00:00,102.17,102.28,101.49,101.73,11007.0
RMD,2018-05-29 14:00:00+00:00,101.82,102.06,101.74,101.81,14707.0
RMD,2018-05-29 15:00:00+00:00,101.805,101.88,101.22,101.22,23741.0
RMD,2018-05-29 16:00:00+00:00,101.2,101.31,100.7,101.31,18119.0
RMD,2018-05-29 17:00:00+00:00,101.29,101.29,100.99,101.12,16118.0
RMD,2018-05-29 18:00:00+00:00,101.12,101.12,100.59,100.59,27915.0
RMD,2018-05-29 19:00:00+00:00,100.56,101.22,100.56,101.12,51724.0
RMD,2018-05-30 13:00:00+00:00,101.6,102.24,101.41,102.24,8798.0
RMD,2018-05-30 14:00:00+00:00,102.19,102.73,101.89,102.71,17153.0
RMD,2018-05-30 15:00:00+00:00,102.82,102.92,102.61,102.84,18737.0
RMD,2018-05-30 16:00:00+00:00,102.87,103.01,102.8,103.0,13599.0
RMD,2018-05-30 17:00:00+00:00,102.98,103.18,102.89,102.94,12540.0
RMD,2018-05-30 18:00:00+00:00,102.97,103.01,102.8,102.89,17744.0
RMD,2018-05-30 19:00:00+00:00,102.93,102.95,102.49,102.58,32425.0
RMD,2018-05-31 13:00:00+00:00,102.25,103.34,102.25,103.16,5643.0
RMD,2018-05-31 14:00:00+00:00,103.18,103.46,102.94,103.11,13875.0
RMD,2018-05-31 15:00:00+00:00,103.08,103.28,102.88,103.06,10296.0
