symbol,ts,open,high,low,close,volume
ROK,2018-05-01 13:00:00+00:00,164.2,165.62,163.68,165.57,20797.0
ROK,2018-05-01 14:00:00+00:00,165.6,165.74,163.48,163.71,45845.0
ROK,2018-05-01 15:00:00+00:00,163.62,165.905,163.22,164.79,41827.0
ROK,2018-05-01 16:00:00+00:00,164.72,165.09,164.48,164.6,24446.0
ROK,2018-05-01 17:00:00+00:00,164.57,165.94,163.51,165.83,33828.0
ROK,2018-05-01 18:00:00+00:00,165.74,167.0,165.56,166.92,39443.0
ROK,2018-05-01 19:00:00+00:00,166.98,167.38,166.14,167.28,87395.0
ROK,2018-05-02 13:00:00+00:00,167.75,169.73,167.75,169.33,23979.0
ROK,2018-05-02 14:00:00+00:00,169.52,169.84,168.44,168.93,43712.0
ROK,2018-05-02 15:00:00+00:00,168.93,169.45,168.16,168.63,28569.0
ROK,2018-05-02 16:00:00+00:00,168.68,169.63,168.52,169.53,26309.0
ROK,2018-05-02 17:00:00+00:00,169.53,169.64,168.61,168.69,17465.0
ROK,2018-05-02 18:00:00+00:00,168.59,169.92,168.57,169.63,34790.0
ROK,2018-05-02 19:00:00+00:00,169.4,169.4,167.0,167.4,86187.0
ROK,2018-05-02 22:00:00+00:00,168.0,168.0,168.0,168.0,40.0
ROK,2018-05-03 13:00:00+00:00,166.48,168.1,166.2,167.72,13516.0
ROK,2018-05-03 14:00:00+00:00,167.62,168.18,166.75,167.19,56162.0
ROK,2018-05-03 15:00:00+00:00,167.23,169.55,166.93,168.78,46199.0
ROK,2018-05-03 16:00:00+00:00,168.68,170.855,168.0,170.47,49625.0
ROK,2018-05-03 17:00:00+00:00,170.55,170.65,169.24,169.71,31293.0
ROK,2018-05-03 18:00:00+00:00,169.63,171.23,169.05,170.59,52054.0
ROK,2018-05-03 19:00:00+00:00,170.63,171.06,169.68,169.96,131107.0
ROK,2018-05-04 13:00:00+00:00,168.41,171.09,168.41,170.49,32856.0
ROK,2018-05-04 14:00:00+00:00,170.35,172.28,169.64,171.9,32879.0
ROK,2018-05-04 15:00:00+00:00,171.91,172.75,171.45,172.12,43294.0
ROK,2018-05-04 16:00:00+00:00,172.17,173.44,172.01,172.72,35931.0
ROK,2018-05-04 17:00:00+00:00,172.77,173.33,172.42,173.29,18582.0
ROK,2018-05-04 18:00:00+00:00,173.21,174.42,173.19,173.77,33386.0
