symbol,ts,open,high,low,close,volume
ROL,2018-05-01 13:00:00+00:00,48.33,48.69,48.28,48.69,1962.0
ROL,2018-05-01 14:00:00+00:00,48.69,48.69,48.43,48.52,10479.0
ROL,2018-05-01 15:00:00+00:00,48.5,48.71,48.41,48.66,10726.0
ROL,2018-05-01 16:00:00+00:00,48.6,48.72,48.56,48.69,7791.0
ROL,2018-05-01 17:00:00+00:00,48.68,48.78,48.56,48.78,5437.0
ROL,2018-05-01 18:00:00+00:00,48.79,48.91,48.73,48.8,12788.0
ROL,2018-05-01 19:00:00+00:00,48.8,48.905,48.77,48.82,23308.0
ROL,2018-05-02 13:00:00+00:00,48.87,48.87,48.36,48.41,2754.0
ROL,2018-05-02 14:00:00+00:00,48.43,48.71,48.43,48.57,9052.0
ROL,2018-05-02 15:00:00+00:00,48.61,48.77,48.5,48.625,8600.0
ROL,2018-05-02 16:00:00+00:00,48.67,48.7,48.55,48.59,13164.0
ROL,2018-05-02 17:00:00+00:00,48.575,48.75,48.54,48.71,6913.0
ROL,2018-05-02 18:00:00+00:00,48.71,48.88,48.71,48.75,13540.0
ROL,2018-05-02 19:00:00+00:00,48.72,48.77,48.45,48.52,30907.0
ROL,2018-05-02 23:00:00+00:00,48.52,48.52,48.52,48.52,10.0
ROL,2018-05-03 13:00:00+00:00,48.51,48.67,48.51,48.58,3275.0
ROL,2018-05-03 14:00:00+00:00,48.58,48.58,48.13,48.19,8595.0
ROL,2018-05-03 15:00:00+00:00,48.21,48.54,48.18,48.53,16415.0
ROL,2018-05-03 16:00:00+00:00,48.53,48.73,48.47,48.72,20339.0
ROL,2018-05-03 17:00:00+00:00,48.73,48.91,48.63,48.79,27950.0
ROL,2018-05-03 18:00:00+00:00,48.78,48.98,48.76,48.8,12152.0
ROL,2018-05-03 19:00:00+00:00,48.81,48.87,48.58,48.59,38216.0
ROL,2018-05-04 13:00:00+00:00,48.53,48.73,48.26,48.58,4375.0
ROL,2018-05-04 14:00:00+00:00,48.56,49.11,48.55,49.08,13114.0
ROL,2018-05-04 15:00:00+00:00,49.08,49.33,49.02,49.24,11291.0
ROL,2018-05-04 16:00:00+00:00,49.24,49.36,49.2,49.34,8887.0
ROL,2018-05-04 17:00:00+00:00,49.35,49.54,49.35,49.54,5964.0
ROL,2018-05-04 18:00:00+00:00,49.53,49.68,49.52,49.585,8731.0
ROL,2018-05-04 19:00:00+00:00,49.59,49.68,49.46,49.54,24757.0
ROL,2018-05-07 13:00:00+00:00,49.49,49.67,49.39,49.62,2911.0
ROL,2018-05-07 14:00:00+00:00,49.65,49.82,49.57,49.82,9466.0
ROL,2018-05-07 15:00:00+00:00,49.82,49.95,49.75,49.95,8861.0
ROL,2018-05-07 16:00:00+00:00,49.965,50.12,49.94,50.08,11712.0
ROL,2018-05-07 17:00:00+00:00,50.1,50.21,50.08,50.16,7090.0
ROL,2018-05-07 18:00:00+00:00,50.145,50.24,50.07,50.14,10846.0
ROL,2018-05-07 19:00:00+00:00,50.14,50.18,49.96,50.05,24831.0
ROL,2018-05-08 13:00:00+00:00,49.93,50.06,49.92,49.94,4731.0
ROL,2018-05-08 14:00:00+00:00,49.92,50.1,49.88,49.97,4014.0
ROL,2018-05-08 15:00:00+00:00,49.99,50.14,49.89,49.94,13223.0
ROL,2018-05-08 16:00:00+00:00,49.94,49.95,49.77,49.8,12695.0
ROL,2018-05-08 17:00:00+00:00,49.8,49.89,49.72,49.73,12137.0
ROL,2018-05-08 18:00:00+00:00,49.74,49.88,49.71,49.78,17607.0
ROL,2018-05-08 19:00:00+00:00,49.78,49.93,49.72,49.91,27679.0
ROL,2018-05-09 13:00:00+00:00,49.86,49.97,49.54,49.55,2793.0
ROL,2018-05-09 14:00:00+00:00,49.525,49.57,49.33,49.48,8453.0
ROL,2018-05-09 15:00:00+00:00,49.44,49.57,49.375,49.4,7549.0
ROL,2018-05-09 16:00:00+00:00,49.41,49.66,49.41,49.66,5994.0
ROL,2018-05-09 17:00:00+00:00,49.68,49.84,49.68,49.84,4098.0
