symbol,ts,open,high,low,close,volume
ROST,2018-05-01 13:00:00+00:00,80.53,80.67,79.73,80.02,75948.0
ROST,2018-05-01 14:00:00+00:00,79.95,80.12,79.03,79.2,87781.0
ROST,2018-05-01 15:00:00+00:00,79.18,79.23,78.57,78.57,122198.0
ROST,2018-05-01 16:00:00+00:00,78.59,78.94,78.56,78.6,55426.0
ROST,2018-05-01 17:00:00+00:00,78.6,78.97,78.3,78.96,61962.0
ROST,2018-05-01 18:00:00+00:00,78.94,79.08,78.79,78.87,82567.0
ROST,2018-05-01 19:00:00+00:00,78.89,79.46,78.85,79.41,232459.0
ROST,2018-05-01 20:00:00+00:00,79.38,79.38,79.32,79.36,137330.0
ROST,2018-05-02 13:00:00+00:00,79.32,79.32,78.35,78.77,57889.0
ROST,2018-05-02 14:00:00+00:00,78.79,79.77,78.79,79.66,71379.0
ROST,2018-05-02 15:00:00+00:00,79.63,79.97,79.46,79.58,66752.0
ROST,2018-05-02 16:00:00+00:00,79.57,79.74,79.52,79.64,39995.0
ROST,2018-05-02 17:00:00+00:00,79.65,80.18,79.65,80.04,53315.0
ROST,2018-05-02 18:00:00+00:00,80.05,80.47,80.03,80.13,76008.0
ROST,2018-05-02 19:00:00+00:00,80.14,80.16,79.585,79.7,179498.0
ROST,2018-05-02 20:00:00+00:00,79.71,79.71,79.71,79.71,237798.0
ROST,2018-05-03 12:00:00+00:00,79.09,79.09,79.04,79.04,133.0
ROST,2018-05-03 13:00:00+00:00,79.03,79.59,79.03,79.45,44152.0
ROST,2018-05-03 14:00:00+00:00,79.47,79.51,78.89,79.08,83896.0
ROST,2018-05-03 15:00:00+00:00,79.12,79.8,78.95,79.74,70068.0
ROST,2018-05-03 16:00:00+00:00,79.75,80.62,79.5,80.61,79179.0
ROST,2018-05-03 17:00:00+00:00,80.58,80.97,80.29,80.66,55370.0
ROST,2018-05-03 18:00:00+00:00,80.64,80.79,80.47,80.59,70448.0
ROST,2018-05-03 19:00:00+00:00,80.58,80.78,80.21,80.37,151880.0
ROST,2018-05-03 20:00:00+00:00,80.37,80.39,80.37,80.39,202079.0
ROST,2018-05-03 22:00:00+00:00,80.62,80.62,80.62,80.62,41.0
ROST,2018-05-04 13:00:00+00:00,79.87,79.99,79.12,79.7,71066.0
ROST,2018-05-04 14:00:00+00:00,79.7,80.29,79.18,80.28,127453.0
ROST,2018-05-04 15:00:00+00:00,80.29,80.68,80.22,80.41,103863.0
ROST,2018-05-04 16:00:00+00:00,80.4,80.51,80.22,80.47,69705.0
ROST,2018-05-04 17:00:00+00:00,80.45,80.74,80.4,80.51,75281.0
ROST,2018-05-04 18:00:00+00:00,80.51,81.11,80.48,80.91,70805.0
ROST,2018-05-04 19:00:00+00:00,80.91,81.11,80.55,80.74,226182.0
ROST,2018-05-04 20:00:00+00:00,80.71,80.71,80.71,80.71,162041.0
ROST,2018-05-07 13:00:00+00:00,80.88,80.98,80.07,80.11,65462.0
ROST,2018-05-07 14:00:00+00:00,80.09,80.11,78.88,79.31,115591.0
ROST,2018-05-07 15:00:00+00:00,79.31,79.82,79.21,79.53,104825.0
ROST,2018-05-07 16:00:00+00:00,79.56,79.56,79.29,79.35,72889.0
ROST,2018-05-07 17:00:00+00:00,79.35,79.39,79.17,79.23,76682.0
ROST,2018-05-07 18:00:00+00:00,79.22,79.6,79.22,79.36,113706.0
ROST,2018-05-07 19:00:00+00:00,79.36,79.52,79.28,79.44,288285.0
ROST,2018-05-07 20:00:00+00:00,79.44,79.47,79.44,79.47,150383.0
ROST,2018-05-08 13:00:00+00:00,79.54,80.85,79.35,80.79,110478.0
ROST,2018-05-08 14:00:00+00:00,80.75,80.75,80.22,80.53,92360.0
ROST,2018-05-08 15:00:00+00:00,80.48,81.24,80.45,81.02,113912.0
ROST,2018-05-08 16:00:00+00:00,81.02,81.17,80.67,80.75,109153.0
ROST,2018-05-08 17:00:00+00:00,80.73,81.13,80.62,80.97,58518.0
ROST,2018-05-08 18:00:00+00:00,80.99,81.14,80.47,80.7,127805.0
ROST,2018-05-08 19:00:00+00:00,80.7,80.96,80.6,80.85,210650.0
ROST,2018-05-08 20:00:00+00:00,80.84,80.84,80.84,80.84,158660.0
ROST,2018-05-08 22:00:00+00:00,80.72,80.72,80.72,80.72,250.0
ROST,2018-05-09 13:00:00+00:00,80.67,80.98,80.0,80.46,91228.0
ROST,2018-05-09 14:00:00+00:00,80.42,80.51,80.18,80.33,83101.0
ROST,2018-05-09 15:00:00+00:00,80.33,80.61,80.17,80.59,58509.0
