symbol,ts,open,high,low,close,volume
RTX,2020-04-03 13:00:00+00:00,53.99,53.99,49.25,52.55,116428.0
RTX,2020-04-03 14:00:00+00:00,52.61,53.29,50.66,51.1,184400.0
RTX,2020-04-03 15:00:00+00:00,51.13,51.15,49.2,49.83,126833.0
RTX,2020-04-03 16:00:00+00:00,49.83,49.97,48.91,48.95,121215.0
RTX,2020-04-03 17:00:00+00:00,48.96,49.44,48.8,49.11,101304.0
RTX,2020-04-03 18:00:00+00:00,49.1,49.34,48.05,49.28,120882.0
RTX,2020-04-03 19:00:00+00:00,49.28,50.58,49.27,49.9,307964.0
RTX,2020-04-03 20:00:00+00:00,50.26,50.89,49.93,50.85,9479.0
RTX,2020-04-03 21:00:00+00:00,50.74,50.74,50.15,50.15,109.0
RTX,2020-04-03 23:00:00+00:00,50.16,50.16,50.1,50.1,143.0
RTX,2020-04-06 08:00:00+00:00,53.49,53.5,52.5,52.5,1419.0
RTX,2020-04-06 09:00:00+00:00,53.29,54.0,52.5,54.0,292.0
RTX,2020-04-06 10:00:00+00:00,54.0,54.0,54.0,54.0,35.0
RTX,2020-04-06 11:00:00+00:00,53.01,53.08,52.5,52.8,912.0
RTX,2020-04-06 12:00:00+00:00,52.98,54.84,52.51,54.8,9390.0
RTX,2020-04-06 13:00:00+00:00,54.8,54.8,52.67,54.75,255893.0
RTX,2020-04-06 14:00:00+00:00,54.73,54.95,53.9,54.42,231485.0
RTX,2020-04-06 15:00:00+00:00,54.49,56.44,54.42,56.12,284216.0
RTX,2020-04-06 16:00:00+00:00,56.12,56.92,56.12,56.68,255939.0
RTX,2020-04-06 17:00:00+00:00,56.68,57.61,56.68,57.5,268429.0
RTX,2020-04-06 18:00:00+00:00,57.5,57.77,56.93,57.48,279502.0
RTX,2020-04-06 19:00:00+00:00,57.47,58.89,56.83,57.41,650926.0
RTX,2020-04-06 20:00:00+00:00,57.5,57.5,56.77,57.3,233.0
RTX,2020-04-06 21:00:00+00:00,57.25,57.25,57.14,57.14,961.0
RTX,2020-04-06 22:00:00+00:00,57.3,57.35,57.11,57.11,1664.0
RTX,2020-04-06 23:00:00+00:00,57.15,57.41,57.15,57.41,1083.0
RTX,2020-04-07 10:00:00+00:00,62.13,62.13,61.0,61.74,975.0
RTX,2020-04-07 11:00:00+00:00,60.31,61.99,60.0,61.3,3278.0
RTX,2020-04-07 12:00:00+00:00,61.2,62.5,60.25,62.49,7604.0
RTX,2020-04-07 13:00:00+00:00,62.2,64.47,61.12,61.715,227201.0
RTX,2020-04-07 14:00:00+00:00,61.84,62.0,58.32,59.04,330715.0
RTX,2020-04-07 15:00:00+00:00,59.04,60.98,58.75,60.42,290895.0
RTX,2020-04-07 16:00:00+00:00,60.43,61.86,60.06,60.77,369929.0
RTX,2020-04-07 17:00:00+00:00,60.77,60.88,59.53,60.0,289000.0
RTX,2020-04-07 18:00:00+00:00,60.01,60.23,58.09,58.2,412336.0
RTX,2020-04-07 19:00:00+00:00,58.22,58.83,57.23,57.52,650572.0
RTX,2020-04-07 20:00:00+00:00,57.76,58.38,57.6,58.38,93.0
RTX,2020-04-07 21:00:00+00:00,58.17,58.17,57.81,57.81,140.0
RTX,2020-04-07 22:00:00+00:00,58.15,58.15,57.82,58.15,78.0
RTX,2020-04-07 23:00:00+00:00,58.0,58.19,57.82,58.04,213.0
RTX,2020-04-08 11:00:00+00:00,58.25,59.97,58.01,59.49,2223.0
RTX,2020-04-08 12:00:00+00:00,59.27,59.95,58.8,58.98,1799.0
RTX,2020-04-08 13:00:00+00:00,58.96,60.5,57.88,58.58,157339.0
RTX,2020-04-08 14:00:00+00:00,58.61,59.99,58.3,59.99,343948.0
RTX,2020-04-08 15:00:00+00:00,59.965,61.99,59.45,61.42,438748.0
RTX,2020-04-08 16:00:00+00:00,61.42,62.54,60.97,62.46,300582.0
RTX,2020-04-08 17:00:00+00:00,62.46,63.61,62.32,62.94,270159.0
RTX,2020-04-08 18:00:00+00:00,62.93,63.65,62.8,63.37,317296.0
RTX,2020-04-08 19:00:00+00:00,63.37,63.53,61.83,62.53,601878.0
