symbol,ts,open,high,low,close,volume
RVTY,2023-05-16 13:00:00+00:00,116.34,116.34,114.49,115.01,1916.0
RVTY,2023-05-16 14:00:00+00:00,114.86,115.155,113.37,113.52,7928.0
RVTY,2023-05-16 15:00:00+00:00,113.55,114.205,113.35,113.81,2725.0
RVTY,2023-05-16 16:00:00+00:00,113.95,114.08,113.49,114.01,8033.0
RVTY,2023-05-16 17:00:00+00:00,113.89,114.41,113.72,113.91,12101.0
RVTY,2023-05-16 18:00:00+00:00,113.88,114.62,113.68,114.62,7732.0
RVTY,2023-05-16 19:00:00+00:00,114.47,115.07,114.09,114.48,25778.0
RVTY,2023-05-17 13:00:00+00:00,113.3,115.0,113.3,113.78,4042.0
RVTY,2023-05-17 14:00:00+00:00,113.9,114.81,113.38,114.1,15958.0
RVTY,2023-05-17 15:00:00+00:00,114.1,114.405,113.79,114.33,5191.0
RVTY,2023-05-17 16:00:00+00:00,114.36,114.64,113.83,114.5,4562.0
RVTY,2023-05-17 17:00:00+00:00,114.47,115.22,114.47,115.13,4673.0
RVTY,2023-05-17 18:00:00+00:00,115.13,115.38,114.53,114.54,8029.0
RVTY,2023-05-17 19:00:00+00:00,114.595,115.4,114.595,115.29,21992.0
RVTY,2023-05-18 13:00:00+00:00,113.7,115.59,113.7,115.31,5356.0
RVTY,2023-05-18 14:00:00+00:00,115.43,116.42,115.4,116.37,10163.0
RVTY,2023-05-18 15:00:00+00:00,116.34,116.58,116.03,116.26,18018.0
RVTY,2023-05-18 16:00:00+00:00,116.24,116.39,115.87,115.98,15092.0
RVTY,2023-05-18 17:00:00+00:00,116.03,116.28,115.43,115.49,11246.0
RVTY,2023-05-18 18:00:00+00:00,115.45,115.94,115.36,115.73,8068.0
RVTY,2023-05-18 19:00:00+00:00,115.8,116.93,115.8,116.85,19803.0
RVTY,2023-05-19 13:00:00+00:00,117.67,118.92,117.45,118.92,1378.0
RVTY,2023-05-19 14:00:00+00:00,118.82,119.7,118.57,119.48,9931.0
RVTY,2023-05-19 15:00:00+00:00,119.58,119.6,117.91,117.91,16109.0
