symbol,ts,open,high,low,close,volume
SATS,2018-05-01 13:00:00+00:00,52.5,52.82,52.0,52.29,5378.0
SATS,2018-05-01 14:00:00+00:00,52.25,52.34,52.16,52.23,15653.0
SATS,2018-05-01 15:00:00+00:00,52.2,52.24,52.01,52.07,7323.0
SATS,2018-05-01 16:00:00+00:00,52.07,52.17,52.01,52.15,6846.0
SATS,2018-05-01 17:00:00+00:00,52.14,52.17,52.0,52.17,5466.0
SATS,2018-05-01 18:00:00+00:00,52.16,52.42,52.16,52.42,9630.0
SATS,2018-05-01 19:00:00+00:00,52.42,52.53,52.23,52.5,37040.0
SATS,2018-05-01 20:00:00+00:00,52.51,52.51,52.47,52.47,7577.0
SATS,2018-05-02 13:00:00+00:00,52.5,52.75,52.25,52.47,6497.0
SATS,2018-05-02 14:00:00+00:00,52.4,52.43,52.18,52.24,8363.0
SATS,2018-05-02 15:00:00+00:00,52.27,52.29,52.095,52.13,5033.0
SATS,2018-05-02 16:00:00+00:00,52.115,52.45,52.05,52.45,9398.0
SATS,2018-05-02 17:00:00+00:00,52.42,52.68,52.38,52.68,3982.0
SATS,2018-05-02 18:00:00+00:00,52.65,52.78,52.435,52.45,6038.0
SATS,2018-05-02 19:00:00+00:00,52.44,52.45,52.18,52.25,28336.0
SATS,2018-05-02 20:00:00+00:00,52.26,52.26,52.26,52.26,12099.0
SATS,2018-05-03 13:00:00+00:00,52.09,52.29,51.72,52.11,5647.0
SATS,2018-05-03 14:00:00+00:00,52.21,52.24,51.4,51.45,9527.0
SATS,2018-05-03 15:00:00+00:00,51.4,51.755,51.36,51.67,10368.0
SATS,2018-05-03 16:00:00+00:00,51.69,52.02,51.55,51.99,7975.0
SATS,2018-05-03 17:00:00+00:00,51.95,52.07,51.81,51.94,11748.0
SATS,2018-05-03 18:00:00+00:00,51.94,52.0,51.71,51.93,16469.0
SATS,2018-05-03 19:00:00+00:00,51.94,51.94,51.65,51.8,33234.0
SATS,2018-05-03 20:00:00+00:00,51.79,51.79,51.79,51.79,7016.0
SATS,2018-05-04 13:00:00+00:00,51.88,52.26,51.33,52.22,11707.0
SATS,2018-05-04 14:00:00+00:00,52.13,52.38,52.06,52.38,14774.0
SATS,2018-05-04 15:00:00+00:00,52.44,52.44,52.21,52.29,7526.0
SATS,2018-05-04 16:00:00+00:00,52.25,52.48,52.22,52.48,5016.0
SATS,2018-05-04 17:00:00+00:00,52.475,52.5,52.25,52.4,4596.0
SATS,2018-05-04 18:00:00+00:00,52.41,52.44,52.23,52.23,7146.0
SATS,2018-05-04 19:00:00+00:00,52.26,52.33,52.06,52.12,32498.0
SATS,2018-05-04 20:00:00+00:00,52.13,52.13,52.13,52.13,10237.0
SATS,2018-05-07 13:00:00+00:00,52.5,52.68,52.25,52.62,3244.0
SATS,2018-05-07 14:00:00+00:00,52.52,52.53,52.34,52.34,7258.0
SATS,2018-05-07 15:00:00+00:00,52.4,52.41,52.21,52.24,10495.0
SATS,2018-05-07 16:00:00+00:00,52.28,52.4,52.24,52.31,14047.0
SATS,2018-05-07 17:00:00+00:00,52.34,52.63,52.3,52.39,34203.0
SATS,2018-05-07 18:00:00+00:00,52.4,52.51,52.08,52.21,17104.0
SATS,2018-05-07 19:00:00+00:00,52.21,52.23,51.77,52.07,57407.0
SATS,2018-05-07 20:00:00+00:00,52.05,52.05,52.05,52.05,9041.0
SATS,2018-05-08 13:00:00+00:00,51.85,52.07,51.68,51.9,8403.0
SATS,2018-05-08 14:00:00+00:00,51.9,52.25,51.9,52.12,9049.0
SATS,2018-05-08 15:00:00+00:00,52.09,52.22,52.04,52.12,8312.0
SATS,2018-05-08 16:00:00+00:00,52.12,52.12,51.72,51.8,8706.0
SATS,2018-05-08 17:00:00+00:00,51.81,51.93,51.73,51.735,6664.0
