symbol,ts,open,high,low,close,volume
SHW,2018-05-01 13:00:00+00:00,364.27,365.01,362.84,364.11,9637.0
SHW,2018-05-01 14:00:00+00:00,364.05,364.22,362.71,363.19,18989.0
SHW,2018-05-01 15:00:00+00:00,362.87,367.0,362.38,365.18,9592.0
SHW,2018-05-01 16:00:00+00:00,365.15,367.4,364.83,367.0,9469.0
SHW,2018-05-01 17:00:00+00:00,366.88,369.8,366.51,369.63,9817.0
SHW,2018-05-01 18:00:00+00:00,369.66,373.23,369.66,372.41,15514.0
SHW,2018-05-01 19:00:00+00:00,372.345,374.06,372.19,373.855,48016.0
SHW,2018-05-02 13:00:00+00:00,372.92,373.48,371.95,372.6,4690.0
SHW,2018-05-02 14:00:00+00:00,372.29,373.12,372.04,372.54,11985.0
SHW,2018-05-02 15:00:00+00:00,372.49,373.44,372.15,372.96,12891.0
SHW,2018-05-02 16:00:00+00:00,372.96,373.16,372.3,372.88,9287.0
SHW,2018-05-02 17:00:00+00:00,372.99,373.22,372.28,372.71,5866.0
SHW,2018-05-02 18:00:00+00:00,372.48,374.14,372.19,372.59,14450.0
SHW,2018-05-02 19:00:00+00:00,372.43,373.31,370.8,371.42,39424.0
SHW,2018-05-03 13:00:00+00:00,370.74,372.63,370.74,372.32,4957.0
SHW,2018-05-03 14:00:00+00:00,372.11,372.7,366.67,367.44,12213.0
SHW,2018-05-03 15:00:00+00:00,367.23,368.73,365.78,368.42,6600.0
SHW,2018-05-03 16:00:00+00:00,368.62,372.22,368.22,372.22,13172.0
SHW,2018-05-03 17:00:00+00:00,372.07,372.07,369.34,369.58,8554.0
SHW,2018-05-03 18:00:00+00:00,369.73,372.27,369.53,371.44,18919.0
SHW,2018-05-03 19:00:00+00:00,371.56,371.71,369.59,370.22,22639.0
SHW,2018-05-04 13:00:00+00:00,368.76,372.0,368.23,370.58,4718.0
SHW,2018-05-04 14:00:00+00:00,370.395,376.01,370.06,375.5,13016.0
SHW,2018-05-04 15:00:00+00:00,375.49,378.16,375.3,377.78,14960.0
SHW,2018-05-04 16:00:00+00:00,377.52,377.87,376.89,377.87,8836.0
SHW,2018-05-04 17:00:00+00:00,377.76,378.75,377.48,378.75,8898.0
SHW,2018-05-04 18:00:00+00:00,378.64,381.05,378.6,379.79,17443.0
SHW,2018-05-04 19:00:00+00:00,379.8,380.37,376.9,377.53,29321.0
SHW,2018-05-07 13:00:00+00:00,377.88,380.05,377.29,379.74,6753.0
SHW,2018-05-07 14:00:00+00:00,379.73,379.73,376.14,376.96,3941.0
SHW,2018-05-07 15:00:00+00:00,377.21,378.06,376.77,377.5,4953.0
SHW,2018-05-07 16:00:00+00:00,377.35,377.59,376.35,377.37,4352.0
SHW,2018-05-07 17:00:00+00:00,377.21,377.62,376.4,377.14,4390.0
SHW,2018-05-07 18:00:00+00:00,377.14,378.07,376.25,376.25,10697.0
SHW,2018-05-07 19:00:00+00:00,376.29,378.91,375.43,378.72,23302.0
SHW,2018-05-08 13:00:00+00:00,376.88,379.78,376.81,379.63,5589.0
SHW,2018-05-08 14:00:00+00:00,379.93,382.33,379.58,381.78,11161.0
SHW,2018-05-08 15:00:00+00:00,381.49,383.0,380.97,381.98,10302.0
SHW,2018-05-08 16:00:00+00:00,382.1,382.1,379.23,379.51,3868.0
SHW,2018-05-08 17:00:00+00:00,379.59,379.71,378.26,379.13,9574.0
SHW,2018-05-08 18:00:00+00:00,379.32,379.88,377.54,377.97,9800.0
SHW,2018-05-08 19:00:00+00:00,377.51,378.57,377.29,377.84,18720.0
SHW,2018-05-09 13:00:00+00:00,379.59,380.51,377.62,377.62,4788.0
SHW,2018-05-09 14:00:00+00:00,377.39,377.58,375.64,377.45,12789.0
SHW,2018-05-09 15:00:00+00:00,377.59,377.6,375.465,376.36,8823.0
SHW,2018-05-09 16:00:00+00:00,376.32,380.54,376.32,380.54,6096.0
SHW,2018-05-09 17:00:00+00:00,380.82,382.38,380.585,381.32,6505.0
SHW,2018-05-09 18:00:00+00:00,381.18,381.38,380.37,380.93,6176.0
SHW,2018-05-09 19:00:00+00:00,380.83,381.36,380.0,380.83,13586.0
SHW,2018-05-10 13:00:00+00:00,380.605,382.48,380.36,382.48,3063.0
SHW,2018-05-10 14:00:00+00:00,382.98,382.98,379.5,379.78,2802.0
SHW,2018-05-10 15:00:00+00:00,379.61,380.43,378.6,379.87,5633.0
SHW,2018-05-10 16:00:00+00:00,379.88,380.83,379.69,380.28,3985.0
SHW,2018-05-10 17:00:00+00:00,380.44,381.83,380.38,381.6,4554.0
SHW,2018-05-10 18:00:00+00:00,381.68,382.63,380.93,381.51,8627.0
SHW,2018-05-10 19:00:00+00:00,381.68,381.68,379.97,380.48,12496.0
SHW,2018-05-11 13:00:00+00:00,380.18,383.39,380.14,383.01,2909.0
SHW,2018-05-11 14:00:00+00:00,382.83,385.07,382.49,384.06,11290.0
SHW,2018-05-11 15:00:00+00:00,383.9,385.14,383.79,384.42,19090.0
SHW,2018-05-11 16:00:00+00:00,384.67,384.98,382.34,382.79,8556.0
SHW,2018-05-11 17:00:00+00:00,382.61,382.76,381.0,381.55,3319.0
SHW,2018-05-11 18:00:00+00:00,381.51,381.77,380.33,381.13,5515.0
SHW,2018-05-11 19:00:00+00:00,381.21,381.61,379.96,380.96,13554.0
SHW,2018-05-14 13:00:00+00:00,383.19,383.76,381.77,383.275,3635.0
SHW,2018-05-14 14:00:00+00:00,383.16,384.23,382.61,383.79,6326.0
SHW,2018-05-14 15:00:00+00:00,383.6,384.53,383.41,383.81,4540.0
SHW,2018-05-14 16:00:00+00:00,383.93,384.72,383.29,383.4,5048.0
SHW,2018-05-14 17:00:00+00:00,382.97,383.28,382.1,383.1,6653.0
SHW,2018-05-14 18:00:00+00:00,383.01,384.31,382.38,383.65,8144.0
SHW,2018-05-14 19:00:00+00:00,383.61,385.04,383.55,384.58,19153.0
SHW,2018-05-15 13:00:00+00:00,383.51,383.51,380.64,381.06,4589.0
SHW,2018-05-15 14:00:00+00:00,380.88,382.98,380.76,382.98,10548.0
SHW,2018-05-15 15:00:00+00:00,382.87,384.56,382.8,383.16,10024.0
SHW,2018-05-15 16:00:00+00:00,382.95,384.62,382.8,384.08,14383.0
SHW,2018-05-15 17:00:00+00:00,383.83,383.89,382.0,382.05,4646.0
SHW,2018-05-15 18:00:00+00:00,382.04,382.87,380.82,381.58,8122.0
SHW,2018-05-15 19:00:00+00:00,381.49,381.49,378.75,379.68,20572.0
SHW,2018-05-16 13:00:00+00:00,378.61,379.16,377.07,379.16,6495.0
SHW,2018-05-16 14:00:00+00:00,379.04,379.04,377.48,378.61,7904.0
SHW,2018-05-16 15:00:00+00:00,378.49,380.37,378.11,380.37,4590.0
SHW,2018-05-16 16:00:00+00:00,380.19,382.63,380.19,382.31,5491.0
SHW,2018-05-16 17:00:00+00:00,382.17,382.56,381.81,382.12,5296.0
SHW,2018-05-16 18:00:00+00:00,382.06,382.06,380.29,380.61,13368.0
SHW,2018-05-16 19:00:00+00:00,380.61,380.99,379.48,380.98,25725.0
SHW,2018-05-17 13:00:00+00:00,378.66,382.45,378.66,381.63,2805.0
SHW,2018-05-17 14:00:00+00:00,381.72,382.56,381.11,382.56,3585.0
SHW,2018-05-17 15:00:00+00:00,382.48,382.48,381.63,381.63,4012.0
SHW,2018-05-17 16:00:00+00:00,381.69,382.1,380.47,380.82,4756.0
SHW,2018-05-17 17:00:00+00:00,380.79,381.0,378.58,378.82,5735.0
SHW,2018-05-17 18:00:00+00:00,378.9,380.27,378.48,380.03,5481.0
SHW,2018-05-17 19:00:00+00:00,379.94,380.38,379.2,380.26,11811.0
SHW,2018-05-18 13:00:00+00:00,380.13,382.22,379.46,381.89,6306.0
SHW,2018-05-18 14:00:00+00:00,382.23,383.67,382.04,383.22,7147.0
SHW,2018-05-18 15:00:00+00:00,383.17,386.36,383.07,386.04,11091.0
SHW,2018-05-18 16:00:00+00:00,385.9,387.77,385.65,387.55,9635.0
SHW,2018-05-18 17:00:00+00:00,387.5,388.33,386.84,386.84,8524.0
SHW,2018-05-18 18:00:00+00:00,387.03,388.86,386.46,388.42,12425.0
SHW,2018-05-18 19:00:00+00:00,388.49,388.49,387.29,387.6,34175.0
SHW,2018-05-21 13:00:00+00:00,388.02,388.98,388.0,388.56,4839.0
SHW,2018-05-21 14:00:00+00:00,388.14,394.22,388.02,391.8,15887.0
SHW,2018-05-21 15:00:00+00:00,391.97,393.37,390.97,392.08,11209.0
SHW,2018-05-21 16:00:00+00:00,392.18,392.2,390.52,391.0,6125.0
SHW,2018-05-21 17:00:00+00:00,391.35,391.35,390.56,390.56,3401.0
SHW,2018-05-21 18:00:00+00:00,390.44,391.16,390.34,391.16,3571.0
SHW,2018-05-21 19:00:00+00:00,390.81,391.83,390.31,390.77,24718.0
SHW,2018-05-21 20:00:00+00:00,390.22,390.22,390.22,390.22,100.0
SHW,2018-05-22 13:00:00+00:00,391.55,391.55,388.5,389.03,5198.0
SHW,2018-05-22 14:00:00+00:00,389.02,389.47,382.71,384.0,20469.0
SHW,2018-05-22 15:00:00+00:00,384.07,385.78,381.33,381.85,15971.0
SHW,2018-05-22 16:00:00+00:00,381.95,382.49,380.67,381.11,12208.0
SHW,2018-05-22 17:00:00+00:00,381.06,381.35,379.83,380.32,13834.0
SHW,2018-05-22 18:00:00+00:00,380.16,380.38,377.85,377.85,19482.0
SHW,2018-05-22 19:00:00+00:00,377.75,378.05,375.02,376.0,52052.0
SHW,2018-05-22 20:00:00+00:00,376.98,376.98,376.95,376.95,105.0
SHW,2018-05-23 13:00:00+00:00,375.9,379.68,375.81,379.68,15547.0
SHW,2018-05-23 14:00:00+00:00,379.86,382.48,379.3,382.04,20903.0
SHW,2018-05-23 15:00:00+00:00,381.74,382.48,381.34,382.21,15106.0
SHW,2018-05-23 16:00:00+00:00,382.08,382.82,381.18,381.39,18958.0
SHW,2018-05-23 17:00:00+00:00,381.24,382.47,381.09,382.06,9104.0
SHW,2018-05-23 18:00:00+00:00,382.08,383.67,381.76,383.06,12237.0
SHW,2018-05-23 19:00:00+00:00,383.05,384.49,382.45,384.26,27189.0
SHW,2018-05-24 13:00:00+00:00,383.8,383.84,378.63,379.31,8025.0
SHW,2018-05-24 14:00:00+00:00,380.12,381.46,379.41,381.02,15467.0
SHW,2018-05-24 15:00:00+00:00,380.7,384.55,380.45,383.83,11477.0
SHW,2018-05-24 16:00:00+00:00,384.07,384.96,383.8,384.77,12657.0
SHW,2018-05-24 17:00:00+00:00,384.76,385.46,384.67,385.23,10587.0
SHW,2018-05-24 18:00:00+00:00,385.17,386.25,384.9,385.89,20307.0
SHW,2018-05-24 19:00:00+00:00,386.09,387.57,385.75,386.37,41028.0
SHW,2018-05-25 13:00:00+00:00,387.71,387.95,385.73,387.62,6173.0
SHW,2018-05-25 14:00:00+00:00,387.64,388.66,386.76,386.94,9153.0
SHW,2018-05-25 15:00:00+00:00,386.9,388.98,386.42,388.81,10511.0
