symbol,ts,open,high,low,close,volume
SLB,2018-05-01 13:00:00+00:00,67.91,68.4,67.83,67.94,50666.0
SLB,2018-05-01 14:00:00+00:00,67.97,68.06,67.21,67.25,132968.0
SLB,2018-05-01 15:00:00+00:00,67.25,67.82,67.08,67.59,114662.0
SLB,2018-05-01 16:00:00+00:00,67.58,67.88,67.57,67.78,68189.0
SLB,2018-05-01 17:00:00+00:00,67.77,67.78,67.55,67.775,74341.0
SLB,2018-05-01 18:00:00+00:00,67.78,68.05,67.74,68.01,66993.0
SLB,2018-05-01 19:00:00+00:00,68.01,68.4,67.91,68.39,188289.0
SLB,2018-05-02 09:00:00+00:00,68.4,68.41,68.4,68.41,20.0
SLB,2018-05-02 13:00:00+00:00,68.05,68.59,67.9,68.33,53093.0
SLB,2018-05-02 14:00:00+00:00,68.33,68.63,68.21,68.42,116621.0
SLB,2018-05-02 15:00:00+00:00,68.43,68.565,68.3,68.4,50090.0
SLB,2018-05-02 16:00:00+00:00,68.4,68.74,68.4,68.7,50563.0
SLB,2018-05-02 17:00:00+00:00,68.72,68.82,68.64,68.69,42947.0
SLB,2018-05-02 18:00:00+00:00,68.68,69.18,68.66,69.01,109048.0
SLB,2018-05-02 19:00:00+00:00,69.02,69.14,68.47,68.67,193364.0
SLB,2018-05-03 13:00:00+00:00,68.49,68.57,67.62,68.0,68699.0
SLB,2018-05-03 14:00:00+00:00,68.03,68.055,67.08,67.24,154983.0
SLB,2018-05-03 15:00:00+00:00,67.24,67.45,66.89,67.24,186908.0
SLB,2018-05-03 16:00:00+00:00,67.22,67.62,66.92,67.62,134435.0
SLB,2018-05-03 17:00:00+00:00,67.62,67.84,67.4,67.69,75656.0
SLB,2018-05-03 18:00:00+00:00,67.69,67.735,67.41,67.47,65988.0
SLB,2018-05-03 19:00:00+00:00,67.49,67.735,67.425,67.72,166221.0
SLB,2018-05-03 20:00:00+00:00,67.86,67.87,67.86,67.87,900.0
SLB,2018-05-04 13:00:00+00:00,67.54,67.65,67.2,67.54,50726.0
SLB,2018-05-04 14:00:00+00:00,67.52,67.97,67.39,67.84,79567.0
SLB,2018-05-04 15:00:00+00:00,67.84,68.6,67.71,68.6,98835.0
SLB,2018-05-04 16:00:00+00:00,68.61,68.91,68.51,68.895,101837.0
SLB,2018-05-04 17:00:00+00:00,68.9,69.095,68.8,68.95,130623.0
SLB,2018-05-04 18:00:00+00:00,68.94,69.185,68.89,69.02,100650.0
SLB,2018-05-04 19:00:00+00:00,69.01,69.03,68.62,68.8,174446.0
SLB,2018-05-07 08:00:00+00:00,69.27,69.27,69.27,69.27,100.0
SLB,2018-05-07 09:00:00+00:00,69.23,69.24,69.23,69.24,276.0
SLB,2018-05-07 11:00:00+00:00,69.05,69.34,69.05,69.34,140.0
SLB,2018-05-07 12:00:00+00:00,69.33,69.33,69.33,69.33,400.0
SLB,2018-05-07 13:00:00+00:00,69.42,70.55,69.15,70.44,84062.0
SLB,2018-05-07 14:00:00+00:00,70.45,70.51,69.76,70.09,132348.0
SLB,2018-05-07 15:00:00+00:00,70.09,70.56,70.05,70.54,126806.0
