symbol,ts,open,high,low,close,volume
SMCI,2018-05-01 13:00:00+00:00,17.6,17.75,17.6,17.7,5944.0
SMCI,2018-05-01 14:00:00+00:00,17.65,17.7,17.65,17.7,2469.0
SMCI,2018-05-01 15:00:00+00:00,17.7,17.7,17.65,17.65,1603.0
SMCI,2018-05-01 16:00:00+00:00,17.65,17.675,17.65,17.65,2802.0
SMCI,2018-05-01 17:00:00+00:00,17.625,17.8,17.55,17.8,5473.0
SMCI,2018-05-01 18:00:00+00:00,17.85,17.95,17.85,17.95,5548.0
SMCI,2018-05-01 19:00:00+00:00,17.95,18.25,17.95,18.25,26469.0
SMCI,2018-05-01 20:00:00+00:00,18.25,18.25,18.25,18.25,20994.0
SMCI,2018-05-02 13:00:00+00:00,18.25,18.25,18.15,18.25,8665.0
SMCI,2018-05-02 14:00:00+00:00,18.2,18.25,18.175,18.2,2513.0
SMCI,2018-05-02 15:00:00+00:00,18.225,18.3,18.2,18.25,5125.0
SMCI,2018-05-02 16:00:00+00:00,18.25,18.3,18.15,18.15,6600.0
SMCI,2018-05-02 17:00:00+00:00,18.15,18.15,18.05,18.05,1604.0
SMCI,2018-05-02 18:00:00+00:00,18.05,18.175,18.05,18.15,3822.0
SMCI,2018-05-02 19:00:00+00:00,18.15,18.15,17.9,18.0,25830.0
SMCI,2018-05-02 20:00:00+00:00,17.95,17.95,17.95,17.95,30744.0
SMCI,2018-05-03 13:00:00+00:00,18.0,18.05,17.7,18.05,11163.0
SMCI,2018-05-03 14:00:00+00:00,18.0,18.05,17.9,17.95,3096.0
SMCI,2018-05-03 15:00:00+00:00,17.9,17.95,17.8,17.9,2960.0
SMCI,2018-05-03 16:00:00+00:00,17.9,17.95,17.85,17.95,3356.0
SMCI,2018-05-03 17:00:00+00:00,17.95,18.0,17.9,17.925,2366.0
SMCI,2018-05-03 18:00:00+00:00,17.9,18.1,17.875,18.1,5225.0
SMCI,2018-05-03 19:00:00+00:00,18.15,18.15,17.9,18.05,40319.0
SMCI,2018-05-03 20:00:00+00:00,18.05,20.5,18.05,19.35,65932.0
SMCI,2018-05-03 21:00:00+00:00,19.25,19.25,19.25,19.25,1.0
SMCI,2018-05-04 12:00:00+00:00,19.95,20.0,19.95,20.0,300.0
SMCI,2018-05-04 13:00:00+00:00,20.15,21.6,19.7,20.15,70919.0
SMCI,2018-05-04 14:00:00+00:00,20.25,20.55,20.1,20.25,67841.0
SMCI,2018-05-04 15:00:00+00:00,20.25,21.05,20.25,20.95,30698.0
SMCI,2018-05-04 16:00:00+00:00,20.95,21.5,20.95,21.15,23933.0
SMCI,2018-05-04 17:00:00+00:00,21.15,21.15,20.9,21.05,23134.0
SMCI,2018-05-04 18:00:00+00:00,21.05,21.25,20.9,21.25,12720.0
SMCI,2018-05-04 19:00:00+00:00,21.25,21.325,20.925,21.15,36456.0
SMCI,2018-05-04 20:00:00+00:00,21.25,21.25,21.2,21.2,33147.0
SMCI,2018-05-07 13:00:00+00:00,21.4,22.575,21.4,22.2,48069.0
SMCI,2018-05-07 14:00:00+00:00,22.25,22.65,22.2,22.55,36172.0
SMCI,2018-05-07 15:00:00+00:00,22.55,22.7,22.5,22.65,13050.0
SMCI,2018-05-07 16:00:00+00:00,22.65,22.7,22.55,22.7,7826.0
SMCI,2018-05-07 17:00:00+00:00,22.7,22.725,22.6,22.7,5766.0
SMCI,2018-05-07 18:00:00+00:00,22.675,22.8,22.6,22.65,10266.0
SMCI,2018-05-07 19:00:00+00:00,22.675,23.35,22.675,23.05,64754.0
SMCI,2018-05-07 20:00:00+00:00,23.05,23.05,23.05,23.05,30214.0
SMCI,2018-05-07 21:00:00+00:00,23.1,23.1,23.1,23.1,74.0
SMCI,2018-05-08 13:00:00+00:00,22.95,23.45,22.8,23.4,11201.0
SMCI,2018-05-08 14:00:00+00:00,23.35,23.45,23.3,23.4,9603.0
SMCI,2018-05-08 15:00:00+00:00,23.4,23.9,23.35,23.85,10368.0
SMCI,2018-05-08 16:00:00+00:00,23.8,23.85,23.55,23.75,6089.0
SMCI,2018-05-08 17:00:00+00:00,23.75,23.9,23.75,23.75,10843.0
SMCI,2018-05-08 18:00:00+00:00,23.75,23.75,23.45,23.6,6089.0
SMCI,2018-05-08 19:00:00+00:00,23.6,24.0,23.6,24.0,26504.0
SMCI,2018-05-08 20:00:00+00:00,24.0,24.0,24.0,24.0,25671.0
SMCI,2018-05-09 13:00:00+00:00,22.85,24.3,22.85,24.1,11565.0
SMCI,2018-05-09 14:00:00+00:00,24.1,24.1,23.65,23.7,8394.0
SMCI,2018-05-09 15:00:00+00:00,23.7,24.0,23.7,23.75,4281.0
SMCI,2018-05-09 16:00:00+00:00,23.7,23.8,23.7,23.75,9449.0
SMCI,2018-05-09 17:00:00+00:00,23.75,23.8,23.3,23.35,16579.0
SMCI,2018-05-09 18:00:00+00:00,23.3,23.975,23.2,23.95,15356.0
SMCI,2018-05-09 19:00:00+00:00,23.95,24.1,23.95,24.0,41694.0
SMCI,2018-05-09 20:00:00+00:00,24.0,24.0,24.0,24.0,65498.0
SMCI,2018-05-10 13:00:00+00:00,24.1,24.15,23.9,24.0,7371.0
SMCI,2018-05-10 14:00:00+00:00,23.95,24.05,23.75,23.75,12633.0
SMCI,2018-05-10 15:00:00+00:00,23.75,23.9,23.75,23.8,5165.0
SMCI,2018-05-10 16:00:00+00:00,23.75,23.75,23.55,23.55,5457.0
SMCI,2018-05-10 17:00:00+00:00,23.5,23.55,23.4,23.5,11609.0
SMCI,2018-05-10 18:00:00+00:00,23.5,23.625,23.5,23.55,6892.0
SMCI,2018-05-10 19:00:00+00:00,23.6,23.75,23.55,23.75,19285.0
