symbol,ts,open,high,low,close,volume
SNA,2018-05-01 13:00:00+00:00,144.19,144.72,143.74,144.72,8623.0
SNA,2018-05-01 14:00:00+00:00,144.59,144.59,143.21,143.33,22560.0
SNA,2018-05-01 15:00:00+00:00,143.3,144.54,142.9,144.08,17124.0
SNA,2018-05-01 16:00:00+00:00,143.98,144.35,143.87,144.01,13490.0
SNA,2018-05-01 17:00:00+00:00,144.08,144.46,143.41,144.46,19411.0
SNA,2018-05-01 18:00:00+00:00,144.43,145.12,144.43,145.12,16848.0
SNA,2018-05-01 19:00:00+00:00,145.19,145.39,144.57,145.06,44442.0
SNA,2018-05-02 13:00:00+00:00,145.25,145.85,145.14,145.71,7165.0
SNA,2018-05-02 14:00:00+00:00,145.56,145.98,145.31,145.89,11159.0
SNA,2018-05-02 15:00:00+00:00,145.93,146.6,145.72,146.6,8924.0
SNA,2018-05-02 16:00:00+00:00,146.56,147.11,146.43,146.7,15848.0
SNA,2018-05-02 17:00:00+00:00,146.72,147.09,146.41,146.66,12564.0
SNA,2018-05-02 18:00:00+00:00,146.66,146.91,146.18,146.31,17833.0
SNA,2018-05-02 19:00:00+00:00,146.25,146.43,144.97,145.19,30562.0
SNA,2018-05-03 13:00:00+00:00,143.96,144.2,143.39,143.94,4025.0
SNA,2018-05-03 14:00:00+00:00,143.68,143.88,141.98,142.04,22477.0
SNA,2018-05-03 15:00:00+00:00,142.14,142.72,141.7,142.59,21690.0
SNA,2018-05-03 16:00:00+00:00,142.64,143.885,142.64,143.8,22535.0
SNA,2018-05-03 17:00:00+00:00,143.73,143.87,143.07,143.46,13884.0
SNA,2018-05-03 18:00:00+00:00,143.45,143.93,143.26,143.6,18424.0
SNA,2018-05-03 19:00:00+00:00,143.61,143.73,142.58,143.15,53110.0
SNA,2018-05-04 13:00:00+00:00,142.53,143.48,142.15,143.48,5693.0
SNA,2018-05-04 14:00:00+00:00,143.28,144.86,142.94,144.79,19729.0
SNA,2018-05-04 15:00:00+00:00,144.79,145.39,144.72,145.23,14898.0
SNA,2018-05-04 16:00:00+00:00,145.12,145.18,144.75,145.14,9096.0
SNA,2018-05-04 17:00:00+00:00,145.14,145.8,145.01,145.66,9376.0
SNA,2018-05-04 18:00:00+00:00,145.57,146.35,145.57,145.79,9039.0
SNA,2018-05-04 19:00:00+00:00,145.88,146.1,145.4,145.71,26308.0
SNA,2018-05-07 13:00:00+00:00,146.47,146.47,145.75,146.26,4267.0
SNA,2018-05-07 14:00:00+00:00,146.06,146.35,145.565,145.68,7944.0
SNA,2018-05-07 15:00:00+00:00,145.76,145.97,145.29,145.96,8725.0
SNA,2018-05-07 16:00:00+00:00,145.86,145.86,145.54,145.75,6241.0
SNA,2018-05-07 17:00:00+00:00,145.85,146.15,145.63,145.93,9126.0
SNA,2018-05-07 18:00:00+00:00,145.93,146.8,145.9,146.74,19319.0
SNA,2018-05-07 19:00:00+00:00,146.72,146.99,146.27,146.63,32916.0
SNA,2018-05-08 13:00:00+00:00,146.47,147.84,146.04,147.74,3429.0
SNA,2018-05-08 14:00:00+00:00,147.44,147.81,146.94,147.64,6079.0
SNA,2018-05-08 15:00:00+00:00,147.34,147.48,147.02,147.22,7472.0
SNA,2018-05-08 16:00:00+00:00,147.15,147.15,146.44,146.57,8194.0
SNA,2018-05-08 17:00:00+00:00,146.59,147.45,146.59,147.23,5409.0
SNA,2018-05-08 18:00:00+00:00,147.27,147.63,147.06,147.27,11166.0
SNA,2018-05-08 19:00:00+00:00,147.17,147.96,147.05,147.94,26751.0
SNA,2018-05-09 13:00:00+00:00,148.3,148.43,147.49,147.49,5470.0
SNA,2018-05-09 14:00:00+00:00,147.47,147.48,146.82,147.4,20598.0
SNA,2018-05-09 15:00:00+00:00,147.365,147.5,147.02,147.43,16301.0
SNA,2018-05-09 16:00:00+00:00,147.53,148.11,147.23,148.04,6230.0
SNA,2018-05-09 17:00:00+00:00,148.06,148.62,148.04,148.4,9948.0
SNA,2018-05-09 18:00:00+00:00,148.41,148.45,148.14,148.14,8831.0
SNA,2018-05-09 19:00:00+00:00,148.14,148.37,147.69,147.99,33187.0
SNA,2018-05-10 13:00:00+00:00,148.15,148.21,147.8,147.96,1889.0
SNA,2018-05-10 14:00:00+00:00,147.6,147.6,146.31,146.91,8057.0
SNA,2018-05-10 15:00:00+00:00,146.94,146.94,146.26,146.93,5419.0
SNA,2018-05-10 16:00:00+00:00,146.95,147.56,146.92,147.53,4121.0
SNA,2018-05-10 17:00:00+00:00,147.56,147.56,147.21,147.47,5224.0
SNA,2018-05-10 18:00:00+00:00,147.51,147.91,147.25,147.76,8060.0
SNA,2018-05-10 19:00:00+00:00,147.84,147.95,147.435,147.75,12790.0
SNA,2018-05-11 13:00:00+00:00,148.21,148.6,148.11,148.53,1695.0
SNA,2018-05-11 14:00:00+00:00,148.6,148.7,148.18,148.7,6149.0
SNA,2018-05-11 15:00:00+00:00,148.79,148.84,148.4,148.61,8829.0
SNA,2018-05-11 16:00:00+00:00,148.67,148.9,148.31,148.31,4323.0
SNA,2018-05-11 17:00:00+00:00,148.37,148.48,148.08,148.4,4822.0
SNA,2018-05-11 18:00:00+00:00,148.32,148.59,148.1,148.57,5697.0
SNA,2018-05-11 19:00:00+00:00,148.58,149.04,148.58,148.96,21130.0
SNA,2018-05-14 13:00:00+00:00,149.08,149.13,148.86,149.1,2136.0
SNA,2018-05-14 14:00:00+00:00,148.98,149.84,148.57,149.39,11732.0
SNA,2018-05-14 15:00:00+00:00,149.28,149.69,149.14,149.62,6741.0
SNA,2018-05-14 16:00:00+00:00,149.59,150.09,149.59,149.71,20571.0
SNA,2018-05-14 17:00:00+00:00,149.72,150.56,149.7,150.47,15508.0
SNA,2018-05-14 18:00:00+00:00,150.45,150.45,149.68,149.86,10787.0
SNA,2018-05-14 19:00:00+00:00,149.84,149.94,149.36,149.62,19137.0
SNA,2018-05-15 13:00:00+00:00,148.94,149.35,148.45,148.77,6885.0
SNA,2018-05-15 14:00:00+00:00,148.71,149.23,148.68,149.18,13524.0
SNA,2018-05-15 15:00:00+00:00,149.15,149.51,149.08,149.21,12780.0
SNA,2018-05-15 16:00:00+00:00,149.03,149.84,148.87,149.6,11631.0
SNA,2018-05-15 17:00:00+00:00,149.51,149.61,149.04,149.27,9811.0
SNA,2018-05-15 18:00:00+00:00,149.25,150.11,149.22,149.35,12404.0
SNA,2018-05-15 19:00:00+00:00,149.4,149.58,149.21,149.53,26525.0
SNA,2018-05-16 13:00:00+00:00,149.81,150.66,149.5,150.48,2359.0
SNA,2018-05-16 14:00:00+00:00,150.45,150.45,149.77,150.07,3475.0
SNA,2018-05-16 15:00:00+00:00,149.98,150.48,149.62,150.48,4082.0
SNA,2018-05-16 16:00:00+00:00,150.58,151.32,150.58,150.94,3921.0
SNA,2018-05-16 17:00:00+00:00,150.96,151.49,150.85,151.4,4743.0
SNA,2018-05-16 18:00:00+00:00,151.47,151.61,151.27,151.48,8682.0
SNA,2018-05-16 19:00:00+00:00,151.45,151.45,150.54,150.7,19008.0
SNA,2018-05-17 13:00:00+00:00,151.25,151.99,150.73,150.73,5323.0
SNA,2018-05-17 14:00:00+00:00,150.81,151.6,150.81,151.56,9400.0
SNA,2018-05-17 15:00:00+00:00,151.62,152.48,151.33,152.37,8064.0
SNA,2018-05-17 16:00:00+00:00,152.32,152.63,151.77,152.05,7053.0
